,date,open,low,high,close,volume
0,2020-01-06,25.37,25.37,25.98,25.88,4987091
1,2020-01-03,26.04,25.54,26.33,25.62,4450288
2,2020-01-02,26.37,26.11,26.66,26.49,4280507
3,2020-04-06,19.49,19.2,19.83,19.71,6461502
4,2020-04-03,18.73,18.0,19.09,18.46,4087628
5,2020-04-02,18.53,18.32,19.28,18.81,3896291
6,2020-04-01,19.12,18.5,19.69,18.69,4868627
7,2020-03-31,19.99,19.7,20.77,20.04,3498183
8,2020-03-30,20.12,19.65,20.86,20.16,6932620
9,2020-03-27,20.38,19.39,20.76,19.63,6313445
10,2020-03-26,20.23,20.01,21.73,21.55,6330132
11,2020-03-25,19.94,19.34,21.48,19.93,7393105
12,2020-03-24,18.47,17.49,19.69,19.68,7088706
13,2020-03-23,16.72,15.97,18.1,17.19,7344836
14,2020-03-20,16.64,16.22,18.69,16.46,13525713
15,2020-03-19,14.69,14.28,16.57,16.19,8400722
16,2020-03-18,14.69,12.92,15.27,14.63,9072568
17,2020-03-17,16.62,15.32,16.95,15.87,9981394
18,2020-03-16,14.78,14.78,17.38,16.32,10105509
19,2020-03-13,17.82,16.79,18.21,18.21,9647895
20,2020-03-12,17.21,16.37,17.69,16.59,13336415
21,2020-03-11,19.07,18.53,19.53,18.71,9421572
22,2020-03-10,19.1,17.98,19.95,19.83,9949735
23,2020-03-09,18.48,17.96,18.64,18.36,10966408
24,2020-03-06,19.76,19.56,20.71,20.07,8405186
25,2020-03-05,21.29,20.51,21.56,20.69,7142995
26,2020-03-04,21.52,20.87,21.98,21.98,6011688
27,2020-03-03,21.62,20.98,22.14,21.16,9221237
28,2020-03-02,20.63,19.96,21.52,21.47,7912865
29,2020-02-28,20.87,19.86,21.84,20.5,17014362
30,2020-02-27,22.56,21.73,23.07,22.07,11055684
31,2020-02-26,23.67,22.95,23.98,23.27,6858125
32,2020-02-25,24.85,23.39,24.92,23.41,6803435
33,2020-02-24,25.21,24.02,25.26,24.47,7269480
34,2020-02-21,26.7,25.94,26.75,26.2,4405669
35,2020-02-20,27.02,26.49,27.05,26.82,5313516
36,2020-02-19,26.8,26.72,27.15,27.02,5515598
37,2020-02-18,26.49,26.28,26.82,26.73,5142557
38,2020-02-14,26.82,26.66,27.13,26.79,4160406
39,2020-02-13,26.32,26.05,26.76,26.62,6764032
40,2020-02-12,26.71,26.64,27.11,27.0,6878159
41,2020-02-11,26.39,26.34,26.9,26.47,8690393
42,2020-02-10,25.84,25.61,26.43,26.4,5329820
43,2020-02-07,26.6,25.84,26.6,26.15,9322881
44,2020-02-06,25.92,25.87,26.81,26.77,6585003
45,2020-02-05,26.08,25.63,26.54,25.73,7341802
46,2020-02-04,25.33,25.05,26.08,25.85,5849465
47,2020-02-03,24.72,24.62,25.03,24.91,3266797
48,2020-01-31,24.89,24.39,24.95,24.71,4630292
49,2020-01-30,24.52,24.4,25.06,25.02,4745164
50,2020-01-29,24.8,24.59,24.92,24.8,2790225
51,2020-01-28,24.57,24.49,24.92,24.66,4227787
52,2020-01-27,24.65,24.3,24.77,24.39,6146304
53,2020-01-24,25.61,25.09,25.86,25.32,3950128
54,2020-01-23,25.34,25.01,25.56,25.52,2189278
55,2020-01-22,25.08,25.08,25.39,25.3,2706574
56,2020-01-21,25.41,24.77,25.42,24.97,5399956
57,2020-01-17,26.09,25.35,26.09,25.5,6505659
58,2020-01-16,25.84,25.68,26.21,26.01,4448677
59,2020-01-15,25.69,25.53,25.91,25.63,3908176
60,2020-01-14,25.24,25.23,26.1,25.76,6558991
61,2020-01-13,25.17,24.66,25.32,25.24,6739822
62,2020-01-10,25.14,25.03,25.3,25.08,4868080
63,2020-01-09,25.43,24.83,25.46,25.14,7162556
64,2020-01-08,25.08,24.9,25.35,25.33,6943517
65,2020-01-07,25.86,25.11,25.99,25.23,6196732
66,2020-07-06,27.61,27.23,27.69,27.39,3370230
67,2020-07-02,27.94,27.21,28.24,27.23,3673488
68,2020-07-01,27.89,27.39,28.15,27.5,5499510
69,2020-06-30,27.26,27.06,27.98,27.83,6048874
70,2020-06-29,26.68,26.25,27.31,27.23,7786747
71,2020-06-26,25.94,25.73,26.81,26.47,10055752
72,2020-06-25,26.56,25.72,26.62,26.14,7404497
73,2020-06-24,27.79,26.2,27.81,26.9,31492555
74,2020-06-23,24.74,24.49,25.09,24.83,10222264
75,2020-06-22,24.62,24.23,24.95,24.46,3596752
76,2020-06-19,24.49,24.35,25.08,24.78,6063235
77,2020-06-18,23.93,23.67,24.08,24.02,4489752
78,2020-06-17,24.2,24.05,24.63,24.07,4106369
79,2020-06-16,24.58,23.88,24.67,24.15,3162208
80,2020-06-15,23.2,23.11,24.02,23.84,4338602
81,2020-06-12,24.5,23.35,24.66,23.76,3787268
82,2020-06-11,24.31,23.53,24.44,23.6,6148868
83,2020-06-10,25.36,24.8,25.45,25.02,2884976
84,2020-06-09,25.99,25.27,25.99,25.34,4733997
85,2020-06-08,25.84,25.73,26.36,26.17,7119808
86,2020-06-05,25.05,25.05,26.01,25.59,8206864
87,2020-06-04,24.54,24.39,24.94,24.92,5248883
88,2020-06-03,25.08,24.68,25.11,24.73,5201333
89,2020-06-02,25.03,24.63,25.15,24.9,5831440
90,2020-06-01,24.94,24.46,25.23,25.01,7532255
