,date,open,low,high,close,volume
0,2020-01-06,83.01,81.67,83.38,82.4,2278306
1,2020-01-03,84.01,83.35,84.43,83.88,1068329
2,2020-01-02,85.11,84.47,85.31,85.3,1559200
3,2020-04-06,31.38,31.32,33.82,33.46,6364440
4,2020-04-03,30.59,27.51,30.69,28.53,6207918
5,2020-04-02,30.9,30.27,32.34,30.99,5503700
6,2020-04-01,32.87,30.73,33.3,31.53,5421734
7,2020-03-31,37.34,35.3,37.92,35.67,3245270
8,2020-03-30,38.0,36.03,38.3,37.59,4527448
9,2020-03-27,39.27,37.54,39.74,38.41,5011600
10,2020-03-26,39.66,39.06,43.82,41.71,8281529
11,2020-03-25,38.2,35.42,39.54,37.45,10275700
12,2020-03-24,29.1,29.0,34.07,33.78,7215847
13,2020-03-23,25.75,24.14,27.07,26.65,8226000
14,2020-03-20,29.7,25.23,29.97,25.25,9368326
15,2020-03-19,26.42,23.25,28.79,28.33,8318833
16,2020-03-18,33.99,26.6,34.41,27.0,7428607
17,2020-03-17,38.78,32.82,39.16,36.87,9789291
18,2020-03-16,44.25,37.56,44.75,37.87,4819400
19,2020-03-13,48.93,46.24,51.89,51.76,4450440
20,2020-03-12,48.5,44.79,50.18,44.88,4487557
21,2020-03-11,56.0,52.39,56.45,53.2,3094596
22,2020-03-10,57.21,53.57,58.69,57.69,4406400
23,2020-03-09,58.09,54.13,58.5,54.76,3598100
24,2020-03-06,62.0,61.33,64.25,62.58,3861440
25,2020-03-05,64.42,63.92,65.88,64.57,3488446
26,2020-03-04,65.31,64.32,66.84,66.69,2878495
27,2020-03-03,67.64,63.9,68.73,64.31,3601121
28,2020-03-02,66.11,65.02,67.93,67.88,4290018
29,2020-02-28,63.97,63.24,65.62,65.58,5033238
30,2020-02-27,67.36,65.26,68.95,66.18,3473654
31,2020-02-26,70.15,68.97,70.78,69.0,2130100
32,2020-02-25,73.16,69.09,73.18,69.49,3074185
33,2020-02-24,72.86,72.69,73.96,73.15,2020122
34,2020-02-21,75.29,74.43,75.44,75.32,1722800
35,2020-02-20,75.4,75.23,76.36,75.79,1178800
36,2020-02-19,75.16,74.71,75.77,75.56,1627600
37,2020-02-18,76.09,75.06,76.36,75.35,1686859
38,2020-02-14,76.28,76.0,76.79,76.42,1426611
39,2020-02-13,75.91,75.45,76.59,76.2,2038763
40,2020-02-12,76.17,75.44,76.39,76.04,1608835
41,2020-02-11,76.1,75.71,76.63,75.75,1617403
42,2020-02-10,75.07,75.02,75.97,75.83,1400047
43,2020-02-07,75.84,74.73,75.84,75.29,2295353
44,2020-02-06,77.83,76.35,78.14,76.35,2083444
45,2020-02-05,76.98,76.64,77.89,77.38,2099524
46,2020-02-04,76.2,75.79,76.84,75.8,2228600
47,2020-02-03,75.77,74.97,76.68,75.09,2849096
48,2020-01-31,75.85,74.64,76.0,75.13,2695229
49,2020-01-30,74.97,74.82,76.56,76.37,3404798
50,2020-01-29,75.41,75.24,76.3,75.8,2515800
51,2020-01-28,76.0,74.12,76.0,75.23,4336984
52,2020-01-27,74.3,73.43,75.18,73.91,4547200
53,2020-01-24,78.12,76.0,79.19,76.29,12378838
54,2020-01-23,84.95,84.27,85.86,85.85,2734400
55,2020-01-22,84.43,84.06,85.63,85.34,2804637
56,2020-01-21,84.0,83.52,84.6,83.68,2002214
57,2020-01-17,84.03,83.71,84.97,84.44,2736844
58,2020-01-16,83.83,83.46,84.35,83.64,1702914
59,2020-01-15,82.63,82.4,83.7,83.32,1430800
60,2020-01-14,82.91,82.58,83.48,83.04,1343341
61,2020-01-13,82.76,82.19,83.11,82.88,996900
62,2020-01-10,83.44,82.54,83.59,82.68,909100
63,2020-01-09,82.94,82.92,83.49,83.43,1580126
64,2020-01-08,81.67,81.35,83.06,82.37,2092310
65,2020-01-07,81.96,81.39,82.39,81.49,1935296
66,2020-07-06,50.65,49.84,51.4,50.61,2768900
67,2020-07-02,49.8,48.68,51.07,48.85,3037554
68,2020-07-01,50.29,48.12,51.5,48.22,3064930
69,2020-06-30,49.22,48.71,50.47,50.09,7392737
70,2020-06-29,49.36,48.3,50.16,49.32,8268800
71,2020-06-26,50.75,47.35,51.0,48.67,7919200
72,2020-06-25,50.39,49.63,52.12,52.06,4048500
73,2020-06-24,53.55,50.21,53.73,50.81,4531900
74,2020-06-23,55.0,54.18,55.63,54.86,3842875
75,2020-06-22,54.21,53.03,55.03,54.02,4467016
76,2020-06-19,55.4,52.57,55.4,53.73,9597237
77,2020-06-18,53.91,53.36,55.7,53.83,4467600
78,2020-06-17,56.02,54.93,57.05,55.08,5078014
79,2020-06-16,57.67,54.33,57.96,55.92,4838409
80,2020-06-15,49.93,49.61,55.7,54.55,5913234
81,2020-06-12,53.0,49.97,53.37,52.99,4580100
82,2020-06-11,52.0,48.91,52.98,49.41,6802100
83,2020-06-10,58.2,54.96,58.8,54.96,6288834
84,2020-06-09,58.51,57.55,60.02,58.85,5379000
85,2020-06-08,64.41,60.86,64.41,61.29,6063000
86,2020-06-05,64.09,60.25,66.77,60.62,9503599
87,2020-06-04,55.77,54.93,58.66,58.26,6713600
88,2020-06-03,55.06,54.95,57.26,57.14,7986000
89,2020-06-02,51.0,50.79,52.56,52.39,5863115
90,2020-06-01,47.79,47.46,49.86,49.84,5264166
91,2020-05-29,48.14,47.35,49.95,47.51,8224241
92,2020-05-28,50.32,48.85,52.19,49.47,10474966
93,2020-05-27,47.27,46.95,49.62,49.6,8441011
94,2020-05-26,42.92,42.47,45.01,44.08,7294700
95,2020-05-22,40.81,39.76,41.15,40.47,2434023
96,2020-05-21,40.9,40.23,41.56,40.75,3222642
97,2020-05-20,40.37,40.21,41.39,41.01,4392816
98,2020-05-19,40.73,39.35,41.42,39.75,4664513
99,2020-05-18,40.39,40.18,41.38,41.06,5300257
