,date,open,low,high,close,volume
0,2020-01-06,154.41,152.1,154.72,154.54,2295600
1,2020-01-03,155.3,154.66,156.36,155.39,1715458
2,2020-01-02,156.95,155.24,157.12,156.54,1918500
3,2020-04-06,166.17,162.42,170.13,169.65,4082233
4,2020-04-03,158.6,158.6,162.8,162.2,2735807
5,2020-04-02,153.5,152.83,161.33,159.7,3624911
6,2020-04-01,148.24,148.24,157.98,153.16,2906985
7,2020-03-31,146.19,146.19,156.88,151.01,5279082
8,2020-03-30,149.35,146.27,149.79,146.77,2490680
9,2020-03-27,138.17,137.52,147.72,146.12,3686300
10,2020-03-26,136.9,135.26,142.87,140.52,3471836
11,2020-03-25,141.54,136.69,143.42,137.23,3661313
12,2020-03-24,145.17,137.71,149.67,141.82,3252125
13,2020-03-23,139.88,137.02,145.29,139.87,2985116
14,2020-03-20,142.39,135.04,144.91,140.13,4530700
15,2020-03-19,149.17,141.44,151.3,143.0,4064400
16,2020-03-18,145.5,137.9,157.65,148.74,4848522
17,2020-03-17,137.9,137.59,156.48,154.53,4964700
18,2020-03-16,134.19,125.0,139.6,136.1,3806802
19,2020-03-13,148.71,138.49,148.99,145.81,6267024
20,2020-03-12,152.01,140.15,157.07,141.97,6710500
21,2020-03-11,163.09,156.69,165.73,157.63,3850768
22,2020-03-10,162.63,160.12,167.44,166.25,3791561
23,2020-03-09,150.79,150.05,162.04,159.28,3253600
24,2020-03-06,154.26,152.17,158.92,158.38,1836996
25,2020-03-05,158.28,155.5,161.02,157.48,1970603
26,2020-03-04,157.89,156.51,160.51,160.16,1664747
27,2020-03-03,159.52,154.36,163.28,156.42,2573800
28,2020-03-02,150.36,150.25,159.75,159.6,2581634
29,2020-02-28,155.73,147.56,156.22,150.3,3858851
30,2020-02-27,161.15,157.44,162.51,157.66,3596000
31,2020-02-26,162.05,161.21,164.49,162.67,2126949
32,2020-02-25,165.67,161.05,166.9,161.5,2335923
33,2020-02-24,163.53,163.53,166.51,164.86,2282333
34,2020-02-21,165.89,165.03,167.04,166.88,1455114
35,2020-02-20,163.79,163.16,166.03,165.73,1101628
36,2020-02-19,162.02,161.57,164.38,163.79,1540340
37,2020-02-18,158.3,157.75,162.35,161.71,1604180
38,2020-02-14,159.31,157.46,160.12,158.03,1434040
39,2020-02-13,158.43,157.77,160.24,159.85,984143
40,2020-02-12,156.5,155.64,158.94,158.66,1093784
41,2020-02-11,156.22,155.52,156.66,155.95,916896
42,2020-02-10,154.08,153.83,155.65,155.59,1102500
43,2020-02-07,155.3,154.02,155.76,154.97,814500
44,2020-02-06,157.76,155.19,157.97,155.47,1118600
45,2020-02-05,156.6,156.47,157.76,157.26,1037500
46,2020-02-04,155.91,155.63,157.62,155.99,1429524
47,2020-02-03,154.28,154.0,157.14,154.77,1109800
48,2020-01-31,157.04,152.91,157.29,153.41,1974995
49,2020-01-30,154.96,154.37,157.0,156.99,1528107
50,2020-01-29,157.0,155.71,157.43,155.75,720000
51,2020-01-28,156.42,155.87,157.64,156.66,1118000
52,2020-01-27,153.11,152.62,156.91,155.86,1539839
53,2020-01-24,154.92,153.41,155.0,154.34,1050705
54,2020-01-23,153.85,153.38,155.51,155.14,1283380
55,2020-01-22,157.95,154.19,158.32,154.5,1458700
56,2020-01-21,157.35,157.23,158.7,157.54,1381612
57,2020-01-17,158.63,157.53,160.41,157.99,1486809
58,2020-01-16,157.53,156.92,158.53,158.27,1472828
59,2020-01-15,155.34,155.21,157.34,156.59,2638045
60,2020-01-14,155.07,155.07,158.96,157.98,2837185
61,2020-01-13,151.96,151.43,154.83,154.12,2011834
62,2020-01-10,153.17,152.49,154.12,153.22,2747909
63,2020-01-09,151.8,151.78,153.76,152.58,2832636
64,2020-01-08,152.0,151.13,152.63,151.55,3208434
65,2020-01-07,154.19,152.14,154.76,152.21,2845830
66,2020-07-06,190.54,186.09,190.82,187.14,1752700
67,2020-07-02,191.79,188.94,191.9,189.48,1559735
68,2020-07-01,189.79,188.07,191.44,190.9,1844940
69,2020-06-30,190.03,188.13,191.05,190.51,1904200
70,2020-06-29,190.08,188.12,191.31,190.02,2147586
71,2020-06-26,190.76,189.25,193.63,189.39,6688800
72,2020-06-25,190.75,187.67,191.76,190.67,2529400
73,2020-06-24,189.53,188.61,192.45,191.85,2450400
74,2020-06-23,192.76,189.4,193.0,189.97,1796322
75,2020-06-22,189.58,188.65,192.67,192.14,1441629
76,2020-06-19,193.08,188.17,193.72,188.78,2866100
77,2020-06-18,190.94,188.7,191.99,191.32,1819541
78,2020-06-17,190.71,188.85,191.31,189.76,1751457
79,2020-06-16,189.12,186.91,191.15,190.88,2557319
80,2020-06-15,182.72,182.62,190.2,187.86,2843296
81,2020-06-12,190.25,181.53,190.7,184.0,3198903
82,2020-06-11,190.2,187.46,192.69,188.28,2753100
83,2020-06-10,187.06,187.06,190.74,190.13,3549801
84,2020-06-09,188.11,185.0,188.21,186.25,2551821
85,2020-06-08,183.66,183.65,187.4,186.0,2987220
86,2020-06-05,186.41,181.27,186.9,185.66,3338000
87,2020-06-04,189.75,185.19,190.75,185.88,3115510
88,2020-06-03,191.65,188.06,191.86,189.75,2426494
89,2020-06-02,191.51,189.82,193.04,191.78,2883600
90,2020-06-01,191.29,189.14,194.84,191.5,2603000
91,2020-05-29,184.98,184.98,192.71,191.51,8139128
92,2020-05-28,186.0,180.31,189.5,184.11,5696923
93,2020-05-27,180.6,179.05,187.2,187.2,3573113
94,2020-05-26,182.12,179.39,183.34,180.36,2550018
95,2020-05-22,179.48,177.21,179.61,178.98,1849144
96,2020-05-21,179.01,176.58,179.48,178.41,1977144
97,2020-05-20,181.58,177.53,182.26,178.57,2368260
98,2020-05-19,182.45,181.42,184.63,181.48,1660646
99,2020-05-18,184.94,181.6,185.01,182.05,2168099
100,2020-05-15,181.02,180.27,183.77,182.02,2807840
101,2020-05-14,180.32,178.78,182.5,181.5,1497612
102,2020-05-13,181.93,179.02,183.87,181.57,2354003
103,2020-05-12,182.74,181.52,184.76,181.73,2025418
104,2020-05-11,177.28,177.28,184.95,183.04,2743675
105,2020-05-08,175.2,173.39,176.79,176.36,1574541
106,2020-05-07,175.25,173.26,175.83,173.6,1119884
107,2020-05-06,175.84,173.38,176.91,173.9,1163740
108,2020-05-05,176.0,174.06,176.85,174.87,1438105
109,2020-05-04,173.74,172.67,175.8,175.44,1263205
110,2020-05-01,174.22,172.66,176.43,173.0,1570800
111,2020-04-30,173.64,173.0,177.0,175.3,2034662
