,date,open,low,high,close,volume
0,2020-01-06,53.36,53.21,54.1,53.41,4305500
1,2020-01-03,52.45,52.4,53.22,52.96,4330401
2,2020-01-02,52.95,52.13,53.11,52.57,3492000
3,2020-04-06,34.2,34.0,37.49,36.85,6190708
4,2020-04-03,32.18,31.2,32.9,32.14,6685180
5,2020-04-02,33.0,31.63,33.81,32.6,6868584
6,2020-04-01,32.61,31.67,33.6,32.68,8213731
7,2020-03-31,36.49,33.55,36.82,34.0,6891892
8,2020-03-30,36.75,35.2,37.32,36.84,4434723
9,2020-03-27,37.4,35.11,37.97,36.88,4874600
10,2020-03-26,37.52,37.13,39.48,39.27,6089893
11,2020-03-25,34.34,32.55,38.03,37.03,6941800
12,2020-03-24,32.34,31.51,34.71,32.89,7444645
13,2020-03-23,30.85,28.15,31.89,29.56,9377000
14,2020-03-20,30.92,29.6,32.5,31.38,9398906
15,2020-03-19,28.36,27.6,31.95,30.01,7254800
16,2020-03-18,28.91,25.51,30.05,28.78,11532932
17,2020-03-17,32.26,27.91,33.34,31.23,9479033
18,2020-03-16,34.08,31.2,34.91,31.35,8400417
19,2020-03-13,41.59,36.34,41.96,39.3,7475201
20,2020-03-12,41.26,36.23,41.9,39.22,8171586
21,2020-03-11,48.91,45.47,49.31,45.62,6110503
22,2020-03-10,50.41,47.74,51.16,50.99,7057436
23,2020-03-09,51.25,48.48,51.56,49.12,5103909
24,2020-03-06,54.71,53.16,55.13,54.8,6155113
25,2020-03-05,57.4,56.43,58.4,56.71,4097632
26,2020-03-04,56.68,56.32,58.59,58.56,6693625
27,2020-03-03,55.1,54.54,57.24,55.59,6180958
28,2020-03-02,53.82,53.16,55.11,54.83,8169259
29,2020-02-28,54.59,52.05,54.75,53.27,8175514
30,2020-02-27,55.73,55.17,57.58,55.86,7207336
31,2020-02-26,57.06,56.26,57.98,56.57,5325176
32,2020-02-25,60.52,57.87,60.63,58.09,4366800
33,2020-02-24,61.09,60.43,61.53,60.43,2415353
34,2020-02-21,62.13,61.65,62.52,61.88,3450529
35,2020-02-20,61.87,61.17,62.27,62.05,3685118
36,2020-02-19,62.13,61.79,62.45,61.88,3295900
37,2020-02-18,61.95,61.64,62.54,61.83,2548116
38,2020-02-14,62.05,61.39,62.09,61.81,2252008
39,2020-02-13,61.59,61.48,62.05,61.67,5426404
40,2020-02-12,61.25,61.08,61.77,61.6,2463907
41,2020-02-11,61.81,61.27,62.12,61.86,2453114
