,date,open,low,high,close,volume
0,2020-01-06,136.02,135.85,137.18,137.05,3101706
1,2020-01-03,136.0,135.11,137.67,136.64,2627527
2,2020-01-02,136.47,135.73,137.6,137.49,2915993
3,2020-04-06,124.1,122.88,126.53,125.82,6323835
4,2020-04-03,120.1,118.78,122.15,119.8,2762803
5,2020-04-02,113.3,113.19,121.11,120.93,5813276
6,2020-04-01,118.21,113.49,120.17,114.08,4201007
7,2020-03-31,124.77,121.6,124.88,122.69,6171433
8,2020-03-30,121.92,119.21,125.52,124.82,5381025
9,2020-03-27,118.89,118.49,125.72,122.84,5930138
10,2020-03-26,116.87,115.43,123.72,122.91,5944033
11,2020-03-25,112.27,109.72,117.83,114.63,6472991
12,2020-03-24,111.46,110.92,117.0,114.48,5931251
13,2020-03-23,120.51,106.01,121.59,107.6,10130072
14,2020-03-20,111.58,107.8,115.23,109.75,7190658
15,2020-03-19,113.18,108.14,114.77,110.08,6491282
16,2020-03-18,110.09,107.32,115.63,113.58,5537295
17,2020-03-17,114.9,111.79,120.31,116.81,5474102
18,2020-03-16,115.18,109.5,120.77,113.14,5520887
19,2020-03-13,120.97,112.77,125.94,125.33,6481945
20,2020-03-12,115.1,113.35,120.27,114.25,6605434
21,2020-03-11,125.43,121.76,125.94,123.54,5396210
22,2020-03-10,129.84,123.25,130.52,127.92,4585843
23,2020-03-09,124.54,122.45,127.25,125.51,4797796
24,2020-03-06,128.73,127.08,132.04,131.57,3560891
25,2020-03-05,135.6,130.66,135.72,132.49,5070151
26,2020-03-04,133.47,132.34,138.4,138.26,3907121
27,2020-03-03,134.59,129.49,138.22,130.78,3503416
28,2020-03-02,128.8,126.77,133.6,133.57,5282870
29,2020-02-28,126.01,125.18,130.12,128.16,8960746
30,2020-02-27,132.83,130.34,135.73,130.35,4781701
31,2020-02-26,134.21,133.4,137.84,134.9,3613584
32,2020-02-25,139.81,133.62,140.05,134.42,3596605
33,2020-02-24,137.66,137.66,141.04,139.01,2783339
34,2020-02-21,141.21,140.88,143.67,143.49,2195163
35,2020-02-20,144.91,140.7,145.19,142.05,2740189
36,2020-02-19,145.76,144.21,146.08,145.29,2981019
37,2020-02-18,147.4,144.78,147.5,145.37,2162327
38,2020-02-14,144.86,144.5,147.11,147.1,1843159
39,2020-02-13,144.7,143.55,145.18,144.86,3084413
40,2020-02-12,144.98,144.64,146.14,145.22,1865330
41,2020-02-11,145.0,144.5,145.64,145.09,1862632
42,2020-02-10,143.92,143.05,145.08,144.47,1883868
43,2020-02-07,144.83,143.33,145.24,143.59,1874530
44,2020-02-06,145.09,144.09,146.36,145.35,2080624
45,2020-02-05,145.17,143.65,145.56,144.39,2195393
46,2020-02-04,144.7,144.0,145.19,144.27,2951687
47,2020-02-03,143.6,142.28,144.59,142.71,3381804
48,2020-01-31,148.24,142.13,148.29,142.6,4227822
49,2020-01-30,146.26,144.98,149.97,149.85,4325933
50,2020-01-29,145.88,144.8,147.3,146.45,2141611
51,2020-01-28,143.15,142.72,145.48,145.16,2375328
52,2020-01-27,142.4,141.48,143.48,142.89,2648484
53,2020-01-24,144.76,143.26,144.94,143.82,2223301
54,2020-01-23,145.03,143.78,145.4,144.02,2429291
55,2020-01-22,145.25,144.55,145.85,145.17,2123657
56,2020-01-21,144.4,144.13,145.52,145.11,2587002
57,2020-01-17,143.82,143.13,144.63,144.54,2943188
58,2020-01-16,143.29,142.22,143.56,143.16,2738155
59,2020-01-15,143.2,142.06,143.92,142.53,3001112
60,2020-01-14,141.7,141.26,143.59,143.06,3430845
61,2020-01-13,140.45,140.2,141.6,141.44,2564654
62,2020-01-10,140.26,139.49,140.57,140.16,2251221
63,2020-01-09,139.15,138.62,140.8,139.76,2374714
64,2020-01-08,139.43,138.52,139.82,138.54,3145440
65,2020-01-07,137.41,136.59,138.87,138.39,2241839
66,2020-07-06,161.32,160.8,163.46,162.21,2129915
67,2020-07-02,158.2,157.66,160.24,159.27,1798310
68,2020-07-01,156.99,155.24,157.82,157.03,2367472
69,2020-06-30,152.46,151.93,157.26,156.74,2746699
70,2020-06-29,153.64,151.72,153.85,152.8,2574708
71,2020-06-26,152.57,150.02,153.14,152.2,3889502
72,2020-06-25,151.97,149.44,152.86,152.59,2236324
73,2020-06-24,154.79,150.46,154.93,151.98,2285428
74,2020-06-23,156.34,154.84,156.89,155.64,1452698
75,2020-06-22,153.86,153.13,155.31,154.98,1884100
76,2020-06-19,157.94,153.3,158.43,153.3,6230846
77,2020-06-18,155.78,154.96,157.02,156.01,2138292
78,2020-06-17,156.01,155.77,157.47,156.3,2377463
79,2020-06-16,155.41,153.08,156.4,155.03,3357694
80,2020-06-15,147.58,147.27,153.05,152.06,3152136
81,2020-06-12,148.69,146.48,151.74,149.25,3714221
82,2020-06-11,152.43,145.82,152.79,146.17,3719353
83,2020-06-10,150.89,150.89,154.69,153.07,2889398
84,2020-06-09,152.79,149.97,153.53,150.2,2684006
85,2020-06-08,152.01,151.55,153.55,152.03,3180333
86,2020-06-05,150.74,149.46,154.32,153.55,3423035
87,2020-06-04,149.8,148.95,151.26,149.62,2932874
88,2020-06-03,148.83,147.33,150.37,150.37,4585522
89,2020-06-02,146.89,145.64,147.99,147.99,3338531
90,2020-06-01,146.91,145.75,147.44,146.59,1705959
91,2020-05-29,146.19,144.61,148.08,147.68,6011840
92,2020-05-28,143.85,143.6,147.29,145.34,3484186
93,2020-05-27,139.52,137.93,142.52,142.52,3509332
94,2020-05-26,143.79,139.9,144.03,140.57,3494536
95,2020-05-22,139.84,138.74,140.65,140.28,1673529
96,2020-05-21,140.2,138.57,140.6,139.75,2570848
97,2020-05-20,142.52,140.83,142.89,140.93,2380590
98,2020-05-19,143.53,140.78,144.54,141.04,2836049
99,2020-05-18,146.51,143.54,147.91,143.81,3876621
100,2020-05-15,141.43,141.3,145.32,145.24,6301955
101,2020-05-14,140.15,139.69,143.42,143.3,2922287
102,2020-05-13,141.83,139.27,144.38,141.73,4644971
103,2020-05-12,143.88,142.06,145.28,142.06,3639372
104,2020-05-11,141.65,141.08,144.03,143.34,7123959
105,2020-05-08,145.42,142.8,146.03,143.09,10505628
106,2020-05-07,140.68,139.41,146.31,144.91,8319039
107,2020-05-06,145.88,145.14,148.1,145.35,2461097
108,2020-05-05,144.38,143.81,147.28,145.77,1693336
109,2020-05-04,142.82,141.03,142.91,142.82,1865516
110,2020-05-01,143.91,141.6,144.16,142.51,2397562
111,2020-04-30,145.28,144.26,147.19,144.89,4000294
112,2020-04-29,144.71,144.31,147.67,146.23,3028859
113,2020-04-28,150.53,144.98,151.26,146.55,3459589
114,2020-04-27,147.59,147.34,150.81,150.25,3634920
115,2020-04-24,143.23,143.13,146.86,146.32,4481713
116,2020-04-23,143.02,142.07,145.35,142.4,5778905
117,2020-04-22,138.35,137.66,142.57,142.05,4401510
118,2020-04-21,136.1,134.17,137.24,136.28,3420525
119,2020-04-20,138.26,136.87,139.46,138.13,3018306
120,2020-04-17,139.38,136.78,140.05,138.75,4022248
121,2020-04-16,136.67,136.27,139.05,137.28,4820466
122,2020-04-15,133.19,132.65,135.98,135.41,4173076
123,2020-04-14,132.64,130.3,135.58,134.86,3848512
124,2020-04-13,127.64,126.76,129.82,129.53,3024798
125,2020-04-09,128.12,127.74,130.14,129.18,3695083
126,2020-04-08,125.72,122.39,129.3,128.64,3701728
127,2020-04-07,128.78,122.49,129.41,122.59,3892816
128,2020-10-05,190.17,190.17,193.79,193.55,1402143
129,2020-10-02,188.1,187.41,190.78,188.36,1616775
130,2020-10-01,192.36,189.49,193.84,190.28,2349962
131,2020-09-30,187.7,187.15,192.02,190.87,3706266
132,2020-09-29,186.14,185.62,188.13,187.04,1945027
133,2020-09-28,184.73,184.19,187.32,185.96,2342550
134,2020-09-25,179.44,178.56,183.95,183.63,2596468
135,2020-09-24,182.42,179.28,183.05,180.53,2695621
136,2020-09-23,184.24,181.85,185.01,181.89,2008918
137,2020-09-22,181.97,180.73,184.01,183.62,1842131
138,2020-09-21,181.26,178.66,182.45,182.43,1811933
139,2020-09-18,183.99,181.45,184.88,182.87,4363674
140,2020-09-17,181.88,180.83,183.72,183.62,2217124
141,2020-09-16,184.85,183.38,186.4,183.53,2057283
142,2020-09-15,184.93,184.21,185.89,184.98,1795470
143,2020-09-14,183.04,182.44,185.86,184.31,1941461
144,2020-09-11,181.14,180.77,182.84,181.6,2132768
145,2020-09-10,179.94,179.8,182.9,180.02,2725682
146,2020-09-09,175.39,175.14,180.38,179.0,2984641
147,2020-09-08,174.21,171.16,174.75,173.87,3010447
148,2020-09-04,178.17,170.64,178.22,174.25,4196870
149,2020-09-03,185.69,176.66,186.11,178.09,2672519
