,date,open,low,high,close,volume
0,2020-01-06,119.47,118.05,119.65,118.86,1151042
1,2020-01-03,117.23,117.08,120.18,119.94,869400
2,2020-01-02,120.01,117.46,120.36,118.0,1072059
3,2020-04-06,141.15,138.96,142.4,139.5,2425873
4,2020-04-03,133.96,132.19,137.57,136.49,2819803
5,2020-04-02,132.3,131.06,136.28,135.01,2551528
6,2020-04-01,132.85,127.12,135.16,134.48,2542194
7,2020-03-31,139.17,130.02,139.53,138.91,3774731
8,2020-03-30,134.58,134.31,140.98,139.81,3774600
9,2020-03-27,130.33,129.64,135.94,132.85,3703023
10,2020-03-26,121.81,121.21,134.86,134.13,3885133
11,2020-03-25,116.98,116.98,128.99,121.43,3729826
12,2020-03-24,111.55,107.63,118.21,116.72,4666500
13,2020-03-23,120.48,105.0,120.48,107.9,3915400
14,2020-03-20,125.95,119.01,129.63,121.2,4732000
15,2020-03-19,137.2,121.39,137.35,125.27,4429300
16,2020-03-18,131.81,128.33,139.67,137.34,7986656
17,2020-03-17,131.68,128.94,139.75,138.24,8061000
18,2020-03-16,132.42,127.51,139.62,128.31,6914191
19,2020-03-13,133.37,127.63,143.61,143.34,6545900
20,2020-03-12,127.99,124.62,130.72,128.37,9406200
21,2020-03-11,131.0,129.09,138.2,137.0,34695208
22,2020-03-10,124.36,123.41,135.71,134.45,9935000
23,2020-03-09,120.49,119.0,123.96,120.67,2708425
24,2020-03-06,126.22,124.06,129.13,128.24,3622100
25,2020-03-05,132.62,128.05,134.31,129.87,2408700
26,2020-03-04,131.69,130.55,135.03,134.98,2950400
27,2020-03-03,130.73,127.16,133.22,129.59,4144400
28,2020-03-02,120.9,120.61,130.77,130.49,6312713
29,2020-02-28,121.13,115.4,121.13,120.11,5045765
30,2020-02-27,129.22,122.98,129.36,123.19,2844949
31,2020-02-26,133.5,130.32,133.95,130.38,2665431
32,2020-02-25,136.38,132.92,137.18,133.54,5027139
33,2020-02-24,136.98,134.67,137.23,135.27,3314031
34,2020-02-21,136.53,136.03,138.46,138.13,3346800
35,2020-02-20,133.38,132.88,136.36,136.3,3939700
36,2020-02-19,133.04,132.05,133.73,132.41,2250542
37,2020-02-18,131.54,131.17,133.23,133.2,3167830
38,2020-02-14,125.91,125.2,131.83,131.5,3785900
39,2020-02-13,126.49,126.43,127.7,126.53,1610139
40,2020-02-12,125.36,125.29,127.89,127.05,1829700
41,2020-02-11,126.44,125.31,127.64,125.52,1869917
42,2020-02-10,123.79,123.1,126.11,126.08,1854212
43,2020-02-07,124.19,122.85,124.29,123.28,922840
44,2020-02-06,123.95,123.27,124.34,124.02,1127825
45,2020-02-05,125.12,123.46,125.15,123.86,1748316
46,2020-02-04,123.64,123.33,125.48,124.99,1222500
47,2020-02-03,123.37,122.72,124.51,123.14,1396000
48,2020-01-31,125.61,122.4,126.14,122.99,1923082
49,2020-01-30,127.21,125.52,128.3,125.74,1594700
50,2020-01-29,130.22,127.5,130.44,127.63,1895939
51,2020-01-28,129.13,129.13,130.31,129.82,1678130
52,2020-01-27,127.52,127.52,129.47,129.02,1527000
53,2020-01-24,127.44,126.97,129.16,128.26,1916343
54,2020-01-23,126.12,126.05,127.52,127.11,1258900
55,2020-01-22,126.1,125.81,127.17,126.28,1648000
56,2020-01-21,124.43,123.8,125.81,125.73,1286419
57,2020-01-17,123.82,123.15,124.78,124.44,1355000
58,2020-01-16,122.85,122.1,123.99,123.67,2232101
59,2020-01-15,120.96,120.62,121.92,120.99,1443700
60,2020-01-14,121.97,119.98,122.7,120.75,2408226
61,2020-01-13,120.61,119.76,122.2,121.97,2072100
