,date,open,low,high,close,volume
0,2020-01-06,91.59,90.8801,93.06,93.03,3431928
1,2020-01-03,93.01,92.5,93.58,93.03,2103443
2,2020-01-02,94.69,93.3,94.69,93.78,2157095
3,2020-04-06,72.4,71.3066,76.41,76.28,3555734
4,2020-04-03,70.52,68.43,71.39,70.24,2416755
5,2020-04-02,72.12,68.81,72.94,70.46,4696718
6,2020-04-01,71.33,70.58,75.0,72.94,4847000
7,2020-03-31,76.87,72.76,77.63,73.47,5923906
8,2020-03-30,77.0,77.0,80.56,79.85,2910513
9,2020-03-27,76.58,75.23,78.79,77.05,2863585
10,2020-03-26,76.77,76.06,79.54,78.14,3507770
11,2020-03-25,79.83,76.13,82.8,76.37,3022471
12,2020-03-24,82.2,77.03,82.99,79.66,3509263
13,2020-03-23,76.71,73.19,83.76,76.37,4496210
14,2020-03-20,72.078,71.32,78.77,75.97,5334657
15,2020-03-19,65.63,64.26,77.64,70.87,4218428
16,2020-03-18,73.09,60.2,77.342,65.57,4355619
17,2020-03-17,68.55,68.0,77.98,76.45,5021610
18,2020-03-16,68.57,66.85,74.91,67.02,5182719
19,2020-03-13,73.23,69.485,74.85,74.7,5591647
20,2020-03-12,80.12,70.1,81.9,70.35,6504178
21,2020-03-11,86.32,83.06,87.79,83.67,3447296
22,2020-03-10,85.08,84.32,88.95,88.06,4897218
23,2020-03-09,75.44,75.1201,84.66,83.51,5052676
24,2020-03-06,76.0,75.56,80.54,80.24,3880012
25,2020-03-05,78.63,77.51,79.73,77.99,4237254
26,2020-03-04,81.22,78.07,82.49,78.91,7807304
27,2020-03-03,84.1,80.71,84.75,81.82,3248608
28,2020-03-02,83.23,80.91,84.71,84.56,3936858
29,2020-02-28,83.37,80.69,83.74,83.03,4580498
30,2020-02-27,86.76,84.81,88.19,85.3,3271132
31,2020-02-26,89.45,87.66,89.87,87.75,2372200
32,2020-02-25,91.62,88.51,92.36,88.67,2739614
33,2020-02-24,92.34,90.095,92.72,91.04,2805325
34,2020-02-21,92.71,92.4,94.08,93.89,2279182
35,2020-02-20,91.91,91.7959,93.61,93.22,1979469
36,2020-02-19,91.11,90.52,92.55,91.99,2154874
37,2020-02-18,88.9,88.9,91.17,91.08,2078829
38,2020-02-14,88.89,88.01,88.95,88.68,1690303
39,2020-02-13,89.21,88.04,89.46,89.27,1200367
40,2020-02-12,88.49,88.25,89.63,89.52,1370609
41,2020-02-11,87.3,87.3,88.71,88.19,1708171
42,2020-02-10,87.18,86.77,87.4183,87.18,1201925
43,2020-02-07,87.89,86.66,87.89,87.14,1286510
44,2020-02-06,88.98,87.87,88.98,87.94,1815663
45,2020-02-05,88.84,88.13,89.08,88.71,1314958
46,2020-02-04,88.25,87.86,89.54,88.31,1588072
47,2020-02-03,87.56,87.14,88.25,87.51,1906023
48,2020-01-31,87.42,86.23,87.55,87.07,2704686
49,2020-01-30,85.7,85.37,87.75,87.61,2497032
50,2020-01-29,87.13,86.04,87.4,86.11,2028715
51,2020-01-28,88.52,86.64,88.91,86.76,3821484
52,2020-01-27,86.73,86.19,88.88,88.4,2805527
53,2020-01-24,88.0,87.34,88.65,87.71,4061341
54,2020-01-23,89.2,87.91,89.55,87.94,3679702
55,2020-01-22,89.96,89.69,90.75,89.87,3153779
56,2020-01-21,91.24,89.45,91.55,89.5,9623985
57,2020-01-17,91.0,90.87,91.73,91.55,2447311
58,2020-01-16,91.17,90.83,91.92,91.08,2142335
59,2020-01-15,90.04,89.86,90.92,90.75,3945175
60,2020-01-14,89.83,88.62,90.73,90.57,4549207
61,2020-01-13,90.76,90.46,91.52,90.77,3509535
62,2020-01-10,91.36,90.64,91.98,91.35,2682390
63,2020-01-09,89.27,89.12,91.16,91.06,4132667
64,2020-01-08,91.95,89.79,91.95,89.79,5915431
65,2020-01-07,92.61,91.77,93.39,91.93,2975340
66,2020-07-06,94.98,89.27,95.24,89.78,3456772
67,2020-07-02,93.76,92.9,94.34,93.61,2606547
68,2020-07-01,92.18,92.04,93.84,93.39,2399000
69,2020-06-30,92.82,90.65,93.53,92.68,3582277
70,2020-06-29,92.93,91.41,94.81,93.67,1880192
71,2020-06-26,93.48,92.11,96.2,92.62,4310619
72,2020-06-25,90.0,88.7025,93.23,93.11,3134867
73,2020-06-24,89.38,87.58,90.33,90.1,2738265
74,2020-06-23,90.76,89.155,90.95,89.75,1797319
75,2020-06-22,88.09,87.88,90.36,90.29,1569868
76,2020-06-19,91.125,88.5,91.94,88.8,2866831
77,2020-06-18,88.91,88.6,90.93,90.69,2603322
78,2020-06-17,91.57,88.98,91.82,89.085,1849086
79,2020-06-16,91.0,89.47,91.88,91.13,2352760
80,2020-06-15,86.01,85.51,89.75,89.11,2414127
81,2020-06-12,89.85,86.13,90.25,87.77,2800081
82,2020-06-11,90.47,88.85,90.94,89.1,2505664
83,2020-06-10,92.66,91.04,93.0,91.47,2687771
84,2020-06-09,93.74,92.265,93.96,92.58,2432557
85,2020-06-08,92.73,91.81,94.05,93.73,3192689
86,2020-06-05,94.8,92.34,95.25,92.9,3719781
87,2020-06-04,94.26,92.24,95.96,93.26,2674844
88,2020-06-03,97.73,94.54,98.08,94.57,2375588
89,2020-06-02,96.75,96.75,99.61,96.98,3926426
90,2020-06-01,97.41,95.58,98.0,96.25,3060765
