,date,open,low,high,close,volume
0,2020-01-06,114.7,114.51,115.85,115.79,754659
1,2020-01-03,115.12,114.63,115.92,115.78,587400
2,2020-01-02,116.15,115.61,116.87,116.87,937500
3,2020-04-06,81.75,81.42,85.7,84.73,1351500
4,2020-04-03,79.95,76.83,81.23,77.36,1206720
5,2020-04-02,79.69,78.01,82.24,80.6,1407800
6,2020-04-01,79.57,77.08,80.52,79.98,1218907
7,2020-03-31,84.49,83.04,88.08,83.94,2057620
8,2020-03-30,81.25,81.01,86.12,85.64,1240800
9,2020-03-27,84.66,78.58,84.66,81.95,1123300
10,2020-03-26,82.36,78.28,84.61,84.61,1427200
11,2020-03-25,75.43,74.85,84.83,80.59,2582597
12,2020-03-24,69.55,68.83,74.83,74.74,1849488
13,2020-03-23,65.74,62.95,67.52,65.37,1788891
14,2020-03-20,71.79,65.9,75.23,66.13,2334049
15,2020-03-19,69.01,66.26,73.59,70.8,1329700
16,2020-03-18,75.56,67.36,77.08,69.86,1710000
17,2020-03-17,77.78,73.88,82.36,81.13,1866511
18,2020-03-16,80.0,72.15,80.81,75.95,2415538
19,2020-03-13,90.91,84.82,91.0,90.75,1438549
20,2020-03-12,88.87,84.38,91.28,85.58,2255293
21,2020-03-11,97.3,94.76,99.23,95.55,1491777
22,2020-03-10,96.88,94.16,100.56,100.53,1166300
23,2020-03-09,93.91,92.26,95.31,93.75,2094900
24,2020-03-06,102.24,99.41,104.73,101.49,1806015
25,2020-03-05,107.07,105.14,109.36,105.78,1056700
26,2020-03-04,107.53,106.44,111.0,110.7,936719
27,2020-03-03,107.43,104.53,110.9,105.72,1231200
28,2020-03-02,103.38,102.08,107.77,107.4,1418200
29,2020-02-28,101.44,99.6,103.34,102.74,1877500
30,2020-02-27,106.17,105.03,109.96,105.24,1439919
31,2020-02-26,111.17,108.26,111.79,108.3,1468400
32,2020-02-25,115.45,109.95,115.45,110.06,1234700
33,2020-02-24,115.55,114.2,116.62,114.95,820431
34,2020-02-21,118.24,117.71,119.51,119.44,661931
35,2020-02-20,116.92,116.33,119.5,119.02,684246
36,2020-02-19,120.16,117.15,120.26,117.25,1021307
37,2020-02-18,119.17,118.92,120.26,119.92,691600
38,2020-02-14,119.71,118.71,120.12,119.86,643343
39,2020-02-13,119.0,118.36,119.88,119.56,581740
40,2020-02-12,119.85,118.68,120.07,119.85,544200
41,2020-02-11,119.0,118.45,119.86,118.99,818500
42,2020-02-10,116.94,116.81,118.4,118.22,689000
43,2020-02-07,117.34,116.91,118.27,117.31,1050512
44,2020-02-06,119.45,117.81,119.47,118.23,747913
45,2020-02-05,117.84,117.53,119.29,119.21,826040
46,2020-02-04,115.29,115.29,117.65,116.46,1002700
47,2020-02-03,114.61,113.32,115.7,113.68,1516200
48,2020-01-31,117.93,113.45,118.15,113.85,2545100
49,2020-01-30,116.69,116.5,120.2,118.92,1212824
50,2020-01-29,117.03,116.23,117.42,116.38,980203
