,date,open,low,high,close,volume
0,2020-01-06,52.32,52.0,52.88,52.21,4297095
1,2020-01-03,53.11,52.41,53.6,52.42,5004338
2,2020-01-02,55.23,53.64,55.54,53.75,5145916
3,2020-04-06,29.53,29.5,30.98,30.54,8021118
4,2020-04-03,27.78,27.42,28.57,27.97,8005127
5,2020-04-02,27.11,26.93,29.84,28.03,10680337
6,2020-04-01,27.84,26.94,28.27,27.04,10339937
7,2020-03-31,28.55,28.45,30.08,29.24,7603278
8,2020-03-30,28.31,27.81,29.39,28.65,6817047
9,2020-03-27,28.0,26.92,29.26,28.56,9101424
10,2020-03-26,30.28,28.95,31.3,29.68,14302174
11,2020-03-25,29.18,28.6,32.42,30.38,10539249
12,2020-03-24,28.66,26.9,29.96,28.47,12333648
13,2020-03-23,27.14,26.01,28.43,26.58,11703117
14,2020-03-20,28.59,26.59,29.69,27.44,12649118
15,2020-03-19,26.28,25.93,31.35,28.12,13893432
16,2020-03-18,24.84,24.51,28.29,26.44,16955900
17,2020-03-17,25.67,22.74,27.6,26.6,19873300
18,2020-03-16,23.1,21.95,25.43,22.0,12345400
19,2020-03-13,27.93,22.58,28.01,25.69,17350826
20,2020-03-12,25.45,22.39,26.39,23.67,18163300
21,2020-03-11,30.19,27.85,30.33,27.99,12459432
22,2020-03-10,32.51,29.32,33.33,31.4,12975438
23,2020-03-09,34.75,30.43,34.94,30.53,15081527
24,2020-03-06,38.72,38.31,39.69,38.97,6928400
25,2020-03-05,40.03,39.66,40.63,40.1,5447400
26,2020-03-04,41.45,40.21,41.97,41.91,4967253
27,2020-03-03,41.35,39.74,42.74,40.56,6765300
28,2020-03-02,41.05,39.78,41.42,41.42,7706700
29,2020-02-28,38.12,38.05,40.49,40.41,10281591
30,2020-02-27,41.33,39.5,41.46,39.55,10009300
31,2020-02-26,44.45,43.02,44.88,43.05,6472198
32,2020-02-25,46.5,43.58,46.54,43.95,5529300
33,2020-02-24,46.61,45.8,47.04,46.24,5075900
34,2020-02-21,48.58,48.08,48.77,48.3,3972853
35,2020-02-20,47.52,47.44,48.81,48.76,4154273
36,2020-02-19,47.82,47.41,48.29,47.56,5644900
37,2020-02-18,48.19,47.23,48.52,47.74,3594866
38,2020-02-14,48.51,48.38,48.94,48.63,3207000
39,2020-02-13,48.9,48.02,48.99,48.3,3302628
40,2020-02-12,49.69,48.99,50.37,49.38,2964200
41,2020-02-11,48.54,48.5,50.01,48.79,3705400
42,2020-02-10,47.8,47.8,48.72,48.19,2488501
43,2020-02-07,48.54,47.45,48.54,48.03,3802288
44,2020-02-06,49.61,48.56,49.66,49.2,5985231
45,2020-02-05,48.88,48.52,49.74,49.61,5403247
46,2020-02-04,47.65,47.44,48.38,48.05,5287027
47,2020-02-03,46.31,45.73,46.97,46.74,6366290
48,2020-01-31,47.7,45.92,47.87,46.07,7532256
49,2020-01-30,48.31,47.66,48.98,48.47,5644923
50,2020-01-29,48.98,48.6,49.95,49.67,6828078
51,2020-01-28,47.4,47.02,47.72,47.16,5813835
52,2020-01-27,47.31,46.64,47.58,47.18,4827182
53,2020-01-24,49.88,48.04,50.27,48.49,5919607
54,2020-01-23,50.22,49.15,50.75,50.25,5797697
55,2020-01-22,52.73,50.68,52.8,50.87,5149600
56,2020-01-21,52.98,52.2,53.15,52.6,4156004
57,2020-01-17,52.53,52.43,53.36,53.34,3897500
58,2020-01-16,52.58,52.17,52.87,52.48,3765886
59,2020-01-15,52.19,51.7,52.65,52.27,2235782
60,2020-01-14,52.19,51.95,52.97,52.24,3689824
61,2020-01-13,51.5,51.47,52.4,52.35,2665522
62,2020-01-10,52.86,51.4,52.87,51.5,3277354
63,2020-01-09,52.75,51.81,53.07,52.19,2668211
64,2020-01-08,52.41,51.92,53.17,52.73,3629805
65,2020-01-07,52.29,51.99,53.06,52.19,5126211
66,2020-07-06,42.63,41.56,42.78,42.45,4679000
67,2020-07-02,41.66,40.91,42.25,41.59,4017525
68,2020-07-01,40.75,40.33,41.3,40.75,4023867
69,2020-06-30,40.59,39.76,40.95,40.76,4835456
70,2020-06-29,40.36,40.19,41.2,40.98,7756715
71,2020-06-26,39.56,38.73,40.0,39.8,8333819
72,2020-06-25,38.0,37.68,40.03,39.98,5986900
73,2020-06-24,40.6,38.32,40.72,38.45,7707228
74,2020-06-23,42.48,41.33,42.48,41.35,3603900
75,2020-06-22,41.46,40.67,42.13,41.74,3316008
76,2020-06-19,42.63,41.47,43.0,41.65,7494413
77,2020-06-18,40.65,40.38,41.99,41.58,4106800
78,2020-06-17,42.7,41.03,42.8,41.17,3525111
79,2020-06-16,44.16,41.44,44.5,42.25,5595112
80,2020-06-15,39.48,39.29,42.45,41.98,5667288
81,2020-06-12,41.82,39.99,41.92,41.23,5034939
82,2020-06-11,41.23,38.95,42.04,39.26,9225121
83,2020-06-10,44.39,43.4,44.5,43.58,4267700
84,2020-06-09,44.47,43.92,44.82,44.41,5535400
85,2020-06-08,44.08,44.08,45.93,45.9,5727335
86,2020-06-05,44.71,43.84,45.73,43.97,7656600
87,2020-06-04,41.5,41.32,42.76,42.71,3901500
88,2020-06-03,41.49,41.46,42.3,41.63,5160633
89,2020-06-02,39.2,39.09,41.23,40.6,6083430
90,2020-06-01,38.61,38.18,39.01,38.61,3014417
91,2020-05-29,38.14,37.72,38.99,38.6,5254710
92,2020-05-28,39.57,38.35,39.69,38.71,5270538
93,2020-05-27,39.95,39.03,40.67,39.82,6895200
94,2020-05-26,38.36,37.92,38.95,38.79,6188630
95,2020-05-22,35.68,35.37,36.18,36.12,3040734
96,2020-05-21,36.0,35.66,36.76,35.82,3941800
97,2020-05-20,36.34,35.76,37.0,36.18,5656200
