,date,open,low,high,close,volume
0,2020-01-06,294.0,291.78,294.38,293.95,525400
1,2020-01-03,291.72,290.78,295.26,294.67,490800
2,2020-01-02,293.79,292.13,295.1,293.4,500000
3,2020-04-06,340.0,330.43,340.84,338.52,805300
4,2020-04-03,333.0,325.1,338.36,328.23,571900
5,2020-04-02,330.22,321.5,341.57,333.45,772300
6,2020-04-01,312.01,310.34,337.83,333.77,1200100
7,2020-03-31,325.0,321.0,330.84,324.07,2097000
8,2020-03-30,338.65,333.51,353.42,346.75,954400
9,2020-03-27,328.83,326.06,341.99,338.74,646200
10,2020-03-26,323.5,317.82,342.0,338.51,870600
11,2020-03-25,345.48,320.81,349.68,321.45,963100
12,2020-03-24,341.12,333.16,349.0,343.56,881100
13,2020-03-23,310.91,294.21,336.8,323.87,1340500
14,2020-03-20,326.91,298.14,344.2,299.95,1802800
15,2020-03-19,292.0,289.34,337.22,323.14,1423000
16,2020-03-18,296.54,275.22,303.87,290.0,1098800
17,2020-03-17,291.64,282.03,314.96,298.74,1183400
18,2020-03-16,297.43,283.6,311.53,286.32,1089100
19,2020-03-13,328.39,297.32,329.08,316.63,1208600
20,2020-03-12,308.02,300.0,329.62,317.11,1139300
21,2020-03-11,338.3,332.03,344.72,332.66,889500
22,2020-03-10,337.79,328.5,347.32,343.95,857100
23,2020-03-09,321.56,314.0,340.18,336.67,1267600
24,2020-03-06,325.36,320.75,337.23,336.41,853400
25,2020-03-05,338.18,329.16,340.59,333.03,828400
26,2020-03-04,341.95,334.23,345.86,341.89,740900
27,2020-03-03,349.48,336.19,350.0,339.47,846700
28,2020-03-02,340.22,333.79,348.52,347.52,863600
29,2020-02-28,341.1,333.91,345.72,339.46,2077600
30,2020-02-27,361.05,347.73,361.05,347.86,1090800
31,2020-02-26,371.87,366.38,377.33,366.67,1107200
32,2020-02-25,363.71,363.71,379.58,368.66,2437000
33,2020-02-24,355.51,354.63,366.89,363.01,1221900
34,2020-02-21,366.01,362.97,374.0,371.96,1645000
35,2020-02-20,362.03,356.96,381.86,373.16,5009700
36,2020-02-19,297.99,295.39,301.77,297.1,1176000
37,2020-02-18,293.24,291.87,297.21,295.78,873800
38,2020-02-14,285.97,284.01,293.15,291.6,780600
39,2020-02-13,279.37,279.37,287.21,286.03,520700
40,2020-02-12,275.52,274.99,282.97,281.03,891300
41,2020-02-11,275.0,273.59,278.0,275.75,752400
42,2020-02-10,275.52,273.6,276.95,274.85,684800
43,2020-02-07,284.46,274.32,284.46,275.51,1368200
44,2020-02-06,278.37,275.35,280.71,279.41,796200
45,2020-02-05,275.0,274.16,278.99,278.01,1080600
46,2020-02-04,272.65,271.65,274.54,273.4,1057000
47,2020-02-03,282.51,270.08,282.95,270.75,926300
48,2020-01-31,282.95,276.86,282.95,281.75,738300
49,2020-01-30,284.02,280.02,284.95,282.4,645600
50,2020-01-29,285.1,282.07,286.97,285.47,361500
51,2020-01-28,283.07,283.07,287.12,284.18,328100
52,2020-01-27,282.08,281.22,287.2,282.89,756300
53,2020-01-24,289.25,280.66,289.25,285.1,479100
54,2020-01-23,285.49,284.5,289.01,288.02,518600
55,2020-01-22,286.53,285.61,288.82,285.91,456300
56,2020-01-21,286.46,282.34,286.66,285.11,625300
57,2020-01-17,287.36,285.63,288.87,286.47,475900
