,date,open,low,high,close,volume
0,2020-01-06,112.12,111.63,113.15,113.12,1595900
1,2020-01-03,111.56,110.88,112.52,112.38,1371309
2,2020-01-02,109.8,109.39,112.26,112.26,2745683
3,2020-04-06,49.2,49.0,55.88,52.4,4857917
4,2020-04-03,44.24,43.18,46.39,45.48,3640600
5,2020-04-02,46.28,43.11,49.65,44.31,4708200
6,2020-04-01,50.3,45.0,51.15,46.02,6602900
7,2020-03-31,56.9,53.11,59.0,54.46,6169145
8,2020-03-30,53.04,51.02,57.84,56.85,4062600
9,2020-03-27,56.57,52.5,57.71,54.66,6019800
10,2020-03-26,58.48,56.3,62.44,60.56,4744837
11,2020-03-25,56.66,54.0,67.72,58.45,7946600
12,2020-03-24,45.13,45.0,55.2,53.89,8707600
13,2020-03-23,39.88,37.15,42.24,41.03,7799015
14,2020-03-20,45.5,37.06,45.82,39.0,8879200
15,2020-03-19,33.73,30.5,46.54,42.42,10989700
16,2020-03-18,37.17,26.15,39.07,34.16,8833600
17,2020-03-17,49.9,35.94,50.16,41.93,9908500
18,2020-03-16,58.24,46.17,58.36,49.21,4490209
19,2020-03-13,63.96,59.29,65.4,65.32,4062367
20,2020-03-12,62.97,57.27,67.35,59.17,4079109
21,2020-03-11,79.05,69.7,79.29,70.21,3773145
22,2020-03-10,80.86,76.36,82.69,82.6,2301336
23,2020-03-09,82.07,77.23,82.63,77.43,2492466
24,2020-03-06,84.47,83.79,90.51,88.15,2449396
25,2020-03-05,94.41,87.38,94.41,87.95,2700400
26,2020-03-04,96.55,93.43,96.94,95.06,1789200
27,2020-03-03,98.47,94.46,100.4,95.31,1693861
28,2020-03-02,97.75,95.56,98.87,98.8,2405305
29,2020-02-28,96.52,94.23,100.76,97.5,2593100
30,2020-02-27,104.25,99.3,104.51,99.36,3097020
31,2020-02-26,111.9,107.04,112.51,107.07,2085431
32,2020-02-25,118.44,111.66,118.44,111.75,1481600
33,2020-02-24,119.09,117.34,119.77,117.89,1177500
34,2020-02-21,119.98,119.96,121.39,121.1,1372213
35,2020-02-20,120.4,119.42,121.0,120.68,757400
36,2020-02-19,120.81,119.96,121.22,120.68,905300
37,2020-02-18,121.16,119.01,121.41,120.49,1062835
38,2020-02-14,122.48,121.33,122.63,121.71,737088
39,2020-02-13,122.12,121.27,122.43,122.27,1081100
40,2020-02-12,122.65,122.24,124.01,122.45,1150496
41,2020-02-11,121.89,120.67,122.42,122.23,1565100
42,2020-02-10,120.62,120.24,121.97,121.79,979800
43,2020-02-07,121.5,120.21,121.95,120.71,1555404
44,2020-02-06,117.98,117.86,121.8,121.5,2089356
45,2020-02-05,115.91,115.55,117.63,117.48,1700832
46,2020-02-04,115.89,115.55,116.74,115.56,1511709
47,2020-02-03,117.13,114.88,117.13,114.92,1343600
48,2020-01-31,118.3,115.83,118.49,116.43,1081700
49,2020-01-30,118.47,116.33,118.57,118.21,1336146
50,2020-01-29,117.81,116.44,119.59,119.21,1124700
51,2020-01-28,116.84,116.63,117.87,117.45,1391838
52,2020-01-27,115.9,115.88,116.99,116.38,1133500
53,2020-01-24,117.75,116.56,117.77,117.09,1080200
54,2020-01-23,114.95,114.7,117.72,117.62,1525137
55,2020-01-22,114.82,114.64,115.45,114.98,1423122
56,2020-01-21,113.11,113.01,114.69,114.55,1502803
57,2020-01-17,113.28,112.96,113.75,113.52,1050200
58,2020-01-16,111.12,110.73,113.85,113.01,2681700
59,2020-01-15,112.21,111.25,112.64,111.29,1511300
60,2020-01-14,112.84,111.66,112.84,112.21,2080711
61,2020-01-13,114.55,113.05,114.89,113.25,1517400
62,2020-01-10,114.58,113.56,114.83,114.55,1146100
63,2020-01-09,113.42,112.65,115.5,114.39,1906729
64,2020-01-08,112.25,111.82,114.07,113.85,1675800
65,2020-01-07,112.21,111.73,113.48,112.15,1902025
66,2020-07-06,75.63,72.8,76.0,74.99,3023307
67,2020-07-02,77.97,74.08,78.1,74.78,3669832
68,2020-07-01,75.34,73.86,77.13,76.11,3791345
69,2020-06-30,75.54,74.28,76.28,75.77,2987801
70,2020-06-29,73.95,71.84,77.25,76.63,3881142
71,2020-06-26,74.58,70.33,74.89,72.95,7299913
72,2020-06-25,74.34,72.27,76.43,74.59,6345844
73,2020-06-24,72.99,68.91,73.83,70.81,4127444
74,2020-06-23,73.0,72.39,75.44,75.35,3107601
75,2020-06-22,69.79,68.68,71.42,71.35,3835801
76,2020-06-19,75.51,70.06,75.69,70.27,6750252
77,2020-06-18,73.0,72.06,75.51,74.13,2295840
78,2020-06-17,77.21,73.86,77.21,74.19,2495830
79,2020-06-16,80.41,76.31,81.46,76.71,3047550
80,2020-06-15,72.8,72.21,77.87,76.5,2502247
81,2020-06-12,76.24,71.92,76.66,75.94,3046800
82,2020-06-11,72.0,70.78,75.37,72.93,4509712
83,2020-06-10,80.78,76.72,80.94,77.77,2890626
84,2020-06-09,82.8,79.6,82.8,80.89,3284600
85,2020-06-08,88.82,83.45,88.82,84.74,3906113
86,2020-06-05,91.87,84.96,92.07,85.59,3542100
87,2020-06-04,85.35,83.82,88.22,86.04,3023900
88,2020-06-03,79.27,79.02,86.51,85.93,4058486
89,2020-06-02,78.95,77.14,79.56,78.12,1996100
90,2020-06-01,77.0,76.86,79.35,78.31,2337288
91,2020-05-29,78.07,75.87,79.47,76.86,4405608
92,2020-05-28,82.4,78.75,82.4,79.5,2835730
93,2020-05-27,81.45,78.27,81.7,81.56,3074143
94,2020-05-26,79.71,78.01,80.79,78.47,3052833
95,2020-05-22,77.69,75.14,77.98,75.63,2551973
96,2020-05-21,78.01,75.58,78.24,77.22,2855450
97,2020-05-20,78.0,76.35,78.93,78.32,3942513
98,2020-05-19,75.0,72.62,78.0,75.82,3251646
99,2020-05-18,74.54,74.35,76.56,75.45,2982947
100,2020-05-15,66.0,65.35,70.11,69.61,2528918
101,2020-05-14,63.0,61.21,67.23,66.66,3676919
102,2020-05-13,69.57,63.42,69.65,65.88,3965218
103,2020-05-12,74.56,68.87,75.13,70.32,3604132
104,2020-05-11,73.29,72.49,75.13,73.93,2728858
105,2020-05-08,72.02,71.75,74.88,74.72,2996296
106,2020-05-07,69.24,68.76,72.1,70.53,2304814
107,2020-05-06,69.68,68.2,71.23,68.21,2553300
108,2020-05-05,72.27,68.6,72.63,68.99,2524383
109,2020-05-04,67.14,66.02,70.7,70.62,2043000
110,2020-05-01,70.4,68.08,72.31,69.85,3467700
111,2020-04-30,76.94,72.79,77.54,73.79,3299100
112,2020-04-29,78.12,76.97,81.18,78.21,3908824
113,2020-04-28,76.41,71.22,77.11,74.8,4123075
114,2020-04-27,70.0,68.69,72.61,72.4,3282400
115,2020-04-24,67.69,65.75,69.3,68.82,3508799
116,2020-04-23,69.48,66.3,69.5,66.87,4055100
117,2020-04-22,64.98,64.97,69.46,68.3,6673477
118,2020-04-21,62.6,61.32,63.74,63.32,7066029
119,2020-04-20,61.34,61.01,64.55,61.79,2397700
120,2020-04-17,63.78,60.34,65.43,63.35,4037505
121,2020-04-16,58.69,56.51,59.99,57.98,2995500
122,2020-04-15,57.86,57.07,59.67,58.79,3735842
123,2020-04-14,63.37,60.72,64.7,61.15,3110800
124,2020-04-13,65.0,59.8,65.19,60.89,2192100
125,2020-04-09,67.97,62.13,69.17,64.34,4873158
126,2020-04-08,62.16,59.38,65.35,63.57,4056600
127,2020-04-07,57.64,56.6,63.34,58.96,6526200
128,2020-10-05,105.06,102.43,105.7,103.71,1594505
129,2020-10-02,101.5,101.23,105.65,104.21,2011910
130,2020-10-01,101.8,100.84,104.98,104.88,2053517
131,2020-09-30,100.18,100.18,103.06,100.74,2421000
132,2020-09-29,101.28,98.39,101.75,100.8,2289167
133,2020-09-28,98.67,97.27,101.29,100.58,3217938
134,2020-09-25,98.6,95.7,99.62,97.17,3601876
135,2020-09-24,92.41,92.31,99.6,97.31,7289300
136,2020-09-23,91.27,88.94,91.46,90.0,2949100
137,2020-09-22,88.12,87.45,90.0,89.98,1601300
138,2020-09-21,86.09,85.38,87.85,87.78,2070100
139,2020-09-18,91.1,89.2,93.07,89.97,2035200
140,2020-09-17,92.11,90.55,93.1,91.62,1777122
141,2020-09-16,93.37,92.57,94.75,92.97,1920953
142,2020-09-15,91.25,90.34,94.45,93.38,1815728
143,2020-09-14,88.07,87.86,91.79,91.61,1563800
144,2020-09-11,89.95,84.91,89.96,86.8,1960205
145,2020-09-10,88.57,88.51,91.24,89.95,1727438
146,2020-09-09,89.43,88.06,89.81,88.58,1889221
147,2020-09-08,88.58,88.29,92.08,89.12,2200731
148,2020-09-04,90.05,87.65,91.34,89.28,1469706
149,2020-09-03,90.14,87.84,92.32,89.1,1906125
150,2020-09-02,87.8,87.28,90.61,90.31,1804500
151,2020-09-01,85.93,85.19,87.52,87.14,1922290
152,2020-08-31,89.9,86.67,89.93,86.67,1936207
153,2020-08-28,86.84,86.03,90.44,89.86,2932245
154,2020-08-27,83.88,83.78,87.37,85.76,2312039
155,2020-08-26,82.3,81.99,83.45,82.73,1520313
156,2020-08-25,83.69,81.64,84.29,82.61,1695209
157,2020-08-24,83.63,82.15,84.03,82.88,1629919
158,2020-08-21,81.31,80.98,83.47,82.71,2086224
159,2020-08-20,79.39,78.85,81.36,80.91,1181673
160,2020-08-19,81.26,79.41,82.48,79.87,3075181
161,2020-08-18,83.91,81.71,83.92,82.83,1640102
162,2020-08-17,83.62,82.49,84.21,83.9,1519617
163,2020-08-14,84.21,83.75,85.1,84.07,1654700
164,2020-08-13,84.5,83.84,85.47,84.55,2035259
165,2020-08-12,85.13,83.6,85.2,84.6,2727346
166,2020-08-11,83.43,81.78,85.98,84.14,4441200
167,2020-08-10,79.75,79.75,82.63,81.53,2636617
168,2020-08-07,76.0,75.54,79.08,79.06,2655754
169,2020-08-06,75.13,75.11,77.1,76.49,1714805
170,2020-08-05,77.47,74.91,78.23,75.75,1682179
171,2020-08-04,74.71,74.71,77.41,76.48,1742204
172,2020-08-03,76.22,73.88,76.33,74.49,1871948
173,2020-07-31,78.48,75.77,78.48,75.9,2719120
174,2020-07-30,77.2,76.45,78.91,78.55,1533119
175,2020-07-29,76.69,76.45,79.24,78.84,2110671
176,2020-07-28,74.8,74.22,77.03,75.84,2306100
177,2020-07-27,78.13,75.62,78.21,76.37,2379516
178,2020-07-24,76.09,75.17,78.8,78.64,1783746
179,2020-07-23,76.5,74.8,77.38,76.17,1554000
180,2020-07-22,74.82,74.65,78.11,77.39,1397300
181,2020-07-21,75.29,74.8,76.41,75.5,1863024
182,2020-07-20,76.83,73.04,77.02,74.29,1977342
183,2020-07-17,76.67,75.94,77.63,77.51,2224212
184,2020-07-16,79.15,75.5,79.44,76.69,2373194
185,2020-07-15,75.35,75.1,79.28,79.12,3042700
186,2020-07-14,72.43,71.02,73.09,72.93,1741141
187,2020-07-13,74.31,71.41,76.11,72.9,3578749
188,2020-07-10,70.0,69.96,72.19,72.09,1974611
189,2020-07-09,73.94,69.77,73.94,71.34,2369754
190,2020-07-08,71.0,70.98,73.54,73.12,2008524
191,2020-07-07,74.3,72.07,74.92,72.19,2220500
192,2021-01-04,119.88,114.39,120.28,116.24,1947200
193,2020-12-31,117.22,116.4,120.0,119.12,759849
194,2020-12-30,118.33,117.01,119.8,117.55,729804
195,2020-12-29,117.69,116.62,118.61,118.56,1010800
196,2020-12-28,118.87,116.87,119.0,117.74,938506
197,2020-12-24,119.09,117.31,119.94,117.89,507401
198,2020-12-23,118.86,118.5,121.29,119.58,1316100
199,2020-12-22,116.79,115.43,119.94,119.64,1377342
200,2020-12-21,113.5,112.34,117.88,116.92,1911422
201,2020-12-18,117.9,115.25,120.97,116.16,3851463
202,2020-12-17,118.52,115.35,119.36,118.62,1807913
203,2020-12-16,113.57,113.42,118.2,116.49,1675038
204,2020-12-15,113.86,112.37,114.96,114.43,1440798
205,2020-12-14,114.35,111.15,115.68,112.51,1347299
206,2020-12-11,113.99,110.75,115.46,112.72,1313181
207,2020-12-10,114.05,112.16,115.9,115.44,1437200
208,2020-12-09,112.5,111.64,115.17,114.39,1450690
209,2020-12-08,111.45,110.24,112.42,111.65,1598900
210,2020-12-07,113.48,110.47,113.58,112.12,1445600
211,2020-12-04,113.38,112.82,114.93,114.82,2790800
212,2020-12-03,109.6,108.62,113.81,112.79,3856581
213,2020-12-02,109.46,107.72,110.25,109.63,1766200
214,2020-12-01,109.2,107.68,111.17,110.51,1994100
215,2020-11-30,109.11,105.49,109.25,107.98,2667874
216,2020-11-27,110.14,109.12,111.64,109.95,613717
