,date,open,low,high,close,volume
0,2020-01-06,109.73,109.01,110.13,109.74,1123822
1,2020-01-03,109.27,109.25,110.32,109.77,1367959
2,2020-01-02,110.61,108.7,110.61,109.5,1097278
3,2020-04-06,77.82,77.37,82.64,81.72,1296458
4,2020-04-03,74.72,73.39,76.04,74.13,2133893
5,2020-04-02,74.08,73.81,78.26,75.87,1923180
6,2020-04-01,78.3,72.77,78.3,74.94,2521415
7,2020-03-31,83.5,80.75,84.43,80.81,2254804
8,2020-03-30,83.73,81.68,85.31,84.6,1739521
9,2020-03-27,80.63,77.67,85.55,82.98,2002810
10,2020-03-26,78.01,77.47,84.3,83.37,1889128
11,2020-03-25,73.08,71.47,82.29,78.69,2665809
12,2020-03-24,68.5,67.34,74.17,73.62,2501409
13,2020-03-23,69.22,63.45,72.13,65.35,2577340
14,2020-03-20,73.69,69.08,74.59,70.62,5332186
15,2020-03-19,65.43,62.81,73.39,72.67,3432345
16,2020-03-18,71.34,60.59,71.34,65.52,3137888
17,2020-03-17,72.47,70.84,76.24,75.2,3546323
18,2020-03-16,68.92,68.0,77.95,70.65,3269820
19,2020-03-13,80.98,76.22,82.06,82.06,2631059
20,2020-03-12,81.66,74.41,84.4,77.58,3086255
21,2020-03-11,90.19,87.3,90.75,88.58,3609603
22,2020-03-10,88.92,85.82,92.01,91.9,3849382
23,2020-03-09,93.17,86.52,93.17,87.24,3610997
24,2020-03-06,96.06,94.08,99.23,98.8,3147620
25,2020-03-05,99.81,97.59,100.22,98.92,2353495
26,2020-03-04,97.33,97.04,101.55,101.51,2160396
27,2020-03-03,99.26,95.34,101.67,96.16,3584053
28,2020-03-02,96.21,94.78,99.43,99.24,2958181
29,2020-02-28,98.96,93.76,98.96,95.01,3417472
30,2020-02-27,105.52,100.34,105.83,100.41,2641968
31,2020-02-26,109.22,106.08,109.79,106.13,1762927
32,2020-02-25,113.02,108.98,113.39,109.01,1697781
33,2020-02-24,114.55,112.98,115.43,113.04,2447101
34,2020-02-21,114.01,113.88,115.43,114.83,2016220
35,2020-02-20,114.03,113.09,114.23,113.97,1312823
36,2020-02-19,114.25,114.03,114.8,114.07,1106444
37,2020-02-18,114.47,114.25,115.16,114.57,1491815
38,2020-02-14,113.83,113.47,114.43,114.03,1909818
39,2020-02-13,113.73,113.22,114.11,113.63,2037174
40,2020-02-12,113.85,113.5,114.36,113.8,1008545
41,2020-02-11,113.75,113.4,114.24,114.03,962632
42,2020-02-10,113.78,113.09,113.85,113.55,947006
43,2020-02-07,114.43,113.61,114.7,113.68,999064
44,2020-02-06,114.79,113.95,115.3,114.19,1455791
45,2020-02-05,114.01,113.15,114.7,114.4,1775509
46,2020-02-04,113.7,113.25,114.28,113.25,1652236
47,2020-02-03,113.11,112.91,113.84,113.83,1130975
48,2020-01-31,113.23,112.4,113.66,112.83,1450999
49,2020-01-30,112.29,111.81,113.41,113.29,1714769
50,2020-01-29,112.7,112.26,113.05,112.27,1209935
51,2020-01-28,112.59,112.44,113.66,112.7,955235
52,2020-01-27,113.09,112.07,113.72,112.56,1102507
53,2020-01-24,113.77,112.5,114.28,112.96,1467869
54,2020-01-23,112.81,112.61,114.11,113.93,1313261
55,2020-01-22,114.06,112.81,114.63,112.84,1671089
56,2020-01-21,113.95,113.21,114.39,113.95,1509177
57,2020-01-17,113.16,112.79,113.99,113.87,1193349
58,2020-01-16,112.51,112.38,113.15,113.09,754341
59,2020-01-15,111.22,111.16,112.56,112.3,1067028
60,2020-01-14,110.31,109.6,110.85,110.83,1386783
61,2020-01-13,109.96,109.9,110.7,110.26,1187940
62,2020-01-10,109.76,109.56,110.13,109.71,1427316
63,2020-01-09,109.19,109.19,109.8,109.47,949053
64,2020-01-08,109.58,109.09,109.75,109.32,841615
65,2020-01-07,109.84,108.59,109.84,109.38,864839
66,2020-07-06,94.37,91.85,95.17,92.26,1219995
67,2020-07-02,94.44,92.97,95.01,93.57,984079
68,2020-07-01,91.44,91.17,94.25,93.59,1170178
69,2020-06-30,90.25,89.84,91.88,91.47,2692525
70,2020-06-29,89.34,88.22,90.67,90.67,963655
71,2020-06-26,89.16,87.94,89.93,88.59,2818879
72,2020-06-25,89.17,88.05,89.4,89.27,1364169
73,2020-06-24,90.05,87.5,90.13,89.57,2037494
74,2020-06-23,91.76,90.16,91.88,91.26,2156079
75,2020-06-22,88.1,87.44,91.34,90.83,1540347
76,2020-06-19,93.75,88.06,93.75,88.28,3769753
77,2020-06-18,90.4,90.02,91.7,91.66,902571
78,2020-06-17,92.24,90.59,92.66,91.19,892602
79,2020-06-16,92.92,91.32,94.33,91.87,1217474
80,2020-06-15,87.55,86.95,90.84,90.21,1404462
81,2020-06-12,91.06,87.75,91.42,89.4,1257422
82,2020-06-11,92.5,88.5,93.17,89.34,1709696
83,2020-06-10,97.06,95.5,97.65,96.09,1618970
84,2020-06-09,98.65,96.15,98.65,97.85,1622254
85,2020-06-08,97.99,97.99,100.32,99.9,1433654
86,2020-06-05,98.05,97.62,99.9,97.74,1321821
87,2020-06-04,95.57,93.01,95.69,94.55,1119276
88,2020-06-03,94.92,94.69,96.79,96.18,921418
89,2020-06-02,92.92,92.45,94.42,93.94,1335081
90,2020-06-01,91.53,91.3,93.2,92.25,1076047
91,2020-05-29,90.9,89.69,92.44,91.53,2673989
92,2020-05-28,92.27,91.33,92.51,91.69,1284137
93,2020-05-27,91.83,89.16,92.26,90.62,1462116
94,2020-05-26,89.25,88.79,90.85,89.64,1269542
95,2020-05-22,85.99,85.83,86.94,86.89,944751
96,2020-05-21,87.37,85.78,88.13,85.97,1406453
97,2020-05-20,88.69,87.37,89.22,87.85,1645544
98,2020-05-19,87.24,86.67,88.61,87.52,1650814
99,2020-05-18,86.14,85.63,88.66,87.84,1606719
100,2020-05-15,82.64,80.92,82.88,82.83,3244715
101,2020-05-14,80.58,78.61,83.46,83.38,1764805
102,2020-05-13,83.83,80.83,83.83,81.65,2198726
103,2020-05-12,84.23,83.2,84.82,84.46,1657913
104,2020-05-11,85.56,82.9,85.56,84.0,1230994
105,2020-05-08,85.08,84.79,86.52,86.16,1197337
106,2020-05-07,86.55,83.79,87.59,84.0,1575570
107,2020-05-06,87.19,84.82,87.41,85.52,2034993
108,2020-05-05,86.44,85.94,87.95,87.14,1594523
109,2020-05-04,85.26,83.68,85.88,85.79,1095044
110,2020-05-01,87.02,84.93,87.02,85.66,1237877
111,2020-04-30,90.26,87.72,90.45,88.27,1432551
112,2020-04-29,92.24,90.81,93.64,91.29,1603861
113,2020-04-28,89.99,87.37,90.8,90.46,1777423
114,2020-04-27,88.76,86.89,88.96,87.37,1068320
115,2020-04-24,86.83,85.77,88.09,87.65,1101086
116,2020-04-23,87.17,85.76,88.68,85.94,1271798
117,2020-04-22,86.19,84.8,87.78,87.09,1146386
118,2020-04-21,83.83,83.52,85.32,84.35,1473377
119,2020-04-20,87.81,84.7,88.56,85.73,1279330
120,2020-04-17,88.39,87.02,90.74,90.06,1394611
121,2020-04-16,89.97,86.37,91.35,86.42,1487420
122,2020-04-15,89.54,87.37,89.92,89.17,1420831
123,2020-04-14,93.98,90.85,94.64,92.18,1338724
124,2020-04-13,93.58,91.21,93.86,92.44,1351511
125,2020-04-09,89.29,89.29,96.4,94.66,2861941
126,2020-04-08,83.26,82.64,89.09,88.35,1595021
127,2020-04-07,84.9,82.82,86.35,82.92,1510420
128,2020-10-05,97.41,96.56,98.06,97.43,1043826
129,2020-10-02,95.68,94.9,97.73,97.13,2347904
130,2020-10-01,97.71,95.75,98.38,96.52,1460558
131,2020-09-30,97.92,97.24,98.86,97.88,982908
132,2020-09-29,97.92,96.74,98.41,97.34,986448
133,2020-09-28,98.32,97.3,98.52,97.69,1028532
134,2020-09-25,95.34,95.12,97.81,97.61,841940
135,2020-09-24,95.27,94.16,97.56,96.14,790443
136,2020-09-23,95.66,94.88,95.86,95.21,1365846
137,2020-09-22,94.85,94.65,96.09,95.3,1026117
138,2020-09-21,93.98,93.3,95.33,94.7,1214306
139,2020-09-18,97.69,95.12,98.4,95.32,2350665
140,2020-09-17,100.95,98.57,101.14,99.43,1464182
141,2020-09-16,100.92,100.4,102.8,101.28,3194000
142,2020-09-15,102.62,100.21,103.34,100.88,1672335
143,2020-09-14,101.25,100.98,103.17,102.43,729870
144,2020-09-11,100.56,99.85,101.1,100.77,724182
145,2020-09-10,101.47,100.23,102.04,100.33,844733
146,2020-09-09,101.34,100.93,103.31,101.86,838624
147,2020-09-08,101.44,99.29,101.88,100.47,1294194
148,2020-09-04,101.75,99.81,102.17,101.09,943135
149,2020-09-03,102.96,100.5,103.72,101.35,1120029
150,2020-09-02,100.22,99.8,103.0,102.49,1259321
151,2020-09-01,100.44,99.5,100.91,100.22,1063674
152,2020-08-31,100.4,100.26,101.32,100.97,1180435
153,2020-08-28,99.9,99.06,100.59,100.28,652614
154,2020-08-27,99.24,98.93,100.25,99.57,993899
155,2020-08-26,98.98,98.01,99.48,98.48,1072667
156,2020-08-25,100.61,98.98,100.61,99.55,662843
157,2020-08-24,98.8,98.34,100.52,100.37,845822
158,2020-08-21,98.62,97.69,98.79,98.55,1386544
159,2020-08-20,98.99,98.0,99.4,98.24,914274
160,2020-08-19,99.76,98.59,99.91,99.57,845188
161,2020-08-18,99.55,98.8,100.12,99.15,958219
162,2020-08-17,100.15,99.34,100.71,99.58,1349881
163,2020-08-14,100.52,99.42,101.3,100.15,543634
164,2020-08-13,100.46,99.85,101.2,100.54,649386
165,2020-08-12,100.59,100.19,101.67,101.09,723093
166,2020-08-11,102.9,99.78,103.35,99.88,881279
167,2020-08-10,101.59,101.29,103.0,102.3,1043759
168,2020-08-07,98.61,98.61,101.65,101.13,1294897
169,2020-08-06,98.15,97.71,99.9,99.5,980544
170,2020-08-05,98.85,98.03,99.11,98.27,1347801
171,2020-08-04,96.72,96.42,98.76,98.39,1203218
172,2020-08-03,98.11,96.72,98.55,96.89,965524
173,2020-07-31,97.41,96.66,98.6,98.38,1213259
174,2020-07-30,97.01,96.49,97.84,97.59,1085961
175,2020-07-29,97.82,96.54,98.23,98.03,1301562
176,2020-07-28,95.41,94.45,99.11,97.53,2073074
177,2020-07-27,97.31,96.38,97.8,97.01,1214679
178,2020-07-24,98.19,97.22,98.72,97.48,1787054
179,2020-07-23,97.18,96.87,97.9,97.8,1562396
180,2020-07-22,94.25,93.53,98.0,97.38,1277164
181,2020-07-21,92.35,92.35,94.73,94.54,1896184
182,2020-07-20,94.6,92.59,94.6,92.92,1220108
183,2020-07-17,93.66,93.66,95.58,94.88,1395607
184,2020-07-16,92.73,92.5,93.59,93.34,1826942
185,2020-07-15,93.78,92.75,94.66,92.91,1420460
186,2020-07-14,92.43,91.56,93.29,92.56,1080785
187,2020-07-13,91.47,91.07,92.78,92.33,1333132
188,2020-07-10,90.45,90.24,91.87,91.47,1061491
189,2020-07-09,91.4,88.66,91.54,90.76,1141785
190,2020-07-08,91.08,90.73,92.3,91.81,1355956
191,2020-07-07,91.0,90.01,91.48,91.12,1631360
192,2021-01-04,103.56,101.17,103.74,101.58,987027
193,2020-12-31,101.87,101.44,103.4,103.3,650448
194,2020-12-30,101.02,101.02,102.14,101.81,519802
195,2020-12-29,101.74,101.19,102.34,101.46,619726
196,2020-12-28,102.65,101.08,102.88,101.45,698330
197,2020-12-24,100.9,100.49,102.04,101.86,415168
198,2020-12-23,101.99,100.86,102.95,100.89,835193
199,2020-12-22,100.64,100.14,101.4,101.18,1087861
200,2020-12-21,102.35,99.43,102.7,100.69,1550664
201,2020-12-18,105.1,102.73,105.29,103.55,3003542
202,2020-12-17,105.82,104.94,106.35,105.12,1029975
