,date,open,low,high,close,volume
0,2020-01-06,90.4,90.3,91.04,90.84,2410300
1,2020-01-03,90.23,90.15,91.07,90.4,2825431
2,2020-01-02,91.28,90.03,91.78,90.34,3921800
3,2020-04-06,78.62,78.41,81.98,81.25,3960149
4,2020-04-03,78.33,75.58,79.34,76.02,2907200
5,2020-04-02,76.43,76.24,79.96,79.39,3665871
6,2020-04-01,77.92,76.36,79.75,77.57,4600766
7,2020-03-31,82.37,80.51,83.96,80.88,5119878
8,2020-03-30,81.35,80.57,83.94,83.46,5301003
9,2020-03-27,78.03,77.95,83.69,80.19,5091493
10,2020-03-26,75.18,75.01,81.93,81.19,6163938
11,2020-03-25,71.19,70.19,78.55,74.71,6573717
12,2020-03-24,67.01,66.13,71.91,71.5,6516900
13,2020-03-23,66.39,62.13,67.93,64.15,7060100
14,2020-03-20,75.85,68.1,76.0,68.4,8975727
15,2020-03-19,79.12,74.0,79.17,75.05,6361730
16,2020-03-18,81.01,77.17,82.98,79.28,6426500
17,2020-03-17,78.58,78.15,86.55,86.0,6712831
18,2020-03-16,79.3,76.0,84.65,76.58,7118877
19,2020-03-13,85.01,80.0,85.86,85.77,6156358
20,2020-03-12,85.51,76.0,86.36,80.48,7684428
21,2020-03-11,92.89,89.79,93.17,90.94,6268792
22,2020-03-10,95.64,91.41,96.62,95.05,6386812
23,2020-03-09,94.5,92.85,96.7,94.58,5616178
24,2020-03-06,97.45,95.58,99.5,99.05,5522600
25,2020-03-05,100.37,99.0,101.49,100.13,4327616
26,2020-03-04,96.69,96.59,101.69,101.65,4284615
27,2020-03-03,96.56,94.81,98.71,95.61,5060544
28,2020-03-02,91.65,91.54,96.94,96.67,6803600
29,2020-02-28,93.3,89.39,93.3,91.7,7910895
30,2020-02-27,98.09,94.96,99.3,94.99,4784000
31,2020-02-26,99.29,98.82,100.49,98.94,3152236
32,2020-02-25,102.51,99.02,102.68,99.27,4093033
33,2020-02-24,102.08,101.72,103.79,102.3,5282981
34,2020-02-21,101.33,101.3,102.99,102.43,3520070
35,2020-02-20,101.17,101.01,101.84,101.43,2711040
36,2020-02-19,102.22,101.37,102.38,101.42,2809143
37,2020-02-18,101.65,101.53,102.44,102.02,6257305
38,2020-02-14,100.16,100.09,101.77,101.28,6300443
39,2020-02-13,97.81,97.56,100.39,100.11,5132660
40,2020-02-12,96.98,96.93,98.24,97.92,4377700
41,2020-02-11,96.37,96.29,97.24,96.99,2993130
42,2020-02-10,96.36,95.71,96.41,96.23,2647857
43,2020-02-07,97.25,96.19,97.29,96.27,2747900
44,2020-02-06,97.01,96.81,97.39,96.93,1611100
45,2020-02-05,96.42,96.3,97.36,97.14,2319341
46,2020-02-04,97.55,96.55,98.02,96.6,2802629
47,2020-02-03,97.63,97.31,97.88,97.67,2666218
48,2020-01-31,97.37,96.97,98.05,97.63,3175413
49,2020-01-30,96.52,96.41,97.55,97.47,3273100
50,2020-01-29,96.35,96.16,97.09,96.75,2335700
51,2020-01-28,96.3,96.03,97.09,96.21,3696500
52,2020-01-27,96.13,95.72,96.66,96.1,2481109
53,2020-01-24,95.93,95.81,96.61,96.28,2218964
54,2020-01-23,95.28,95.22,96.16,96.08,3824900
55,2020-01-22,95.0,94.87,95.6,95.31,3638746
56,2020-01-21,94.0,93.54,94.86,94.79,3429161
57,2020-01-17,93.14,92.98,93.92,93.72,3053500
58,2020-01-16,92.77,92.67,93.42,93.18,3244200
59,2020-01-15,91.54,91.36,92.58,92.49,2357300
60,2020-01-14,91.16,90.5,91.44,91.3,3009800
61,2020-01-13,90.5,90.5,91.55,91.24,2979024
62,2020-01-10,90.88,90.37,91.23,90.44,3225000
63,2020-01-09,90.28,90.08,90.78,90.62,2377200
64,2020-01-08,90.46,89.96,90.87,90.4,2583300
65,2020-01-07,90.89,89.84,90.89,90.27,3983865
66,2020-07-06,80.5,79.12,81.86,79.81,5997800
67,2020-07-02,82.64,81.44,82.92,81.84,2819700
68,2020-07-01,79.97,79.76,82.38,81.93,2835913
69,2020-06-30,80.09,78.93,80.48,79.89,4890020
70,2020-06-29,79.57,78.52,80.25,80.25,2954003
71,2020-06-26,79.35,77.58,79.92,78.93,5321500
72,2020-06-25,80.11,78.79,80.23,79.45,3985231
73,2020-06-24,81.08,79.82,81.34,80.47,3676150
74,2020-06-23,83.24,81.49,83.5,81.85,3771624
75,2020-06-22,82.32,81.31,83.55,82.53,3878885
76,2020-06-19,86.74,82.11,86.93,82.11,8089900
77,2020-06-18,85.66,85.0,86.38,85.77,3480100
78,2020-06-17,87.0,85.48,87.36,86.21,4181840
79,2020-06-16,89.0,86.41,89.48,86.95,3865236
80,2020-06-15,85.04,84.3,87.42,86.96,4501225
81,2020-06-12,88.93,85.73,88.99,86.74,3935784
82,2020-06-11,88.8,86.34,89.05,87.08,4974269
83,2020-06-10,90.41,89.5,90.95,90.19,2721400
84,2020-06-09,91.0,88.93,91.07,90.32,3023664
85,2020-06-08,89.46,89.11,92.2,91.91,2771038
86,2020-06-05,89.4,89.15,91.56,89.49,3353385
87,2020-06-04,88.8,87.48,89.38,88.44,3640896
88,2020-06-03,88.33,88.0,89.65,89.23,2449600
89,2020-06-02,87.82,86.6,88.1,87.67,3446830
90,2020-06-01,85.84,85.23,87.58,87.44,2438896
91,2020-05-29,85.54,84.67,86.37,85.63,4018487
92,2020-05-28,84.85,84.68,86.1,85.83,3957640
93,2020-05-27,84.12,82.69,84.2,83.72,3606650
94,2020-05-26,84.46,82.69,84.67,82.81,3910328
95,2020-05-22,82.19,81.89,83.32,83.23,2760600
96,2020-05-21,83.06,82.01,83.77,82.34,3108000
97,2020-05-20,83.95,83.14,84.09,83.31,2710900
98,2020-05-19,84.38,83.25,84.38,83.29,3020887
99,2020-05-18,82.69,82.58,85.44,84.92,6747855
100,2020-05-15,81.48,80.17,81.79,81.19,5250725
101,2020-05-14,80.0,79.72,82.39,82.3,3649564
102,2020-05-13,81.55,80.62,82.1,81.89,3998300
103,2020-05-12,82.49,81.88,83.66,81.88,3524704
104,2020-05-11,81.45,80.33,82.27,81.66,3924228
105,2020-05-08,81.49,80.5,82.07,81.78,2875207
106,2020-05-07,80.89,80.04,81.45,80.31,3431738
107,2020-05-06,83.18,80.04,83.37,80.07,3581947
108,2020-05-05,82.83,82.81,83.89,83.14,2781019
109,2020-05-04,82.73,81.28,82.95,82.63,2947483
110,2020-05-01,83.86,82.09,83.95,82.64,3036874
111,2020-04-30,86.0,84.18,86.41,84.66,3536809
112,2020-04-29,88.54,86.45,88.75,86.63,2997602
113,2020-04-28,88.12,87.33,89.14,87.63,3135500
114,2020-04-27,86.28,86.17,87.68,86.75,2593100
115,2020-04-24,85.47,83.7,86.17,85.69,3723902
116,2020-04-23,87.48,84.9,88.18,85.12,3298100
117,2020-04-22,86.75,86.48,88.4,87.15,3089909
118,2020-04-21,85.24,84.38,86.45,85.44,3682900
119,2020-04-20,89.06,86.58,89.48,86.65,3144083
120,2020-04-17,89.32,87.57,90.59,90.1,4299100
121,2020-04-16,88.0,87.03,88.59,87.59,2335115
122,2020-04-15,88.5,87.1,89.45,87.54,3694381
123,2020-04-14,89.34,88.21,90.88,90.42,3812903
124,2020-04-13,89.59,86.43,90.03,87.36,3800500
125,2020-04-09,86.5,86.32,93.0,90.31,6538917
126,2020-04-08,80.5,80.03,86.58,85.5,6729729
127,2020-04-07,83.5,80.0,83.69,80.11,3527069
128,2020-10-05,90.98,89.9,92.15,91.74,3038568
129,2020-10-02,89.22,88.69,92.15,91.58,5925200
130,2020-10-01,88.03,87.6,90.36,90.05,6249705
131,2020-09-30,88.0,86.43,89.49,88.56,18804934
132,2020-09-29,83.07,82.04,83.4,82.41,2174775
133,2020-09-28,82.97,82.66,84.08,82.87,2424600
134,2020-09-25,81.28,80.95,82.59,82.47,3854684
135,2020-09-24,81.23,80.41,82.41,81.67,2582328
136,2020-09-23,82.9,81.23,83.13,81.28,2322858
137,2020-09-22,82.41,82.26,84.01,82.69,2703948
138,2020-09-21,82.05,81.17,82.57,82.57,3002015
139,2020-09-18,84.2,82.9,84.74,82.95,5035900
140,2020-09-17,84.25,83.64,84.78,84.6,3355958
141,2020-09-16,85.0,84.57,85.48,84.84,2910381
142,2020-09-15,84.94,83.93,85.87,84.45,2582508
143,2020-09-14,83.58,83.58,84.94,84.38,3438204
144,2020-09-11,82.07,81.75,83.41,83.03,3196940
145,2020-09-10,82.22,81.41,82.73,82.0,3591244
146,2020-09-09,82.42,81.85,83.89,82.59,4411126
147,2020-09-08,81.06,79.38,81.24,80.73,3252171
148,2020-09-04,81.22,79.93,81.82,80.97,2820296
149,2020-09-03,81.82,80.34,82.7,81.14,3135123
150,2020-09-02,79.24,78.98,81.9,81.47,3626200
151,2020-09-01,79.84,78.97,80.18,79.21,3194648
152,2020-08-31,79.7,79.61,81.53,80.34,3569300
153,2020-08-28,79.92,78.95,79.99,79.71,3190794
154,2020-08-27,79.68,79.22,80.37,79.55,2932800
155,2020-08-26,80.42,79.31,80.62,79.55,3367934
156,2020-08-25,81.5,80.43,81.5,80.85,2769330
157,2020-08-24,81.38,80.5,81.66,81.47,2679398
158,2020-08-21,81.2,80.28,81.33,81.0,3911100
159,2020-08-20,81.26,80.56,81.61,81.04,2715265
160,2020-08-19,81.88,81.46,82.19,81.66,2623147
161,2020-08-18,82.57,81.5,82.77,81.66,2607237
162,2020-08-17,82.29,81.66,83.11,82.6,3849505
163,2020-08-14,82.66,81.93,82.9,82.15,2016173
164,2020-08-13,83.03,82.0,83.23,82.74,3219200
165,2020-08-12,84.02,83.83,84.78,84.32,3397739
166,2020-08-11,84.99,83.47,85.09,83.67,4546247
167,2020-08-10,87.19,84.53,87.21,84.76,4323300
168,2020-08-07,83.79,83.68,86.69,86.61,4289517
169,2020-08-06,83.27,82.67,84.39,84.21,3036406
170,2020-08-05,84.72,83.28,84.86,83.51,2947067
171,2020-08-04,83.5,83.34,84.97,84.69,3234500
172,2020-08-03,84.67,83.11,84.75,83.81,2552200
173,2020-07-31,84.05,83.6,84.81,84.74,3292473
174,2020-07-30,84.31,83.49,84.58,84.57,2828635
175,2020-07-29,84.53,83.84,85.05,84.97,2501754
176,2020-07-28,81.25,81.21,84.98,84.6,4851400
177,2020-07-27,82.5,81.09,82.64,81.29,4199019
178,2020-07-24,84.35,82.62,84.9,82.79,2953131
179,2020-07-23,84.06,83.48,84.39,83.99,2373100
180,2020-07-22,82.0,81.52,84.51,84.15,3763312
181,2020-07-21,81.5,81.1,82.79,82.33,3892865
182,2020-07-20,82.05,80.95,82.23,81.1,3271569
183,2020-07-17,81.69,81.46,82.63,82.4,4603142
184,2020-07-16,80.7,80.43,81.34,81.07,2874410
185,2020-07-15,82.48,80.32,82.64,80.43,4501709
186,2020-07-14,81.42,81.39,82.47,81.69,4218200
187,2020-07-13,81.15,80.96,81.97,81.42,2205139
188,2020-07-10,79.79,79.76,81.58,81.32,2545700
189,2020-07-09,81.33,79.11,81.33,79.74,3457440
190,2020-07-08,80.86,80.33,81.95,81.44,3434200
191,2020-07-07,79.2,79.15,81.18,80.82,4129946
192,2021-01-04,91.78,89.2,92.13,89.71,2683898
193,2020-12-31,90.61,90.27,91.64,91.56,1638826
194,2020-12-30,89.92,89.92,91.08,90.56,1838968
195,2020-12-29,90.53,89.68,91.04,89.86,2044628
196,2020-12-28,90.16,89.73,90.66,90.25,1473418
197,2020-12-24,89.22,88.8,89.72,89.67,733507
198,2020-12-23,89.98,89.02,90.75,89.04,1956500
199,2020-12-22,89.09,88.6,89.57,89.53,2831765
200,2020-12-21,89.81,88.18,90.0,89.1,4682259
201,2020-12-18,91.45,90.24,91.6,90.32,7342963
202,2020-12-17,91.31,91.0,91.83,91.52,4309925
203,2020-12-16,92.39,90.6,92.98,90.61,4057900
204,2020-12-15,91.26,90.9,92.84,92.11,4059600
205,2020-12-14,92.38,91.1,94.08,91.13,3684225
206,2020-12-11,91.25,90.9,91.89,91.54,3225125
207,2020-12-10,91.69,90.83,92.07,91.76,3628684
208,2020-12-09,91.49,90.29,91.74,91.39,2998225
209,2020-12-08,91.33,90.4,92.02,91.51,2409347
210,2020-12-07,90.7,90.55,92.31,91.87,2030700
211,2020-12-04,92.2,90.14,92.67,91.15,3172235
212,2020-12-03,93.48,92.1,93.7,92.35,2286100
213,2020-12-02,93.1,91.91,93.91,93.87,2173993
214,2020-12-01,93.56,93.17,94.64,93.26,2947309
215,2020-11-30,94.13,91.94,94.25,92.66,5012313
216,2020-11-27,96.15,94.1,96.15,94.6,1293833
217,2020-11-25,95.95,94.84,96.24,96.15,1959358
218,2020-11-24,94.47,93.9,96.33,96.26,4351042
219,2020-11-23,92.52,92.01,93.43,93.33,3796750
220,2020-11-20,91.7,91.38,92.68,92.58,4213890
221,2020-11-19,91.34,90.01,91.76,91.7,3368600
222,2020-11-18,93.59,91.46,93.96,91.53,2949150
223,2020-11-17,94.3,92.83,95.0,92.92,3178659
224,2020-11-16,96.05,94.47,96.05,95.01,2843021
225,2020-11-13,94.71,94.6,95.36,94.98,1887359
226,2020-11-12,95.5,93.6,95.91,94.25,3119041
227,2020-11-11,97.68,97.04,98.66,97.31,2704500
228,2020-11-10,95.72,94.3,97.27,97.14,3146100
229,2020-11-09,96.81,95.11,98.88,95.4,4148188
230,2020-11-06,94.5,93.34,95.53,93.44,2380519
231,2020-11-05,94.82,93.97,96.96,94.22,2531931
232,2020-11-04,95.07,93.55,96.73,93.55,2883721
233,2020-11-03,94.86,94.43,96.56,95.52,3512406
234,2020-11-02,92.93,92.25,94.2,93.82,2929900
235,2020-10-30,91.66,91.23,93.0,92.11,3304844
236,2020-10-29,90.72,89.62,93.19,92.24,3424927
237,2020-10-28,91.79,90.83,93.09,90.98,3658916
238,2020-10-27,93.32,92.62,93.94,93.06,2275940
239,2020-10-26,91.94,91.47,93.5,93.18,2711800
240,2020-10-23,94.0,90.97,94.37,92.78,4532172
241,2020-10-22,92.59,92.06,93.91,93.89,4162213
242,2020-10-21,91.96,91.56,92.98,92.51,2233330
243,2020-10-20,92.11,91.8,92.8,92.06,2243301
244,2020-10-19,92.12,91.75,92.87,92.07,2284024
245,2020-10-16,92.18,91.73,93.06,92.37,2811200
246,2020-10-15,91.07,90.75,92.82,91.96,2170600
247,2020-10-14,92.84,92.01,93.5,92.67,2420700
248,2020-10-13,92.64,91.3,93.26,92.92,2544541
249,2020-10-12,93.19,92.59,93.85,93.11,3131627
250,2020-10-09,93.14,92.04,93.92,93.3,3686838
251,2020-10-08,91.49,90.9,93.43,93.15,3253300
252,2020-10-07,91.61,90.7,92.13,91.3,2480065
253,2020-10-06,91.72,90.46,92.07,90.77,2993887
254,2021-04-05,96.35,96.17,97.66,96.93,2839828
255,2021-04-01,96.43,95.34,96.53,96.28,2876100
256,2021-03-31,95.91,95.84,96.79,96.53,3480700
257,2021-03-30,97.59,95.56,97.64,96.24,3275100
258,2021-03-29,95.79,95.32,97.92,97.58,4941205
259,2021-03-26,95.33,94.8,95.95,95.83,6036220
260,2021-03-25,94.97,94.4,95.9,95.53,2622948
261,2021-03-24,93.53,93.4,95.13,94.39,3024344
262,2021-03-23,92.99,92.65,94.59,94.02,3852900
263,2021-03-22,92.72,92.1,93.24,93.12,4108120
264,2021-03-19,92.47,91.6,93.35,92.72,11280800
265,2021-03-18,91.82,91.29,92.66,92.33,3471844
266,2021-03-17,92.96,91.48,93.31,91.85,4138400
267,2021-03-16,92.19,91.81,93.38,93.02,3140100
268,2021-03-15,91.88,91.53,92.55,92.33,4261234
269,2021-03-12,91.01,90.69,91.95,91.4,3462300
270,2021-03-11,90.67,90.28,92.3,90.69,3565218
271,2021-03-10,90.95,90.6,91.7,90.79,4227800
272,2021-03-09,90.22,89.79,91.47,90.95,3228468
273,2021-03-08,89.0,88.56,91.23,90.22,3741049
274,2021-03-05,86.75,86.18,89.0,88.53,3788000
275,2021-03-04,87.3,86.01,88.77,86.46,4197300
276,2021-03-03,86.89,85.8,87.46,87.27,2724700
277,2021-03-02,87.06,86.45,87.87,87.24,2427661
