,date,open,low,high,close,volume
0,2020-01-06,74.84,74.825,75.61,75.55,1675697
1,2020-01-03,74.16,74.13,75.33,75.08,949242
2,2020-01-02,75.26,74.61,75.4,75.25,1320509
3,2020-04-06,67.26,67.14,71.58,71.01,1723533
4,2020-04-03,69.36,64.51,69.982,65.52,2441240
5,2020-04-02,71.79,68.76,74.17,70.3,1908523
6,2020-04-01,73.64,70.71,76.825,72.6,1444800
7,2020-03-31,76.57,75.33,77.76,76.06,1720777
8,2020-03-30,74.19,73.68,76.88,76.41,1267471
9,2020-03-27,72.02,70.52,74.36,73.09,931803
10,2020-03-26,70.95,70.46,74.76,73.74,1390725
11,2020-03-25,68.04,67.07,74.495,70.2,1640148
12,2020-03-24,68.22,66.66,70.95,68.65,2074869
13,2020-03-23,64.71,62.2,66.48,65.74,1761484
14,2020-03-20,71.25,64.16,71.25,64.99,3384450
15,2020-03-19,74.33,69.61,76.0876,71.34,2260672
16,2020-03-18,70.62,68.62,75.79,75.25,2541292
17,2020-03-17,73.3,73.27,80.72,75.13,3095939
18,2020-03-16,68.0,67.01,76.0,71.74,2446680
19,2020-03-13,71.39,67.98,76.21,75.95,3444205
20,2020-03-12,70.06,67.8,72.81,68.25,3093337
21,2020-03-11,75.9,73.24,77.21,74.87,2708985
22,2020-03-10,79.29,74.55,79.69,77.72,2087407
23,2020-03-09,76.04,75.3,79.275,77.2,2580055
24,2020-03-06,78.77,78.26,82.87,81.84,1975741
25,2020-03-05,80.56,80.08,82.93,81.11,1310019
26,2020-03-04,80.05,79.14,82.89,82.7,2091263
27,2020-03-03,82.08,77.23,83.79,77.56,2532977
28,2020-03-02,77.76,77.76,82.26,82.23,1714918
29,2020-02-28,76.99,75.18,77.91,77.62,2993212
30,2020-02-27,79.0,77.95,81.08,79.23,2656285
31,2020-02-26,81.6,80.53,82.52,81.04,1292122
32,2020-02-25,83.16,80.1773,83.6799,81.05,2463921
33,2020-02-24,82.71,81.71,83.29,82.86,1408182
34,2020-02-21,84.23,83.47,84.46,84.09,774572
35,2020-02-20,85.03,83.99,85.47,84.65,869665
36,2020-02-19,85.5,84.955,85.755,85.49,784409
37,2020-02-18,85.7,85.08,86.42,85.4,1162227
38,2020-02-14,86.41,84.78,86.41,85.98,869908
39,2020-02-13,86.65,86.0,87.24,86.24,1035236
40,2020-02-12,89.65,86.77,90.15,87.0,2229998
41,2020-02-11,84.0,83.69,89.65,88.5,3550988
42,2020-02-10,81.36,80.865,82.77,82.75,1423071
43,2020-02-07,82.86,81.24,83.08,81.34,1200893
44,2020-02-06,82.53,81.5,83.3806,83.07,1143542
45,2020-02-05,80.72,80.72,82.63,82.17,862917
46,2020-02-04,80.24,80.12,81.16,80.67,715784
47,2020-02-03,80.0,79.16,80.3,79.22,720982
48,2020-01-31,82.15,79.41,82.59,79.87,1729377
49,2020-01-30,82.47,80.97,82.72,82.66,1012065
50,2020-01-29,82.85,82.23,83.7,83.08,1017768
51,2020-01-28,82.4,82.215,83.1325,82.9,553689
52,2020-01-27,82.1,81.59,82.69,82.03,1100781
53,2020-01-24,82.11,82.01,85.59,83.19,2226010
54,2020-01-23,80.24,79.15,80.53,80.5,975572
55,2020-01-22,79.95,79.53,80.67,80.55,867952
56,2020-01-21,79.47,79.03,80.08,79.9,1051855
57,2020-01-17,79.13,78.96,79.5,79.47,868594
58,2020-01-16,78.39,78.115,79.03,78.99,594560
59,2020-01-15,77.59,77.59,78.43,78.05,677020
60,2020-01-14,77.11,76.915,77.93,77.75,836531
61,2020-01-13,76.1,75.9,76.98,76.92,932831
62,2020-01-10,75.86,75.39,75.99,75.95,859163
63,2020-01-09,75.64,75.1603,75.93,75.58,1410676
64,2020-01-08,75.08,74.645,75.58,75.53,1231924
65,2020-01-07,75.18,74.5,75.4,75.11,1184469
66,2020-07-06,81.87,80.55,82.65,81.22,1158797
67,2020-07-02,81.5,80.79,82.68,81.05,887883
68,2020-07-01,79.3,79.3,81.01,80.64,895676
69,2020-06-30,77.5,77.0,79.6,79.14,765095
70,2020-06-29,76.33,75.84,77.49,77.21,599482
71,2020-06-26,77.24,75.3,77.93,75.56,1852663
72,2020-06-25,76.84,76.3,77.72,77.5,731380
73,2020-06-24,78.43,76.97,79.04,77.18,1209966
74,2020-06-23,79.81,78.37,80.09,79.2,913345
75,2020-06-22,79.48,77.07,79.48,78.95,813431
76,2020-06-19,79.38,78.64,80.45,79.55,2132723
77,2020-06-18,77.6,77.3,78.22,78.13,973572
78,2020-06-17,79.15,77.92,79.855,78.24,1089311
79,2020-06-16,80.41,78.325,80.84,78.97,879803
80,2020-06-15,76.65,76.27,78.93,78.53,900642
81,2020-06-12,81.75,76.94,81.83,78.25,1314928
82,2020-06-11,81.02,79.25,82.17,79.95,1380186
83,2020-06-10,84.5,80.92,84.92,82.9,1209100
84,2020-06-09,86.63,83.39,86.63,84.5,1235391
85,2020-06-08,87.9,85.03,89.39,87.0,2236522
86,2020-06-05,82.8,82.8,88.7,88.28,2870758
87,2020-06-04,78.96,78.96,82.41,82.39,1972095
88,2020-06-03,80.76,79.32,81.52,79.72,991266
89,2020-06-02,80.31,79.06,80.86,80.86,823638
90,2020-06-01,80.86,78.87,81.545,80.34,821321
91,2020-05-29,79.95,78.36,81.13,80.96,2041263
92,2020-05-28,79.5,79.18,80.82,79.47,1097899
93,2020-05-27,78.22,76.13,78.95,78.71,1454461
94,2020-05-26,78.16,77.75,79.78,78.02,1117466
95,2020-05-22,78.9,76.52,79.065,76.81,923881
96,2020-05-21,79.84,78.23,79.985,78.73,898313
97,2020-05-20,80.73,79.61,82.11,79.97,734080
98,2020-05-19,80.19,78.86,80.71,80.21,1029663
99,2020-05-18,81.03,80.5,82.79,80.71,890314
100,2020-05-15,77.75,77.25,79.46,79.25,710314
101,2020-05-14,78.35,76.32,78.35,78.14,1114140
102,2020-05-13,79.06,77.69,79.9,78.99,1148572
103,2020-05-12,81.56,78.86,81.69,78.91,873317
104,2020-05-11,80.76,80.755,82.28,81.13,859890
105,2020-05-08,81.04,79.96,81.38,80.76,1258123
106,2020-05-07,82.73,79.61,83.35,80.16,1809342
107,2020-05-06,81.68,80.81,85.32,82.35,2118034
108,2020-05-05,76.25,76.14,79.57,78.87,1344276
109,2020-05-04,75.8,74.7,76.67,75.12,835792
110,2020-05-01,77.89,75.94,78.75,76.51,1002861
111,2020-04-30,80.59,78.8,81.59,79.01,1475117
112,2020-04-29,79.31,79.07,82.88,81.59,1298511
113,2020-04-28,80.0,77.91,81.23,78.61,1201287
114,2020-04-27,74.74,74.46,79.1,78.95,1172787
115,2020-04-24,73.68,71.7,74.25,74.0,963938
116,2020-04-23,72.57,72.45,74.69,73.35,779378
117,2020-04-22,74.01,72.34,74.98,72.41,782151
118,2020-04-21,76.77,72.01,76.93,72.53,1121781
119,2020-04-20,77.34,76.51,78.03,77.52,1378387
120,2020-04-17,78.0,75.6,78.59,78.16,1141775
121,2020-04-16,76.54,75.26,78.44,76.65,1242189
122,2020-04-15,76.14,74.18,76.345,76.26,1229453
123,2020-04-14,75.18,74.85,77.4,76.82,1390545
124,2020-04-13,74.4,71.88,75.25,73.59,1153373
125,2020-04-09,76.83,74.4,78.29,74.82,1324508
126,2020-04-08,72.82,72.34,78.65,76.96,1626880
127,2020-04-07,72.36,71.03,74.65,71.99,1716208
128,2020-10-05,84.67,84.67,87.23,86.63,1035969
129,2020-10-02,81.66,81.02,84.9,84.29,1134078
130,2020-10-01,86.48,80.85,86.87,82.82,2624258
131,2020-09-30,83.82,83.76,86.61,85.65,1156003
132,2020-09-29,84.63,83.38,85.16,84.14,860364
133,2020-09-28,84.41,84.06,85.86,84.5,914472
134,2020-09-25,82.62,82.06,84.21,83.9,1924298
135,2020-09-24,81.91,81.03,82.56,81.56,1198574
136,2020-09-23,84.66,81.74,84.67,82.41,1240197
137,2020-09-22,84.54,82.58,85.23,84.64,1604193
138,2020-09-21,86.31,82.52,86.46,85.12,1413784
139,2020-09-18,90.4,86.5372,90.4,87.32,2514288
140,2020-09-17,91.83,88.95,91.99,90.14,1303560
141,2020-09-16,90.97,90.27,92.67,91.84,1139449
142,2020-09-15,88.35,88.35,90.81,89.84,2160632
143,2020-09-14,88.12,87.14,88.525,87.79,2969792
144,2020-09-11,88.0,87.2,88.39,88.05,1664542
145,2020-09-10,88.21,87.48,89.12,87.59,1058616
146,2020-09-09,85.5,85.33,88.42,87.97,1036211
147,2020-09-08,86.84,84.89,86.84,85.0,2332517
148,2020-09-04,87.63,86.01,87.84,87.06,1926247
149,2020-09-03,89.3,87.0,90.6,87.49,902939
150,2020-09-02,87.33,87.05,89.75,89.44,1227743
151,2020-09-01,87.095,86.74,88.18,87.34,1070987
152,2020-08-31,86.22,86.22,88.4,86.76,1371314
153,2020-08-28,86.67,86.49,87.48,86.94,921232
154,2020-08-27,87.72,86.63,87.725,86.95,1127145
155,2020-08-26,87.15,86.42,87.5964,87.52,568485
156,2020-08-25,87.8,87.05,88.34,87.71,584132
157,2020-08-24,87.02,86.88,87.97,87.57,762748
158,2020-08-21,86.87,86.01,86.995,86.8,833253
159,2020-08-20,86.18,86.1,88.37,86.72,1176191
160,2020-08-19,86.85,85.9,87.17,86.21,666576
161,2020-08-18,86.16,85.23,86.94,86.54,1013843
162,2020-08-17,85.92,85.475,87.17,86.26,1292080
163,2020-08-14,81.41,81.21,82.78,82.17,404409
164,2020-08-13,82.01,81.25,82.41,81.67,505586
165,2020-08-12,82.35,81.81,82.83,82.46,787210
166,2020-08-11,83.37,81.39,83.975,81.73,1322782
167,2020-08-10,82.16,81.97,83.315,82.6,775840
168,2020-08-07,82.38,81.4777,83.705,82.37,778035
169,2020-08-06,82.56,81.535,83.645,82.29,912885
170,2020-08-05,83.52,82.32,84.37,82.92,1148533
171,2020-08-04,86.63,83.51,86.855,83.57,1221358
172,2020-08-03,87.63,86.45,88.75,87.21,920554
173,2020-07-31,91.6,85.71,92.16,87.39,1847563
174,2020-07-30,90.13,88.27,91.61,91.12,1377697
175,2020-07-29,88.05,87.91,91.69,91.3,901591
176,2020-07-28,87.79,87.69,88.76,87.99,484055
177,2020-07-27,86.89,86.295,88.72,88.49,360763
178,2020-07-24,87.78,86.67,88.23,87.33,453244
179,2020-07-23,87.23,86.81,87.91,87.68,520088
180,2020-07-22,85.89,85.43,87.16,87.12,585182
181,2020-07-21,85.16,85.16,86.51,86.0,656374
182,2020-07-20,84.76,84.44,85.75,85.51,706558
183,2020-07-17,85.38,85.02,86.36,85.11,759283
184,2020-07-16,84.6,84.04,85.459,84.81,580724
185,2020-07-15,82.97,82.48,84.72,84.54,871517
186,2020-07-14,79.56,79.22,82.11,81.95,807003
187,2020-07-13,81.45,79.455,82.17,79.57,1138256
188,2020-07-10,80.34,79.2,81.3,81.19,594927
189,2020-07-09,82.04,78.6505,82.425,79.74,991095
190,2020-07-08,82.1,80.06,82.25,81.91,891193
191,2020-07-07,80.61,80.51,82.96,81.99,1061551
192,2021-01-04,117.56,114.35,118.68,116.5,791571
193,2020-12-31,115.07,115.0,117.59,117.4,328146
194,2020-12-30,116.3,115.4,117.65,115.5,390916
195,2020-12-29,116.03,115.46,116.51,116.0,554686
196,2020-12-28,116.0,115.03,116.18,115.45,402064
197,2020-12-24,114.99,114.62,115.68,115.13,165311
198,2020-12-23,115.86,114.85,115.94,115.0,527724
199,2020-12-22,116.0,114.95,116.395,115.18,603774
200,2020-12-21,113.5,112.6901,115.77,115.75,765142
201,2020-12-18,115.54,114.53,115.73,115.36,2589178
202,2020-12-17,113.2,113.2,115.74,115.73,628396
203,2020-12-16,112.94,111.91,114.15,113.04,643999
204,2020-12-15,109.81,109.67,113.04,112.39,597011
205,2020-12-14,109.41,108.98,111.56,109.19,875846
206,2020-12-11,111.68,108.18,112.075,108.32,652064
207,2020-12-10,110.51,110.39,112.37,111.91,511823
208,2020-12-09,110.72,110.3418,111.9391,111.3,574843
209,2020-12-08,108.05,108.05,110.67,110.38,523301
210,2020-12-07,109.34,107.67,109.55,108.46,777774
211,2020-12-04,106.12,106.0,109.3,109.3,610330
212,2020-12-03,108.05,104.51,108.05,105.42,1411389
213,2020-12-02,108.81,108.07,109.65,108.36,779201
214,2020-12-01,110.7,108.49,111.06,108.59,587600
215,2020-11-30,109.58,109.5,110.51,109.85,1193828
216,2020-11-27,110.04,109.76,111.47,109.88,263464
217,2020-11-25,109.61,108.71,110.32,109.6,764988
218,2020-11-24,110.57,108.7,110.65,109.67,870880
219,2020-11-23,109.79,108.92,110.49,110.02,982682
220,2020-11-20,107.88,107.88,110.4925,109.85,732733
221,2020-11-19,108.39,106.0,108.94,107.63,1199657
222,2020-11-18,113.67,108.27,113.96,108.32,1168883
223,2020-11-17,111.84,110.43,114.13,113.39,879931
224,2020-11-16,111.63,110.4,113.39,113.14,909927
225,2020-11-13,107.48,107.255,110.98,110.55,783535
226,2020-11-12,105.71,105.53,109.9,107.18,1067306
227,2020-11-11,107.25,106.16,108.06,106.32,966827
228,2020-11-10,102.0,101.5,108.1,107.17,1030623
229,2020-11-09,101.22,100.61,104.0,102.33,1249914
230,2020-11-06,97.99,97.5,99.45,98.62,522698
231,2020-11-05,98.53,97.5,99.86,98.15,930233
232,2020-11-04,95.65,95.27,97.9,96.04,1033448
233,2020-11-03,90.04,90.04,93.83,92.95,1048880
234,2020-11-02,87.46,87.145,90.16,89.07,1063099
235,2020-10-30,85.8,85.0,88.4,86.25,1093697
236,2020-10-29,85.97,84.14,86.45,85.77,1104157
237,2020-10-28,87.93,86.14,88.6725,86.27,894889
238,2020-10-27,90.1,89.03,90.3,89.15,507045
239,2020-10-26,90.2,89.215,90.82,89.71,670766
240,2020-10-23,90.76,90.365,91.62,91.05,538476
241,2020-10-22,90.1,89.65,91.29,90.68,516725
242,2020-10-21,89.62,89.03,90.5093,89.61,646089
243,2020-10-20,89.87,89.415,90.68,89.7,620490
244,2020-10-19,90.8,89.19,91.605,89.56,713446
245,2020-10-16,89.19,89.19,91.7,90.78,1247318
246,2020-10-15,87.74,87.28,89.145,88.91,512369
247,2020-10-14,88.54,88.44,90.4701,88.87,533734
248,2020-10-13,88.16,87.45,89.23,88.35,433141
249,2020-10-12,87.89,87.89,89.5,88.91,735851
250,2020-10-09,89.46,86.56,89.74,87.86,936305
251,2020-10-08,87.65,87.48,88.84,88.6,724349
252,2020-10-07,85.55,85.55,87.9,87.19,911737
253,2020-10-06,86.71,84.81,87.11,85.31,1220838
254,2021-04-05,106.0,105.47,107.38,106.8,1037091
255,2021-04-01,107.51,105.08,107.66,105.44,1077174
256,2021-03-31,109.29,107.6,109.965,107.77,668070
257,2021-03-30,110.12,108.49,110.36,109.48,479504
258,2021-03-29,108.8,108.69,110.64,110.05,826931
259,2021-03-26,108.33,107.6,109.51,108.77,874959
260,2021-03-25,108.95,107.5518,111.41,110.86,631805
261,2021-03-24,107.2,106.95,109.83,109.03,493770
262,2021-03-23,110.05,106.885,110.32,107.02,634635
263,2021-03-22,109.51,108.02,110.34,110.04,540595
264,2021-03-19,108.75,108.7,110.69,109.83,1273712
265,2021-03-18,107.94,107.56,109.949,109.19,524273
266,2021-03-17,107.42,106.66,108.53,107.73,487308
267,2021-03-16,109.0,107.58,109.3,107.64,565360
268,2021-03-15,107.88,107.68,109.24,108.93,416983
269,2021-03-12,108.65,107.78,108.84,108.44,686766
270,2021-03-11,107.15,107.09,108.35,107.68,475446
271,2021-03-10,108.87,107.11,109.09,107.11,680112
272,2021-03-09,108.13,107.4,110.31,107.63,659249
273,2021-03-08,105.5,105.395,108.2,107.61,598105
274,2021-03-05,104.72,103.78,106.04,105.54,756502
275,2021-03-04,102.29,101.85,104.64,103.82,1069407
276,2021-03-03,102.99,101.55,103.3561,102.78,542215
277,2021-03-02,103.49,102.5,104.01,103.52,723243
278,2021-03-01,103.22,102.74,104.48,102.85,709729
279,2021-02-26,101.91,101.75,103.76,102.13,856421
280,2021-02-25,103.17,101.23,103.8681,102.14,545742
281,2021-02-24,101.18,101.18,103.53,102.89,842450
282,2021-02-23,99.69,98.55,101.58,101.28,756492
283,2021-02-22,100.99,99.39,101.69,99.98,747403
284,2021-02-19,99.82,99.5,102.34,102.07,1085860
285,2021-02-18,102.62,99.65,102.93,100.12,1215935
286,2021-02-17,103.09,101.83,104.72,103.11,1147356
287,2021-02-16,105.43,103.28,110.69,104.18,2309566
288,2021-02-12,112.5,104.7801,114.58,104.99,1591777
289,2021-02-11,113.93,112.33,114.31,113.33,883722
290,2021-02-10,111.9,110.77,113.45,113.39,779073
291,2021-02-09,110.62,110.29,112.3,111.0,952327
292,2021-02-08,109.47,109.02,110.59,110.2,1306494
293,2021-02-05,110.31,108.38,110.58,109.18,799904
294,2021-02-04,110.53,108.59,110.8,109.54,760261
295,2021-02-03,111.28,108.04,111.69,110.49,1569000
296,2021-02-02,114.0,111.64,116.17,111.64,1493978
297,2021-02-01,118.02,116.92,120.0,118.81,803382
298,2021-01-29,117.5,116.01,118.55,117.37,918762
299,2021-01-28,119.19,117.85,122.39,117.89,612535
300,2021-01-27,117.76,116.9,118.96,117.85,625187
301,2021-01-26,118.7,117.86,119.95,119.26,421940
302,2021-01-25,119.1,117.92,119.95,118.56,437065
303,2021-01-22,118.9,118.85,120.1,119.59,349482
304,2021-01-21,120.25,119.05,120.47,119.32,379235
305,2021-01-20,118.1,117.59,120.7,120.32,576913
306,2021-01-19,119.69,118.03,119.91,118.1,522015
307,2021-01-15,119.19,117.65,119.84,118.75,723437
308,2021-01-14,121.41,119.49,121.41,119.64,556107
309,2021-01-13,123.82,120.73,124.4775,120.76,782015
310,2021-01-12,123.5,123.03,125.28,123.8,675373
311,2021-01-11,123.28,121.89,124.54,123.12,515064
312,2021-01-08,122.37,122.08,124.665,123.89,556782
313,2021-01-07,121.29,120.48,122.87,122.21,863210
314,2021-01-06,116.09,116.0004,121.15,120.55,962586
315,2021-01-05,114.63,114.0,117.39,116.55,673319
316,2021-07-02,122.1,120.675,122.63,122.44,566315
317,2021-07-01,120.71,120.54,123.7,122.33,623089
318,2021-06-30,120.5,119.83,120.98,120.43,630462
319,2021-06-29,122.26,119.9,122.77,120.56,541370
320,2021-06-28,121.67,120.55,122.34,121.82,649981
321,2021-06-25,121.25,121.0996,122.86,121.67,1446574
322,2021-06-24,121.37,120.52,122.05,121.33,383064
323,2021-06-23,122.82,120.22,122.9217,120.39,600540
324,2021-06-22,124.16,123.18,124.85,123.2,768346
325,2021-06-21,121.53,121.24,124.88,124.36,678880
326,2021-06-18,122.23,121.54,123.5,121.63,1176364
327,2021-06-17,122.98,121.74,123.935,123.61,631620
328,2021-06-16,123.46,122.32,124.01,122.78,573914
329,2021-06-15,121.48,121.16,124.61,123.64,579834
330,2021-06-14,122.06,120.4999,122.48,121.56,463177
331,2021-06-11,122.25,121.31,122.82,122.27,498675
332,2021-06-10,120.47,120.14,121.99,121.8,469963
333,2021-06-09,119.93,119.43,120.85,120.44,331782
334,2021-06-08,118.53,117.535,119.67,119.47,576463
335,2021-06-07,120.77,118.53,120.9,118.68,532818
336,2021-06-04,121.57,120.0,121.61,120.28,364057
337,2021-06-03,119.19,117.961,121.7805,121.13,430225
338,2021-06-02,120.35,119.32,120.48,119.61,477262
339,2021-06-01,120.35,119.04,120.75,119.86,488110
340,2021-05-28,121.17,119.56,121.17,120.07,486909
341,2021-05-27,121.52,120.12,121.58,120.67,975088
342,2021-05-26,120.68,120.04,121.63,120.6,737069
343,2021-05-25,121.73,120.85,122.31,120.87,479132
344,2021-05-24,123.12,121.81,123.37,121.84,378384
345,2021-05-21,123.38,122.25,124.5567,122.54,488146
346,2021-05-20,122.29,122.09,123.93,123.06,386626
347,2021-05-19,121.67,119.78,122.29,122.22,683656
348,2021-05-18,124.39,121.5,124.64,122.14,619644
349,2021-05-17,123.91,122.7901,124.72,124.34,675067
350,2021-05-14,126.18,125.15,126.46,125.41,306475
351,2021-05-13,122.61,122.505,126.42,125.94,456436
352,2021-05-12,124.65,122.68,125.65,122.78,554996
353,2021-05-11,127.31,124.32,127.31,124.61,494185
354,2021-05-10,127.51,127.06,129.59,127.98,593805
355,2021-05-07,124.3,124.08,126.83,126.8,488505
356,2021-05-06,122.61,121.12,124.55,124.3,652591
357,2021-05-05,123.45,120.9,123.97,122.52,688159
358,2021-05-04,120.9,120.68,123.51,123.36,722085
359,2021-05-03,117.29,117.14,120.99,120.92,846040
360,2021-04-30,113.71,112.99,117.53,116.53,1341122
361,2021-04-29,113.82,113.33,114.78,114.47,786168
362,2021-04-28,112.9,112.545,114.37,113.31,697278
363,2021-04-27,112.51,112.12,113.74,112.36,492269
364,2021-04-26,113.79,113.14,114.77,113.35,513470
365,2021-04-23,112.38,110.95,113.93,113.6,608957
366,2021-04-22,113.55,112.08,113.945,112.45,620566
367,2021-04-21,112.9,112.67,114.37,113.54,529421
368,2021-04-20,110.36,110.17,112.55,112.2,676772
369,2021-04-19,113.48,110.19,113.69,110.78,831375
370,2021-04-16,110.44,110.1,113.5,113.11,1782634
371,2021-04-15,108.94,108.58,110.535,109.85,770990
372,2021-04-14,108.34,107.37,109.16,108.23,662311
373,2021-04-13,108.89,106.685,109.16,107.46,1040095
374,2021-04-12,109.0,108.78,110.915,109.88,585666
375,2021-04-09,107.24,106.895,109.08,109.0,478531
376,2021-04-08,106.5,106.29,108.2,106.86,866028
377,2021-04-07,107.05,106.46,108.09,106.69,553867
378,2021-04-06,107.16,106.53,107.97,106.95,649284
379,2021-10-04,117.12,115.05,118.43,115.7,692164
380,2021-10-01,116.83,114.83,117.7,116.95,618635
381,2021-09-30,121.89,116.19,121.98,116.26,1115802
382,2021-09-29,121.37,119.64,122.63,121.19,696311
383,2021-09-28,119.98,119.98,122.3,121.43,725158
384,2021-09-27,120.48,120.48,122.28,120.68,489607
385,2021-09-24,121.92,120.77,123.08,121.0,584970
386,2021-09-23,121.14,121.14,122.91,122.1,758832
387,2021-09-22,120.45,120.0,122.47,121.11,649123
388,2021-09-21,120.89,119.425,121.7,119.85,803930
389,2021-09-20,120.42,118.02,120.64,119.95,851776
390,2021-09-17,121.04,121.0,122.35,121.55,1703026
391,2021-09-16,122.57,120.8,123.09,121.26,790690
392,2021-09-15,122.22,121.0,122.905,121.93,827002
393,2021-09-14,125.18,122.08,125.18,122.33,628002
394,2021-09-13,123.66,122.645,124.72,124.6,573111
395,2021-09-10,128.74,123.04,128.77,123.05,634602
396,2021-09-09,129.21,129.0,130.47,129.09,467016
397,2021-09-08,130.41,128.86,131.12,129.07,661808
398,2021-09-07,131.17,130.44,132.25,130.99,479184
399,2021-09-03,133.52,132.01,133.88,132.17,437994
400,2021-09-02,131.39,130.89,133.57,133.52,488036
401,2021-09-01,130.97,128.08,131.12,130.77,393787
402,2021-08-31,130.61,130.27,132.09,130.77,634273
403,2021-08-30,130.71,130.01,132.125,131.14,322248
404,2021-08-27,129.95,129.63,131.66,130.81,571054
405,2021-08-26,130.79,129.27,130.79,129.96,435668
406,2021-08-25,131.38,130.13,131.92,130.77,394566
407,2021-08-24,132.64,131.34,132.99,131.77,330935
408,2021-08-23,133.09,131.61,133.29,132.43,476807
409,2021-08-20,132.23,132.09,133.59,132.65,435649
410,2021-08-19,130.0,130.0,132.53,132.15,391650
411,2021-08-18,132.35,130.8,132.84,130.92,451998
412,2021-08-17,130.89,130.25,133.0,132.61,476800
413,2021-08-16,130.3,129.42,131.67,131.61,355882
414,2021-08-13,131.78,130.13,132.085,130.28,327969
415,2021-08-12,131.99,130.59,132.165,131.27,426218
416,2021-08-11,132.91,131.82,133.625,132.75,476971
417,2021-08-10,132.31,131.7,134.47,132.75,597932
418,2021-08-09,133.23,131.59,133.56,132.56,555937
419,2021-08-06,130.51,130.51,133.93,133.17,523027
420,2021-08-05,134.07,128.876,134.07,130.13,1015984
421,2021-08-04,127.1,127.0,136.48,133.78,2133745
422,2021-08-03,121.94,119.55,123.32,123.15,619451
423,2021-08-02,120.45,120.325,122.0434,121.37,656397
424,2021-07-30,118.69,118.69,120.63,120.25,689688
425,2021-07-29,119.44,118.46,119.96,119.01,533020
426,2021-07-28,120.22,118.08,120.41,118.84,630669
427,2021-07-27,119.96,119.57,120.9,120.35,459510
428,2021-07-26,120.59,118.77,121.21,119.74,513137
429,2021-07-23,121.07,120.34,121.19,120.61,470872
430,2021-07-22,120.12,119.45,120.75,120.11,432091
431,2021-07-21,120.0,119.67,121.22,120.1,649212
432,2021-07-20,118.59,118.59,121.11,119.41,610104
433,2021-07-19,118.83,117.025,120.2299,117.82,684417
434,2021-07-16,120.1,119.3,120.88,119.37,493754
435,2021-07-15,120.46,116.05,121.91,119.81,1451503
436,2021-07-14,121.72,120.16,122.02,121.05,518800
437,2021-07-13,123.34,121.13,124.0669,121.46,533304
438,2021-07-12,121.65,121.65,124.09,123.7,407600
439,2021-07-09,122.01,121.27,123.08,122.09,458614
440,2021-07-08,121.2,120.28,122.03,120.72,540685
441,2021-07-07,120.56,120.56,122.93,122.55,722714
442,2021-07-06,122.08,119.19,122.36,120.86,875009
443,2022-01-03,114.07,113.1,115.585,115.43,630603
444,2021-12-31,113.5,113.5,114.71,113.76,610901
445,2021-12-30,113.34,113.2,114.86,113.28,464964
446,2021-12-29,112.38,112.38,114.27,113.43,570701
447,2021-12-28,111.08,111.08,112.8,112.56,463078
448,2021-12-27,111.42,110.15,111.9899,111.17,531110
449,2021-12-23,109.64,109.575,112.1,111.42,681983
450,2021-12-22,108.86,108.82,110.41,109.68,490902
451,2021-12-21,107.93,107.73,110.22,108.86,779799
452,2021-12-20,104.64,104.06,106.99,106.93,1202237
453,2021-12-17,105.76,103.76,106.15,104.87,1973695
454,2021-12-16,105.5,105.185,106.53,105.39,894344
455,2021-12-15,105.77,103.82,105.82,105.16,840014
456,2021-12-14,105.09,104.67,107.74,105.07,804155
457,2021-12-13,105.79,105.38,106.54,105.64,863031
458,2021-12-10,105.45,104.96,106.76,105.81,748453
459,2021-12-09,104.42,103.62,106.02,105.07,725631
460,2021-12-08,102.76,102.32,105.58,105.04,1025753
461,2021-12-07,102.38,101.85,104.51,103.12,1256548
462,2021-12-06,100.21,99.67,103.54,102.1,1036067
463,2021-12-03,98.64,97.79,99.71,98.84,1178332
464,2021-12-02,95.38,95.14,99.115,98.36,1053149
465,2021-12-01,96.17,94.7,98.2,94.75,1038606
466,2021-11-30,96.07,94.38,97.407,94.5,1535049
467,2021-11-29,98.07,96.75,99.59,96.91,1041512
468,2021-11-26,101.0,96.98,101.72,97.29,828385
469,2021-11-24,103.02,101.465,103.35,102.0,883685
470,2021-11-23,102.86,102.19,104.64,103.68,964136
471,2021-11-22,99.66,99.43,103.38,102.67,1273530
472,2021-11-19,101.57,99.49,101.9,99.55,1150349
473,2021-11-18,100.57,99.84,102.31,101.66,840382
474,2021-11-17,100.96,99.02,101.97,100.59,1074767
