,date,open,low,high,close,volume
0,2020-01-06,26.33,26.09,26.55,26.41,4389707
1,2020-01-03,26.5,25.92,26.54,26.1,6984169
2,2020-01-02,26.21,25.63,26.28,25.79,5091400
3,2020-04-06,8.46,8.2,8.89,8.8,13542100
4,2020-04-03,8.3,7.56,8.57,8.38,17941902
5,2020-04-02,7.29,7.07,9.04,7.79,24076444
6,2020-04-01,6.57,6.22,6.94,6.79,16931549
7,2020-03-31,6.68,6.68,7.45,6.91,14607600
8,2020-03-30,6.16,5.46,6.52,6.35,19194775
9,2020-03-27,6.94,6.21,6.96,6.29,13563137
10,2020-03-26,7.31,6.75,7.6,7.36,13401283
11,2020-03-25,7.38,6.64,7.79,7.16,12033100
12,2020-03-24,6.8,6.37,7.63,7.41,14859806
13,2020-03-23,6.02,5.7,6.59,6.18,13426513
14,2020-03-20,6.74,5.94,7.34,6.08,18814900
15,2020-03-19,5.51,5.26,6.55,6.55,14057907
16,2020-03-18,5.88,4.7,5.96,5.41,14374600
17,2020-03-17,7.6,6.36,7.87,6.46,13441316
18,2020-03-16,7.1,6.5,8.36,7.57,14135811
19,2020-03-13,8.13,7.19,8.71,8.7,18626639
20,2020-03-12,7.76,7.01,8.1,7.27,14551025
21,2020-03-11,8.42,8.09,8.94,8.41,15483944
22,2020-03-10,9.38,7.82,9.4,9.01,20134700
23,2020-03-09,9.15,8.03,9.77,8.37,24783100
24,2020-03-06,15.16,13.01,15.22,13.37,13648400
25,2020-03-05,15.63,15.46,16.1,15.95,9800306
26,2020-03-04,16.15,15.69,16.55,16.26,8787214
27,2020-03-03,16.22,15.48,16.81,15.79,11433168
28,2020-03-02,16.53,15.41,16.67,16.31,11012000
29,2020-02-28,14.93,14.79,16.32,16.24,13850497
30,2020-02-27,15.83,15.4,16.73,15.67,13203419
31,2020-02-26,17.87,16.69,17.93,16.72,10340400
32,2020-02-25,19.21,17.61,19.36,17.78,10388934
33,2020-02-24,19.93,19.1,19.93,19.18,10968812
34,2020-02-21,21.7,20.85,21.73,20.97,9274000
35,2020-02-20,22.33,22.06,22.62,22.15,7706528
36,2020-02-19,22.52,22.16,23.03,22.72,10966700
37,2020-02-18,22.5,22.01,22.56,22.16,9685350
38,2020-02-14,23.44,22.56,23.59,22.82,7211001
39,2020-02-13,22.97,22.79,23.37,23.3,5176500
40,2020-02-12,23.35,23.12,23.79,23.26,4484131
41,2020-02-11,23.0,22.67,23.15,22.7,3700800
42,2020-02-10,22.7,22.33,22.84,22.54,3741446
43,2020-02-07,22.73,22.5,23.09,22.97,3338514
44,2020-02-06,23.48,22.94,23.55,23.13,5152800
45,2020-02-05,22.48,22.4,23.61,23.41,6787524
46,2020-02-04,21.75,21.67,22.33,21.86,6171026
47,2020-02-03,21.7,21.15,21.79,21.18,5867440
48,2020-01-31,21.95,21.27,22.05,21.72,7340524
49,2020-01-30,21.82,21.66,22.54,22.49,5609200
50,2020-01-29,22.95,22.12,23.08,22.19,5954024
51,2020-01-28,22.9,22.54,22.98,22.72,5050200
52,2020-01-27,23.2,22.44,23.42,22.62,6349022
53,2020-01-24,24.34,23.56,24.35,23.95,5564900
54,2020-01-23,24.04,23.6,24.59,24.4,5921408
55,2020-01-22,24.74,24.18,24.85,24.3,8146500
56,2020-01-21,25.65,24.98,25.77,24.99,5810100
57,2020-01-17,26.56,25.72,26.56,25.85,5842600
58,2020-01-16,26.49,26.39,26.98,26.44,6293543
59,2020-01-15,26.0,25.86,26.26,26.24,5669200
60,2020-01-14,25.51,25.37,26.36,26.23,6388516
61,2020-01-13,25.01,24.64,25.43,25.36,4745173
62,2020-01-10,25.7,25.02,25.7,25.1,5205900
63,2020-01-09,25.89,25.2,25.94,25.85,7500200
64,2020-01-08,26.45,25.21,26.49,25.55,8227487
65,2020-01-07,26.25,26.1,26.57,26.49,6462429
66,2020-07-06,11.5,10.98,11.73,11.16,8733500
67,2020-07-02,11.47,11.14,11.66,11.24,8120855
68,2020-07-01,11.36,10.98,11.8,11.1,9292622
69,2020-06-30,10.95,10.78,11.43,11.34,8480700
70,2020-06-29,10.92,10.76,11.2,11.12,8126000
71,2020-06-26,11.56,10.85,11.57,10.94,9114517
72,2020-06-25,11.11,11.06,11.79,11.7,8708348
73,2020-06-24,12.11,11.25,12.17,11.25,11073137
74,2020-06-23,12.91,12.28,13.0,12.38,9560800
75,2020-06-22,12.91,12.56,12.98,12.7,6084900
76,2020-06-19,13.42,12.73,13.66,12.94,15559700
77,2020-06-18,12.44,12.37,13.14,12.95,6611000
78,2020-06-17,13.2,12.6,13.31,12.63,7580321
79,2020-06-16,13.87,12.8,13.88,13.3,10075498
80,2020-06-15,12.01,11.82,13.09,12.89,7488220
81,2020-06-12,13.03,12.11,13.09,12.8,8107100
82,2020-06-11,12.2,11.92,13.22,12.2,9180422
83,2020-06-10,14.15,13.35,14.5,13.67,12575600
84,2020-06-09,15.0,14.22,15.03,14.55,10895947
85,2020-06-08,15.65,14.54,15.76,15.76,13064247
86,2020-06-05,13.51,13.5,14.9,14.6,15550339
87,2020-06-04,12.35,12.08,12.82,12.72,10409225
88,2020-06-03,12.4,12.08,12.59,12.52,8261420
89,2020-06-02,11.88,11.86,12.22,12.16,8460800
90,2020-06-01,10.8,10.62,11.88,11.7,12175335
91,2020-05-29,11.5,10.77,11.56,10.81,43105622
92,2020-05-28,12.39,11.57,12.4,11.66,11209815
93,2020-05-27,12.5,11.78,12.5,12.43,9418900
94,2020-05-26,12.74,12.11,12.79,12.31,9076912
95,2020-05-22,12.15,11.8,12.25,12.14,8327800
96,2020-05-21,12.49,12.05,12.61,12.29,8138896
97,2020-05-20,12.62,12.36,12.87,12.42,10717339
98,2020-05-19,13.14,12.3,13.16,12.31,9861117
99,2020-05-18,12.86,12.63,13.36,13.12,10694598
100,2020-05-15,11.61,11.51,12.34,11.95,8335831
101,2020-05-14,11.21,10.79,12.06,11.66,7713914
102,2020-05-13,12.25,11.29,12.27,11.53,9738800
103,2020-05-12,12.64,12.4,13.08,12.4,8834000
104,2020-05-11,12.5,12.25,12.78,12.46,8113500
105,2020-05-08,12.32,12.25,12.72,12.7,7419138
106,2020-05-07,11.95,11.91,12.43,12.01,8928829
107,2020-05-06,11.9,11.25,12.05,11.49,10874300
108,2020-05-05,12.16,11.11,12.25,11.18,8942300
109,2020-05-04,10.86,10.64,11.43,11.42,6554300
110,2020-05-01,11.92,11.04,12.2,11.15,7152100
111,2020-04-30,12.81,11.9,12.85,12.47,10381000
112,2020-04-29,11.51,11.35,12.9,12.63,11865400
113,2020-04-28,11.03,10.66,11.25,10.97,8856029
114,2020-04-27,10.3,9.88,10.89,10.76,7466844
115,2020-04-24,10.9,10.19,11.23,10.52,16018609
116,2020-04-23,10.13,10.05,11.0,10.57,12396426
117,2020-04-22,9.58,9.33,9.82,9.74,7396721
118,2020-04-21,8.69,8.58,9.27,9.05,14497626
119,2020-04-20,8.39,8.3,9.58,9.16,12798900
120,2020-04-17,8.18,8.13,9.25,9.22,12742929
121,2020-04-16,8.6,8.08,8.63,8.09,6949219
122,2020-04-15,8.35,8.05,8.73,8.67,10246919
123,2020-04-14,9.42,8.87,9.72,9.11,11435600
124,2020-04-13,10.26,9.43,10.34,9.71,11422400
125,2020-04-09,10.1,8.86,10.56,9.67,24421246
126,2020-04-08,9.03,8.62,9.44,9.41,11611300
127,2020-04-07,9.59,8.64,10.08,8.71,14770900
128,2020-10-05,9.87,9.62,10.16,10.15,12036800
129,2020-10-02,8.7,8.65,9.86,9.6,14637608
130,2020-10-01,9.41,9.02,9.54,9.1,12066542
131,2020-09-30,9.61,9.4,9.76,9.46,12237500
132,2020-09-29,9.76,8.97,9.77,9.57,25320682
133,2020-09-28,9.56,8.99,10.02,9.8,39400900
134,2020-09-25,8.77,8.68,8.97,8.82,6859718
135,2020-09-24,8.64,8.43,9.14,8.96,9167500
136,2020-09-23,9.26,8.68,9.34,8.68,6896849
137,2020-09-22,9.34,9.11,9.49,9.2,5359403
138,2020-09-21,9.38,9.13,9.46,9.27,5664200
139,2020-09-18,9.91,9.67,10.07,9.78,12580981
140,2020-09-17,9.51,9.46,9.97,9.95,6791100
141,2020-09-16,9.4,9.22,9.93,9.76,7847853
142,2020-09-15,9.17,9.13,9.39,9.23,8890400
143,2020-09-14,9.04,8.9,9.22,9.12,6228140
144,2020-09-11,8.79,8.66,9.02,8.97,10429338
145,2020-09-10,9.58,8.86,9.69,8.87,12149746
146,2020-09-09,9.77,9.37,9.79,9.58,7062138
147,2020-09-08,10.21,9.49,10.25,9.62,11081020
148,2020-09-04,10.61,10.35,10.77,10.55,5498361
149,2020-09-03,10.48,10.39,10.77,10.47,8122500
150,2020-09-02,10.91,10.59,10.94,10.66,8443800
151,2020-09-01,10.76,10.62,11.07,10.91,5748459
152,2020-08-31,11.1,10.75,11.14,10.87,5002643
153,2020-08-28,10.84,10.79,11.23,11.1,5612540
154,2020-08-27,10.76,10.52,10.87,10.76,5458400
155,2020-08-26,11.0,10.68,11.1,10.7,5244404
156,2020-08-25,10.9,10.71,11.07,10.98,5796308
157,2020-08-24,10.54,10.47,10.92,10.78,5947059
158,2020-08-21,10.67,10.38,10.71,10.44,4932329
159,2020-08-20,10.86,10.68,11.02,10.69,5064611
160,2020-08-19,11.34,11.06,11.4,11.09,6724900
161,2020-08-18,11.64,11.29,11.72,11.34,6895200
162,2020-08-17,12.01,11.54,12.04,11.74,6813200
163,2020-08-14,11.77,11.58,12.12,12.12,4218100
164,2020-08-13,12.21,11.83,12.36,11.84,7692518
165,2020-08-12,12.67,12.31,12.75,12.51,6984044
166,2020-08-11,13.04,12.3,13.25,12.36,8952613
167,2020-08-10,12.25,12.12,12.7,12.64,10311323
168,2020-08-07,11.57,11.43,12.17,12.11,9433928
169,2020-08-06,11.9,11.64,12.05,11.77,9407312
170,2020-08-05,11.86,11.55,12.14,12.04,14173266
171,2020-08-04,10.57,10.55,11.32,11.09,11389200
172,2020-08-03,10.51,10.28,10.77,10.6,6596775
173,2020-07-31,10.23,10.13,10.52,10.49,7554313
174,2020-07-30,10.52,10.16,10.59,10.34,7693300
175,2020-07-29,10.41,10.27,10.85,10.84,7501132
176,2020-07-28,10.36,10.31,10.68,10.34,5853441
