,date,open,low,high,close,volume
0,2020-01-06,54.48,54.19,56.79,56.5,2699600
1,2020-01-03,54.2,53.8,54.88,54.67,2171200
2,2020-01-02,54.64,53.42,55.66,54.85,3410400
3,2020-04-06,68.09,65.25,68.09,67.33,10062000
4,2020-04-03,65.9,64.27,68.12,65.19,4325200
5,2020-04-02,62.5,62.5,67.74,66.6,4552800
6,2020-04-01,63.88,63.04,65.99,63.7,4367600
7,2020-03-31,68.16,65.76,69.27,67.32,8010400
8,2020-03-30,66.33,63.77,70.24,69.5,5031200
9,2020-03-27,61.51,60.15,67.5,65.74,6058800
10,2020-03-26,60.99,59.8,63.38,62.55,6228800
11,2020-03-25,59.92,59.25,63.5,59.83,4184000
12,2020-03-24,54.19,54.0,59.8,59.05,5226000
13,2020-03-23,52.39,49.14,55.37,52.58,5451600
14,2020-03-20,52.08,50.83,55.83,52.38,5764000
15,2020-03-19,47.81,47.79,54.91,51.56,5675200
16,2020-03-18,47.38,46.75,56.25,47.79,6797600
17,2020-03-17,51.31,45.52,51.8,49.69,10212800
18,2020-03-16,53.75,50.5,54.72,50.58,7909600
19,2020-03-13,64.08,55.0,64.75,61.01,6396400
20,2020-03-12,54.63,53.75,63.75,61.91,6877600
21,2020-03-11,67.83,61.26,68.25,63.11,8075600
22,2020-03-10,67.91,65.89,70.45,69.79,6060000
23,2020-03-09,65.44,65.0,69.75,66.63,5024800
24,2020-03-06,71.41,69.09,71.97,71.64,3361600
25,2020-03-05,70.49,69.81,72.96,71.74,3045200
26,2020-03-04,69.46,68.25,71.05,70.97,3989600
27,2020-03-03,71.58,67.05,72.22,68.22,4651200
28,2020-03-02,69.53,69.28,71.63,71.43,6133600
29,2020-02-28,69.18,66.67,69.68,69.0,6952800
30,2020-02-27,68.39,67.5,73.49,70.37,4964800
31,2020-02-26,71.18,68.78,74.46,69.56,5275600
32,2020-02-25,74.36,69.68,75.46,70.99,4466000
33,2020-02-24,69.55,68.75,73.76,73.51,5070000
34,2020-02-21,76.46,71.57,76.49,72.81,5544000
35,2020-02-20,73.08,71.81,76.68,75.63,8677200
36,2020-02-19,74.57,72.12,75.42,72.92,5973600
37,2020-02-18,71.1,70.35,74.5,74.0,6967200
38,2020-02-14,70.95,68.97,73.75,70.98,13438400
39,2020-02-13,61.01,60.57,63.67,63.05,4499600
40,2020-02-12,62.0,60.86,62.67,61.5,3146800
41,2020-02-11,61.77,60.63,62.01,61.98,2068400
42,2020-02-10,60.15,60.02,61.86,61.73,2283600
43,2020-02-07,59.83,58.75,60.25,60.06,2103200
44,2020-02-06,60.43,59.29,60.61,59.75,1912400
45,2020-02-05,61.08,59.25,61.08,59.63,2302800
46,2020-02-04,59.73,59.42,61.31,60.92,2742000
47,2020-02-03,60.26,59.11,60.96,59.27,2538000
48,2020-01-31,59.71,59.5,61.83,60.19,4000400
49,2020-01-30,59.46,58.0,59.94,59.73,1838400
50,2020-01-29,59.07,58.15,60.06,59.63,2550800
51,2020-01-28,58.96,58.46,59.44,58.74,2876000
52,2020-01-27,57.25,56.68,59.11,58.86,2235200
53,2020-01-24,59.44,58.27,59.67,58.49,2135600
54,2020-01-23,59.01,57.92,59.45,58.9,2331600
55,2020-01-22,58.43,58.43,59.83,58.91,2097200
56,2020-01-21,57.67,57.45,58.99,57.9,4198000
57,2020-01-17,59.05,57.56,59.2,57.7,2122800
58,2020-01-16,58.68,57.56,59.41,58.6,2804000
59,2020-01-15,58.86,57.33,58.94,58.58,3788800
60,2020-01-14,59.04,58.44,60.49,58.76,3293600
61,2020-01-13,58.75,56.0,59.02,58.96,6299600
62,2020-01-10,60.36,58.98,60.54,59.33,2511200
63,2020-01-09,58.75,57.78,60.2,59.82,3836800
64,2020-01-08,57.7,57.2,58.94,58.31,2938400
65,2020-01-07,56.25,56.25,58.61,57.86,5351200
66,2020-07-06,103.05,102.2,108.22,105.79,4970800
67,2020-07-02,100.56,99.51,103.87,101.84,4327600
68,2020-07-01,102.24,98.82,102.24,100.05,3970800
69,2020-06-30,99.45,97.96,102.18,101.35,4586000
70,2020-06-29,96.92,94.22,99.64,99.55,3956400
71,2020-06-26,99.99,93.81,101.14,95.76,11696800
72,2020-06-25,98.8,95.02,99.67,99.52,4167600
73,2020-06-24,101.44,96.75,102.93,98.57,4058000
74,2020-06-23,101.84,101.25,103.64,101.72,2949200
75,2020-06-22,103.76,101.2,103.87,101.58,3402400
76,2020-06-19,101.29,100.78,103.06,102.34,6793200
77,2020-06-18,101.28,99.78,101.85,100.48,2978000
78,2020-06-17,99.63,98.92,101.83,100.79,4578400
79,2020-06-16,100.5,96.57,100.84,98.25,4915200
80,2020-06-15,90.75,89.67,99.89,99.69,6764400
81,2020-06-12,92.15,90.74,96.47,92.56,5253200
82,2020-06-11,94.5,90.23,95.39,90.68,5179200
83,2020-06-10,96.31,92.96,96.93,96.29,4283600
84,2020-06-09,93.25,93.25,97.33,95.13,6551200
85,2020-06-08,90.56,88.07,92.56,92.15,5318400
86,2020-06-05,85.01,84.0,91.86,91.12,8621200
87,2020-06-04,90.92,85.08,91.21,86.21,8408000
88,2020-06-03,93.5,90.01,94.18,91.46,4508400
89,2020-06-02,94.0,92.1,95.19,93.94,3030400
90,2020-06-01,95.63,93.03,95.97,94.68,3107200
91,2020-05-29,91.87,91.0,94.77,94.58,5297200
92,2020-05-28,90.15,89.91,94.67,90.46,6292000
93,2020-05-27,95.05,84.07,95.05,89.91,11752000
94,2020-05-26,102.12,95.02,102.94,95.45,6438800
95,2020-05-22,99.18,96.78,101.39,101.31,2915600
96,2020-05-21,99.83,97.71,100.8,99.84,3316400
97,2020-05-20,102.45,98.78,102.75,99.99,4648400
98,2020-05-19,102.98,99.92,104.52,101.14,5815600
99,2020-05-18,106.25,103.31,107.15,103.61,4483600
100,2020-05-15,99.76,99.21,104.75,104.43,4948800
101,2020-05-14,100.39,99.18,102.18,100.76,6080400
102,2020-05-13,103.23,100.5,103.63,101.8,8064400
103,2020-05-12,105.07,102.53,105.44,102.7,12266400
104,2020-05-11,101.01,100.9,107.0,105.34,94684000
105,2020-05-08,101.78,99.56,103.66,101.38,14540000
106,2020-05-07,97.96,97.25,102.12,101.09,15350400
107,2020-05-06,92.81,91.38,95.35,91.63,5258000
108,2020-05-05,89.99,87.77,93.6,91.07,5600400
109,2020-05-04,85.76,84.86,88.21,88.13,4112400
110,2020-05-01,82.75,82.1,85.82,85.38,4036000
111,2020-04-30,85.75,83.75,87.74,83.8,5653600
112,2020-04-29,85.0,82.09,86.55,86.37,8518800
113,2020-04-28,83.75,78.04,84.5,78.38,7284800
114,2020-04-27,85.89,82.5,86.14,83.76,6521200
115,2020-04-24,81.86,81.12,83.57,83.11,4242400
116,2020-04-23,79.64,79.29,82.22,80.51,3442000
117,2020-04-22,77.87,77.83,80.89,80.16,2858400
118,2020-04-21,80.1,76.75,80.73,77.1,5571600
119,2020-04-20,80.72,79.0,82.13,80.82,5177200
120,2020-04-17,77.72,75.83,82.4,80.85,15599600
121,2020-04-16,73.75,73.75,77.27,76.57,6232800
122,2020-04-15,69.72,69.41,75.0,72.92,5066800
123,2020-04-14,69.2,68.51,71.31,70.17,5361600
124,2020-04-13,69.97,67.53,71.45,68.32,4760400
125,2020-04-09,64.99,64.65,69.15,68.82,4666800
126,2020-04-08,63.85,62.56,65.1,64.5,4570800
127,2020-04-07,68.24,62.5,70.0,62.68,5384800
128,2020-10-05,97.0,94.68,97.44,95.63,3310800
129,2020-10-02,99.25,94.78,100.4,96.13,5284800
130,2020-10-01,104.27,102.46,105.0,103.46,1986400
131,2020-09-30,100.6,99.38,103.91,103.06,2511200
132,2020-09-29,99.95,99.49,102.39,100.54,2238400
133,2020-09-28,99.75,96.75,100.38,100.05,4323600
134,2020-09-25,94.95,94.19,100.63,100.59,2830800
135,2020-09-24,95.25,94.2,96.95,95.51,1695200
136,2020-09-23,98.78,95.65,99.63,96.52,2172800
137,2020-09-22,98.04,95.43,99.66,99.53,2636000
138,2020-09-21,96.25,95.42,98.3,97.92,2671200
139,2020-09-18,97.71,95.25,100.26,97.33,6378400
140,2020-09-17,95.65,93.9,97.4,96.55,4665200
141,2020-09-16,99.96,97.88,100.99,98.48,2566400
142,2020-09-15,99.64,98.0,100.12,99.49,1778400
143,2020-09-14,96.55,96.53,99.93,98.4,2464400
144,2020-09-11,99.01,94.45,99.85,95.86,2412000
145,2020-09-10,101.33,97.14,101.42,97.5,3157200
146,2020-09-09,99.61,97.56,100.96,100.42,3025600
147,2020-09-08,97.72,95.79,99.04,97.3,2912800
148,2020-09-04,103.16,94.34,103.71,99.56,5034000
149,2020-09-03,109.0,102.25,111.61,103.24,6118800
150,2020-09-02,105.98,103.25,112.5,111.93,6223200
151,2020-09-01,105.75,104.98,107.82,105.55,2497200
152,2020-08-31,104.51,103.15,106.96,106.35,2669200
153,2020-08-28,107.08,104.45,107.75,104.74,2008000
154,2020-08-27,106.32,103.25,107.81,106.94,2634400
155,2020-08-26,106.41,105.76,108.38,106.42,2260800
156,2020-08-25,102.85,102.77,107.68,107.52,2025600
157,2020-08-24,106.93,103.63,107.25,105.7,2129600
158,2020-08-21,108.22,106.0,108.7,106.72,2338400
159,2020-08-20,107.98,107.88,110.26,107.97,1940400
160,2020-08-19,109.68,107.26,110.32,108.22,1865200
161,2020-08-18,111.29,108.52,111.58,109.31,2032000
162,2020-08-17,107.24,106.86,110.46,110.23,2132400
163,2020-08-14,109.13,105.78,110.11,106.29,1898400
164,2020-08-13,108.2,107.68,110.0,108.82,2421600
