,date,open,low,high,close,volume
0,2020-01-06,106.95,106.63,109.31,108.78,2934200
1,2020-01-03,105.58,105.12,107.75,107.2,1840440
2,2020-01-02,107.94,106.76,108.35,107.34,1901000
3,2020-04-06,105.39,104.55,107.5,106.51,4280200
4,2020-04-03,102.81,100.79,104.35,102.83,4084351
5,2020-04-02,98.1,97.5,102.82,102.29,3793001
6,2020-04-01,98.38,96.7,99.84,97.53,4056555
7,2020-03-31,97.79,96.62,101.0,100.17,3762591
8,2020-03-30,96.77,96.17,99.29,97.69,3352746
9,2020-03-27,96.53,94.63,99.68,95.37,4519950
10,2020-03-26,90.47,90.08,99.57,99.2,5751429
11,2020-03-25,93.53,89.46,94.15,89.64,5005600
12,2020-03-24,100.0,90.81,103.1,94.3,5765217
13,2020-03-23,89.73,88.43,97.72,95.47,8149026
14,2020-03-20,92.24,86.75,94.37,86.94,6174432
15,2020-03-19,90.95,86.0,93.98,90.06,6549719
16,2020-03-18,91.5,85.92,97.69,90.21,7073400
17,2020-03-17,91.6,87.11,98.2,95.41,6370149
18,2020-03-16,89.19,85.69,96.12,88.67,6196643
19,2020-03-13,98.74,92.75,99.61,97.06,5842000
20,2020-03-12,94.79,92.55,99.42,93.35,6288715
21,2020-03-11,101.61,98.33,102.17,101.18,4906155
22,2020-03-10,101.4,96.65,103.57,103.38,6525740
23,2020-03-09,101.57,99.91,104.18,100.93,4784300
24,2020-03-06,106.45,105.0,108.76,107.67,3886216
25,2020-03-05,109.49,109.11,111.93,110.21,3029900
26,2020-03-04,108.29,108.06,111.94,111.83,4289801
27,2020-03-03,106.73,105.38,109.71,106.7,3984827
28,2020-03-02,101.92,101.71,106.93,106.89,4291754
29,2020-02-28,100.29,98.59,101.89,101.37,6853700
30,2020-02-27,104.35,102.72,106.4,102.74,4906228
31,2020-02-26,106.36,105.6,108.26,106.54,2858165
32,2020-02-25,107.72,105.24,109.22,105.38,3651300
33,2020-02-24,105.05,105.02,107.93,107.03,2817317
34,2020-02-21,108.49,106.8,108.94,108.01,2546911
35,2020-02-20,108.72,107.45,109.37,109.2,4034215
36,2020-02-19,110.1,109.4,110.9,109.78,1540000
37,2020-02-18,109.09,108.7,109.83,109.46,2171412
38,2020-02-14,108.9,108.75,109.89,109.69,1227518
39,2020-02-13,109.15,107.97,109.34,108.84,1627014
40,2020-02-12,109.67,108.59,109.98,109.72,1567210
41,2020-02-11,108.95,107.94,109.23,109.04,1195348
42,2020-02-10,109.02,108.23,109.76,108.7,2170800
43,2020-02-07,109.17,108.74,110.96,109.09,2231300
44,2020-02-06,108.8,108.41,110.35,110.0,2500746
45,2020-02-05,108.62,107.12,108.96,107.82,2895700
46,2020-02-04,106.44,105.33,107.42,107.07,4190905
47,2020-02-03,107.93,104.4,109.45,105.04,4155951
48,2020-01-31,110.75,105.5,110.75,107.92,6996154
49,2020-01-30,111.43,110.31,111.89,111.64,3838545
50,2020-01-29,112.51,111.24,112.96,112.21,2464719
51,2020-01-28,111.29,111.06,112.88,111.9,2961900
52,2020-01-27,110.24,109.95,111.19,110.56,2175505
53,2020-01-24,114.02,111.63,114.13,112.33,2304177
54,2020-01-23,112.92,112.0,113.73,113.48,1564900
55,2020-01-22,112.77,112.68,114.04,113.09,2423116
56,2020-01-21,112.55,111.77,112.97,112.41,2165000
57,2020-01-17,112.37,111.55,112.99,112.93,3053300
58,2020-01-16,110.0,109.95,111.29,111.26,2108561
59,2020-01-15,109.79,109.14,110.45,109.61,1479100
60,2020-01-14,109.66,108.71,110.17,109.58,1723409
61,2020-01-13,109.05,108.62,110.07,109.82,1858712
62,2020-01-10,109.2,108.2,109.27,108.59,1756079
63,2020-01-09,110.0,108.27,110.34,109.36,1818631
64,2020-01-08,108.18,107.78,110.0,109.49,2651600
65,2020-01-07,109.0,107.73,109.25,108.39,1694875
66,2020-07-06,135.47,133.51,136.52,134.27,2322100
67,2020-07-02,136.42,133.47,136.42,133.84,1893395
68,2020-07-01,132.04,131.33,135.52,135.22,3026491
69,2020-06-30,132.61,130.7,132.61,132.05,2177426
70,2020-06-29,130.98,129.2,132.37,130.69,1679646
71,2020-06-26,130.92,128.09,131.38,130.93,4905120
72,2020-06-25,131.48,129.09,131.89,130.74,2174400
73,2020-06-24,130.55,128.65,131.6,130.87,2208900
74,2020-06-23,131.32,130.2,133.6,130.6,2553400
75,2020-06-22,131.02,128.8,131.86,129.72,2869460
76,2020-06-19,131.13,127.9,131.24,130.19,4239900
77,2020-06-18,128.1,128.1,129.45,129.35,2461399
78,2020-06-17,126.73,126.29,129.01,128.11,2173497
79,2020-06-16,127.14,125.06,127.87,125.73,2513875
80,2020-06-15,122.9,122.71,127.5,126.52,3883336
81,2020-06-12,123.1,119.81,124.76,121.97,2525502
82,2020-06-11,124.66,121.94,127.54,122.42,3509391
83,2020-06-10,122.15,121.46,125.66,124.81,3956100
84,2020-06-09,120.1,118.54,121.76,121.07,2346047
85,2020-06-08,116.5,115.89,119.58,119.51,3500128
86,2020-06-05,115.44,113.28,119.2,118.32,3355341
87,2020-06-04,117.48,116.05,119.11,117.18,2905372
88,2020-06-03,122.15,117.19,122.15,117.93,3813000
89,2020-06-02,123.25,120.68,123.53,122.36,2357935
90,2020-06-01,123.28,122.37,124.28,122.78,2036792
91,2020-05-29,122.29,119.27,123.14,122.88,4571913
92,2020-05-28,117.99,116.77,122.1,121.35,4753182
93,2020-05-27,115.07,111.11,117.76,117.38,4978700
94,2020-05-26,120.44,116.19,120.48,116.64,3260965
95,2020-05-22,117.22,116.62,120.01,119.82,2287319
96,2020-05-21,119.88,117.2,119.88,117.36,2257154
97,2020-05-20,119.1,119.06,121.76,119.55,3530440
98,2020-05-19,116.77,116.72,119.37,118.54,2518175
99,2020-05-18,116.71,114.73,117.92,117.12,4336314
100,2020-05-15,116.22,116.11,118.9,118.13,3268259
101,2020-05-14,116.5,114.46,117.26,117.12,2802800
102,2020-05-13,117.07,114.52,119.16,116.9,3079236
103,2020-05-12,117.68,116.29,119.52,116.37,2875700
104,2020-05-11,116.93,116.35,118.5,117.37,2899118
105,2020-05-08,116.25,115.58,117.52,116.62,3599068
106,2020-05-07,116.27,114.73,116.94,116.8,3579730
107,2020-05-06,115.0,111.83,117.16,115.32,6082900
108,2020-05-05,118.32,116.3,120.19,119.61,5060600
109,2020-05-04,113.91,113.65,117.56,116.83,3284807
110,2020-05-01,113.13,112.06,114.36,113.27,2378640
111,2020-04-30,112.48,112.4,114.49,114.26,3506742
112,2020-04-29,111.87,110.86,114.45,112.78,3912165
113,2020-04-28,116.0,110.92,116.49,111.35,4647906
114,2020-04-27,117.97,115.13,118.47,116.02,2352000
115,2020-04-24,115.67,114.09,116.68,116.31,1753986
116,2020-04-23,114.7,113.69,116.63,114.46,2737711
117,2020-04-22,114.36,111.18,115.07,114.57,2558987
118,2020-04-21,114.68,112.11,116.2,113.27,2483252
119,2020-04-20,114.84,113.92,116.53,115.41,2946205
120,2020-04-17,116.71,112.65,117.0,115.15,5032100
121,2020-04-16,114.75,114.53,118.69,118.1,4020648
122,2020-04-15,110.74,110.21,114.47,113.51,3100438
123,2020-04-14,111.8,110.0,113.02,112.03,2622857
124,2020-04-13,105.65,104.65,109.78,109.3,2680800
125,2020-04-09,106.0,105.06,109.38,105.8,3717255
126,2020-04-08,106.95,105.25,108.24,106.8,3199788
127,2020-04-07,107.13,100.11,107.46,106.32,5496345
128,2020-10-05,130.09,129.07,132.95,130.72,1270110
129,2020-10-02,131.37,127.71,132.24,129.07,1751296
130,2020-10-01,132.07,131.46,134.06,132.78,1868992
131,2020-09-30,129.73,129.45,131.99,130.41,2164435
132,2020-09-29,132.06,129.5,132.43,130.02,1793543
133,2020-09-28,133.36,130.87,133.85,132.28,1796846
134,2020-09-25,129.51,128.69,132.01,131.19,1915724
135,2020-09-24,128.21,128.09,130.31,129.32,2001512
136,2020-09-23,131.57,127.94,132.32,128.42,2444503
137,2020-09-22,129.84,128.46,131.22,131.02,2082109
138,2020-09-21,124.33,124.15,128.47,128.29,2017441
139,2020-09-18,125.49,123.37,126.7,125.9,3402812
140,2020-09-17,124.22,123.54,126.54,125.26,2151800
141,2020-09-16,128.99,126.47,129.52,126.74,1832214
142,2020-09-15,127.99,127.5,129.86,128.33,2129600
143,2020-09-14,127.93,125.93,128.01,126.18,1377254
144,2020-09-11,127.99,124.4,128.39,126.02,1746640
145,2020-09-10,129.88,126.34,131.13,127.26,2460000
146,2020-09-09,126.54,124.89,129.52,128.7,2776509
147,2020-09-08,127.46,123.33,127.5,124.3,4622778
148,2020-09-04,131.63,126.91,132.65,130.13,2430011
149,2020-09-03,138.24,131.22,138.24,132.82,3430500
150,2020-09-02,138.0,136.64,140.3,139.56,2337422
151,2020-09-01,140.74,137.08,140.74,138.29,2720882
152,2020-08-31,141.08,138.09,141.11,139.47,2727367
153,2020-08-28,142.34,140.01,142.34,140.87,1553879
154,2020-08-27,143.38,139.85,143.74,141.77,1923000
155,2020-08-26,142.06,142.06,144.5,143.63,1580507
156,2020-08-25,142.01,141.0,142.4,142.21,857689
157,2020-08-24,142.27,141.21,142.84,142.33,1842651
158,2020-08-21,142.76,140.84,142.99,141.21,1940008
159,2020-08-20,141.62,141.05,143.96,143.48,1268149
160,2020-08-19,142.28,141.07,143.62,141.86,1816600
161,2020-08-18,140.6,140.16,142.74,142.58,1413936
162,2020-08-17,139.25,138.31,140.97,140.45,1481084
163,2020-08-14,141.64,139.95,142.01,140.43,1904209
164,2020-08-13,141.12,140.58,142.85,141.77,1191474
165,2020-08-12,136.88,136.18,140.3,139.9,1714289
166,2020-08-11,141.15,135.56,141.15,135.7,2221709
167,2020-08-10,142.77,139.5,143.99,140.7,1378381
168,2020-08-07,146.43,142.32,146.84,143.99,1514878
169,2020-08-06,146.33,144.5,147.36,146.95,1671700
170,2020-08-05,145.82,143.26,146.34,146.18,1937018
171,2020-08-04,143.24,143.1,146.5,146.32,2680365
172,2020-08-03,141.55,139.55,143.43,142.36,2234014
173,2020-07-31,142.04,137.1,142.84,141.62,4301200
174,2020-07-30,135.7,135.25,138.84,138.59,2717700
175,2020-07-29,135.77,134.69,136.51,135.93,1532800
176,2020-07-28,135.42,134.39,136.31,134.78,1319941
177,2020-07-27,135.49,134.82,137.14,136.16,1819469
178,2020-07-24,133.75,132.72,136.26,135.24,1354384
179,2020-07-23,139.3,134.73,139.57,135.36,1896400
180,2020-07-22,140.95,137.87,140.95,138.3,2057910
181,2020-07-21,141.56,138.89,141.99,139.34,1481569
182,2020-07-20,139.43,138.75,142.31,141.53,1589936
183,2020-07-17,138.18,136.84,138.73,138.31,2040957
184,2020-07-16,137.84,135.75,138.36,138.05,1301890
185,2020-07-15,137.98,135.84,138.98,138.43,2050948
186,2020-07-14,134.2,133.48,138.79,138.53,2409410
187,2020-07-13,141.01,134.77,141.58,135.31,2570714
188,2020-07-10,139.42,138.29,141.25,140.81,2119864
189,2020-07-09,136.36,136.06,139.11,138.8,2312100
190,2020-07-08,135.91,134.51,136.34,135.61,1866832
191,2020-07-07,133.87,133.8,137.42,134.78,1896134
192,2021-01-04,143.44,138.16,143.65,139.51,3587160
193,2020-12-31,141.91,141.91,143.86,143.6,1690246
194,2020-12-30,141.39,140.89,142.63,142.05,1684592
195,2020-12-29,141.0,140.28,142.13,140.7,1188570
196,2020-12-28,142.33,138.78,142.55,140.72,1756159
197,2020-12-24,141.32,140.78,142.2,141.81,688124
198,2020-12-23,139.52,138.63,142.39,141.51,1762444
199,2020-12-22,141.24,138.69,141.72,139.43,2105095
200,2020-12-21,141.63,138.97,142.37,141.01,2631175
201,2020-12-18,140.66,139.58,142.97,142.61,4874221
202,2020-12-17,141.95,138.32,142.5,139.85,3625919
203,2020-12-16,139.5,139.33,143.45,141.6,4029311
204,2020-12-15,137.81,137.11,140.8,140.66,3394791
205,2020-12-14,138.5,136.6,138.59,137.54,3356949
206,2020-12-11,134.78,134.63,137.11,135.8,3195700
207,2020-12-10,131.66,131.25,135.37,134.68,2903822
208,2020-12-09,131.56,130.84,133.63,133.17,4229637
209,2020-12-08,130.43,129.72,132.54,132.15,2835800
210,2020-12-07,129.19,128.88,130.98,130.84,2671429
211,2020-12-04,126.42,126.25,129.15,128.69,2743137
212,2020-12-03,130.5,128.18,130.87,128.38,2352200
213,2020-12-02,127.03,126.48,129.75,129.54,1905700
214,2020-12-01,127.58,125.66,128.0,127.24,2827862
215,2020-11-30,124.77,123.27,128.4,127.75,10085307
216,2020-11-27,123.58,122.41,125.0,124.17,2489440
217,2020-11-25,120.81,120.6,123.56,121.51,2850900
218,2020-11-24,121.49,119.74,121.97,120.25,3471800
219,2020-11-23,122.03,120.44,123.39,121.86,2086006
220,2020-11-20,119.53,119.1,123.0,121.87,3186929
221,2020-11-19,116.74,116.41,121.52,120.14,2839206
222,2020-11-18,118.34,116.65,118.58,116.84,2509222
223,2020-11-17,119.33,118.05,120.65,118.52,2954293
224,2020-11-16,119.25,117.55,120.71,118.6,3069469
225,2020-11-13,120.22,119.37,121.46,120.8,2111294
226,2020-11-12,120.93,118.97,122.32,119.32,2341420
227,2020-11-11,120.3,117.59,120.64,119.78,3573032
228,2020-11-10,116.99,114.78,120.53,118.93,4454291
229,2020-11-09,116.46,110.15,121.3,116.97,7097239
230,2020-11-06,119.5,114.53,120.7,119.19,12151130
