,date,open,low,high,close,volume
0,2020-01-06,35.78,35.46,35.82,35.78,5866016
1,2020-01-03,35.92,35.78,36.1,35.96,3960900
2,2020-01-02,36.41,36.14,36.5,36.3,4979348
3,2020-04-06,30.67,30.28,31.32,31.18,14731910
4,2020-04-03,29.15,28.8,29.67,29.41,10869248
5,2020-04-02,28.32,28.3,29.41,29.19,12007125
6,2020-04-01,29.34,28.48,29.75,28.78,14341767
7,2020-03-31,31.03,29.94,31.18,30.06,15868732
8,2020-03-30,30.62,30.02,31.54,31.19,14952000
9,2020-03-27,29.53,29.38,30.87,30.18,14183240
10,2020-03-26,28.48,28.48,30.27,30.16,14334084
11,2020-03-25,27.66,27.12,29.48,28.37,18486127
12,2020-03-24,27.37,26.24,27.88,27.67,24055034
13,2020-03-23,27.25,26.02,27.64,26.34,18502800
14,2020-03-20,29.5,27.21,30.2,27.58,24947130
15,2020-03-19,31.47,29.45,31.49,29.6,19461400
16,2020-03-18,31.62,30.2,32.85,31.3,20304824
17,2020-03-17,32.76,32.32,33.94,33.28,14020415
18,2020-03-16,30.88,30.58,33.35,32.24,17099763
19,2020-03-13,34.55,32.99,34.81,33.99,20972148
20,2020-03-12,32.74,32.51,35.04,33.03,17224840
21,2020-03-11,35.15,34.36,35.74,34.83,13056788
22,2020-03-10,36.49,35.0,36.61,36.04,15419023
23,2020-03-09,34.02,33.64,36.13,35.52,15594000
24,2020-03-06,35.71,35.59,36.79,36.39,12849857
25,2020-03-05,37.48,37.07,38.22,37.22,11816775
26,2020-03-04,37.32,37.14,38.54,38.49,13445437
27,2020-03-03,35.73,35.66,37.42,36.72,18838700
28,2020-03-02,34.62,34.28,35.97,35.96,13131255
29,2020-02-28,34.09,33.71,34.77,34.64,16824887
30,2020-02-27,36.15,35.01,36.45,35.04,16142639
31,2020-02-26,36.81,36.42,37.18,36.69,11918253
32,2020-02-25,37.31,36.39,37.63,36.46,15856600
33,2020-02-24,37.63,36.97,37.87,37.26,18961746
34,2020-02-21,37.34,37.15,38.94,38.2,14697287
35,2020-02-20,37.34,37.22,37.87,37.69,8940335
36,2020-02-19,38.03,37.52,38.05,37.53,7598473
37,2020-02-18,38.28,37.76,38.63,37.87,15224169
38,2020-02-14,37.57,37.31,38.23,38.14,10998700
39,2020-02-13,37.05,36.7,37.27,37.19,7317900
40,2020-02-12,36.64,36.61,37.5,37.15,11499278
41,2020-02-11,36.2,36.06,36.67,36.44,9380300
42,2020-02-10,36.18,35.49,36.23,36.02,11638100
43,2020-02-07,35.83,35.8,36.87,36.2,18990660
44,2020-02-06,37.73,37.53,39.04,38.0,24981600
45,2020-02-05,36.86,36.61,37.45,37.13,25896732
46,2020-02-04,35.1,34.33,39.25,37.41,46298200
47,2020-02-03,33.75,33.71,34.53,34.39,14939947
48,2020-01-31,34.86,33.53,35.03,33.56,18541300
49,2020-01-30,34.36,34.25,35.14,35.06,12420060
50,2020-01-29,35.06,34.35,35.53,34.58,21463618
51,2020-01-28,35.61,35.49,36.45,36.21,15161800
52,2020-01-27,34.79,34.75,35.74,35.48,10529200
53,2020-01-24,35.79,35.1,35.79,35.36,9243600
54,2020-01-23,35.82,35.55,35.98,35.61,7980240
55,2020-01-22,35.81,35.63,36.07,35.89,8023517
56,2020-01-21,35.6,35.47,35.86,35.72,6925480
57,2020-01-17,35.32,35.28,35.9,35.82,12082467
58,2020-01-16,35.39,35.27,35.99,35.92,6955922
59,2020-01-15,35.43,35.05,35.72,35.33,10966043
60,2020-01-14,34.67,34.51,35.37,35.35,7227472
61,2020-01-13,34.85,34.56,34.89,34.73,7988734
62,2020-01-10,35.21,34.79,35.23,34.89,5664400
63,2020-01-09,35.14,34.97,35.45,35.18,10787739
64,2020-01-08,35.71,35.57,36.08,35.6,6072600
65,2020-01-07,35.67,35.35,35.7,35.62,6868280
66,2020-07-06,55.49,54.94,56.97,56.17,9889300
67,2020-07-02,53.59,53.55,54.88,54.36,8468403
68,2020-07-01,52.71,51.32,53.43,52.96,12880203
69,2020-06-30,51.42,51.32,52.75,52.45,10559900
70,2020-06-29,51.07,50.12,51.34,51.31,8933915
71,2020-06-26,50.89,50.08,51.28,50.89,17762400
72,2020-06-25,48.72,48.41,49.54,49.4,10268723
73,2020-06-24,49.8,48.65,50.45,48.77,13009019
74,2020-06-23,49.59,49.1,50.32,49.8,12289349
75,2020-06-22,48.34,48.01,49.32,49.16,9223500
76,2020-06-19,48.73,47.42,48.95,48.29,36555733
77,2020-06-18,48.55,48.18,49.09,48.44,11344046
78,2020-06-17,48.26,48.21,49.1,48.43,9692410
79,2020-06-16,48.49,47.54,48.73,48.12,9643795
80,2020-06-15,46.94,46.64,48.12,47.89,12466094
81,2020-06-12,48.39,46.85,48.83,47.66,10056507
82,2020-06-11,49.43,47.69,49.82,47.94,10563926
83,2020-06-10,50.25,49.07,50.34,49.25,10545920
84,2020-06-09,48.87,48.57,50.0,49.75,9699811
85,2020-06-08,48.3,47.84,49.05,48.72,12182638
86,2020-06-05,49.24,48.24,49.7,48.82,16332639
87,2020-06-04,51.34,48.8,51.88,49.36,32274632
88,2020-06-03,46.35,46.08,46.72,46.45,7599225
89,2020-06-02,45.24,45.14,46.23,45.98,9959126
90,2020-06-01,45.4,45.01,45.97,45.2,8934883
91,2020-05-29,44.3,43.88,45.65,45.54,18741857
92,2020-05-28,44.14,44.01,44.98,44.23,12476814
93,2020-05-27,43.3,42.86,44.18,44.15,8706500
94,2020-05-26,43.99,43.31,44.28,43.36,9548905
95,2020-05-22,42.25,42.21,43.5,43.45,9879700
96,2020-05-21,42.75,42.24,42.93,42.47,8281748
97,2020-05-20,43.0,42.44,43.34,42.71,9282500
98,2020-05-19,42.46,42.39,43.18,42.4,13600300
99,2020-05-18,42.6,42.33,42.9,42.5,8882200
100,2020-05-15,41.46,41.38,42.47,42.11,13183200
101,2020-05-14,41.31,40.81,42.09,42.04,11165410
102,2020-05-13,41.78,41.05,42.38,41.58,11042147
103,2020-05-12,42.24,41.78,42.86,42.0,9548400
104,2020-05-11,41.88,41.6,42.43,42.13,13731878
105,2020-05-08,41.7,41.7,42.44,42.15,8946445
106,2020-05-07,41.27,41.06,41.61,41.37,12589041
107,2020-05-06,40.64,40.19,41.09,40.95,11026376
108,2020-05-05,39.92,39.77,40.76,40.32,12414258
109,2020-05-04,39.28,39.06,39.87,39.83,10220295
110,2020-05-01,38.78,38.34,39.47,39.25,13894700
111,2020-04-30,37.63,37.55,39.96,39.83,18279500
112,2020-04-29,39.45,38.84,39.75,39.03,17989643
113,2020-04-28,39.59,38.91,39.9,39.08,16170408
114,2020-04-27,40.04,39.56,40.36,39.63,11090200
115,2020-04-24,38.85,38.27,39.53,39.35,16896109
116,2020-04-23,38.46,37.66,38.84,37.91,15276074
117,2020-04-22,38.15,37.92,38.48,38.25,9823860
118,2020-04-21,37.51,37.31,38.23,37.61,12259600
119,2020-04-20,37.47,37.28,38.32,37.64,12664002
120,2020-04-17,37.45,36.99,37.64,37.46,15513645
121,2020-04-16,36.53,36.29,37.37,37.22,11205800
122,2020-04-15,35.31,35.08,36.41,36.19,10651525
123,2020-04-14,35.45,35.27,35.98,35.74,14583117
124,2020-04-13,34.29,33.96,35.08,34.76,13792283
125,2020-04-09,33.4,33.37,34.1,33.83,13558596
126,2020-04-08,31.85,31.8,33.08,33.01,12044505
127,2020-04-07,32.08,31.56,32.22,31.62,10602500
128,2020-10-05,51.94,51.15,52.11,51.77,4954700
129,2020-10-02,51.61,51.19,52.43,51.68,5456738
130,2020-10-01,52.37,52.0,52.86,52.38,6659601
131,2020-09-30,52.98,51.51,53.62,52.1,9083931
132,2020-09-29,53.95,52.59,54.3,52.65,7029265
133,2020-09-28,53.2,53.1,54.36,54.04,6507200
134,2020-09-25,51.97,51.18,52.73,52.48,6852738
135,2020-09-24,50.22,50.04,52.17,51.78,8182500
136,2020-09-23,51.15,50.42,51.46,50.68,6502950
137,2020-09-22,50.64,49.83,51.04,50.92,6906312
138,2020-09-21,47.93,47.73,50.24,50.14,9097420
139,2020-09-18,49.0,48.08,49.24,48.61,10017383
140,2020-09-17,49.36,47.44,49.44,48.64,15676200
141,2020-09-16,51.78,50.29,52.25,50.42,9394266
142,2020-09-15,52.68,51.64,52.99,51.78,7750000
143,2020-09-14,53.29,52.21,53.58,52.3,7417759
144,2020-09-11,52.33,52.1,53.08,52.77,7224692
145,2020-09-10,53.72,52.03,54.6,52.32,7080713
146,2020-09-09,52.03,51.71,53.71,53.44,8912100
147,2020-09-08,51.17,50.97,52.66,51.53,12745100
148,2020-09-04,52.82,50.95,53.33,52.54,9971559
149,2020-09-03,54.64,52.59,55.42,53.16,10157700
150,2020-09-02,53.89,53.51,55.23,55.09,10896300
151,2020-09-01,54.95,53.37,55.23,53.65,10127517
152,2020-08-31,54.0,53.57,54.91,54.78,13417201
153,2020-08-28,56.26,54.05,56.26,54.27,12445500
154,2020-08-27,58.92,56.2,58.92,56.31,8112935
155,2020-08-26,57.96,57.38,58.66,58.58,6498800
156,2020-08-25,58.51,58.02,58.89,58.05,4983200
157,2020-08-24,58.46,58.06,58.96,58.78,6053230
158,2020-08-21,57.86,57.51,59.06,58.21,6784603
159,2020-08-20,57.6,57.16,58.06,57.66,6458400
160,2020-08-19,57.15,57.03,58.38,57.71,7208619
161,2020-08-18,57.57,56.94,57.88,57.03,4807100
162,2020-08-17,56.69,56.3,57.57,57.35,5689921
163,2020-08-14,56.53,55.87,57.6,56.29,6253200
164,2020-08-13,55.6,55.6,57.06,56.28,8206341
165,2020-08-12,54.4,54.39,56.2,55.49,6977569
166,2020-08-11,54.21,53.7,55.64,54.29,9325542
167,2020-08-10,55.22,54.02,55.29,54.37,6268438
168,2020-08-07,55.34,54.78,55.92,55.21,6369480
169,2020-08-06,55.99,54.84,56.53,55.08,8657472
170,2020-08-05,56.47,55.98,56.93,56.66,6974308
171,2020-08-04,56.27,55.78,56.78,56.33,6120700
172,2020-08-03,55.69,55.57,56.82,56.57,8830726
173,2020-07-31,55.06,54.33,55.83,55.28,8945500
174,2020-07-30,54.0,53.73,54.94,54.72,8018300
175,2020-07-29,55.19,53.66,56.04,54.53,14250514
176,2020-07-28,57.11,56.11,57.34,56.35,11066834
177,2020-07-27,55.73,55.53,57.38,57.23,7820700
178,2020-07-24,55.02,54.04,55.36,55.12,6509620
179,2020-07-23,56.44,54.86,56.82,55.15,9819226
180,2020-07-22,56.67,56.13,57.43,56.34,9139800
181,2020-07-21,59.08,55.69,59.55,56.59,18075505
182,2020-07-20,58.71,57.77,58.8,58.47,6417149
183,2020-07-17,58.93,57.78,59.11,58.13,6629608
184,2020-07-16,57.9,57.9,58.92,58.65,7231200
185,2020-07-15,58.82,57.24,59.13,58.39,10724819
186,2020-07-14,57.75,57.28,59.29,59.08,10054000
187,2020-07-13,60.29,57.89,61.06,58.3,13128100
188,2020-07-10,59.35,58.12,59.89,59.27,11750741
189,2020-07-09,58.73,58.52,60.53,59.22,15414600
190,2020-07-08,57.35,57.16,58.46,58.27,11127232
191,2020-07-07,55.95,55.93,57.55,57.0,10641800
192,2021-01-04,50.48,50.45,51.9,51.5,7843511
193,2020-12-31,50.61,50.0,50.81,50.25,3597307
194,2020-12-30,51.02,50.47,51.51,50.55,8618922
195,2020-12-29,50.65,50.3,51.11,50.86,4796748
196,2020-12-28,50.5,49.93,50.55,50.24,6187400
197,2020-12-24,51.23,49.94,51.24,50.12,2718524
198,2020-12-23,52.0,51.13,52.0,51.13,4739607
199,2020-12-22,51.71,51.08,52.02,51.62,6216128
200,2020-12-21,52.62,51.17,52.68,51.57,6082303
201,2020-12-18,53.1,52.4,53.26,53.06,10943142
202,2020-12-17,53.63,52.44,53.96,53.05,6195700
203,2020-12-16,52.16,52.16,54.89,53.65,12846706
204,2020-12-15,49.96,49.69,52.1,52.08,7780397
205,2020-12-14,49.23,49.23,50.5,49.57,9127400
206,2020-12-11,49.44,48.67,49.61,49.13,4549638
207,2020-12-10,49.4,48.93,49.84,49.6,4344046
208,2020-12-09,49.96,49.22,50.18,49.5,6794500
209,2020-12-08,49.91,49.28,50.23,49.89,7091510
210,2020-12-07,50.91,49.91,51.01,50.03,5132246
211,2020-12-04,50.03,49.64,51.19,50.97,4791038
212,2020-12-03,51.25,50.11,51.3,50.29,5354235
213,2020-12-02,50.52,50.36,51.54,51.35,9281900
214,2020-12-01,50.5,50.18,51.46,50.52,7161528
215,2020-11-30,51.03,49.36,51.23,50.43,10743230
216,2020-11-27,50.94,50.9,51.93,51.34,3604040
217,2020-11-25,50.75,50.05,51.03,50.45,4438900
218,2020-11-24,49.92,49.83,51.29,50.53,7223267
219,2020-11-23,49.18,49.1,50.34,49.9,9421401
220,2020-11-20,49.8,48.96,49.88,48.99,10521533
221,2020-11-19,48.65,48.56,50.05,49.78,12012200
222,2020-11-18,48.07,48.07,49.46,48.53,12734100
223,2020-11-17,48.37,47.96,48.9,48.33,9892613
224,2020-11-16,48.45,48.01,49.17,48.55,14933349
225,2020-11-13,46.9,46.72,48.72,48.67,12084765
226,2020-11-12,48.13,46.4,48.17,46.59,10267543
227,2020-11-11,47.17,46.81,48.1,47.71,13142300
228,2020-11-10,47.55,45.36,47.64,46.54,15521805
229,2020-11-09,48.0,46.85,49.25,48.32,19388023
230,2020-11-06,49.7,49.05,51.17,50.69,10244436
231,2020-11-05,48.71,48.47,49.95,49.41,10325200
232,2020-11-04,49.47,47.56,49.64,47.82,16562125
233,2020-11-03,48.0,47.61,49.38,48.92,8909545
234,2020-11-02,48.19,47.21,49.34,47.87,10765800
235,2020-10-30,48.77,46.99,49.14,47.63,12566223
236,2020-10-29,49.3,48.03,50.8,49.28,22526800
237,2020-10-28,52.87,52.38,54.1,53.25,9717200
238,2020-10-27,53.39,53.0,53.84,53.55,4613049
239,2020-10-26,53.49,52.28,53.95,53.34,6597303
240,2020-10-23,52.47,52.47,53.95,53.79,5734700
241,2020-10-22,52.59,51.57,52.72,52.29,5166576
242,2020-10-21,54.29,52.63,54.48,52.82,6557416
243,2020-10-20,54.42,54.03,55.13,54.2,6407653
244,2020-10-19,56.43,53.92,56.9,54.32,6721200
245,2020-10-16,55.33,55.19,56.44,55.83,6167192
246,2020-10-15,55.79,54.86,56.11,55.4,6275916
247,2020-10-14,57.79,56.43,58.34,56.46,7515293
248,2020-10-13,55.55,55.4,57.82,57.59,7445700
249,2020-10-12,56.2,54.53,56.2,55.38,8092165
250,2020-10-09,52.43,52.32,55.86,55.45,12658343
251,2020-10-08,51.3,50.98,52.18,52.08,6746800
252,2020-10-07,50.55,49.98,51.11,50.94,6016408
253,2020-10-06,51.91,49.49,51.91,49.66,8824842
254,2021-04-05,63.35,62.55,63.98,63.69,6672800
255,2021-04-01,61.4,61.39,63.24,63.11,5210136
256,2021-03-31,60.84,60.75,62.67,61.24,8516830
257,2021-03-30,59.53,59.05,60.63,60.32,5400645
258,2021-03-29,60.88,59.28,61.18,59.85,7090352
259,2021-03-26,58.15,58.04,60.93,60.83,7409597
260,2021-03-25,57.73,56.98,58.43,58.09,5705597
261,2021-03-24,60.61,57.58,60.9,57.64,7141900
262,2021-03-23,60.4,60.01,61.03,60.31,5959428
263,2021-03-22,59.92,59.56,60.85,60.29,6584081
264,2021-03-19,59.16,58.51,60.03,59.73,10317941
265,2021-03-18,58.32,58.0,60.12,58.9,6547623
266,2021-03-17,56.73,56.72,59.73,59.0,6788449
267,2021-03-16,57.3,57.06,58.19,57.42,5873600
268,2021-03-15,55.85,55.61,57.71,57.67,5862094
269,2021-03-12,55.68,55.04,56.1,55.8,5025837
270,2021-03-11,55.95,55.46,56.58,56.24,5888000
271,2021-03-10,56.78,54.53,56.78,55.34,7202600
272,2021-03-09,54.6,54.32,56.97,56.17,8407000
273,2021-03-08,53.87,53.45,55.19,53.49,7622111
274,2021-03-05,53.88,51.51,54.12,53.76,8395102
275,2021-03-04,54.47,52.46,54.89,53.34,9940400
276,2021-03-03,56.73,54.48,56.95,54.6,11055547
277,2021-03-02,58.64,56.89,58.66,56.99,7646700
278,2021-03-01,57.1,56.53,58.7,58.48,6154507
279,2021-02-26,57.34,56.25,57.66,56.42,9014000
280,2021-02-25,59.4,56.85,59.97,56.98,7868324
