,date,open,low,high,close,volume
0,2020-01-06,188.33,187.68,189.29,187.71,1294800
1,2020-01-03,188.6,187.36,191.54,189.32,1251100
2,2020-01-02,193.66,189.85,193.89,190.23,1590500
3,2020-04-06,154.97,153.96,158.63,157.39,1708100
4,2020-04-03,151.3,146.57,154.72,147.26,1635032
5,2020-04-02,147.21,145.77,152.97,152.16,2486500
6,2020-04-01,150.42,145.31,151.22,146.7,2659600
7,2020-03-31,160.14,155.38,160.7,155.83,2442937
8,2020-03-30,160.02,157.26,162.58,161.4,1773800
9,2020-03-27,154.97,153.42,162.2,157.48,1800637
10,2020-03-26,154.69,153.02,163.21,161.69,2426032
11,2020-03-25,151.02,148.21,157.01,151.78,2236400
12,2020-03-24,135.41,132.03,154.46,152.97,3079064
13,2020-03-23,141.32,124.6,141.32,125.22,3445600
14,2020-03-20,159.42,140.57,159.43,141.88,2746228
15,2020-03-19,155.57,151.48,164.45,159.58,2084641
16,2020-03-18,164.98,143.61,170.9,156.53,2396133
17,2020-03-17,167.59,163.64,176.7,169.5,2791100
18,2020-03-16,163.3,157.41,173.29,166.12,2419439
19,2020-03-13,173.85,164.45,180.86,180.07,1908600
20,2020-03-12,174.63,165.0,178.39,165.06,2583534
21,2020-03-11,185.36,182.3,187.64,186.58,2145438
22,2020-03-10,188.96,180.91,191.73,190.85,2935700
23,2020-03-09,182.75,181.25,189.97,183.84,2081610
24,2020-03-06,193.91,188.88,195.75,194.41,1864404
25,2020-03-05,199.29,197.55,202.74,198.91,1599100
26,2020-03-04,197.91,195.4,204.53,204.34,1897700
27,2020-03-03,192.2,191.0,197.04,193.92,3065732
28,2020-03-02,182.7,182.09,191.28,191.22,1778744
29,2020-02-28,178.34,174.01,180.61,180.45,3424874
30,2020-02-27,191.38,183.43,192.71,183.48,2116613
31,2020-02-26,195.5,193.84,197.64,194.43,1716300
32,2020-02-25,202.0,193.72,203.41,194.78,1285801
33,2020-02-24,203.84,202.26,205.51,202.52,1307000
34,2020-02-21,205.81,205.59,208.83,207.5,1053800
35,2020-02-20,210.0,205.02,211.24,206.31,1200200
36,2020-02-19,208.62,208.22,210.71,210.31,1200800
37,2020-02-18,207.18,204.71,209.67,207.68,1355825
38,2020-02-14,207.52,206.49,208.13,207.31,1377372
39,2020-02-13,206.36,205.31,208.65,207.06,1088348
40,2020-02-12,205.64,204.81,207.5,206.82,1100004
41,2020-02-11,204.8,204.52,205.88,204.62,901100
42,2020-02-10,204.99,204.33,205.72,204.94,877500
43,2020-02-07,206.98,205.11,207.5,205.64,832200
44,2020-02-06,206.5,205.3,207.17,207.11,1235608
45,2020-02-05,204.82,202.49,206.5,206.3,1443939
46,2020-02-04,202.32,201.74,204.58,203.45,1388800
47,2020-02-03,197.06,196.2,201.82,201.53,1612716
48,2020-01-31,198.27,195.57,199.25,196.11,1095000
49,2020-01-30,197.6,196.27,199.68,199.48,654100
50,2020-01-29,199.0,197.71,199.67,197.81,587705
51,2020-01-28,196.89,196.16,198.87,198.18,894900
52,2020-01-27,196.19,195.46,197.41,196.75,1156700
53,2020-01-24,198.55,197.0,199.29,198.01,891100
54,2020-01-23,197.06,195.74,198.46,198.3,1253300
55,2020-01-22,196.47,195.67,197.49,196.4,1408200
56,2020-01-21,195.4,194.71,197.01,195.54,1273100
57,2020-01-17,193.48,192.25,195.6,195.58,1157300
58,2020-01-16,192.32,191.87,193.49,193.0,1393700
59,2020-01-15,189.86,189.82,192.4,191.45,657000
60,2020-01-14,190.95,189.46,191.81,189.96,1212629
61,2020-01-13,189.27,189.27,191.47,191.41,645432
62,2020-01-10,190.45,188.72,190.53,188.93,828600
63,2020-01-09,187.91,187.91,190.29,190.04,1115646
64,2020-01-08,187.5,186.19,188.83,187.54,1185906
65,2020-01-07,187.11,186.33,189.9,187.47,1556870
66,2020-07-06,203.33,197.86,204.52,201.73,1972693
67,2020-07-02,202.96,200.15,204.15,200.9,1727300
68,2020-07-01,199.22,197.71,201.27,200.24,1470242
69,2020-06-30,196.34,194.7,199.78,198.95,1302044
70,2020-06-29,194.47,192.59,196.43,195.62,1030400
71,2020-06-26,197.15,190.98,199.93,191.75,3866400
72,2020-06-25,195.49,192.3,196.71,196.03,1098500
73,2020-06-24,198.51,196.53,198.86,196.67,1296256
74,2020-06-23,203.06,199.72,204.56,199.81,1004100
75,2020-06-22,199.08,196.52,202.47,201.65,1211700
76,2020-06-19,209.44,199.41,209.94,199.75,2531800
77,2020-06-18,204.34,203.11,205.97,205.24,1374440
78,2020-06-17,207.76,203.64,207.76,205.06,1421045
79,2020-06-16,208.06,203.18,208.47,206.23,1848436
80,2020-06-15,198.73,196.69,200.8,199.89,3616200
81,2020-06-12,208.58,199.19,210.4,204.06,2066504
82,2020-06-11,219.88,201.87,220.65,202.54,2292112
83,2020-06-10,227.84,223.69,228.45,225.91,4439435
84,2020-06-09,226.92,225.89,229.21,226.71,9422304
85,2020-06-08,228.33,225.55,230.6,230.11,5622300
