,date,open,low,high,close,volume
0,2020-01-06,88.67,88.1,89.06,88.34,1395456
1,2020-01-03,88.56,88.46,89.23,88.63,1379633
2,2020-01-02,90.55,88.47,90.65,88.86,1335100
3,2020-04-06,80.71,79.57,83.0,81.05,2608100
4,2020-04-03,78.22,76.99,78.93,77.9,3904532
5,2020-04-02,76.0,76.0,79.63,78.93,3021824
6,2020-04-01,75.71,75.25,78.44,77.61,6352538
7,2020-03-31,79.75,77.34,80.0,78.0,3390908
8,2020-03-30,79.72,78.04,81.09,80.73,2557246
9,2020-03-27,74.26,74.01,79.72,77.9,2291656
10,2020-03-26,70.62,70.2,76.73,75.92,2771015
11,2020-03-25,69.35,67.8,74.46,70.93,3122100
12,2020-03-24,67.5,64.58,71.21,70.51,3372220
13,2020-03-23,72.5,62.03,72.69,65.35,5018114
14,2020-03-20,81.24,71.07,81.5,72.59,4902417
15,2020-03-19,92.56,79.56,92.56,80.09,5082117
16,2020-03-18,88.91,86.43,93.88,92.2,4117639
17,2020-03-17,81.42,81.42,94.63,93.88,5432000
18,2020-03-16,82.65,78.82,86.64,79.55,5037300
19,2020-03-13,86.34,84.02,89.16,88.07,5699658
20,2020-03-12,80.63,78.43,86.01,83.79,6073045
21,2020-03-11,87.57,84.69,88.0,86.5,4162800
22,2020-03-10,89.41,87.4,91.53,89.4,4040400
23,2020-03-09,85.55,83.52,89.93,88.66,5398434
24,2020-03-06,85.29,85.16,88.5,87.9,4705566
25,2020-03-05,86.65,86.07,88.08,87.58,2282940
26,2020-03-04,84.81,84.81,88.34,88.01,2415126
27,2020-03-03,84.39,83.57,86.43,83.84,3129749
28,2020-03-02,79.59,79.28,84.82,84.53,3615465
29,2020-02-28,81.26,77.8,81.28,78.82,5357530
30,2020-02-27,87.35,83.17,87.89,83.19,2752617
31,2020-02-26,88.43,87.67,89.15,87.69,2455375
32,2020-02-25,89.2,88.02,89.4,88.25,2328700
33,2020-02-24,89.46,88.6,90.13,88.89,2393497
34,2020-02-21,91.21,89.27,91.68,90.18,3976900
35,2020-02-20,93.87,93.63,94.65,94.58,1319292
36,2020-02-19,94.27,93.74,94.58,93.88,1029906
37,2020-02-18,93.72,93.63,94.58,94.35,2172713
38,2020-02-14,93.92,93.75,94.48,94.3,1249200
39,2020-02-13,92.8,92.23,93.74,93.64,1244306
40,2020-02-12,92.79,92.45,93.15,92.87,1552527
41,2020-02-11,93.29,93.01,93.62,93.18,1141743
42,2020-02-10,92.81,92.29,93.09,93.08,1029900
43,2020-02-07,93.78,92.78,93.96,92.78,1098516
44,2020-02-06,93.57,93.23,93.96,93.47,1212741
45,2020-02-05,92.4,92.18,93.49,93.4,1270831
46,2020-02-04,93.73,92.5,94.06,92.54,1631900
47,2020-02-03,94.16,93.34,94.32,93.85,1434400
48,2020-01-31,94.64,93.55,95.1,94.0,3781529
49,2020-01-30,94.5,93.91,94.93,94.74,1429726
50,2020-01-29,94.07,93.55,94.62,94.44,1640800
51,2020-01-28,93.47,93.47,94.68,94.18,1496505
52,2020-01-27,93.71,93.13,94.16,93.41,1999400
53,2020-01-24,92.56,92.52,93.72,93.61,1455900
54,2020-01-23,91.2,91.2,92.79,92.77,1741900
55,2020-01-22,91.2,91.01,91.6,91.16,1581737
56,2020-01-21,90.37,89.88,90.87,90.83,2140900
57,2020-01-17,89.17,88.93,90.42,90.24,2538400
58,2020-01-16,89.08,88.96,89.32,89.17,1707107
59,2020-01-15,88.06,87.95,89.2,88.96,1944206
60,2020-01-14,87.83,87.13,88.06,87.78,2134500
61,2020-01-13,87.47,87.29,88.19,87.79,1351800
62,2020-01-10,87.1,87.07,87.75,87.49,1453411
63,2020-01-09,86.82,86.71,87.25,86.88,1523204
64,2020-01-08,87.08,86.69,87.38,86.97,2255000
65,2020-01-07,88.0,87.18,88.58,87.67,1898475
66,2020-07-06,74.47,72.5,75.12,73.1,1520813
67,2020-07-02,73.1,73.01,74.36,73.81,1430439
68,2020-07-01,71.93,71.82,73.42,73.1,1692136
69,2020-06-30,72.61,71.01,72.98,71.93,2206200
70,2020-06-29,71.76,70.69,72.7,72.7,1594235
71,2020-06-26,70.64,70.46,71.98,71.28,3422626
72,2020-06-25,71.26,69.81,71.38,70.62,2435626
73,2020-06-24,70.32,69.91,72.01,71.53,2437094
74,2020-06-23,72.12,70.7,72.32,70.94,1395319
75,2020-06-22,71.44,70.86,72.68,71.42,2184300
76,2020-06-19,75.92,71.44,75.92,71.44,4629900
77,2020-06-18,74.98,74.51,75.97,74.87,1406600
78,2020-06-17,76.62,74.81,76.68,75.29,1933933
79,2020-06-16,77.02,75.94,78.17,76.37,1880302
80,2020-06-15,74.37,73.85,76.8,75.6,2742500
81,2020-06-12,76.07,74.27,76.4,75.38,2456917
82,2020-06-11,75.77,73.81,75.99,74.67,2175740
83,2020-06-10,76.5,76.5,77.67,76.95,1784200
84,2020-06-09,77.25,75.87,77.34,76.7,1868249
85,2020-06-08,75.4,75.1,77.77,77.71,1915281
86,2020-06-05,75.3,74.96,76.21,75.33,1916800
87,2020-06-04,75.23,73.85,75.61,74.83,1676100
88,2020-06-03,75.2,75.0,76.29,75.67,1512643
89,2020-06-02,75.43,73.99,75.52,74.82,1418100
90,2020-06-01,74.97,73.93,75.71,75.07,1612133
91,2020-05-29,72.86,72.45,75.21,75.06,3220700
92,2020-05-28,72.27,72.07,73.28,73.15,1567420
93,2020-05-27,72.08,70.56,72.55,71.25,1616051
94,2020-05-26,71.01,70.82,72.34,71.19,2232130
95,2020-05-22,69.86,69.45,70.31,70.18,1397047
96,2020-05-21,70.44,69.68,71.16,69.92,1317962
97,2020-05-20,71.33,70.39,72.37,70.74,1714200
98,2020-05-19,72.62,70.86,73.09,70.88,1809137
99,2020-05-18,72.01,71.42,73.78,73.11,2247918
100,2020-05-15,71.17,69.16,71.24,70.36,3950400
101,2020-05-14,70.87,69.25,72.18,71.64,2131714
102,2020-05-13,71.24,69.85,71.55,71.46,2130521
