,date,open,low,high,close,volume
0,2020-01-06,142.11,141.71,143.53,143.48,729424
1,2020-01-03,140.19,140.19,143.05,142.87,710600
2,2020-01-02,140.67,139.49,142.58,142.39,832900
3,2020-04-06,111.29,110.26,114.96,113.85,1030417
4,2020-04-03,108.25,105.66,112.09,106.62,792444
5,2020-04-02,112.04,107.04,114.24,109.31,1164800
6,2020-04-01,115.44,112.55,117.21,113.47,1087600
7,2020-03-31,121.24,119.04,122.91,119.45,1161842
8,2020-03-30,120.71,119.62,124.61,122.1,940930
9,2020-03-27,118.19,117.07,123.22,119.55,749917
10,2020-03-26,117.42,117.03,122.21,121.65,902600
11,2020-03-25,113.34,108.31,119.47,115.72,1392300
12,2020-03-24,108.38,107.15,114.93,113.66,1390933
13,2020-03-23,104.6,103.01,110.98,104.62,1525652
14,2020-03-20,117.0,105.35,118.0,105.65,1240400
15,2020-03-19,122.7,107.22,122.7,115.41,1724700
16,2020-03-18,123.85,107.81,127.17,124.11,1862200
17,2020-03-17,131.81,128.97,136.34,134.0,1669000
18,2020-03-16,128.68,120.68,131.74,128.93,1559300
19,2020-03-13,140.42,130.71,142.42,140.71,1713400
20,2020-03-12,134.6,129.44,139.76,135.47,2160400
21,2020-03-11,148.44,140.99,152.03,145.48,1627200
22,2020-03-10,145.77,143.06,152.87,152.86,1249722
23,2020-03-09,144.27,141.24,148.32,141.69,1331818
24,2020-03-06,153.42,149.36,155.97,154.18,1496701
25,2020-03-05,158.93,155.68,161.03,158.25,1703331
26,2020-03-04,153.97,152.6,163.04,162.87,1500742
27,2020-03-03,150.33,148.9,154.37,151.27,1529149
28,2020-03-02,143.97,143.05,151.03,150.87,1220000
29,2020-02-28,139.94,138.5,143.53,142.04,1611500
30,2020-02-27,150.56,145.01,152.09,145.09,1003000
31,2020-02-26,153.35,151.6,155.56,153.39,873200
32,2020-02-25,156.74,150.76,157.0,152.19,951300
33,2020-02-24,154.95,154.41,157.93,155.7,988500
34,2020-02-21,160.48,158.78,161.32,159.53,786600
35,2020-02-20,161.56,159.2,162.09,161.43,565613
36,2020-02-19,160.12,159.77,162.29,161.88,789804
37,2020-02-18,162.6,159.29,162.6,159.63,923145
38,2020-02-14,163.0,162.05,164.39,162.96,900208
39,2020-02-13,155.86,153.52,164.77,162.26,1751954
40,2020-02-12,153.22,151.62,154.96,154.52,1285626
41,2020-02-11,155.99,153.21,155.99,153.31,571010
42,2020-02-10,155.08,153.68,155.69,154.72,606928
43,2020-02-07,155.53,155.2,156.21,155.61,479900
44,2020-02-06,156.89,155.75,156.95,155.97,472866
45,2020-02-05,156.42,155.1,157.09,155.89,493016
46,2020-02-04,154.19,153.74,155.82,155.34,579640
47,2020-02-03,150.7,150.54,152.51,152.27,527400
48,2020-01-31,151.62,148.98,152.44,149.9,751423
49,2020-01-30,153.31,151.01,154.19,152.73,760028
50,2020-01-29,155.25,154.04,155.7,154.42,487849
51,2020-01-28,153.56,153.03,155.25,154.65,1033424
52,2020-01-27,151.62,150.4,153.51,153.03,476919
53,2020-01-24,155.32,153.2,155.4,154.01,589022
54,2020-01-23,154.09,152.63,155.04,154.95,474000
55,2020-01-22,154.68,153.72,155.43,154.75,678100
56,2020-01-21,152.53,151.76,154.48,154.34,910009
57,2020-01-17,151.42,150.46,153.62,153.03,836700
58,2020-01-16,150.81,149.4,151.18,151.02,560931
59,2020-01-15,147.24,146.73,150.17,149.77,681100
60,2020-01-14,148.25,147.11,148.71,147.18,662900
61,2020-01-13,146.81,146.81,148.85,148.59,571345
62,2020-01-10,148.31,146.48,148.31,146.72,591200
63,2020-01-09,147.08,146.55,148.26,147.98,703112
64,2020-01-08,143.56,143.51,147.24,146.28,1165609
65,2020-01-07,143.58,142.36,143.81,143.21,578110
66,2020-07-06,173.73,171.25,174.59,171.55,884400
67,2020-07-02,174.92,171.83,175.94,171.9,689600
68,2020-07-01,172.4,172.27,175.06,173.57,682997
69,2020-06-30,167.01,166.72,172.64,171.88,823900
70,2020-06-29,167.83,165.7,168.86,167.72,443148
71,2020-06-26,167.41,165.87,168.52,167.53,1111627
72,2020-06-25,165.64,163.39,168.12,167.94,465033
73,2020-06-24,170.4,166.02,171.39,166.17,665450
74,2020-06-23,172.07,170.76,172.79,171.63,513247
75,2020-06-22,168.11,167.29,172.11,171.37,520125
76,2020-06-19,172.84,167.32,173.28,167.9,934600
77,2020-06-18,169.42,168.71,172.29,170.84,895712
78,2020-06-17,170.42,168.85,172.82,170.47,626700
79,2020-06-16,173.16,167.63,173.74,169.74,758200
80,2020-06-15,164.44,163.81,169.09,168.96,841600
81,2020-06-12,172.31,164.39,173.39,167.98,793200
82,2020-06-11,172.44,166.58,174.06,168.65,1002900
83,2020-06-10,175.88,174.39,176.78,175.04,833400
84,2020-06-09,177.91,172.63,177.93,175.03,1078002
85,2020-06-08,175.86,174.78,180.07,179.45,1074107
86,2020-06-05,178.76,174.52,179.74,177.01,1095549
87,2020-06-04,172.82,172.82,177.19,176.57,1224912
88,2020-06-03,168.72,166.71,174.08,174.01,1415900
89,2020-06-02,155.82,154.08,167.39,167.12,1638142
90,2020-06-01,153.83,153.26,156.65,155.05,949800
91,2020-05-29,154.83,151.27,155.2,153.56,1431800
92,2020-05-28,152.66,151.36,155.97,154.0,1749800
93,2020-05-27,152.96,149.62,154.23,150.9,1808800
94,2020-05-26,149.72,149.04,153.76,151.25,1125308
95,2020-05-22,146.08,146.08,147.88,147.03,734600
96,2020-05-21,148.25,146.08,149.2,146.7,608400
97,2020-05-20,148.0,148.0,150.98,149.51,871909
98,2020-05-19,146.04,145.72,147.92,146.21,729400
99,2020-05-18,148.24,145.13,149.12,146.1,1085600
100,2020-05-15,143.49,142.32,145.46,144.42,1478600
101,2020-05-14,141.48,140.79,145.17,145.04,879547
102,2020-05-13,145.0,141.15,145.29,142.9,921700
103,2020-05-12,147.25,145.29,148.37,145.47,996300
104,2020-05-11,148.65,147.33,149.72,147.54,1118803
105,2020-05-08,148.82,148.52,150.71,149.38,506270
106,2020-05-07,148.32,147.44,149.88,148.31,661206
107,2020-05-06,147.02,145.69,148.1,146.26,703249
108,2020-05-05,142.41,142.41,147.84,146.62,980216
109,2020-05-04,136.76,135.64,141.91,141.71,874200
110,2020-05-01,137.16,135.85,138.63,137.89,702516
111,2020-04-30,141.73,138.62,142.14,138.9,1043200
112,2020-04-29,142.92,140.64,144.59,143.5,783732
113,2020-04-28,140.6,138.7,143.21,140.68,795035
114,2020-04-27,132.85,132.4,138.53,138.09,884446
115,2020-04-24,131.36,129.39,131.71,131.42,615126
116,2020-04-23,132.42,131.08,133.79,131.32,785530
117,2020-04-22,130.89,128.23,132.91,132.49,1136200
118,2020-04-21,126.0,122.19,133.56,130.04,2590701
119,2020-04-20,126.44,123.41,130.67,125.81,1469300
120,2020-04-17,124.19,124.19,128.12,127.97,1046146
121,2020-04-16,124.94,120.55,125.61,122.0,950334
122,2020-04-15,126.69,124.03,127.74,124.26,849620
123,2020-04-14,123.31,121.13,130.51,129.79,1210300
124,2020-04-13,123.23,118.58,124.07,121.42,1160100
125,2020-04-09,123.39,123.2,128.0,124.22,873421
126,2020-04-08,117.41,115.68,124.17,122.68,747934
127,2020-04-07,120.63,116.02,123.34,116.24,1279400
128,2020-10-05,159.23,158.24,160.36,159.87,394900
129,2020-10-02,156.7,155.79,160.71,158.96,481300
130,2020-10-01,157.57,157.02,158.94,158.01,588900
131,2020-09-30,158.26,156.11,159.19,156.9,534100
132,2020-09-29,158.6,157.61,161.18,157.84,378503
133,2020-09-28,158.68,157.48,159.43,158.11,462900
134,2020-09-25,150.91,150.91,156.86,156.41,729929
135,2020-09-24,151.88,150.53,153.57,151.94,466000
136,2020-09-23,156.34,151.0,156.53,152.16,581100
137,2020-09-22,155.52,155.32,157.42,156.09,622000
138,2020-09-21,154.07,152.21,155.16,155.1,817800
139,2020-09-18,158.14,154.4,159.12,155.92,1019700
140,2020-09-17,157.38,155.54,159.35,159.16,970000
141,2020-09-16,160.72,158.75,161.37,159.12,647800
142,2020-09-15,164.45,159.52,164.59,160.23,562842
143,2020-09-14,164.44,163.24,165.43,163.32,823300
144,2020-09-11,162.38,160.28,162.92,162.55,915200
145,2020-09-10,167.44,161.35,169.35,161.69,1129100
146,2020-09-09,166.5,164.88,169.91,167.7,989203
147,2020-09-08,164.87,160.32,166.34,163.82,1308900
148,2020-09-04,170.54,165.6,171.53,166.39,769600
149,2020-09-03,173.25,167.34,174.17,168.85,531532
150,2020-09-02,169.64,169.02,174.72,174.13,515500
151,2020-09-01,167.43,166.49,169.25,168.69,623100
152,2020-08-31,168.21,165.64,168.84,168.27,676100
153,2020-08-28,166.25,165.02,169.04,168.37,709544
154,2020-08-27,162.2,161.66,167.05,166.19,713700
155,2020-08-26,159.66,159.37,162.4,161.27,1112200
156,2020-08-25,160.08,159.12,161.2,160.18,558200
157,2020-08-24,159.51,157.22,159.82,159.38,1183028
158,2020-08-21,160.61,158.29,161.0,159.33,730800
159,2020-08-20,160.7,159.8,162.03,161.46,598721
160,2020-08-19,165.1,161.26,165.2,161.82,523137
161,2020-08-18,164.47,164.02,166.6,164.8,709648
162,2020-08-17,165.89,164.32,166.54,164.37,366117
163,2020-08-14,166.12,163.93,167.1,164.74,321027
164,2020-08-13,165.49,165.49,167.59,166.74,386445
165,2020-08-12,165.13,165.13,168.28,166.86,389924
166,2020-08-11,165.43,161.91,167.37,164.5,981204
167,2020-08-10,166.39,163.97,167.15,164.67,808500
168,2020-08-07,163.1,162.61,166.72,166.64,594900
169,2020-08-06,162.1,162.1,163.14,162.78,387500
170,2020-08-05,161.84,161.77,163.18,162.62,469991
171,2020-08-04,162.46,160.22,163.48,160.75,524000
172,2020-08-03,163.26,161.65,163.74,162.86,411749
173,2020-07-31,163.87,160.46,164.43,162.56,525300
174,2020-07-30,163.7,162.12,164.63,163.43,487100
175,2020-07-29,162.04,162.04,166.06,165.63,572502
176,2020-07-28,165.43,162.24,166.2,162.38,916100
177,2020-07-27,167.87,163.75,168.16,165.36,978200
178,2020-07-24,176.96,165.61,176.96,167.16,1315500
179,2020-07-23,175.0,174.37,181.76,176.64,2603416
180,2020-07-22,166.59,166.47,169.21,168.01,1231112
181,2020-07-21,168.38,165.8,169.08,166.33,771523
182,2020-07-20,166.46,166.09,168.87,167.8,864217
183,2020-07-17,166.14,165.18,167.52,166.8,785900
184,2020-07-16,164.82,162.78,165.67,165.21,628300
185,2020-07-15,165.17,163.38,165.8,164.94,715605
186,2020-07-14,162.87,161.45,164.04,163.44,845228
187,2020-07-13,165.09,163.02,166.67,163.64,708800
188,2020-07-10,161.13,160.56,163.48,163.11,679606
189,2020-07-09,168.67,160.34,169.35,161.79,1839523
190,2020-07-08,168.47,168.47,170.11,169.1,750401
191,2020-07-07,171.09,168.04,172.62,168.7,1332925
192,2021-01-04,193.46,185.18,194.41,187.96,704000
193,2020-12-31,191.87,189.98,193.22,192.84,487749
194,2020-12-30,190.85,190.13,192.37,191.17,263824
195,2020-12-29,194.91,189.55,195.84,190.75,333722
196,2020-12-28,195.92,193.23,195.92,193.66,352735
197,2020-12-24,193.41,193.04,194.48,193.96,153140
198,2020-12-23,194.17,192.75,194.85,192.87,555500
199,2020-12-22,193.95,192.82,194.63,194.03,354000
200,2020-12-21,192.13,189.31,194.9,194.55,469537
201,2020-12-18,193.51,192.7,195.63,195.17,829600
202,2020-12-17,193.45,192.99,196.47,193.75,435300
203,2020-12-16,192.6,192.59,195.15,193.25,612503
204,2020-12-15,191.55,190.6,194.04,193.58,557080
205,2020-12-14,187.47,187.47,191.16,189.12,623700
206,2020-12-11,185.07,184.86,189.54,188.14,726237
207,2020-12-10,178.96,178.37,183.48,183.39,726100
208,2020-12-09,183.37,179.33,183.77,179.98,1081829
209,2020-12-08,175.98,175.87,190.16,184.23,2075754
210,2020-12-07,166.95,166.64,171.32,170.83,612516
211,2020-12-04,166.01,165.69,167.32,166.5,956400
212,2020-12-03,164.85,164.48,167.14,165.25,430709
213,2020-12-02,166.38,163.34,166.83,164.61,664347
214,2020-12-01,168.44,166.86,170.69,166.94,472359
215,2020-11-30,165.33,165.06,167.95,166.9,1117100
216,2020-11-27,165.83,164.24,167.04,164.74,316300
217,2020-11-25,165.78,165.68,169.06,166.0,614608
218,2020-11-24,173.61,165.68,173.7,165.8,1171856
219,2020-11-23,172.18,169.68,172.68,172.59,596133
220,2020-11-20,173.72,171.27,174.56,171.64,504610
221,2020-11-19,170.49,170.02,174.28,173.61,691604
222,2020-11-18,172.61,171.69,174.23,171.95,894744
223,2020-11-17,170.04,168.3,172.03,171.95,724102
224,2020-11-16,166.3,165.97,171.71,171.51,1023731
225,2020-11-13,164.31,161.77,165.14,165.09,1227739
226,2020-11-12,159.03,158.24,162.91,162.52,2136812
227,2020-11-11,155.68,155.17,159.44,159.19,1529100
228,2020-11-10,151.51,149.51,155.78,154.61,1812924
229,2020-11-09,158.01,151.76,160.28,151.9,1013241
230,2020-11-06,152.0,150.03,153.17,150.07,776302
231,2020-11-05,154.17,151.55,154.87,151.65,1013862
232,2020-11-04,150.44,150.44,155.93,151.95,1254741
233,2020-11-03,143.71,143.21,151.08,150.0,1808400
234,2020-11-02,138.62,137.44,142.27,141.85,1395343
235,2020-10-30,138.77,135.98,140.28,136.6,1539800
236,2020-10-29,140.36,139.11,141.92,139.56,1635800
237,2020-10-28,145.51,140.1,147.24,140.89,1616000
238,2020-10-27,150.9,147.74,152.16,147.81,792200
239,2020-10-26,151.43,149.11,152.06,150.91,1124001
240,2020-10-23,157.36,149.78,157.36,152.95,1289600
241,2020-10-22,158.15,153.59,162.3,155.9,2602000
242,2020-10-21,160.14,159.89,163.2,162.35,798749
243,2020-10-20,159.49,158.73,161.11,159.71,566568
244,2020-10-19,163.35,157.88,164.16,158.58,496810
245,2020-10-16,163.33,161.47,164.0,163.34,606100
246,2020-10-15,163.41,160.39,163.6,162.38,533919
247,2020-10-14,165.49,163.91,166.61,164.17,367626
248,2020-10-13,163.15,163.11,165.44,164.89,425909
249,2020-10-12,165.29,164.12,166.42,164.56,293406
250,2020-10-09,163.21,161.69,165.34,164.28,319707
251,2020-10-08,162.44,161.79,165.56,161.79,407109
252,2020-10-07,159.03,158.25,161.47,161.07,624248
253,2020-10-06,161.19,156.7,161.46,157.27,732400
254,2021-04-05,184.14,183.61,187.35,186.74,398100
255,2021-04-01,181.27,177.91,182.81,182.61,575700
256,2021-03-31,181.5,181.1,183.75,181.13,977800
257,2021-03-30,183.07,181.24,183.97,183.28,922900
258,2021-03-29,181.57,181.06,185.0,183.69,704405
259,2021-03-26,177.01,176.8,182.56,182.5,572100
260,2021-03-25,175.37,173.02,177.59,177.0,375539
261,2021-03-24,174.62,174.01,176.12,174.41,496400
262,2021-03-23,175.31,174.01,178.16,175.48,709900
263,2021-03-22,174.07,172.54,176.21,175.13,491502
264,2021-03-19,172.07,171.44,175.51,174.18,1048500
265,2021-03-18,170.71,169.43,174.0,172.7,665300
266,2021-03-17,171.77,169.93,172.91,171.99,559829
267,2021-03-16,173.7,171.17,175.19,172.57,450604
268,2021-03-15,170.65,170.24,173.98,173.65,503143
269,2021-03-12,171.6,169.79,173.31,170.53,570700
270,2021-03-11,172.28,169.59,172.95,170.72,717345
271,2021-03-10,175.87,172.54,176.77,172.55,775800
272,2021-03-09,174.76,173.01,178.0,174.9,641900
273,2021-03-08,170.28,170.0,176.01,173.14,947400
274,2021-03-05,165.17,162.81,169.97,169.75,923311
275,2021-03-04,167.41,162.87,170.32,163.83,909270
276,2021-03-03,166.94,165.1,168.53,167.04,1041200
277,2021-03-02,166.92,165.28,168.42,166.09,681000
278,2021-03-01,163.25,163.25,169.05,166.61,1276422
279,2021-02-26,164.83,161.87,167.64,161.88,1757766
280,2021-02-25,169.78,162.43,170.95,163.5,1502568
281,2021-02-24,172.8,169.34,173.1,170.7,1017900
282,2021-02-23,170.04,168.1,172.46,171.87,1330900
283,2021-02-22,177.5,169.33,177.75,169.93,850551
284,2021-02-19,177.17,175.49,178.49,176.54,1525920
285,2021-02-18,176.05,175.9,178.91,177.56,937300
286,2021-02-17,173.58,171.4,176.82,176.59,912234
287,2021-02-16,176.72,172.77,177.21,174.83,959259
288,2021-02-12,176.93,176.07,179.3,177.19,1244046
289,2021-02-11,181.01,173.61,181.49,176.95,1792500
290,2021-02-10,184.42,182.36,184.55,183.0,929238
291,2021-02-09,180.0,179.59,183.45,183.21,687050
292,2021-02-08,179.15,177.85,180.11,179.41,985744
293,2021-02-05,182.33,177.9,182.33,178.64,534439
294,2021-02-04,179.74,179.44,182.6,180.89,448339
295,2021-02-03,180.31,177.07,180.31,178.79,651919
296,2021-02-02,181.65,180.41,182.39,180.46,486100
297,2021-02-01,178.28,177.82,180.53,180.31,559142
298,2021-01-29,180.46,176.74,181.82,177.11,728803
299,2021-01-28,180.25,178.89,184.86,181.14,801000
300,2021-01-27,178.08,176.36,181.73,178.71,829700
301,2021-01-26,180.36,178.25,181.92,180.49,443300
302,2021-01-25,177.63,175.93,179.98,178.75,459700
303,2021-01-22,178.2,177.32,180.05,178.74,458100
304,2021-01-21,177.14,177.14,180.23,178.49,456846
305,2021-01-20,176.4,176.02,179.3,178.14,412400
306,2021-01-19,177.19,175.3,177.61,176.02,425900
307,2021-01-15,177.68,175.78,178.87,177.0,461626
308,2021-01-14,182.33,176.55,182.42,177.63,635500
309,2021-01-13,184.56,181.96,185.34,182.15,275582
310,2021-01-12,183.72,182.2,185.43,183.91,473000
311,2021-01-11,184.43,183.31,187.29,184.69,369221
312,2021-01-08,181.04,180.51,186.79,186.06,873900
313,2021-01-07,183.14,180.43,184.0,181.29,742012
314,2021-01-06,187.92,181.89,188.82,181.96,1135216
315,2021-01-05,188.42,186.94,190.36,189.88,644603
316,2021-07-02,241.14,241.14,244.29,242.34,614500
317,2021-07-01,240.52,239.18,242.93,241.17,676500
318,2021-06-30,239.27,237.78,240.47,239.51,523500
319,2021-06-29,235.95,235.03,239.78,239.31,521700
320,2021-06-28,239.13,236.81,239.33,237.45,552065
321,2021-06-25,239.56,238.83,242.79,238.99,2090412
322,2021-06-24,236.57,235.08,239.26,239.18,406549
323,2021-06-23,237.86,233.94,237.86,234.73,787300
324,2021-06-22,239.0,236.51,239.66,238.11,692509
325,2021-06-21,233.86,232.36,239.0,238.72,483800
326,2021-06-18,233.32,231.55,234.05,232.8,746100
327,2021-06-17,230.68,229.26,234.88,234.25,477800
328,2021-06-16,231.63,229.73,231.97,230.9,493309
329,2021-06-15,229.37,227.47,232.12,231.43,333525
330,2021-06-14,229.95,227.68,231.53,228.85,802900
331,2021-06-11,229.41,228.53,231.06,230.96,398700
332,2021-06-10,229.35,227.07,229.74,229.01,276200
333,2021-06-09,230.07,228.16,232.27,228.64,453029
334,2021-06-08,229.24,226.27,229.96,229.73,597507
335,2021-06-07,233.59,227.11,233.86,228.72,978600
336,2021-06-04,230.63,229.69,233.9,233.4,427225
337,2021-06-03,230.15,228.15,230.63,228.98,588527
338,2021-06-02,233.97,231.37,234.59,231.55,591314
339,2021-06-01,236.66,232.64,237.17,233.1,440900
340,2021-05-28,235.9,234.95,237.85,235.04,547200
341,2021-05-27,234.77,232.29,235.67,235.51,1390012
342,2021-05-26,235.38,232.18,235.83,233.22,776300
343,2021-05-25,237.45,234.82,238.99,234.93,1056903
344,2021-05-24,238.48,235.76,239.24,237.5,430900
345,2021-05-21,233.82,231.87,237.38,237.13,878500
346,2021-05-20,234.22,229.68,235.16,233.31,747762
347,2021-05-19,233.23,229.1,233.64,233.43,552343
348,2021-05-18,238.8,233.65,238.92,233.66,650605
349,2021-05-17,238.84,235.74,239.14,237.69,437339
350,2021-05-14,236.94,236.16,239.94,239.41,466929
351,2021-05-13,232.96,232.83,237.3,237.02,623577
352,2021-05-12,237.48,232.91,237.97,233.22,606100
353,2021-05-11,237.96,235.12,238.9,238.6,551035
354,2021-05-10,240.55,239.04,242.13,239.17,507022
355,2021-05-07,236.91,236.44,240.45,239.56,753400
356,2021-05-06,239.89,233.82,239.89,237.16,774300
357,2021-05-05,237.01,235.51,241.09,239.85,907000
358,2021-05-04,232.24,231.19,237.08,237.01,696303
359,2021-05-03,230.5,229.69,235.48,233.89,879600
360,2021-04-30,228.03,224.15,229.25,229.23,936300
361,2021-04-29,229.34,224.55,229.34,228.0,926507
362,2021-04-28,234.75,227.04,234.85,227.3,1175900
363,2021-04-27,227.49,227.05,234.97,234.34,885200
364,2021-04-26,230.17,225.01,231.71,225.53,897018
365,2021-04-23,222.47,221.16,231.16,229.72,1551032
366,2021-04-22,217.9,212.69,226.93,221.41,3209107
367,2021-04-21,192.21,191.7,194.44,192.63,911909
368,2021-04-20,189.6,189.38,193.82,192.2,629035
369,2021-04-19,189.47,188.5,190.25,189.59,511339
370,2021-04-16,189.09,188.25,191.6,190.98,801800
371,2021-04-15,187.62,186.97,189.0,188.35,354800
372,2021-04-14,186.76,185.0,188.0,185.53,404300
373,2021-04-13,186.51,186.11,189.09,187.99,459000
374,2021-04-12,186.18,185.1,187.42,187.22,286300
375,2021-04-09,183.49,182.81,185.84,185.81,356241
376,2021-04-08,182.7,182.7,185.39,183.74,736300
377,2021-04-07,185.41,180.85,185.41,181.59,612936
378,2021-04-06,186.54,184.41,186.74,185.02,401736
379,2021-10-04,255.51,249.03,257.71,253.4,447025
380,2021-10-01,255.59,252.01,257.24,256.31,561530
381,2021-09-30,258.15,253.37,258.52,253.42,656700
382,2021-09-29,257.87,255.44,259.6,256.55,521418
383,2021-09-28,260.87,254.33,260.87,256.5,540000
384,2021-09-27,264.44,260.35,265.14,262.48,643340
385,2021-09-24,263.6,263.04,266.2,265.5,376300
386,2021-09-23,263.99,262.62,266.59,265.12,829300
387,2021-09-22,261.83,261.18,266.17,262.68,1125500
388,2021-09-21,265.23,258.92,265.32,259.38,1211300
389,2021-09-20,265.53,260.98,266.95,263.22,672942
390,2021-09-17,273.87,267.81,273.87,268.49,1725930
391,2021-09-16,272.98,270.62,275.85,274.0,886400
392,2021-09-15,273.97,269.75,274.73,273.11,982500
393,2021-09-14,274.61,272.46,278.35,273.86,680000
394,2021-09-13,275.43,271.41,276.61,273.85,649200
395,2021-09-10,277.94,272.57,278.0,272.87,714200
396,2021-09-09,275.06,273.82,276.83,275.89,878623
397,2021-09-08,275.0,274.39,278.55,275.57,627022
398,2021-09-07,278.27,274.02,278.27,274.19,502801
399,2021-09-03,276.05,274.18,279.59,278.28,301300
400,2021-09-02,274.95,274.52,278.1,277.92,374644
401,2021-09-01,272.41,269.29,273.88,273.71,486600
402,2021-08-31,267.19,266.58,273.28,272.26,659700
403,2021-08-30,266.94,266.2,268.13,267.2,297207
404,2021-08-27,264.6,263.06,269.32,266.86,474724
405,2021-08-26,264.68,261.85,264.68,262.99,623900
406,2021-08-25,258.93,258.8,265.88,264.91,487442
407,2021-08-24,259.86,258.04,260.8,259.11,373230
408,2021-08-23,258.43,257.32,260.75,259.86,347800
409,2021-08-20,258.5,255.56,258.92,258.51,424107
410,2021-08-19,252.64,251.55,259.5,258.78,621618
411,2021-08-18,260.02,254.37,261.87,254.47,351609
412,2021-08-17,260.66,259.31,262.08,261.92,474500
413,2021-08-16,260.12,257.57,260.91,260.71,352100
414,2021-08-13,259.93,259.25,260.86,260.1,360717
415,2021-08-12,261.39,258.19,261.66,259.46,442000
416,2021-08-11,260.57,259.52,263.32,261.32,566449
417,2021-08-10,255.65,253.9,261.79,259.17,505300
418,2021-08-09,254.0,252.56,255.24,253.24,694300
419,2021-08-06,255.0,252.17,256.36,253.83,591031
420,2021-08-05,257.44,253.43,258.17,255.81,569731
421,2021-08-04,259.77,255.31,261.16,256.09,637700
422,2021-08-03,259.81,255.84,259.95,259.69,304001
423,2021-08-02,261.67,258.06,264.29,258.49,459644
424,2021-07-30,260.08,258.83,261.54,260.6,378148
425,2021-07-29,259.45,258.84,261.36,260.61,459200
426,2021-07-28,258.89,254.98,259.45,258.91,601900
427,2021-07-27,254.87,254.04,258.35,258.29,619618
428,2021-07-26,252.42,251.76,255.19,255.11,402002
429,2021-07-23,251.12,250.36,253.77,253.07,1231800
430,2021-07-22,257.1,245.5,257.1,249.72,961825
431,2021-07-21,255.93,253.76,257.89,255.04,631468
432,2021-07-20,249.94,249.55,257.65,256.58,701352
433,2021-07-19,252.73,246.62,253.51,248.73,665010
434,2021-07-16,250.7,250.7,254.95,254.63,677600
435,2021-07-15,245.73,245.39,251.13,250.7,531609
436,2021-07-14,245.83,245.2,248.58,247.3,541948
437,2021-07-13,247.01,244.57,248.03,245.06,326800
438,2021-07-12,248.73,245.52,248.73,247.25,486925
439,2021-07-09,246.04,245.45,248.67,248.54,483942
440,2021-07-08,244.6,242.81,247.48,244.94,460350
441,2021-07-07,246.08,245.5,248.85,248.22,741466
442,2021-07-06,242.95,241.19,246.55,245.89,671382
443,2022-01-03,292.79,282.66,294.93,284.0,576100
444,2021-12-31,290.26,289.56,294.59,292.79,419200
445,2021-12-30,293.93,291.31,295.33,291.54,226000
446,2021-12-29,294.4,293.3,295.94,294.33,198024
447,2021-12-28,290.75,290.75,294.01,294.01,277739
448,2021-12-27,289.2,288.18,291.19,291.1,277405
449,2021-12-23,282.93,282.93,288.82,287.03,478638
450,2021-12-22,279.75,279.17,283.75,283.4,418500
451,2021-12-21,277.93,273.76,280.2,280.07,661149
452,2021-12-20,272.68,270.44,277.46,275.97,874000
453,2021-12-17,289.39,275.74,289.39,276.64,2286872
454,2021-12-16,292.93,288.45,295.71,290.24,682200
455,2021-12-15,288.27,285.97,291.6,291.51,673531
456,2021-12-14,293.95,282.9,295.11,288.22,632903
457,2021-12-13,295.18,295.18,300.11,297.05,771745
