,date,open,low,high,close,volume
0,2020-01-06,277.09,275.49,277.75,276.59,265330
1,2020-01-03,275.46,275.46,278.27,277.24,162435
2,2020-01-02,277.9,274.89,278.3,278.15,181334
3,2020-04-06,186.89,184.49,191.1,189.93,340500
4,2020-04-03,185.17,176.67,188.45,178.02,384800
5,2020-04-02,180.73,177.65,189.67,187.67,524413
6,2020-04-01,179.52,176.72,185.9,181.24,438100
7,2020-03-31,196.12,189.87,197.73,192.42,353334
8,2020-03-30,188.96,185.19,200.75,198.49,341114
9,2020-03-27,186.37,183.44,194.94,189.29,418404
10,2020-03-26,178.9,172.86,196.19,195.33,693906
11,2020-03-25,186.5,174.07,188.49,174.83,708597
12,2020-03-24,181.86,178.13,189.79,185.58,398100
13,2020-03-23,190.0,168.16,190.0,171.96,796000
14,2020-03-20,189.0,179.99,202.04,194.65,654817
15,2020-03-19,186.95,176.79,197.82,187.24,624600
16,2020-03-18,183.58,172.15,190.91,188.71,625400
17,2020-03-17,186.74,180.4,199.04,198.03,605600
18,2020-03-16,182.96,170.5,205.98,182.61,803629
19,2020-03-13,210.87,200.78,214.26,213.09,704200
20,2020-03-12,211.76,200.82,211.87,200.82,625933
21,2020-03-11,233.25,223.89,237.73,227.95,497202
22,2020-03-10,240.87,229.29,241.29,240.45,397615
23,2020-03-09,223.14,223.14,243.23,234.77,513331
24,2020-03-06,249.34,246.53,255.0,253.51,334200
25,2020-03-05,263.12,254.2,263.92,257.18,304430
26,2020-03-04,256.98,255.51,269.59,269.39,302700
27,2020-03-03,258.15,251.25,262.0,253.44,439416
28,2020-03-02,248.01,247.74,260.1,258.16,771700
29,2020-02-28,256.84,242.23,257.84,247.88,676700
30,2020-02-27,270.49,261.8,274.36,261.81,354072
31,2020-02-26,280.11,273.23,281.06,273.23,349000
32,2020-02-25,282.44,277.67,283.62,278.55,438535
33,2020-02-24,285.56,281.17,287.44,283.04,593100
34,2020-02-21,287.4,286.97,289.95,289.85,235022
35,2020-02-20,289.0,285.24,290.06,287.93,160500
36,2020-02-19,291.24,289.53,291.84,290.58,243700
37,2020-02-18,290.5,287.18,290.6,289.79,205942
38,2020-02-14,292.06,289.66,293.9,291.37,209703
39,2020-02-13,287.03,287.03,291.8,291.78,233947
40,2020-02-12,291.96,284.91,291.96,287.68,243346
41,2020-02-11,287.63,284.26,294.31,291.64,411900
