,date,open,low,high,close,volume
0,2020-01-06,74.76,74.25,75.19,75.13,1360126
1,2020-01-03,74.32,74.13,74.87,74.78,1459400
2,2020-01-02,74.71,74.31,75.58,74.38,2632200
3,2020-04-06,51.6,51.49,55.0,53.17,4539923
4,2020-04-03,50.96,48.33,51.93,49.36,3612749
5,2020-04-02,50.01,50.01,53.2,51.53,2032439
6,2020-04-01,52.27,49.8,54.22,51.27,2219800
7,2020-03-31,56.44,54.1,56.44,54.79,2192430
8,2020-03-30,55.71,54.43,57.17,56.31,2756500
9,2020-03-27,55.1,54.18,57.57,55.36,2840131
10,2020-03-26,54.13,53.85,59.55,57.73,3211470
11,2020-03-25,50.03,50.03,56.79,53.82,3338325
12,2020-03-24,46.33,45.97,51.2,50.38,2995137
13,2020-03-23,46.46,44.14,48.42,44.47,3527886
14,2020-03-20,48.87,46.56,51.57,46.86,4052700
15,2020-03-19,48.51,45.0,49.28,48.76,3083514
16,2020-03-18,48.41,45.78,50.82,49.04,5257200
17,2020-03-17,47.04,45.55,53.96,51.36,4838500
18,2020-03-16,48.47,43.63,51.11,46.15,4654018
19,2020-03-13,54.94,49.78,55.35,53.25,4280700
20,2020-03-12,56.04,51.28,56.55,52.43,4432223
21,2020-03-11,62.08,58.63,62.08,59.74,3380100
22,2020-03-10,62.56,60.2,64.05,63.89,5080200
23,2020-03-09,65.24,61.76,66.44,61.76,3728347
24,2020-03-06,67.45,66.17,68.21,67.59,3461314
25,2020-03-05,69.53,68.51,71.07,69.01,2115214
26,2020-03-04,68.81,68.14,70.17,70.16,4519546
27,2020-03-03,69.81,67.91,71.82,68.3,4350730
28,2020-03-02,67.53,67.11,70.47,70.44,3847800
29,2020-02-28,68.58,65.26,68.94,67.19,5410625
30,2020-02-27,74.01,69.85,74.21,70.25,2110200
31,2020-02-26,75.06,74.26,75.85,74.31,1679400
32,2020-02-25,76.41,74.76,76.81,75.08,1652108
33,2020-02-24,77.75,76.31,77.81,76.32,1404000
34,2020-02-21,77.2,77.04,78.53,77.57,1441500
35,2020-02-20,76.57,76.51,77.42,77.32,1498916
36,2020-02-19,77.16,76.41,78.07,76.64,1671308
37,2020-02-18,77.38,76.9,77.57,77.12,1707600
38,2020-02-14,77.45,76.91,77.52,77.14,1323641
39,2020-02-13,77.67,76.6,77.95,77.37,1534800
40,2020-02-12,77.89,77.28,78.09,77.5,1462226
41,2020-02-11,78.49,77.94,78.93,78.0,1630700
42,2020-02-10,77.21,76.73,78.31,78.2,1047628
43,2020-02-07,76.37,76.21,77.32,77.0,1195300
44,2020-02-06,77.42,76.22,77.61,76.29,1329535
45,2020-02-05,75.76,75.58,77.67,77.33,1695400
