,date,open,low,high,close,volume
0,2020-01-06,203.81,203.45,207.5,207.36,2428900
1,2020-01-03,204.53,203.73,206.55,204.7,1076200
2,2020-01-02,206.54,205.81,207.86,206.26,1138700
3,2020-04-06,158.32,157.03,162.0,160.5,1792977
4,2020-04-03,148.57,147.16,154.39,154.08,1589433
5,2020-04-02,151.81,147.34,155.12,149.21,1889076
6,2020-04-01,153.03,151.06,155.53,153.38,1822212
7,2020-03-31,163.55,158.49,163.62,159.34,2209531
8,2020-03-30,160.38,160.13,167.92,165.23,1890000
9,2020-03-27,167.48,159.07,168.79,160.68,1882100
10,2020-03-26,169.6,166.17,176.48,172.98,2553736
11,2020-03-25,158.89,156.65,174.82,167.76,2988100
12,2020-03-24,151.08,147.27,159.73,157.83,2702900
13,2020-03-23,149.78,140.32,151.97,144.38,2868390
14,2020-03-20,158.55,148.97,159.25,151.0,3681222
15,2020-03-19,150.53,139.84,163.09,156.51,4292344
16,2020-03-18,143.18,137.01,157.0,156.24,4214542
17,2020-03-17,151.41,140.94,159.45,153.74,3612800
18,2020-03-16,150.5,146.98,156.49,148.98,3512107
19,2020-03-13,165.29,157.11,172.55,172.22,2880662
20,2020-03-12,159.8,152.47,166.68,157.35,3958568
21,2020-03-11,182.51,169.56,184.55,172.51,3041020
22,2020-03-10,182.87,177.51,187.69,187.38,2340460
23,2020-03-09,179.4,174.93,182.36,177.9,3035900
24,2020-03-06,184.45,183.28,193.12,191.95,2384627
25,2020-03-05,189.17,187.45,193.14,189.62,2851661
26,2020-03-04,192.28,186.82,193.62,193.4,2815600
27,2020-03-03,192.63,186.83,195.64,188.39,3149906
28,2020-03-02,185.02,182.62,193.78,193.33,3350100
29,2020-02-28,176.77,176.44,183.73,183.6,4084250
30,2020-02-27,185.08,182.24,188.74,182.28,4176012
31,2020-02-26,194.0,189.15,196.03,189.29,2982621
32,2020-02-25,199.56,190.72,201.22,191.43,2767898
33,2020-02-24,199.56,198.31,203.9,198.78,2494300
34,2020-02-21,209.96,208.67,210.63,209.27,1709000
35,2020-02-20,212.64,208.88,213.86,211.32,2379919
36,2020-02-19,212.5,210.42,213.48,213.12,1768538
37,2020-02-18,214.84,211.18,214.88,211.44,2122617
38,2020-02-14,215.47,213.82,215.61,215.01,1442855
39,2020-02-13,213.74,212.97,216.18,214.89,1818700
40,2020-02-12,211.36,211.16,215.01,214.79,2141154
41,2020-02-11,210.42,209.04,211.35,209.82,1468732
42,2020-02-10,207.57,205.94,209.04,208.68,1689944
43,2020-02-07,209.87,204.64,210.0,208.96,3386216
44,2020-02-06,210.98,205.11,213.45,211.53,4056338
45,2020-02-05,203.6,200.55,204.25,201.32,2294243
46,2020-02-04,199.4,198.46,202.22,200.42,2252461
47,2020-02-03,195.68,195.04,199.31,196.2,2301754
48,2020-01-31,197.6,194.67,198.79,195.16,1620621
49,2020-01-30,197.68,195.13,198.99,198.67,1497627
50,2020-01-29,198.66,197.95,200.31,198.73,1446100
