,date,open,low,high,close,volume
0,2020-01-06,295.75,294.77,300.56,300.45,1308700
1,2020-01-03,293.68,293.68,299.53,296.88,986800
2,2020-01-02,302.67,297.2,302.82,300.87,1200500
3,2020-04-06,215.51,212.18,227.52,225.72,2648649
4,2020-04-03,208.89,199.17,210.93,203.3,1777000
5,2020-04-02,210.53,203.99,219.5,211.39,2625614
6,2020-04-01,217.01,210.41,221.55,214.3,2225900
7,2020-03-31,235.28,223.9,235.83,227.04,2956436
8,2020-03-30,224.66,220.16,233.88,230.58,2095953
9,2020-03-27,217.61,217.16,228.5,222.96,2585300
10,2020-03-26,221.28,215.0,238.79,235.67,2705300
11,2020-03-25,190.09,187.04,226.84,216.37,3521376
12,2020-03-24,183.98,181.12,201.0,196.84,3130601
13,2020-03-23,188.54,171.03,189.58,174.68,3236700
14,2020-03-20,204.29,185.69,217.94,191.59,4780250
15,2020-03-19,206.22,193.48,212.62,200.87,3322000
16,2020-03-18,224.45,186.61,230.0,206.96,3649862
17,2020-03-17,229.76,224.92,246.71,238.32,3100800
18,2020-03-16,226.5,216.27,247.98,224.04,2815367
19,2020-03-13,267.5,251.05,271.36,270.34,3027411
20,2020-03-12,262.03,253.46,278.69,256.21,3100233
21,2020-03-11,278.6,275.14,289.16,281.69,3416190
22,2020-03-10,278.33,273.0,288.11,286.05,2611638
23,2020-03-09,264.0,260.81,276.36,269.82,2712913
24,2020-03-06,278.18,268.93,284.13,282.19,3414629
25,2020-03-05,287.65,281.25,288.27,287.16,2868600
26,2020-03-04,286.55,285.34,297.52,296.42,5162200
27,2020-03-03,270.13,255.88,280.72,256.38,3017715
28,2020-03-02,259.6,250.38,272.19,271.27,3317679
29,2020-02-28,249.94,249.35,260.55,257.09,2984016
30,2020-02-27,263.06,257.47,268.08,257.86,2329027
31,2020-02-26,269.84,262.71,274.03,268.15,1733219
32,2020-02-25,279.21,264.49,279.48,267.4,1954900
33,2020-02-24,283.49,276.58,283.5,277.5,2518812
34,2020-02-21,292.03,290.17,296.79,294.71,1111009
35,2020-02-20,301.38,293.69,301.68,293.94,1889542
36,2020-02-19,302.01,299.3,304.52,304.06,1338842
37,2020-02-18,297.45,295.77,304.34,302.45,1972513
38,2020-02-14,299.29,295.46,300.86,297.82,1433800
39,2020-02-13,294.73,294.56,299.52,298.87,1931300
40,2020-02-12,286.27,286.27,296.73,296.0,2763319
41,2020-02-11,277.04,273.78,279.94,279.91,1777129
42,2020-02-10,275.88,274.02,278.03,276.55,1149200
43,2020-02-07,279.7,276.28,281.84,276.48,1597510
44,2020-02-06,288.78,280.03,288.78,282.33,1760034
45,2020-02-05,275.36,275.36,293.18,287.33,2448937
46,2020-02-04,269.9,269.9,277.37,273.37,1413800
47,2020-02-03,266.11,262.79,270.65,266.43,1925713
48,2020-01-31,265.68,264.01,268.56,265.28,2206930
49,2020-01-30,269.26,261.69,270.44,265.89,2738500
50,2020-01-29,279.5,272.16,282.33,272.91,4450976
51,2020-01-28,285.0,284.13,293.62,290.32,1985903
52,2020-01-27,293.63,278.95,293.81,283.79,2399865
53,2020-01-24,304.84,295.42,305.58,297.28,1088700
54,2020-01-23,303.46,301.29,305.36,304.4,1089312
55,2020-01-22,306.68,302.14,306.68,303.51,998038
56,2020-01-21,303.94,303.17,308.23,305.99,992428
57,2020-01-17,305.07,300.08,305.65,305.39,1312630
58,2020-01-16,302.92,302.09,305.24,305.05,704236
59,2020-01-15,297.26,297.22,304.8,301.55,1401215
60,2020-01-14,296.04,294.82,298.05,296.88,1067742
61,2020-01-13,306.88,296.34,307.0,296.74,1756534
62,2020-01-10,307.94,306.43,309.1,307.74,1049900
63,2020-01-09,307.83,305.79,309.0,306.41,1439908
64,2020-01-08,300.89,298.51,308.76,307.48,2067800
65,2020-01-07,299.2,294.61,300.28,299.54,1313711
66,2020-07-06,271.37,267.11,271.63,269.0,859600
67,2020-07-02,270.95,266.97,273.93,267.0,1008000
68,2020-07-01,267.19,264.53,270.1,268.68,1110100
69,2020-06-30,259.75,256.74,264.6,262.98,1195614
70,2020-06-29,258.15,257.36,262.29,259.27,1365899
71,2020-06-26,259.85,254.43,264.65,255.65,1997465
72,2020-06-25,256.71,253.27,261.36,261.0,1469600
73,2020-06-24,265.08,254.85,266.0,257.31,1497874
74,2020-06-23,268.23,265.15,270.61,268.99,890205
75,2020-06-22,265.0,261.58,266.53,265.21,997341
76,2020-06-19,270.27,266.33,272.65,266.43,1824600
77,2020-06-18,263.92,260.19,265.91,265.53,1062300
78,2020-06-17,268.66,264.17,269.53,265.72,1181584
79,2020-06-16,273.0,264.54,273.18,267.43,1428500
80,2020-06-15,257.83,250.88,264.76,262.33,2096715
81,2020-06-12,272.56,259.3,274.27,265.74,1464441
82,2020-06-11,283.9,262.27,284.17,264.54,2126854
83,2020-06-10,293.0,286.53,293.14,288.54,1185420
84,2020-06-09,300.0,290.0,300.0,291.01,1356045
85,2020-06-08,286.35,286.1,301.66,300.59,1829801
86,2020-06-05,283.35,282.12,290.52,287.89,1730100
87,2020-06-04,286.84,279.54,288.48,282.09,1511553
88,2020-06-03,296.0,287.91,299.32,289.27,1388700
89,2020-06-02,291.18,287.57,296.4,294.2,1219900
90,2020-06-01,293.23,285.22,293.99,290.03,1471060
91,2020-05-29,291.89,286.76,294.88,294.11,1859174
92,2020-05-28,290.0,288.61,296.69,291.37,1303074
93,2020-05-27,286.25,277.57,287.64,287.25,1348419
94,2020-05-26,283.77,280.56,285.99,283.42,1248149
95,2020-05-22,279.1,275.58,279.74,277.11,889800
96,2020-05-21,278.95,277.07,283.14,278.68,1084300
97,2020-05-20,285.0,278.16,285.0,280.0,1122200
98,2020-05-19,280.0,277.99,286.0,281.1,1013151
99,2020-05-18,284.97,278.9,287.77,279.96,1324539
100,2020-05-15,271.06,270.58,279.83,278.09,1174100
101,2020-05-14,265.17,263.29,274.26,273.28,1300731
102,2020-05-13,271.08,262.24,272.9,267.8,1711400
103,2020-05-12,275.88,272.96,280.78,272.96,1311803
104,2020-05-11,270.94,270.91,276.72,272.37,1157453
105,2020-05-08,270.5,268.81,274.76,274.33,969011
106,2020-05-07,273.87,265.01,274.2,265.73,1003565
107,2020-05-06,276.27,270.0,277.86,270.62,908810
108,2020-05-05,274.5,269.81,278.82,275.07,1177038
109,2020-05-04,268.0,265.05,273.51,271.0,1241697
110,2020-05-01,275.34,264.65,277.0,269.57,1240800
111,2020-04-30,278.74,276.2,285.98,280.73,2098700
112,2020-04-29,280.0,264.0,282.35,280.61,2080800
113,2020-04-28,274.22,262.0,276.8,268.22,1789909
114,2020-04-27,267.56,263.01,271.74,270.06,1794229
115,2020-04-24,265.48,260.57,267.23,264.12,1390700
116,2020-04-23,264.71,258.44,266.24,261.55,1587417
117,2020-04-22,255.09,254.8,265.5,262.96,1174099
118,2020-04-21,255.0,249.3,259.9,249.37,1618127
119,2020-04-20,262.48,261.19,273.21,263.2,1597900
120,2020-04-17,279.01,263.21,279.9,267.82,1954766
121,2020-04-16,254.51,250.62,273.39,271.84,2717330
122,2020-04-15,249.15,245.11,254.35,250.47,2424610
123,2020-04-14,245.76,245.24,254.19,252.01,2145600
124,2020-04-13,240.78,237.65,243.49,240.53,1036724
125,2020-04-09,240.94,239.93,248.06,242.46,2191212
126,2020-04-08,227.15,226.41,248.83,247.02,2415226
127,2020-04-07,235.7,220.94,236.57,224.05,2452353
128,2020-10-05,276.98,276.68,285.0,284.79,965723
129,2020-10-02,265.79,264.44,280.48,275.01,1582541
130,2020-10-01,268.59,266.11,270.77,270.17,918107
131,2020-09-30,259.52,258.75,271.15,268.59,1312800
132,2020-09-29,258.35,256.56,261.75,259.79,862001
133,2020-09-28,258.83,255.78,261.8,257.06,914060
134,2020-09-25,247.49,246.2,256.1,255.25,1321960
135,2020-09-24,245.04,244.1,249.27,248.78,1311900
136,2020-09-23,248.2,245.04,251.01,245.73,1669128
137,2020-09-22,256.82,246.38,258.62,247.44,1977600
138,2020-09-21,257.24,250.4,257.88,257.71,1567806
139,2020-09-18,262.05,260.48,266.32,264.19,2162522
140,2020-09-17,261.47,259.41,264.57,263.0,820108
141,2020-09-16,261.82,258.52,265.73,263.62,997442
142,2020-09-15,265.88,258.87,267.35,260.15,1250511
143,2020-09-14,258.99,258.99,269.2,265.6,1448100
144,2020-09-11,262.68,254.48,265.5,258.03,1336700
145,2020-09-10,268.08,260.59,270.03,260.84,1096202
146,2020-09-09,267.93,264.56,269.35,267.42,1023900
147,2020-09-08,275.0,266.32,275.27,267.21,1191014
148,2020-09-04,278.23,270.5,279.28,276.22,874700
149,2020-09-03,281.84,274.19,284.37,277.0,1247689
150,2020-09-02,274.64,273.54,281.18,279.97,1388623
151,2020-09-01,278.02,272.83,280.64,273.08,1714725
152,2020-08-31,276.21,276.19,284.35,281.52,1514798
153,2020-08-28,274.68,271.86,279.01,277.28,643374
154,2020-08-27,271.41,269.28,278.64,274.59,1360804
155,2020-08-26,276.7,266.8,276.71,270.21,1342014
156,2020-08-25,280.75,275.16,280.94,276.47,870900
157,2020-08-24,286.77,278.39,287.0,279.16,729657
158,2020-08-21,282.5,281.75,286.27,284.63,957600
159,2020-08-20,281.83,280.55,283.75,281.75,813927
160,2020-08-19,282.78,282.74,286.3,283.4,634051
161,2020-08-18,284.04,281.85,285.65,282.45,959100
