,date,open,low,high,close,volume
0,2020-01-06,75.64,75.4,76.84,75.51,1275553
1,2020-01-03,77.4,75.93,77.58,75.95,1461500
2,2020-01-02,80.4,78.57,80.4,78.67,1187000
3,2020-04-06,47.6,47.29,50.57,50.18,1718339
4,2020-04-03,45.03,44.98,46.48,45.09,1414915
5,2020-04-02,45.88,44.81,48.13,45.38,2045000
6,2020-04-01,44.43,43.77,46.03,45.51,1842900
7,2020-03-31,47.44,46.09,48.23,46.58,2126609
8,2020-03-30,45.06,44.5,48.04,47.61,1295203
9,2020-03-27,45.96,45.01,47.71,46.47,991328
10,2020-03-26,47.02,46.26,50.13,47.95,1365928
11,2020-03-25,43.1,42.5,48.59,46.58,1566233
12,2020-03-24,41.87,40.01,42.87,41.58,1531900
13,2020-03-23,39.98,38.12,41.98,38.39,1704136
14,2020-03-20,42.11,39.1,43.0,40.81,2037823
15,2020-03-19,37.5,35.93,43.16,41.25,1497200
16,2020-03-18,37.39,34.44,38.85,38.62,2030600
17,2020-03-17,41.16,39.0,42.07,40.77,2340821
18,2020-03-16,38.29,38.0,43.93,40.01,2060600
19,2020-03-13,46.37,41.63,46.39,46.31,1955100
20,2020-03-12,43.19,36.55,44.12,42.41,4118200
21,2020-03-11,49.78,47.09,50.1,47.51,2498406
22,2020-03-10,52.74,49.92,53.11,51.74,2367121
23,2020-03-09,53.1,49.75,56.04,50.07,2000949
24,2020-03-06,57.73,56.57,59.48,57.78,1990800
25,2020-03-05,60.51,59.32,61.31,59.71,1641900
26,2020-03-04,62.03,60.5,63.0,62.91,1261712
27,2020-03-03,62.78,60.34,64.15,60.95,1541600
28,2020-03-02,62.21,60.14,63.01,62.93,2238710
29,2020-02-28,60.42,59.31,62.03,61.51,3081300
30,2020-02-27,64.21,62.48,65.97,62.48,2797220
31,2020-02-26,67.15,65.75,67.9,65.81,1106109
32,2020-02-25,71.36,66.19,71.36,66.57,1417200
33,2020-02-24,71.06,70.4,71.58,71.04,1511600
34,2020-02-21,73.54,73.11,73.93,73.6,679530
35,2020-02-20,73.19,73.08,74.49,74.13,664200
36,2020-02-19,73.0,72.39,73.43,73.16,801200
37,2020-02-18,73.9,71.78,74.17,72.7,1439700
38,2020-02-14,75.09,73.75,75.17,74.73,799805
39,2020-02-13,75.09,74.44,75.72,75.03,654900
40,2020-02-12,75.5,75.0,76.76,75.68,772200
41,2020-02-11,73.73,73.54,75.43,74.3,703315
42,2020-02-10,72.08,71.9,73.4,73.13,1079539
43,2020-02-07,73.0,72.11,73.73,72.38,891941
44,2020-02-06,75.8,73.31,75.88,73.91,1113700
45,2020-02-05,73.96,73.62,75.51,75.47,1485100
46,2020-02-04,73.35,72.81,74.19,73.08,1198500
47,2020-02-03,71.65,71.17,72.75,72.2,1431049
48,2020-01-31,69.69,69.64,73.17,71.27,2693200
49,2020-01-30,69.83,68.58,69.92,69.55,2051800
50,2020-01-29,70.51,70.46,71.64,70.83,1315326
51,2020-01-28,70.29,69.75,70.81,70.15,1576200
52,2020-01-27,71.09,69.81,71.49,69.83,1960400
53,2020-01-24,74.15,72.9,74.15,73.17,1472500
54,2020-01-23,72.98,71.62,74.17,74.06,1356000
55,2020-01-22,75.66,73.43,75.96,73.54,1213800
56,2020-01-21,76.99,75.22,77.06,75.71,715900
57,2020-01-17,77.13,76.68,77.65,77.45,1343000
58,2020-01-16,76.46,75.97,76.94,76.93,713919
59,2020-01-15,75.83,75.66,76.66,76.2,604101
60,2020-01-14,76.59,76.12,77.41,76.53,1172131
61,2020-01-13,75.1,74.86,76.31,76.19,828833
62,2020-01-10,75.49,74.65,76.05,74.79,707500
63,2020-01-09,75.25,74.36,75.68,75.37,1013914
64,2020-01-08,75.14,74.27,75.49,75.2,965900
65,2020-01-07,74.62,74.18,75.78,74.98,1434061
66,2020-07-06,71.83,70.07,72.04,71.97,1161744
67,2020-07-02,70.09,69.19,71.59,69.98,1019400
68,2020-07-01,69.55,68.06,69.68,68.7,1356712
69,2020-06-30,68.84,67.83,70.36,69.64,1290100
70,2020-06-29,67.91,67.85,69.83,69.32,799341
71,2020-06-26,67.38,66.34,67.83,67.28,1392447
72,2020-06-25,66.37,65.86,67.83,67.72,818300
73,2020-06-24,68.23,66.14,68.23,66.85,1092400
74,2020-06-23,70.43,69.32,70.7,69.33,1126100
75,2020-06-22,69.03,68.4,69.72,69.26,1036100
76,2020-06-19,71.91,68.87,72.07,69.49,2802100
77,2020-06-18,69.72,69.57,71.05,70.44,813508
78,2020-06-17,72.11,70.28,72.15,70.5,979900
79,2020-06-16,72.46,69.95,73.42,71.56,1008040
80,2020-06-15,67.14,66.34,70.15,69.6,1027237
81,2020-06-12,68.88,67.75,70.11,69.63,1199334
82,2020-06-11,72.0,66.5,72.83,66.53,1977016
83,2020-06-10,77.12,75.26,77.45,75.64,1537945
84,2020-06-09,75.38,74.64,77.5,77.02,1488142
85,2020-06-08,77.39,76.36,77.98,77.34,1174000
86,2020-06-05,76.71,74.62,77.53,76.92,1899807
87,2020-06-04,71.51,71.13,73.34,73.31,1302400
88,2020-06-03,72.03,71.27,72.99,71.85,1051813
89,2020-06-02,69.12,68.71,71.3,70.93,1076000
90,2020-06-01,68.26,67.66,68.82,68.56,705000
91,2020-05-29,67.8,67.15,68.63,68.08,2490123
92,2020-05-28,70.83,68.27,70.93,68.45,1350920
93,2020-05-27,70.35,68.43,71.06,69.75,1624109
94,2020-05-26,67.98,67.6,69.21,68.64,2068729
95,2020-05-22,64.69,64.56,65.62,65.46,710306
96,2020-05-21,64.85,64.68,66.07,65.4,829600
97,2020-05-20,64.53,64.37,66.23,65.57,1509000
98,2020-05-19,62.73,61.88,64.16,63.4,1236600
99,2020-05-18,62.56,62.33,63.67,62.93,1595600
100,2020-05-15,59.78,59.26,60.29,59.97,1349700
