,date,open,low,high,close,volume
0,2020-01-06,75.88,75.75,77.09,77.05,3788980
1,2020-01-03,76.0,75.56,76.51,76.42,2672646
2,2020-01-02,76.57,76.28,77.51,77.48,2532300
3,2020-04-06,48.46,47.83,49.8,49.39,3850302
4,2020-04-03,47.78,45.37,48.69,45.72,4739068
5,2020-04-02,45.54,45.45,48.64,47.73,5714118
6,2020-04-01,44.82,43.55,45.92,45.7,4608100
7,2020-03-31,46.31,46.21,48.13,47.65,4996266
8,2020-03-30,45.96,45.26,46.98,46.63,4569310
9,2020-03-27,46.18,45.1,47.04,45.58,5209613
10,2020-03-26,48.69,46.23,49.36,48.8,6629779
11,2020-03-25,44.75,44.2,49.94,47.61,6407000
12,2020-03-24,40.89,40.16,44.74,44.3,5698011
13,2020-03-23,42.84,37.75,43.0,38.08,7546200
14,2020-03-20,46.5,43.22,48.12,44.09,7373698
15,2020-03-19,40.52,39.3,47.97,46.02,7001028
16,2020-03-18,43.99,38.0,44.55,41.14,10350068
17,2020-03-17,47.66,45.16,48.0,47.42,8578000
18,2020-03-16,44.92,43.44,48.46,46.96,10564270
19,2020-03-13,48.8,45.3,50.33,50.33,12188128
20,2020-03-12,47.54,45.12,51.86,46.18,8994600
21,2020-03-11,51.66,50.94,53.1,52.14,11823016
22,2020-03-10,52.52,49.77,53.87,53.86,10773525
23,2020-03-09,55.0,50.33,57.0,50.36,12611004
24,2020-03-06,62.82,61.22,64.06,62.14,7721439
25,2020-03-05,64.51,64.26,66.5,64.73,4692958
26,2020-03-04,64.72,64.41,66.94,66.67,4313422
27,2020-03-03,66.22,63.21,67.9,63.74,5142525
28,2020-03-02,64.54,63.52,66.53,66.3,4778500
29,2020-02-28,62.45,62.11,64.22,64.11,6483771
30,2020-02-27,65.05,64.37,67.71,64.38,4641700
31,2020-02-26,67.27,66.57,68.61,66.63,4799644
32,2020-02-25,69.37,66.32,69.69,66.6,4330300
33,2020-02-24,69.57,69.0,69.95,69.19,3592000
34,2020-02-21,71.47,71.0,72.1,72.09,2593400
35,2020-02-20,71.76,71.51,72.82,72.02,2338207
36,2020-02-19,71.87,71.58,72.58,71.86,2961410
37,2020-02-18,72.26,70.7,72.71,71.44,4292400
38,2020-02-14,73.06,72.61,73.51,73.51,2797100
39,2020-02-13,74.35,72.39,74.49,73.14,3549835
40,2020-02-12,74.55,74.3,75.58,75.4,3358000
41,2020-02-11,73.87,73.7,74.67,73.83,2729800
42,2020-02-10,73.46,72.77,73.76,73.39,2753100
43,2020-02-07,74.94,73.61,74.94,73.77,2283730
44,2020-02-06,76.63,74.91,76.63,75.25,2241710
45,2020-02-05,74.6,74.54,76.16,76.01,3944300
46,2020-02-04,74.54,72.97,74.76,73.24,3781151
47,2020-02-03,72.1,71.74,73.34,72.6,3933625
48,2020-01-31,73.31,71.2,73.7,71.63,4309900
49,2020-01-30,73.0,72.65,73.86,73.83,2659400
50,2020-01-29,74.98,73.87,75.0,73.91,3087519
51,2020-01-28,74.12,73.6,74.89,74.43,4289700
52,2020-01-27,75.04,73.73,75.23,73.74,3566001
53,2020-01-24,77.83,76.23,77.83,76.7,2037816
54,2020-01-23,76.61,76.03,77.71,77.59,1819619
55,2020-01-22,77.78,76.87,77.8,77.02,3024300
56,2020-01-21,77.43,76.68,77.64,77.25,3146356
57,2020-01-17,77.84,77.66,78.38,77.78,5008300
58,2020-01-16,77.09,77.01,77.89,77.87,2438803
59,2020-01-15,76.87,76.32,77.28,76.66,2368000
