,date,open,low,high,close,volume
0,2020-01-06,29.05,27.83,29.66,29.66,4629729
1,2020-01-03,28.79,28.38,29.73,29.29,4812506
2,2020-01-02,26.37,26.04,29.35,29.34,7775679
3,2020-04-06,30.81,30.61,34.23,34.05,4792763
4,2020-04-03,29.85,27.55,30.4393,28.69,3557997
5,2020-04-02,29.5,28.77,31.57,29.92,3610558
6,2020-04-01,29.94,29.11,31.48,29.77,3839440
7,2020-03-31,32.85,31.81,34.87,32.29,4900233
8,2020-03-30,32.76,30.75,33.0,32.0,3892410
9,2020-03-27,34.05,31.27,34.5,32.38,5179180
10,2020-03-26,37.65,34.58,40.53,36.13,6274433
11,2020-03-25,36.92,34.5,40.72,36.81,9277025
12,2020-03-24,30.84,30.7959,35.259,34.34,7685516
13,2020-03-23,26.36,23.4,28.0,27.51,5999217
14,2020-03-20,27.68,26.0,31.47,26.0,9510709
15,2020-03-19,24.0,21.49,27.22,26.25,7231508
16,2020-03-18,26.5,22.48,28.75,23.99,8524823
17,2020-03-17,28.07,26.0,31.6499,29.28,6855191
18,2020-03-16,27.57,23.7,31.92,27.45,8283621
19,2020-03-13,36.25,31.56,37.3,32.86,7449668
20,2020-03-12,34.4,33.0,37.3899,33.02,9793535
21,2020-03-11,44.12,39.648,45.26,41.73,5511637
22,2020-03-10,47.16,43.4721,47.8218,45.59,5291620
23,2020-03-09,45.77,42.0,48.47,43.38,7804050
24,2020-03-06,55.34,51.44,57.32,53.05,6601327
25,2020-03-05,52.54,51.77,59.0,56.69,8225335
26,2020-03-04,52.31,51.51,54.0,53.47,6578848
27,2020-03-03,52.41,51.1,54.6399,52.37,6930797
28,2020-03-02,50.46,48.1538,52.52,51.4,7152566
29,2020-02-28,45.61,45.56,50.2199,48.97,7396127
30,2020-02-27,48.81,45.9901,51.25,48.76,9360209
31,2020-02-26,49.27,48.79,53.8,51.87,8131330
32,2020-02-25,57.0,50.11,57.01,50.9,11328769
33,2020-02-24,54.59,54.0,58.749,55.26,9342127
34,2020-02-21,57.8,56.74,59.15,59.09,7630966
35,2020-02-20,56.47,54.14,58.95,58.74,21837422
