,date,open,low,high,close,volume
0,2020-01-06,85.9,85.78,89.29,88.44,8486146
1,2020-01-03,85.58,84.06,86.85,84.99,3716592
2,2020-01-02,84.32,83.54,84.61,84.14,2496400
3,2020-04-06,40.68,37.66,40.94,39.43,9030700
4,2020-04-03,40.0,38.43,41.29,39.89,13594215
5,2020-04-02,36.63,36.29,43.45,38.3,12694000
6,2020-04-01,34.57,33.55,35.47,34.6,6250300
7,2020-03-31,36.9,35.18,38.61,35.92,7823005
8,2020-03-30,35.01,33.52,35.47,34.98,9148305
9,2020-03-27,37.83,34.88,38.39,36.0,10078948
10,2020-03-26,36.12,36.12,40.2,39.53,9264151
11,2020-03-25,39.09,36.7,41.57,39.69,9492513
12,2020-03-24,36.44,35.72,40.0,39.8,10485919
13,2020-03-23,34.6,33.11,36.53,34.54,8642100
14,2020-03-20,34.69,33.52,37.24,34.89,12411400
15,2020-03-19,29.94,29.76,34.55,33.22,9407920
16,2020-03-18,28.19,27.0,30.15,29.76,7759600
17,2020-03-17,31.39,29.62,33.24,30.89,10122100
18,2020-03-16,29.99,28.11,36.09,31.1,10311125
19,2020-03-13,35.25,30.25,35.82,34.8,13961100
20,2020-03-12,35.19,31.66,35.95,32.5,12384000
21,2020-03-11,39.45,37.56,39.95,38.86,13209197
22,2020-03-10,39.88,35.81,41.71,41.6,13804500
23,2020-03-09,38.22,34.89,40.18,37.6,18938200
24,2020-03-06,58.92,53.87,59.9,55.3,9915224
25,2020-03-05,61.78,60.71,63.74,61.87,4905103
26,2020-03-04,63.62,62.28,64.5,64.08,5455100
27,2020-03-03,62.93,60.89,65.41,62.43,6432237
28,2020-03-02,63.81,60.16,63.9,62.86,8008580
29,2020-02-28,57.3,56.34,63.26,63.26,11081619
30,2020-02-27,60.59,58.85,63.56,60.0,7699300
31,2020-02-26,67.72,63.08,67.77,63.2,5371313
32,2020-02-25,70.15,65.55,70.32,66.99,6558424
33,2020-02-24,71.33,69.4,71.33,69.91,3854437
34,2020-02-21,74.87,73.65,74.87,74.21,2963934
35,2020-02-20,76.79,75.69,77.37,75.99,2447100
36,2020-02-19,74.93,74.93,77.67,77.28,2765294
37,2020-02-18,74.53,73.53,75.07,74.53,2520808
38,2020-02-14,76.0,73.84,76.22,74.92,2087730
39,2020-02-13,75.0,74.75,76.04,75.68,2197890
40,2020-02-12,76.6,75.17,76.91,75.38,2860077
41,2020-02-11,75.13,74.31,75.41,74.79,2191531
42,2020-02-10,73.9,73.06,74.14,73.7,2865804
43,2020-02-07,74.85,73.9,75.32,74.35,2257832
44,2020-02-06,77.4,75.22,77.4,75.87,2128800
45,2020-02-05,75.5,75.28,77.98,77.05,3724800
46,2020-02-04,72.91,72.9,74.8,73.62,4725257
47,2020-02-03,72.83,71.27,73.0,71.37,3803200
48,2020-01-31,74.32,72.51,74.8,72.91,5004178
49,2020-01-30,74.13,73.59,75.99,75.82,4535903
50,2020-01-29,77.67,75.04,77.94,75.14,2701153
51,2020-01-28,77.47,76.57,77.93,77.05,2794300
52,2020-01-27,77.59,76.61,78.27,76.64,2968300
53,2020-01-24,81.2,78.97,81.21,79.85,3129028
54,2020-01-23,82.1,80.65,82.24,81.83,3369407
55,2020-01-22,84.04,82.78,84.1,83.09,4030400
56,2020-01-21,85.1,84.03,86.17,84.04,4522916
57,2020-01-17,87.07,84.3,87.14,85.31,4542649
58,2020-01-16,86.96,86.67,88.09,87.02,5128600
59,2020-01-15,85.68,85.25,86.77,86.74,2562517
60,2020-01-14,85.37,84.56,86.66,86.33,4281709
61,2020-01-13,85.88,84.34,85.97,85.52,3399902
62,2020-01-10,87.55,86.15,87.61,86.27,2951628
63,2020-01-09,86.55,84.71,88.37,88.25,6909154
64,2020-01-08,89.24,86.97,89.54,87.34,5337726
65,2020-01-07,88.63,87.23,89.33,89.29,4339399
66,2020-07-06,51.22,49.87,52.09,50.41,2381400
67,2020-07-02,51.17,50.45,51.63,50.52,4166420
68,2020-07-01,51.03,49.78,51.99,49.86,3394827
69,2020-06-30,49.05,48.78,51.01,50.66,3105007
70,2020-06-29,49.03,48.43,49.85,49.65,2634192
71,2020-06-26,50.16,48.41,50.26,48.76,4342700
72,2020-06-25,48.43,48.01,50.8,50.73,3504500
73,2020-06-24,51.57,48.91,52.3,48.95,4258300
74,2020-06-23,53.19,52.0,53.5,52.46,3850142
75,2020-06-22,51.99,51.33,52.82,52.42,3335400
76,2020-06-19,55.44,52.27,55.49,52.3,7928442
77,2020-06-18,52.0,51.47,53.84,52.93,3444307
78,2020-06-17,54.5,52.44,54.55,52.48,3933500
79,2020-06-16,54.55,51.9,54.94,54.6,4661220
80,2020-06-15,49.73,49.27,52.74,52.21,5415253
81,2020-06-12,53.85,50.66,54.18,52.57,4552803
82,2020-06-11,51.77,51.07,54.93,51.15,5890604
83,2020-06-10,58.03,55.6,58.11,55.63,6349347
84,2020-06-09,59.56,58.65,61.42,59.47,6336900
85,2020-06-08,61.97,59.1,62.43,62.11,6075100
86,2020-06-05,59.21,58.22,59.86,59.31,6327227
87,2020-06-04,55.0,54.15,55.69,55.15,4361262
88,2020-06-03,56.11,53.93,56.26,55.37,4638806
89,2020-06-02,52.5,52.35,54.85,54.81,4824423
90,2020-06-01,50.72,50.0,51.92,51.81,3264030
91,2020-05-29,51.48,49.93,51.48,50.97,6603533
92,2020-05-28,52.61,51.31,53.1,51.64,4688726
93,2020-05-27,52.28,50.33,52.74,52.73,3968657
94,2020-05-26,54.36,51.3,54.37,51.44,5685457
95,2020-05-22,52.21,50.95,52.38,52.28,2500309
96,2020-05-21,52.95,51.61,53.56,52.32,3881102
97,2020-05-20,51.65,51.51,53.39,52.65,3303631
98,2020-05-19,52.29,50.58,52.77,50.66,3559100
99,2020-05-18,50.5,50.01,52.68,52.44,6341970
100,2020-05-15,47.09,46.94,48.81,47.68,4005214
101,2020-05-14,47.14,45.91,48.96,47.56,5903990
102,2020-05-13,49.45,47.55,49.45,48.2,5768098
103,2020-05-12,50.01,48.71,50.54,49.72,5286028
104,2020-05-11,50.74,49.5,51.97,49.84,5279410
105,2020-05-08,49.3,48.46,51.51,51.45,7285828
106,2020-05-07,47.57,47.39,49.41,48.31,5907533
107,2020-05-06,46.14,45.6,47.08,45.84,3247514
108,2020-05-05,48.5,45.7,49.2,46.05,7181698
109,2020-05-04,43.5,43.26,46.8,46.74,7710200
110,2020-05-01,46.14,43.84,46.96,44.57,5699284
111,2020-04-30,47.8,45.86,49.11,47.51,5449346
112,2020-04-29,47.2,45.47,47.9,47.72,6661520
113,2020-04-28,46.04,44.5,46.81,44.98,4409600
114,2020-04-27,42.86,42.05,45.08,44.54,4777200
115,2020-04-24,45.0,42.81,45.33,43.36,5192310
116,2020-04-23,45.25,44.08,46.12,44.22,7565518
117,2020-04-22,42.69,41.59,43.33,43.15,5274111
118,2020-04-21,39.27,39.27,41.64,40.5,6313900
119,2020-04-20,39.03,38.84,43.03,41.17,6680812
120,2020-04-17,37.55,37.49,42.13,41.84,10886273
121,2020-04-16,39.55,36.4,39.65,36.52,6638813
122,2020-04-15,39.37,38.78,40.4,39.89,6256000
123,2020-04-14,42.85,41.77,43.48,42.23,5410700
124,2020-04-13,46.2,42.74,46.98,43.29,5758232
125,2020-04-09,47.25,42.55,47.58,44.82,11001942
126,2020-04-08,42.26,42.17,45.39,45.29,7217500
127,2020-04-07,42.0,40.61,42.94,41.33,7537528
128,2020-10-05,35.46,35.07,36.49,36.46,4113400
129,2020-10-02,33.79,33.63,35.22,34.81,5428913
130,2020-10-01,35.33,34.62,35.82,34.86,5085300
131,2020-09-30,36.44,35.8,36.76,35.94,6033700
132,2020-09-29,37.24,34.9,37.47,36.19,7018353
133,2020-09-28,38.37,37.26,38.37,37.44,4169951
134,2020-09-25,36.25,36.06,37.8,37.45,3366030
135,2020-09-24,36.18,35.33,37.44,36.65,4431716
136,2020-09-23,38.71,36.34,39.08,36.38,4041400
137,2020-09-22,39.07,37.98,39.7,38.45,3768221
138,2020-09-21,39.5,38.29,40.11,38.81,4719980
139,2020-09-18,40.8,40.31,41.55,40.71,5865800
140,2020-09-17,39.86,39.56,41.2,41.19,3900685
141,2020-09-16,38.9,38.65,41.58,40.86,6554612
142,2020-09-15,39.5,38.43,39.78,38.59,4791200
143,2020-09-14,39.31,38.54,39.76,39.17,5543300
144,2020-09-11,38.48,37.9,39.19,39.05,5658349
145,2020-09-10,41.82,37.99,41.82,38.0,7457202
146,2020-09-09,41.36,40.95,42.34,41.86,3565132
147,2020-09-08,42.17,40.03,42.36,40.83,5747395
148,2020-09-04,43.57,42.55,43.92,43.14,4418485
149,2020-09-03,43.71,42.78,44.6,43.13,5188200
150,2020-09-02,44.72,43.53,45.14,43.7,5249985
151,2020-09-01,44.72,44.39,45.38,45.21,2906426
152,2020-08-31,46.22,45.01,46.25,45.34,3017617
153,2020-08-28,45.31,44.76,46.25,46.21,3365900
154,2020-08-27,43.61,43.2,45.1,44.95,5453800
155,2020-08-26,44.24,43.01,44.36,43.26,3054055
156,2020-08-25,44.98,44.05,45.13,44.38,3263377
157,2020-08-24,43.71,43.36,44.97,44.33,6078900
158,2020-08-21,44.08,42.98,44.12,43.39,4166400
159,2020-08-20,44.96,44.09,45.3,44.1,4225548
160,2020-08-19,46.2,45.44,46.56,45.61,2878945
161,2020-08-18,46.32,46.18,47.18,46.35,3215400
162,2020-08-17,47.9,46.09,47.9,46.54,4693828
163,2020-08-14,47.35,46.93,47.98,47.97,3498927
164,2020-08-13,48.77,47.38,49.15,47.42,3394600
165,2020-08-12,50.33,48.62,50.34,49.09,4644346
166,2020-08-11,52.0,49.23,52.78,49.42,5529011
167,2020-08-10,48.99,48.64,50.63,50.46,4089132
168,2020-08-07,47.0,45.07,49.19,48.81,8528582
169,2020-08-06,50.41,50.26,51.08,50.89,3290616
170,2020-08-05,49.87,49.52,51.11,50.75,5070023
171,2020-08-04,46.38,46.09,48.77,48.46,5754300
172,2020-08-03,46.86,45.91,47.07,46.37,4004510
173,2020-07-31,45.91,45.85,46.88,46.85,2885500
174,2020-07-30,47.34,46.09,47.69,46.58,3226862
175,2020-07-29,47.39,46.95,48.52,48.5,3016230
176,2020-07-28,48.11,47.19,48.69,47.27,2763314
177,2020-07-27,48.81,48.17,49.49,48.56,2474830
178,2020-07-24,49.14,48.62,49.98,49.04,3055045
179,2020-07-23,49.58,48.63,50.08,48.85,4936400
180,2020-07-22,49.61,49.01,50.48,50.19,2565000
181,2020-07-21,48.7,48.7,50.99,50.42,4584509
182,2020-07-20,46.93,46.93,48.65,47.7,4004100
183,2020-07-17,47.83,46.86,48.89,47.16,2949519
184,2020-07-16,46.52,46.14,48.35,47.82,3080108
185,2020-07-15,48.29,46.3,48.41,47.46,4202100
186,2020-07-14,44.84,44.47,47.3,47.28,3695600
187,2020-07-13,45.87,44.54,46.14,44.95,3817909
188,2020-07-10,44.34,44.04,45.57,45.4,6245707
189,2020-07-09,47.28,44.28,47.44,44.34,5210031
190,2020-07-08,48.28,47.17,48.76,47.44,3867401
