,date,open,low,high,close,volume
0,2020-01-06,214.39,212.0,215.0,214.2,507631
1,2020-01-03,213.7,212.94,217.76,217.4,218360
2,2020-01-02,214.12,213.38,216.43,216.31,230825
3,2020-04-06,169.85,167.395,185.74,184.43,516854
4,2020-04-03,170.15,158.83,171.14,161.57,476143
5,2020-04-02,173.48,167.8,178.23,172.02,532874
6,2020-04-01,179.1,174.1,182.1,176.16,255157
7,2020-03-31,186.86,183.24,195.75,185.66,589247
8,2020-03-30,176.5,176.335,189.45,188.22,447647
9,2020-03-27,179.97,173.93,184.5294,175.22,448820
10,2020-03-26,177.03,173.67,185.47,185.47,407963
11,2020-03-25,180.27,170.33,184.42,175.05,344226
12,2020-03-24,180.0,171.76,185.85,178.31,455822
13,2020-03-23,164.74,160.57,173.535,168.01,812984
14,2020-03-20,169.0,165.5,179.0,168.07,789159
15,2020-03-19,164.97,151.97,168.63,165.26,347525
16,2020-03-18,173.86,160.0,176.65,167.77,715200
17,2020-03-17,163.21,158.3701,184.97,184.08,578332
18,2020-03-16,167.48,158.25,181.91,160.13,799597
19,2020-03-13,181.55,173.691,192.36,192.0,991613
20,2020-03-12,188.75,161.97,188.75,163.44,835573
21,2020-03-11,213.34,196.98,216.06,202.71,507200
22,2020-03-10,211.81,209.06,219.42,218.32,552047
23,2020-03-09,211.14,204.03,215.33,206.47,603215
24,2020-03-06,226.39,219.675,227.69,226.4,689291
25,2020-03-05,231.36,231.36,236.65,232.44,336673
26,2020-03-04,229.31,226.04,236.0,235.95,201081
27,2020-03-03,230.39,221.05,231.99,225.0,346620
28,2020-03-02,224.02,217.99,229.87,229.87,409092
29,2020-02-28,214.16,212.4623,223.37,223.2,618941
30,2020-02-27,219.34,216.6262,225.805,220.84,546690
31,2020-02-26,217.47,217.15,224.77,221.89,483362
32,2020-02-25,226.99,215.65,227.576,216.96,365653
33,2020-02-24,221.5,218.97,227.55,226.03,417941
34,2020-02-21,236.74,228.85,237.97,231.36,387717
35,2020-02-20,245.0,235.0,248.27,238.05,690375
36,2020-02-19,237.0,237.0,240.77,240.0,330916
37,2020-02-18,236.25,233.39,237.44,237.0,461267
38,2020-02-14,233.75,232.28,236.94,236.75,245252
39,2020-02-13,231.23,231.1,234.68,232.95,288746
40,2020-02-12,232.57,228.31,233.56,232.35,396195
41,2020-02-11,236.81,231.28,236.99,231.47,208885
42,2020-02-10,232.16,232.16,235.525,235.33,180303
43,2020-02-07,233.45,231.42,234.17,233.02,129733
44,2020-02-06,233.82,232.675,236.4,234.78,160483
45,2020-02-05,242.09,230.1,242.09,232.1,330795
46,2020-02-04,234.75,234.74,240.46,238.6,202837
47,2020-02-03,228.893,228.893,235.18,234.25,226097
48,2020-01-31,231.0,226.5,231.28,228.14,206359
49,2020-01-30,231.07,229.355,233.56,231.92,193866
50,2020-01-29,234.04,233.43,235.81,233.43,183618
51,2020-01-28,228.58,227.71,234.4,233.33,186499
52,2020-01-27,221.69,220.02,227.29,226.84,313562
53,2020-01-24,231.67,226.11,232.513,227.57,211914
54,2020-01-23,232.09,230.28,232.6,230.3,238826
55,2020-01-22,232.82,232.49,236.04,232.51,356987
56,2020-01-21,230.98,230.43,233.37,231.81,308163
57,2020-01-17,233.83,229.685,233.88,232.43,269119
58,2020-01-16,230.45,229.85,233.84,233.71,218713
59,2020-01-15,228.15,228.11,231.21,228.71,150427
60,2020-01-14,228.33,226.465,229.93,227.17,351893
61,2020-01-13,225.04,224.5774,229.13,228.56,189436
62,2020-01-10,223.82,222.41,224.71,223.08,216506
63,2020-01-09,222.98,221.24,224.215,223.29,186856
64,2020-01-08,215.39,214.31,221.7,221.38,335304
65,2020-01-07,214.1,212.7,216.82,215.61,161562
