,date,open,low,high,close,volume
0,2020-01-06,585.13,579.75,588.0,584.48,284324
1,2020-01-03,575.47,575.47,590.36,585.12,385200
2,2020-01-02,583.91,576.03,584.91,579.35,448647
3,2020-04-06,639.78,630.0,658.98,652.22,698841
4,2020-04-03,626.31,604.41,636.21,624.69,557200
5,2020-04-02,594.79,590.7,629.04,626.15,801510
6,2020-04-01,608.18,580.69,620.0,595.46,714800
7,2020-03-31,640.0,611.06,644.93,624.57,1136958
8,2020-03-30,605.99,594.02,649.0,644.87,778600
9,2020-03-27,573.52,553.9,605.0,594.27,616200
10,2020-03-26,559.53,551.26,604.25,587.58,754700
11,2020-03-25,535.8,535.37,593.69,553.92,723826
12,2020-03-24,509.84,496.66,552.95,545.89,914339
13,2020-03-23,505.04,477.87,506.0,489.14,882142
14,2020-03-20,549.75,493.2,559.98,506.52,1230300
15,2020-03-19,571.89,535.55,590.11,550.0,985200
16,2020-03-18,545.0,534.44,585.04,572.14,1027900
17,2020-03-17,558.62,554.72,598.23,575.18,1215502
18,2020-03-16,582.59,530.0,586.28,542.43,1019308
19,2020-03-13,585.29,566.74,623.84,621.09,1081100
20,2020-03-12,556.91,546.15,595.0,565.13,1004231
21,2020-03-11,591.64,584.89,604.98,598.8,897900
22,2020-03-10,600.0,571.05,615.04,610.28,706412
23,2020-03-09,571.0,570.13,601.94,574.06,724500
24,2020-03-06,599.59,582.52,609.99,608.67,826300
25,2020-03-05,629.02,611.05,641.83,616.67,578100
26,2020-03-04,626.0,621.92,646.52,645.49,586430
27,2020-03-03,621.72,600.0,634.04,615.16,678800
28,2020-03-02,577.88,577.26,620.29,618.88,757104
29,2020-02-28,586.53,563.55,589.96,572.8,1132000
30,2020-02-27,623.92,597.26,630.73,597.49,718200
31,2020-02-26,634.55,624.88,637.83,629.84,414600
32,2020-02-25,643.05,627.5,645.91,631.98,677700
33,2020-02-24,648.18,637.69,654.44,644.9,543220
34,2020-02-21,651.96,644.1,657.0,655.99,604905
35,2020-02-20,644.0,639.3,648.52,648.39,353600
36,2020-02-19,648.19,641.4,650.11,643.72,405005
37,2020-02-18,644.17,639.35,649.99,643.59,427944
38,2020-02-14,639.09,637.19,654.32,648.65,438600
39,2020-02-13,615.1,611.99,636.43,635.75,508311
40,2020-02-12,616.23,612.33,624.58,623.14,566400
41,2020-02-11,613.1,611.01,619.75,613.57,345008
42,2020-02-10,609.19,607.07,613.74,612.03,270314
43,2020-02-07,605.14,602.13,607.55,606.0,186900
44,2020-02-06,606.26,594.56,607.83,603.73,215032
45,2020-02-05,608.49,600.0,609.22,601.26,327508
46,2020-02-04,608.09,605.26,609.47,607.85,325945
47,2020-02-03,592.56,591.05,606.14,603.6,445700
48,2020-01-31,604.07,587.36,605.27,589.73,488700
49,2020-01-30,602.7,602.7,608.11,603.0,348426
50,2020-01-29,600.06,596.79,604.25,602.68,243200
51,2020-01-28,595.99,595.39,604.67,602.57,318132
52,2020-01-27,589.91,585.61,594.96,593.95,233200
53,2020-01-24,597.37,590.04,603.35,591.96,329000
54,2020-01-23,594.49,592.56,603.7,596.01,352248
55,2020-01-22,595.35,590.79,599.18,591.67,444116
56,2020-01-21,591.51,583.94,594.55,590.0,680932
57,2020-01-17,594.0,587.9,596.69,588.0,794241
58,2020-01-16,587.55,586.61,596.4,595.12,522100
59,2020-01-15,588.56,585.05,592.53,586.24,394310
60,2020-01-14,595.81,582.93,597.0,586.5,385400
61,2020-01-13,594.89,592.26,598.53,594.96,396300
62,2020-01-10,593.32,587.32,595.77,594.0,307931
63,2020-01-09,582.95,575.41,590.0,588.99,229600
64,2020-01-08,583.0,575.01,586.16,583.8,261000
65,2020-01-07,584.47,575.02,586.5,581.88,252637
66,2020-07-06,723.38,713.46,728.53,722.67,421312
67,2020-07-02,732.8,716.96,735.99,718.41,433107
68,2020-07-01,703.04,701.2,730.54,728.17,573400
69,2020-06-30,698.5,690.49,704.93,702.3,470000
70,2020-06-29,692.8,684.08,693.0,688.92,319350
71,2020-06-26,697.14,682.94,698.01,686.54,563520
72,2020-06-25,684.52,683.64,698.2,696.84,487640
73,2020-06-24,690.0,678.43,694.56,689.63,522255
74,2020-06-23,700.0,688.6,705.0,694.69,594927
75,2020-06-22,709.17,692.71,710.98,697.14,603609
76,2020-06-19,713.42,688.56,714.0,711.43,1364400
77,2020-06-18,696.55,689.28,699.38,696.51,313100
78,2020-06-17,702.09,694.15,704.47,698.0,392206
79,2020-06-16,702.0,687.42,710.0,697.2,570929
80,2020-06-15,669.29,661.83,695.62,694.53,546907
81,2020-06-12,668.69,663.44,680.0,676.64,539300
82,2020-06-11,693.19,659.79,693.19,660.7,582219
83,2020-06-10,695.23,680.51,699.87,695.53,473400
84,2020-06-09,679.88,675.4,694.07,691.22,525833
85,2020-06-08,661.68,661.68,676.62,676.24,563511
86,2020-06-05,662.74,647.76,675.09,673.5,828438
87,2020-06-04,680.86,660.19,688.03,665.18,508348
88,2020-06-03,691.69,682.59,696.02,688.99,436743
89,2020-06-02,718.33,687.94,718.33,696.69,621670
90,2020-06-01,699.87,696.83,716.32,710.17,447200
91,2020-05-29,697.18,685.37,700.49,697.63,589300
92,2020-05-28,681.67,676.74,694.8,693.35,441232
93,2020-05-27,666.56,646.56,676.35,675.54,555400
94,2020-05-26,681.1,656.59,685.0,658.01,573248
95,2020-05-22,643.11,641.92,671.41,670.02,503026
96,2020-05-21,650.0,639.43,653.77,644.4,512345
97,2020-05-20,653.54,647.11,656.21,655.48,590200
98,2020-05-19,663.0,649.2,669.98,650.13,455645
99,2020-05-18,680.75,659.39,680.75,662.38,586600
100,2020-05-15,656.88,646.58,662.35,658.66,564600
101,2020-05-14,679.62,645.9,682.17,659.26,800530
102,2020-05-13,663.48,663.25,686.33,678.8,1572000
103,2020-05-12,668.51,660.0,676.3,663.65,1527326
104,2020-05-11,672.47,670.45,686.89,678.0,558900
105,2020-05-08,679.89,671.35,686.99,678.16,439421
106,2020-05-07,662.01,656.0,679.15,675.34,663168
107,2020-05-06,680.41,680.25,701.15,684.19,388300
108,2020-05-05,689.38,672.51,692.6,686.39,321600
109,2020-05-04,664.51,660.92,677.0,675.97,515200
110,2020-05-01,670.34,665.24,680.89,670.85,346719
111,2020-04-30,675.64,663.77,686.56,675.2,752008
112,2020-04-29,685.5,672.1,688.8,679.32,605800
113,2020-04-28,713.61,682.29,715.75,683.76,374300
114,2020-04-27,691.87,685.24,707.02,702.0,349800
115,2020-04-24,685.49,672.91,689.55,685.1,459833
116,2020-04-23,683.64,681.01,698.99,685.49,382446
117,2020-04-22,679.91,673.2,698.74,684.79,434000
118,2020-04-21,658.41,654.95,681.09,672.2,420730
119,2020-04-20,684.0,665.8,687.0,670.75,519500
120,2020-04-17,681.85,669.3,696.79,694.95,502609
121,2020-04-16,659.03,659.03,688.0,682.74,521700
122,2020-04-15,677.76,665.5,685.19,675.53,361101
123,2020-04-14,677.36,671.81,695.87,688.89,549800
124,2020-04-13,681.61,644.76,681.61,657.19,541000
125,2020-04-09,666.89,666.21,692.63,686.94,904326
126,2020-04-08,624.02,621.55,668.73,664.26,533944
127,2020-04-07,678.92,621.72,679.66,623.62,621299
128,2020-10-05,777.79,762.81,788.27,788.26,301118
129,2020-10-02,764.38,760.34,779.81,778.0,446700
130,2020-10-01,764.26,756.02,771.61,768.35,378200
