,date,open,low,high,close,volume
0,2020-01-06,80.64,80.17,81.45,81.03,1764300
1,2020-01-03,79.45,79.41,80.92,80.8,1326653
2,2020-01-02,81.32,79.35,81.48,79.77,1797800
3,2020-04-06,57.1,56.48,60.47,60.11,2530820
4,2020-04-03,53.97,52.79,55.42,54.26,2757933
5,2020-04-02,56.26,53.24,58.06,54.57,3175700
6,2020-04-01,59.07,54.88,59.96,57.7,2907300
7,2020-03-31,61.71,59.04,62.52,61.71,5240444
8,2020-03-30,63.49,59.34,63.89,62.58,3550714
9,2020-03-27,57.28,57.01,64.43,62.68,2830600
10,2020-03-26,54.57,53.34,59.38,59.23,3252425
11,2020-03-25,51.68,50.18,57.88,54.57,3843943
12,2020-03-24,53.09,50.64,54.45,52.15,3835100
13,2020-03-23,55.29,49.62,55.4,51.39,3682000
14,2020-03-20,60.29,54.62,61.21,55.29,3495123
15,2020-03-19,60.5,59.01,62.93,60.61,3510900
16,2020-03-18,62.2,58.61,64.71,60.87,3663700
17,2020-03-17,63.06,60.85,66.88,66.46,3220814
18,2020-03-16,68.57,61.1,68.84,61.16,4111800
19,2020-03-13,74.0,69.29,74.22,73.61,4670841
20,2020-03-12,70.36,68.3,75.93,70.01,5119200
21,2020-03-11,78.01,74.67,78.03,75.1,3700900
22,2020-03-10,76.15,75.13,79.93,79.93,4259800
23,2020-03-09,73.15,73.1,75.58,74.47,3436039
24,2020-03-06,77.3,75.33,78.2,77.64,2233500
25,2020-03-05,79.92,78.22,80.46,79.37,1623649
26,2020-03-04,79.69,78.83,81.18,81.03,2379570
27,2020-03-03,79.09,78.0,81.07,78.56,2805441
28,2020-03-02,75.56,75.23,79.1,79.07,2325400
29,2020-02-28,77.16,73.3,77.16,75.1,3257545
30,2020-02-27,82.4,78.45,83.37,78.46,2179536
31,2020-02-26,83.92,83.35,84.58,83.36,1997300
32,2020-02-25,86.04,83.39,86.21,83.51,1270545
33,2020-02-24,86.37,85.73,87.19,85.79,1059000
34,2020-02-21,86.18,86.1,87.14,87.01,1517417
35,2020-02-20,85.4,85.08,86.47,86.4,1023800
36,2020-02-19,86.19,85.33,86.27,85.34,1068522
37,2020-02-18,86.68,85.44,86.86,86.27,879840
38,2020-02-14,85.57,85.45,86.46,86.46,939223
39,2020-02-13,84.62,84.62,85.42,85.22,1202500
40,2020-02-12,84.65,84.23,85.27,84.79,1418230
41,2020-02-11,84.85,84.5,85.29,84.79,1265248
42,2020-02-10,84.74,84.34,84.97,84.94,1477800
43,2020-02-07,84.12,83.82,84.45,84.2,1517544
44,2020-02-06,83.52,83.47,84.04,83.87,1141503
45,2020-02-05,83.56,83.03,84.21,83.31,976527
46,2020-02-04,83.0,82.96,83.99,83.64,815100
47,2020-02-03,83.35,82.66,83.87,82.84,1560519
48,2020-01-31,83.99,82.88,84.24,83.08,1514218
49,2020-01-30,81.96,81.83,83.99,83.97,1820328
50,2020-01-29,86.2,81.21,87.53,82.27,2311017
51,2020-01-28,82.48,82.23,83.07,82.72,1473500
52,2020-01-27,82.45,82.12,83.01,82.34,1198930
53,2020-01-24,83.25,82.27,83.28,82.76,1117913
54,2020-01-23,82.42,82.05,83.11,83.08,1308500
55,2020-01-22,83.63,82.1,83.78,82.39,1427405
56,2020-01-21,82.94,82.38,83.32,83.3,1577335
57,2020-01-17,82.45,81.99,82.79,82.5,1797400
58,2020-01-16,82.19,81.63,82.53,82.51,1021600
59,2020-01-15,81.63,81.24,82.25,82.07,1228100
60,2020-01-14,81.89,80.68,82.0,81.16,1223500
61,2020-01-13,81.06,81.06,82.31,82.28,1397514
62,2020-01-10,80.58,80.16,81.3,81.26,1291000
63,2020-01-09,79.93,79.77,80.49,80.41,892804
64,2020-01-08,79.92,79.64,80.45,80.0,2388900
65,2020-01-07,79.86,79.51,80.86,79.83,1194829
66,2020-07-06,61.82,59.36,62.03,59.59,3345925
67,2020-07-02,61.68,60.2,62.19,60.59,1509545
68,2020-07-01,58.94,58.55,60.94,60.83,1901600
69,2020-06-30,57.8,57.35,58.98,58.82,3317086
70,2020-06-29,57.16,56.31,57.7,57.67,2309600
71,2020-06-26,58.19,56.78,58.61,57.0,3305410
72,2020-06-25,57.12,56.87,58.48,58.4,3591200
73,2020-06-24,57.97,56.65,58.35,57.48,4946900
74,2020-06-23,59.95,58.36,59.95,58.77,2805900
75,2020-06-22,59.55,58.89,59.91,59.29,2840627
76,2020-06-19,62.26,59.56,62.52,59.58,6981700
77,2020-06-18,61.79,61.28,62.62,61.94,3533608
78,2020-06-17,65.03,62.46,65.46,62.52,1665400
79,2020-06-16,65.7,64.07,66.43,64.69,2406800
80,2020-06-15,61.26,61.08,64.21,63.34,2981517
