,date,open,low,high,close,volume
0,2020-01-06,10.45,10.16,10.5,10.46,8293700
1,2020-01-03,10.5,10.16,10.64,10.34,7208724
2,2020-01-02,10.97,10.27,11.05,10.36,9285400
3,2020-04-06,8.85,8.47,9.98,9.76,9123700
4,2020-04-03,8.01,7.67,8.94,8.77,9024189
5,2020-04-02,7.52,6.44,7.93,7.89,14678751
6,2020-04-01,6.88,6.84,7.69,7.3,8688854
7,2020-03-31,6.99,6.64,7.34,7.07,9753717
8,2020-03-30,6.73,6.5,7.48,6.98,9191213
9,2020-03-27,6.78,6.65,7.38,6.9,6588300
10,2020-03-26,7.74,6.68,8.26,6.96,6897027
11,2020-03-25,7.25,6.85,8.11,7.73,11077607
12,2020-03-24,6.45,5.63,7.3,7.25,11355893
13,2020-03-23,7.45,6.01,7.52,6.06,8974700
14,2020-03-20,8.07,7.24,8.23,7.45,9512000
15,2020-03-19,8.93,7.03,9.12,8.08,11988127
16,2020-03-18,9.05,8.21,9.64,8.69,12141153
17,2020-03-17,8.79,8.51,9.58,9.41,14730900
18,2020-03-16,8.47,7.88,10.31,8.69,18020332
19,2020-03-13,7.11,6.89,9.53,9.53,21564121
20,2020-03-12,6.3,6.05,7.32,6.94,15101100
21,2020-03-11,6.7,6.68,7.46,6.88,16600406
22,2020-03-10,7.22,6.01,7.72,7.06,20699710
23,2020-03-09,4.92,4.9,7.92,7.06,26465436
24,2020-03-06,6.08,6.02,6.93,6.39,18486846
25,2020-03-05,5.86,5.86,6.4,6.35,11214998
26,2020-03-04,6.15,5.84,6.34,6.11,10516800
27,2020-03-03,6.07,5.75,6.21,6.15,11179800
28,2020-03-02,6.06,5.74,6.1,6.08,17256272
29,2020-02-28,5.15,5.13,5.95,5.87,19794100
30,2020-02-27,4.92,4.21,5.54,5.38,21825000
31,2020-02-26,5.22,4.95,5.38,4.96,9345520
32,2020-02-25,5.52,4.93,5.52,5.16,8393639
33,2020-02-24,5.42,5.41,5.71,5.51,7711200
34,2020-02-21,5.88,5.53,5.88,5.81,8703392
35,2020-02-20,5.9,5.9,6.15,6.01,8791637
36,2020-02-19,5.76,5.59,5.94,5.91,9990359
37,2020-02-18,5.35,5.32,5.72,5.68,6849077
38,2020-02-14,5.43,5.27,5.53,5.29,6198600
39,2020-02-13,5.27,5.18,5.51,5.41,6544800
40,2020-02-12,5.29,5.15,5.42,5.28,8390107
41,2020-02-11,5.21,5.11,5.37,5.13,7467523
42,2020-02-10,5.19,5.01,5.36,5.11,8002194
43,2020-02-07,5.39,5.27,5.52,5.3,8670681
44,2020-02-06,5.95,5.43,5.97,5.44,12070000
45,2020-02-05,5.84,5.82,6.16,6.0,13261105
46,2020-02-04,6.03,5.68,6.05,5.72,8940000
47,2020-02-03,6.0,5.74,6.13,5.9,9139600
