,date,open,low,high,close,volume
0,2020-01-06,164.54,163.76,168.02,167.56,132813
1,2020-01-03,163.17,163.17,167.63,166.95,55000
2,2020-01-02,166.25,163.8,166.59,165.14,72500
3,2020-04-06,166.82,163.8,170.66,170.38,111800
4,2020-04-03,159.7,151.72,167.49,164.14,125604
5,2020-04-02,150.58,147.85,163.35,161.42,90800
6,2020-04-01,146.0,143.67,153.48,152.95,113601
7,2020-03-31,173.0,148.22,173.0,148.24,208900
8,2020-03-30,164.8,156.99,176.25,174.34,105500
9,2020-03-27,161.16,152.52,174.03,162.98,127900
10,2020-03-26,144.36,138.86,165.63,165.21,156100
11,2020-03-25,153.41,137.1,154.89,144.12,673600
12,2020-03-24,162.55,151.2,164.95,152.95,215836
13,2020-03-23,180.0,152.01,182.03,155.02,211342
14,2020-03-20,159.0,159.0,183.27,177.41,235017
15,2020-03-19,166.01,153.63,178.03,161.26,123400
16,2020-03-18,168.9,163.0,200.0,170.68,339808
17,2020-03-17,149.11,144.02,176.15,172.45,150600
18,2020-03-16,130.2,130.2,151.14,146.12,152230
19,2020-03-13,140.26,133.94,154.76,154.75,181300
20,2020-03-12,138.62,133.45,141.8,135.27,162236
21,2020-03-11,153.16,143.84,155.74,145.65,97800
22,2020-03-10,153.18,148.63,158.07,155.25,150926
23,2020-03-09,144.26,144.26,151.86,149.99,118700
24,2020-03-06,148.06,146.3,154.17,151.36,140700
25,2020-03-05,153.29,149.27,154.05,151.1,124447
26,2020-03-04,154.07,152.5,155.92,155.18,158000
27,2020-03-03,151.54,150.1,154.74,152.27,132336
28,2020-03-02,143.54,142.7,151.53,151.22,143900
29,2020-02-28,151.31,137.42,151.31,142.92,319208
30,2020-02-27,157.53,154.75,159.4,154.75,151017
31,2020-02-26,157.63,156.99,160.66,159.15,130913
32,2020-02-25,157.92,154.61,158.41,156.93,126000
33,2020-02-24,156.09,156.09,158.35,157.75,90200
34,2020-02-21,160.27,158.6,161.04,159.0,78502
35,2020-02-20,162.11,159.7,162.65,160.58,89000
36,2020-02-19,162.69,161.12,163.43,162.04,51100
37,2020-02-18,163.7,161.56,164.58,162.11,57900
38,2020-02-14,162.27,162.27,164.91,163.56,83700
39,2020-02-13,160.57,160.34,163.57,162.1,62400
40,2020-02-12,162.97,159.7,162.97,160.77,73944
41,2020-02-11,161.6,161.6,163.66,162.87,58447
42,2020-02-10,162.74,160.93,164.37,161.01,74200
