,date,open,low,high,close,volume
0,2020-01-06,83.05,83.0,83.75,83.31,2718639
1,2020-01-03,83.13,82.7,83.51,82.86,2199106
2,2020-01-02,85.03,83.08,85.03,83.23,3278200
3,2020-04-06,78.01,77.13,82.88,82.09,1736850
4,2020-04-03,78.2,74.4,79.09,75.06,2394021
5,2020-04-02,74.53,74.53,79.89,79.29,3084235
6,2020-04-01,75.5,75.0,77.18,75.99,2425700
7,2020-03-31,82.55,78.04,82.74,78.21,2984629
8,2020-03-30,82.64,79.66,84.0,83.65,2672600
9,2020-03-27,76.43,75.42,83.63,80.96,1749817
10,2020-03-26,71.99,71.5,79.48,78.74,2771379
11,2020-03-25,70.24,68.01,74.55,71.9,2181000
12,2020-03-24,64.7,61.96,72.46,71.44,2697800
13,2020-03-23,67.69,60.69,67.89,62.23,3432215
14,2020-03-20,77.51,67.42,77.75,68.34,4340543
15,2020-03-19,86.72,75.46,86.72,77.05,3691538
16,2020-03-18,83.2,78.44,88.74,86.25,4556405
17,2020-03-17,78.63,78.63,90.16,87.21,5763000
18,2020-03-16,81.34,76.47,84.1,77.18,4690230
19,2020-03-13,85.89,81.43,88.69,88.53,4368900
20,2020-03-12,83.72,73.9,84.45,82.62,3492200
21,2020-03-11,89.23,86.26,89.59,87.79,2653800
22,2020-03-10,93.34,87.45,94.34,91.14,3524400
23,2020-03-09,91.4,90.0,94.59,92.56,3900036
24,2020-03-06,95.19,93.3,96.81,96.36,2262738
25,2020-03-05,97.25,96.44,98.92,97.44,1990400
26,2020-03-04,93.19,93.18,98.64,98.54,1989600
27,2020-03-03,93.03,91.6,95.09,92.4,2409300
28,2020-03-02,86.61,86.61,93.71,93.62,3191542
29,2020-02-28,88.0,84.48,88.0,86.46,3405927
30,2020-02-27,93.41,89.46,93.93,89.52,2295226
31,2020-02-26,93.44,93.04,94.72,93.46,2277500
32,2020-02-25,95.31,93.09,96.17,93.38,2102468
33,2020-02-24,95.87,95.11,96.44,95.21,2160428
34,2020-02-21,95.72,95.46,97.24,95.96,2462337
35,2020-02-20,97.07,94.77,99.42,95.65,2063200
36,2020-02-19,94.84,94.3,94.93,94.3,1695022
37,2020-02-18,94.13,93.75,94.9,94.81,1628400
38,2020-02-14,92.79,92.79,93.81,93.66,1160300
39,2020-02-13,91.36,91.0,92.55,92.48,1426400
40,2020-02-12,90.78,90.62,91.68,91.26,1267100
41,2020-02-11,91.43,91.09,91.75,91.18,940800
42,2020-02-10,90.7,90.6,91.37,91.37,1246204
43,2020-02-07,91.11,90.42,91.23,90.58,1243900
