,date,open,low,high,close,volume
0,2020-01-06,300.62,298.75,301.94,300.0,369331
1,2020-01-03,297.16,296.5,301.59,301.2,400716
2,2020-01-02,302.23,295.86,303.31,298.28,412400
3,2020-04-06,202.0,201.2,214.85,212.61,555519
4,2020-04-03,193.03,188.53,201.5,190.86,477631
5,2020-04-02,190.0,189.34,202.93,194.47,707900
6,2020-04-01,206.22,190.9,207.03,200.32,765014
7,2020-03-31,223.8,211.61,224.95,220.24,785811
8,2020-03-30,228.6,211.89,232.13,225.51,590200
9,2020-03-27,212.21,209.41,234.8,228.6,786100
10,2020-03-26,202.1,198.0,218.75,218.7,654038
11,2020-03-25,186.18,183.77,212.86,200.77,813700
12,2020-03-24,189.41,177.77,193.43,188.01,914618
13,2020-03-23,194.6,175.81,194.6,182.23,967506
14,2020-03-20,212.0,192.22,214.88,196.33,819944
15,2020-03-19,205.22,201.17,214.85,209.07,562700
16,2020-03-18,225.0,201.25,232.92,206.25,676014
17,2020-03-17,228.12,219.75,238.92,236.07,637536
18,2020-03-16,250.92,223.13,257.19,223.67,724700
19,2020-03-13,274.12,258.77,277.02,275.73,767900
20,2020-03-12,261.89,250.24,281.98,262.71,1176800
21,2020-03-11,286.6,274.53,286.65,277.54,790100
22,2020-03-10,286.57,280.01,294.43,294.16,855615
23,2020-03-09,278.46,275.2,286.77,279.24,758701
24,2020-03-06,291.34,284.43,295.64,294.66,368229
25,2020-03-05,298.65,292.99,302.31,297.08,591500
26,2020-03-04,295.27,295.27,303.22,302.87,416700
27,2020-03-03,293.05,289.17,301.13,291.89,645931
28,2020-03-02,284.67,283.67,293.92,293.44,751113
29,2020-02-28,291.42,278.2,292.71,283.36,1030500
30,2020-02-27,313.12,296.69,315.77,296.69,635317
31,2020-02-26,318.86,316.86,322.12,316.94,520600
32,2020-02-25,326.3,317.14,326.59,317.91,435834
33,2020-02-24,327.62,324.92,329.69,325.81,412600
34,2020-02-21,325.99,325.99,329.74,329.03,463117
35,2020-02-20,322.3,319.7,326.73,326.11,378525
36,2020-02-19,323.59,320.67,323.61,321.63,243407
37,2020-02-18,325.47,319.64,325.94,323.92,446302
38,2020-02-14,322.87,322.67,325.41,324.17,477300
39,2020-02-13,318.61,318.61,322.06,321.51,328800
40,2020-02-12,317.93,316.06,320.42,319.18,339319
41,2020-02-11,317.02,316.58,320.17,317.83,269600
42,2020-02-10,316.51,314.8,317.64,317.34,667500
43,2020-02-07,315.73,313.79,316.36,314.79,328200
44,2020-02-06,310.8,310.06,315.82,314.74,440600
45,2020-02-05,311.38,309.02,313.64,310.02,409000
46,2020-02-04,311.9,309.99,321.3,311.58,395100
47,2020-02-03,311.01,309.02,313.41,311.39,532535
48,2020-01-31,311.6,307.84,313.69,309.76,1736612
49,2020-01-30,304.43,303.97,314.68,312.13,1170700
50,2020-01-29,309.23,303.5,309.4,303.5,584200
51,2020-01-28,305.75,303.99,310.36,308.41,516532
52,2020-01-27,309.16,308.17,312.04,308.94,560800
53,2020-01-24,312.9,308.39,313.35,309.47,279800
54,2020-01-23,309.43,307.41,313.5,312.51,487300
55,2020-01-22,312.89,307.38,314.33,309.85,429300
56,2020-01-21,309.99,308.95,312.61,311.5,410600
57,2020-01-17,305.46,304.33,308.93,308.87,383700
58,2020-01-16,303.62,302.51,306.25,306.03,292112
59,2020-01-15,302.5,301.28,305.34,302.83,428631
60,2020-01-14,304.4,300.19,305.0,301.82,335100
61,2020-01-13,302.09,302.09,306.08,305.5,420300
62,2020-01-10,300.21,299.2,303.28,302.4,736400
63,2020-01-09,298.08,297.15,299.81,299.46,505900
64,2020-01-08,296.83,295.89,299.59,298.04,450500
65,2020-01-07,298.31,294.54,299.69,296.33,327200
66,2020-07-06,242.44,234.75,242.44,235.2,240800
67,2020-07-02,242.73,234.6,243.54,237.05,267946
68,2020-07-01,230.08,229.5,241.01,239.37,475900
69,2020-06-30,227.15,226.42,230.68,229.17,857701
70,2020-06-29,224.44,221.99,226.51,226.43,355955
71,2020-06-26,228.01,224.0,229.91,224.79,652423
72,2020-06-25,227.05,224.71,229.5,229.26,277528
73,2020-06-24,229.77,224.2,231.3,227.77,588200
74,2020-06-23,236.06,230.7,236.06,232.25,430539
75,2020-06-22,233.43,229.13,236.39,233.58,430701
76,2020-06-19,247.8,233.4,247.8,233.78,1495900
77,2020-06-18,240.32,238.12,243.5,242.93,511400
78,2020-06-17,253.18,242.78,256.86,243.1,433420
79,2020-06-16,253.86,248.95,257.03,251.59,547400
80,2020-06-15,241.55,240.04,248.38,244.64,539400
81,2020-06-12,248.98,239.12,252.96,249.68,735100
82,2020-06-11,250.12,243.74,252.37,246.09,625600
83,2020-06-10,266.08,258.46,267.01,260.3,397363
84,2020-06-09,270.29,266.25,272.02,268.04,432500
85,2020-06-08,266.63,266.44,276.44,276.2,698700
86,2020-06-05,259.3,259.03,267.77,262.52,759500
87,2020-06-04,251.09,243.49,252.27,250.48,397729
88,2020-06-03,249.94,249.43,254.26,253.06,379900
89,2020-06-02,249.63,246.27,250.76,246.79,463432
90,2020-06-01,242.71,241.41,248.99,246.91,359900
91,2020-05-29,246.56,242.0,247.55,242.77,562814
92,2020-05-28,250.53,243.43,250.53,248.86,401318
93,2020-05-27,252.71,244.72,254.23,248.04,380921
94,2020-05-26,246.55,243.32,249.56,247.21,344037
95,2020-05-22,235.1,232.83,236.95,236.41,288500
96,2020-05-21,235.49,233.05,240.67,235.43,246900
97,2020-05-20,233.42,230.9,236.08,235.86,327431
98,2020-05-19,240.53,230.83,241.86,230.99,439200
99,2020-05-18,235.69,235.6,244.23,240.6,529508
100,2020-05-15,223.77,218.53,227.53,226.55,1005100
101,2020-05-14,227.52,219.16,228.6,225.01,479421
102,2020-05-13,226.24,225.01,231.75,230.78,621700
103,2020-05-12,243.33,227.9,243.33,229.9,752034
104,2020-05-11,244.42,239.42,245.73,242.92,367703
105,2020-05-08,252.97,245.44,254.84,246.65,367391
106,2020-05-07,237.77,237.77,251.84,249.06,507432
107,2020-05-06,246.05,241.28,248.31,241.39,423600
108,2020-05-05,244.22,243.03,249.34,244.52,453500
109,2020-05-04,233.58,231.02,243.01,242.29,456947
110,2020-05-01,238.26,234.02,240.15,236.81,393400
111,2020-04-30,246.36,239.4,246.36,244.1,437600
112,2020-04-29,252.4,247.02,254.4,249.22,275948
113,2020-04-28,259.04,244.05,260.4,247.46,297400
114,2020-04-27,245.2,242.44,252.74,252.07,274810
115,2020-04-24,243.01,235.52,245.02,241.61,634016
116,2020-04-23,244.14,238.13,244.14,241.25,864300
117,2020-04-22,242.97,240.87,247.16,244.72,428600
118,2020-04-21,234.85,234.17,241.35,238.79,438500
119,2020-04-20,257.38,241.69,257.38,241.9,435000
120,2020-04-17,251.71,250.76,262.23,260.84,621444
121,2020-04-16,246.86,240.06,247.63,246.03,657219
122,2020-04-15,242.7,239.12,249.08,245.4,624517
123,2020-04-14,246.63,243.94,253.99,252.62,635000
124,2020-04-13,244.59,236.05,248.48,239.8,484985
125,2020-04-09,239.76,237.96,254.67,246.96,801848
126,2020-04-08,215.29,212.94,236.14,234.12,687200
127,2020-04-07,223.05,213.3,225.83,214.63,569114
128,2020-10-05,213.89,208.82,214.84,213.4,677744
129,2020-10-02,203.84,200.67,213.56,212.1,741341
130,2020-10-01,201.03,201.0,206.99,206.82,432000
131,2020-09-30,201.58,198.41,203.04,200.79,438700
132,2020-09-29,205.0,198.99,206.33,199.6,330400
133,2020-09-28,208.07,205.29,209.57,207.52,399900
134,2020-09-25,198.44,198.08,204.35,204.11,296133
135,2020-09-24,202.0,198.32,203.57,198.98,431600
136,2020-09-23,207.57,201.66,209.49,201.93,396488
137,2020-09-22,204.53,204.53,208.61,207.48,437500
138,2020-09-21,209.0,203.8,209.79,204.31,443512
139,2020-09-18,214.56,210.92,215.87,211.44,595600
140,2020-09-17,218.82,215.27,222.23,216.48,392222
141,2020-09-16,217.92,216.69,221.64,219.56,325933
142,2020-09-15,222.32,215.47,223.65,216.39,531805
143,2020-09-14,215.47,215.47,225.4,222.39,545000
144,2020-09-11,216.61,210.84,216.61,213.21,372200
145,2020-09-10,219.33,215.44,221.3,215.99,576744
146,2020-09-09,219.11,216.61,223.77,218.51,707219
147,2020-09-08,222.42,217.82,223.73,221.57,403900
148,2020-09-04,221.62,219.63,225.72,224.26,346400
149,2020-09-03,222.76,220.1,227.24,221.94,316700
150,2020-09-02,215.55,214.32,221.13,220.98,420300
151,2020-09-01,214.43,212.49,215.37,215.21,329800
152,2020-08-31,219.07,214.93,219.98,216.51,518421
153,2020-08-28,217.3,215.04,220.91,220.64,326300
154,2020-08-27,214.18,213.79,218.01,216.64,279035
155,2020-08-26,214.08,210.96,214.72,212.8,409000
156,2020-08-25,214.74,213.61,216.09,216.03,269527
157,2020-08-24,212.31,209.17,215.14,215.14,308409
158,2020-08-21,213.04,208.55,213.89,213.02,327432
159,2020-08-20,210.06,209.9,214.74,212.51,269905
160,2020-08-19,218.56,210.42,218.56,210.7,425200
161,2020-08-18,220.65,216.29,221.58,218.73,299500
162,2020-08-17,219.14,217.48,221.56,220.25,504514
163,2020-08-14,215.38,214.91,221.64,219.15,497549
164,2020-08-13,219.78,215.56,223.26,216.03,397500
165,2020-08-12,220.44,217.36,221.82,221.21,269900
166,2020-08-11,224.68,218.8,225.99,219.53,331300
167,2020-08-10,224.0,221.47,226.16,223.48,261600
168,2020-08-07,219.04,218.2,223.19,223.19,243000
169,2020-08-06,216.02,215.65,221.13,219.98,369100
170,2020-08-05,214.27,212.24,218.42,217.37,431645
171,2020-08-04,212.5,208.06,214.99,214.27,679371
172,2020-08-03,220.0,212.95,220.0,214.24,460651
173,2020-07-31,220.38,216.0,221.92,220.74,977284
174,2020-07-30,215.78,214.83,221.23,220.62,520458
175,2020-07-29,219.31,214.16,220.08,219.15,440900
176,2020-07-28,212.26,211.82,219.01,218.03,462700
177,2020-07-27,212.48,209.34,213.19,212.56,411800
178,2020-07-24,215.37,214.0,217.03,214.12,291625
179,2020-07-23,219.97,212.84,221.8,216.33,419942
180,2020-07-22,214.0,212.94,221.55,220.83,480641
181,2020-07-21,216.06,214.96,219.17,215.72,406145
182,2020-07-20,220.64,215.05,223.19,215.24,530058
183,2020-07-17,225.02,222.0,226.0,223.17,395100
184,2020-07-16,225.15,224.03,227.08,224.26,349727
185,2020-07-15,230.84,226.0,232.26,226.27,294016
186,2020-07-14,224.63,223.6,229.04,228.3,324800
187,2020-07-13,226.26,222.52,226.93,224.89,349700
188,2020-07-10,224.23,224.15,227.25,225.33,258537
189,2020-07-09,225.6,220.62,226.3,223.92,589600
190,2020-07-08,228.12,226.06,229.14,226.92,322500
191,2020-07-07,230.97,227.9,232.07,228.12,292026
192,2021-01-04,237.25,228.1,239.3,228.25,569100
193,2020-12-31,236.82,232.92,237.91,237.42,316932
194,2020-12-30,235.49,235.49,238.87,238.35,290700
195,2020-12-29,238.32,234.76,239.99,234.84,224600
196,2020-12-28,234.99,233.78,238.65,238.32,216021
197,2020-12-24,232.09,231.04,234.51,234.25,106700
198,2020-12-23,236.51,231.24,237.89,231.24,360316
199,2020-12-22,234.25,232.98,236.19,234.73,383142
200,2020-12-21,231.26,230.0,234.67,233.83,498700
201,2020-12-18,242.2,232.95,242.43,234.37,1042800
202,2020-12-17,242.7,237.86,243.65,241.85,483100
203,2020-12-16,243.0,240.09,246.0,240.53,414000
204,2020-12-15,239.44,237.82,242.49,242.47,657229
205,2020-12-14,246.5,240.0,248.42,240.26,451700
206,2020-12-11,243.35,241.38,245.79,243.94,450102
207,2020-12-10,248.86,244.84,252.52,245.41,341800
208,2020-12-09,252.98,246.72,254.74,250.18,396400
209,2020-12-08,251.52,251.28,255.64,252.49,392540
210,2020-12-07,250.81,250.5,253.54,253.0,504900
211,2020-12-04,251.24,250.88,253.94,252.73,614613
212,2020-12-03,250.3,248.07,252.89,248.85,616312
213,2020-12-02,246.21,245.6,251.87,248.7,409000
214,2020-12-01,250.33,246.2,251.11,246.54,450500
215,2020-11-30,248.94,243.06,249.98,245.88,1302912
216,2020-11-27,254.14,248.19,255.2,250.01,161000
217,2020-11-25,257.53,252.98,257.69,254.4,332514
218,2020-11-24,256.83,254.97,259.21,257.53,516443
219,2020-11-23,255.91,251.91,257.32,252.47,487700
220,2020-11-20,254.79,251.94,256.45,254.1,439100
221,2020-11-19,252.46,248.3,256.01,254.15,719000
222,2020-11-18,260.3,253.22,261.32,254.2,563101
223,2020-11-17,260.03,258.21,264.25,260.0,536851
224,2020-11-16,263.66,256.52,264.9,262.95,417236
225,2020-11-13,249.02,247.53,256.08,254.91,435800
226,2020-11-12,251.4,243.47,251.4,247.18,771143
227,2020-11-11,259.57,246.08,259.57,246.75,716505
228,2020-11-10,254.51,254.32,265.14,258.94,930000
229,2020-11-09,246.94,246.94,276.14,254.45,1270442
230,2020-11-06,226.49,223.87,229.8,227.16,549700
231,2020-11-05,226.88,223.04,228.59,226.13,565718
232,2020-11-04,224.86,219.43,227.47,225.5,701800
233,2020-11-03,219.22,219.01,225.72,224.03,679100
234,2020-11-02,205.97,204.18,217.31,217.0,934764
235,2020-10-30,196.91,196.91,205.85,204.59,1194200
236,2020-10-29,189.34,188.85,200.66,197.58,1020330
237,2020-10-28,192.0,186.3,192.92,186.32,790521
238,2020-10-27,199.02,195.28,200.96,195.34,333365
239,2020-10-26,202.18,197.09,203.03,199.02,425200
240,2020-10-23,204.18,203.04,205.18,203.23,326100
241,2020-10-22,200.47,200.47,203.98,202.52,311674
242,2020-10-21,198.69,198.37,201.04,199.93,496300
243,2020-10-20,200.91,199.65,202.08,199.85,342500
244,2020-10-19,202.93,198.66,203.3,199.06,389464
245,2020-10-16,204.35,200.24,204.88,202.04,401300
246,2020-10-15,205.41,204.57,207.73,204.69,304600
247,2020-10-14,210.63,205.35,210.63,206.89,342000
248,2020-10-13,213.96,208.74,218.29,209.49,413300
249,2020-10-12,215.56,213.6,217.89,216.95,251331
250,2020-10-09,217.75,213.05,218.33,215.45,355200
251,2020-10-08,212.06,211.17,216.87,215.98,336900
252,2020-10-07,211.3,207.23,212.36,210.41,470300
253,2020-10-06,214.73,209.44,214.73,210.77,489538
254,2021-04-05,279.5,273.68,279.5,275.8,554825
255,2021-04-01,271.93,271.51,276.63,276.49,584000
256,2021-03-31,278.24,271.75,278.51,271.84,803641
257,2021-03-30,277.41,276.05,279.51,278.12,282700
258,2021-03-29,283.0,276.6,283.9,278.82,386133
259,2021-03-26,279.03,278.98,284.58,284.33,334200
260,2021-03-25,275.7,272.2,279.33,277.87,431412
261,2021-03-24,275.76,274.47,280.92,276.29,382900
262,2021-03-23,276.32,273.27,277.51,276.21,361526
263,2021-03-22,275.0,274.11,277.85,275.98,594101
264,2021-03-19,284.97,274.82,284.97,275.34,673200
265,2021-03-18,285.28,282.72,287.17,286.0,303400
266,2021-03-17,287.74,283.18,287.87,286.08,455449
267,2021-03-16,293.41,284.46,294.09,286.5,405030
268,2021-03-15,288.13,284.84,294.79,293.76,476697
269,2021-03-12,275.48,274.56,288.07,287.84,625710
270,2021-03-11,272.34,271.38,278.76,277.11,366100
271,2021-03-10,273.29,267.67,276.06,272.67,351611
272,2021-03-09,270.26,267.53,276.56,272.93,520038
273,2021-03-08,266.57,264.08,273.71,272.51,498727
274,2021-03-05,263.65,258.02,265.7,264.89,383800
275,2021-03-04,268.49,259.9,270.5,262.22,589941
276,2021-03-03,261.73,261.59,270.89,267.26,560100
277,2021-03-02,260.0,257.85,264.74,261.77,618540
278,2021-03-01,258.45,258.45,263.89,259.97,573928
279,2021-02-26,260.84,254.63,260.95,254.79,533400
280,2021-02-25,270.31,259.91,270.31,261.05,513403
281,2021-02-24,269.99,267.86,272.12,270.13,669321
282,2021-02-23,265.45,264.41,270.28,269.17,421694
283,2021-02-22,263.0,262.58,266.95,264.12,560539
284,2021-02-19,265.48,263.78,266.77,263.89,400200
285,2021-02-18,266.13,264.29,266.92,264.71,244416
286,2021-02-17,268.14,263.69,268.14,266.77,364812
287,2021-02-16,269.42,266.03,269.42,268.14,388700
288,2021-02-12,270.85,267.0,271.93,269.35,457009
289,2021-02-11,267.27,263.79,271.93,271.6,518900
290,2021-02-10,259.48,257.78,267.69,267.69,611400
291,2021-02-09,259.75,256.39,261.67,259.33,365800
292,2021-02-08,258.05,256.5,263.31,260.57,752000
293,2021-02-05,258.64,252.0,260.08,258.1,678136
294,2021-02-04,247.37,246.29,255.24,252.53,653728
295,2021-02-03,242.13,240.19,249.34,248.19,517200
296,2021-02-02,242.88,241.11,245.61,244.19,332633
297,2021-02-01,240.63,236.19,242.29,242.07,374600
298,2021-01-29,242.5,237.71,245.12,239.61,667300
299,2021-01-28,240.23,238.55,246.53,243.37,395037
300,2021-01-27,242.07,235.75,243.27,239.19,465243
301,2021-01-26,242.8,241.93,245.23,243.77,361400
302,2021-01-25,242.54,241.19,245.79,242.62,385300
303,2021-01-22,244.51,242.4,245.0,243.45,366321
304,2021-01-21,242.62,239.86,246.37,245.2,476306
305,2021-01-20,237.18,235.69,245.56,244.79,641913
306,2021-01-19,241.97,235.72,241.97,237.18,339100
307,2021-01-15,236.5,235.19,242.3,240.52,522072
308,2021-01-14,237.5,235.58,239.55,237.08,312300
309,2021-01-13,232.1,232.1,236.86,236.34,219600
310,2021-01-12,231.45,228.91,233.7,232.42,304300
311,2021-01-11,233.3,229.56,234.1,231.28,288000
312,2021-01-08,231.63,230.87,234.58,233.89,215600
313,2021-01-07,235.57,230.42,235.57,231.5,476406
314,2021-01-06,228.11,227.88,237.39,236.67,623216
315,2021-01-05,228.83,226.79,231.14,227.22,677400
316,2021-07-02,304.72,304.61,307.6,305.86,287900
317,2021-07-01,301.2,300.18,307.12,303.93,390600
318,2021-06-30,302.6,299.77,304.46,300.01,302900
319,2021-06-29,303.38,302.0,305.27,302.13,207500
320,2021-06-28,307.7,302.95,308.11,305.65,254200
321,2021-06-25,305.91,305.27,308.31,307.35,313800
322,2021-06-24,307.51,304.61,308.12,306.23,287500
323,2021-06-23,305.46,304.43,308.88,307.34,266440
324,2021-06-22,308.0,305.85,308.86,305.97,348635
325,2021-06-21,303.74,302.48,309.54,308.17,405948
326,2021-06-18,307.87,300.67,309.91,301.17,824900
327,2021-06-17,309.24,306.09,309.95,308.65,284500
328,2021-06-16,311.82,308.77,313.75,309.02,404909
329,2021-06-15,314.53,310.26,314.94,311.07,232948
