,date,open,low,high,close,volume
0,2020-01-06,94.54,94.27,95.43,95.34,3665200
1,2020-01-03,94.23,93.71,95.24,95.16,1557900
2,2020-01-02,95.24,94.24,95.88,95.87,2380800
3,2020-04-06,75.21,75.13,77.89,77.4,3109300
4,2020-04-03,74.12,70.34,74.12,71.25,2606700
5,2020-04-02,72.44,71.58,75.09,73.59,3162500
6,2020-04-01,72.57,71.13,74.04,73.14,3769700
7,2020-03-31,77.67,75.87,79.04,77.69,5641240
8,2020-03-30,74.42,74.0,78.71,78.32,2873415
9,2020-03-27,73.03,71.92,76.51,74.54,2621400
10,2020-03-26,76.29,73.82,78.96,78.25,3073456
11,2020-03-25,72.09,69.41,79.31,74.6,5259105
12,2020-03-24,61.64,61.17,72.41,71.21,5155932
13,2020-03-23,63.83,56.42,64.31,57.77,6097249
14,2020-03-20,73.86,64.47,73.86,64.93,4540900
15,2020-03-19,67.52,62.1,72.68,72.45,4599012
16,2020-03-18,68.13,58.72,69.44,68.82,5784857
17,2020-03-17,76.9,70.28,77.98,73.74,5774007
18,2020-03-16,75.81,74.87,81.28,75.32,4825509
19,2020-03-13,80.82,78.19,87.04,85.56,5712266
20,2020-03-12,78.25,75.01,80.49,75.92,5814900
21,2020-03-11,86.41,83.11,87.5,84.37,4422864
22,2020-03-10,86.23,84.63,89.52,89.06,4974000
23,2020-03-09,85.09,78.0,86.47,83.13,5205877
24,2020-03-06,90.31,90.08,93.93,92.77,4760047
25,2020-03-05,94.92,93.32,96.4,93.66,3980400
26,2020-03-04,94.71,94.43,98.2,98.12,4269000
27,2020-03-03,96.27,92.49,99.26,92.85,5114600
28,2020-03-02,91.5,91.01,95.75,95.68,5188931
29,2020-02-28,90.82,89.08,92.1,90.72,6790079
30,2020-02-27,94.34,92.63,96.63,93.24,5546400
31,2020-02-26,98.89,96.58,99.74,96.58,4108627
32,2020-02-25,101.95,98.1,102.46,98.21,4140900
33,2020-02-24,101.67,101.12,102.65,101.65,4178141
34,2020-02-21,104.23,103.81,105.14,104.93,2465728
35,2020-02-20,104.26,104.1,105.78,105.1,1755700
36,2020-02-19,104.5,104.16,104.98,104.31,1873100
37,2020-02-18,104.03,103.52,104.64,104.47,2298410
38,2020-02-14,102.96,102.51,103.6,103.55,1991932
39,2020-02-13,103.41,102.82,103.98,102.89,2059513
40,2020-02-12,104.5,103.8,104.97,104.03,2006249
41,2020-02-11,103.42,103.01,104.39,103.53,2481300
42,2020-02-10,101.84,101.5,102.93,102.91,2039630
43,2020-02-07,101.9,101.13,102.94,101.96,3064000
44,2020-02-06,103.5,101.86,103.5,102.48,2507900
45,2020-02-05,102.32,101.68,103.21,102.34,3339436
46,2020-02-04,97.97,97.86,101.54,100.91,4735400
47,2020-02-03,95.06,94.95,96.81,95.49,2745651
48,2020-01-31,96.38,94.03,96.86,94.47,4701832
49,2020-01-30,95.62,95.49,97.41,97.23,2680516
50,2020-01-29,96.87,96.12,97.48,96.87,2108130
51,2020-01-28,94.84,94.68,97.02,96.27,3394249
52,2020-01-27,94.86,93.96,95.15,94.64,2194436
53,2020-01-24,98.26,96.43,98.31,96.84,2626023
54,2020-01-23,96.33,95.41,97.97,97.9,3081300
55,2020-01-22,98.32,96.59,99.82,97.16,5604149
56,2020-01-21,95.35,94.32,95.49,94.52,3505271
57,2020-01-17,94.79,94.62,95.95,95.68,2978620
58,2020-01-16,94.71,93.98,94.84,94.82,1677013
59,2020-01-15,93.55,93.34,94.29,93.9,2653200
60,2020-01-14,95.05,93.99,95.19,94.1,2349912
61,2020-01-13,94.63,94.25,95.03,94.86,1638300
62,2020-01-10,95.52,94.7,95.61,94.98,2213033
63,2020-01-09,95.61,94.82,95.64,95.19,2736940
64,2020-01-08,94.84,94.65,95.56,95.13,2480500
65,2020-01-07,94.16,94.01,95.0,94.84,2632362
66,2020-07-06,89.82,88.2,90.15,88.88,1516411
67,2020-07-02,88.72,88.09,89.98,88.24,1587747
68,2020-07-01,87.91,86.54,88.3,87.1,2183200
69,2020-06-30,86.47,86.12,87.93,87.48,1910100
70,2020-06-29,86.34,85.75,87.74,86.91,1690803
71,2020-06-26,85.24,84.67,85.96,85.5,3696068
72,2020-06-25,83.57,82.44,85.64,85.47,2502301
73,2020-06-24,86.31,83.88,86.45,84.01,2500900
74,2020-06-23,88.0,87.09,88.21,87.12,1841403
75,2020-06-22,88.75,86.43,88.75,87.08,2600300
76,2020-06-19,89.48,86.8,89.48,89.34,6552500
77,2020-06-18,88.1,87.16,88.83,87.53,1932044
78,2020-06-17,89.63,87.66,89.63,88.84,2027500
79,2020-06-16,90.01,87.25,90.97,88.94,2000571
80,2020-06-15,83.33,82.98,87.86,86.69,2651619
81,2020-06-12,88.45,83.95,88.66,86.01,1788100
82,2020-06-11,88.16,84.97,88.42,85.13,2069804
83,2020-06-10,95.0,91.98,95.42,91.98,2023642
84,2020-06-09,93.87,93.25,96.49,95.42,2260669
85,2020-06-08,94.76,94.66,96.31,95.67,2574200
86,2020-06-05,96.59,95.16,98.46,95.43,3398101
87,2020-06-04,88.47,87.94,92.04,91.99,3069600
88,2020-06-03,86.9,86.65,89.55,89.33,1819516
89,2020-06-02,85.14,84.24,85.62,85.62,1741342
90,2020-06-01,84.67,84.18,85.36,84.66,1584138
91,2020-05-29,84.31,83.06,85.16,84.9,3361668
92,2020-05-28,86.96,84.64,87.1,85.13,3491155
93,2020-05-27,84.28,83.91,86.47,86.28,3191019
94,2020-05-26,80.23,80.17,82.45,81.92,2683100
95,2020-05-22,78.41,77.06,78.76,78.67,1784400
96,2020-05-21,77.64,77.47,78.67,78.29,2130100
97,2020-05-20,77.68,76.56,78.62,77.93,1905104
98,2020-05-19,77.77,76.26,78.46,76.34,2356200
99,2020-05-18,77.0,76.64,79.0,78.27,1916500
100,2020-05-15,74.22,73.12,75.22,73.71,2661200
101,2020-05-14,71.91,70.54,74.99,74.91,2734043
102,2020-05-13,76.43,73.06,76.6,73.87,2336713
103,2020-05-12,81.47,77.27,82.09,77.46,1996443
104,2020-05-11,81.44,80.19,81.79,81.08,1786800
105,2020-05-08,81.5,81.09,82.4,82.25,1555139
106,2020-05-07,81.26,79.87,81.57,80.26,2219300
107,2020-05-06,80.77,79.92,81.65,79.92,1825500
108,2020-05-05,81.05,80.5,82.36,80.8,2260100
109,2020-05-04,80.47,78.1,81.14,79.32,2839900
110,2020-05-01,82.0,79.87,82.89,82.07,2505800
111,2020-04-30,85.31,82.67,85.49,83.5,3597945
112,2020-04-29,84.99,84.3,86.77,85.78,2563586
