,date,open,low,high,close,volume
0,2020-01-06,59.5,59.3,59.95,59.58,3055800
1,2020-01-03,58.86,58.71,59.42,59.37,2845840
2,2020-01-02,59.92,58.73,59.92,58.97,2906200
3,2020-04-06,43.71,43.09,47.0,46.5,2600480
4,2020-04-03,43.6,41.47,44.58,41.69,4751846
5,2020-04-02,41.73,41.4,44.82,44.1,4130000
6,2020-04-01,44.99,42.08,45.85,42.79,3061000
7,2020-03-31,49.36,46.66,50.02,46.99,5242462
8,2020-03-30,49.19,47.66,50.6,50.04,3652012
9,2020-03-27,46.38,46.2,50.3,48.67,3671260
10,2020-03-26,44.82,44.56,49.04,48.36,3345400
11,2020-03-25,43.03,41.89,46.5,44.48,3844000
12,2020-03-24,40.81,39.8,43.63,43.17,3721038
13,2020-03-23,39.48,37.6,41.25,39.09,4360748
14,2020-03-20,42.86,39.53,44.79,39.99,4987682
15,2020-03-19,42.8,38.8,44.08,42.03,5604200
16,2020-03-18,46.85,39.76,47.72,43.21,8217644
17,2020-03-17,44.36,43.7,49.93,49.81,6942000
18,2020-03-16,47.29,42.92,48.02,43.37,6870000
19,2020-03-13,53.32,48.31,53.64,51.47,5350456
20,2020-03-12,52.72,49.23,53.72,50.82,5744400
21,2020-03-11,58.18,54.77,58.31,55.81,3530846
22,2020-03-10,58.68,56.83,59.79,59.65,5639800
23,2020-03-09,59.09,57.01,59.46,57.7,6543916
24,2020-03-06,61.98,60.23,62.5,62.14,3755276
25,2020-03-05,63.03,62.22,64.08,63.73,4400000
26,2020-03-04,61.81,61.81,64.38,64.18,3012000
27,2020-03-03,62.24,60.55,63.37,60.95,3960000
28,2020-03-02,58.7,58.45,62.19,62.06,3914000
29,2020-02-28,59.39,56.95,59.39,58.46,5471052
30,2020-02-27,62.65,60.35,62.75,60.4,5108600
31,2020-02-26,63.13,62.8,63.61,62.83,3059800
32,2020-02-25,64.92,62.9,65.0,63.15,3198400
33,2020-02-24,64.89,64.64,65.54,64.87,3119218
34,2020-02-21,65.69,64.89,66.04,64.98,5692600
35,2020-02-20,66.51,65.42,66.54,65.72,3867400
36,2020-02-19,67.5,66.45,67.78,66.55,3266264
37,2020-02-18,67.36,66.93,67.73,67.39,2910488
38,2020-02-14,66.82,66.54,67.24,67.07,3278040
39,2020-02-13,65.83,65.59,66.75,66.62,1477000
40,2020-02-12,65.64,65.28,66.09,65.78,1831404
41,2020-02-11,66.54,66.29,66.92,66.44,2070600
42,2020-02-10,66.07,65.85,66.47,66.44,1393432
43,2020-02-07,65.9,65.85,66.29,65.97,2743268
44,2020-02-06,65.32,65.31,65.84,65.71,2254672
45,2020-02-05,65.19,65.04,65.75,65.28,2722698
46,2020-02-04,66.07,65.21,66.44,65.28,1907200
47,2020-02-03,65.96,65.72,66.19,66.1,1668800
48,2020-01-31,65.85,65.33,66.01,65.76,4816600
49,2020-01-30,65.25,65.01,65.9,65.86,1539400
50,2020-01-29,65.07,64.71,65.38,65.28,1770606
51,2020-01-28,64.82,64.36,65.13,65.0,2330800
52,2020-01-27,65.33,64.54,65.75,64.78,2269800
53,2020-01-24,64.9,64.86,65.6,65.36,1750000
54,2020-01-23,63.95,63.79,65.02,64.97,2556664
55,2020-01-22,64.0,63.71,64.24,63.95,1791800
56,2020-01-21,63.22,63.0,63.72,63.68,2221632
57,2020-01-17,62.55,62.46,63.22,63.16,2108296
58,2020-01-16,61.92,61.87,62.5,62.48,2260096
59,2020-01-15,61.03,60.92,61.96,61.87,2470800
60,2020-01-14,60.72,60.32,60.94,60.79,2255006
61,2020-01-13,60.3,60.3,61.09,60.76,3835054
62,2020-01-10,60.29,60.19,60.62,60.31,2116330
63,2020-01-09,59.43,59.28,60.15,60.13,1639914
64,2020-01-08,59.78,59.35,59.8,59.48,1735052
65,2020-01-07,59.32,59.15,59.8,59.57,2053042
66,2020-07-06,48.92,47.55,49.35,48.2,1287816
67,2020-07-02,48.96,48.26,49.34,48.43,1754678
68,2020-07-01,46.89,46.87,48.58,48.36,1865642
69,2020-06-30,46.92,46.54,47.32,46.91,2120400
70,2020-06-29,46.23,45.52,46.9,46.89,1646222
71,2020-06-26,46.18,45.54,46.99,45.83,3946400
72,2020-06-25,46.7,45.55,46.7,46.18,3167200
73,2020-06-24,47.03,45.96,47.2,46.76,2432400
