,date,open,low,high,close,volume
0,2020-01-06,63.62,63.02,63.67,63.32,921300
1,2020-01-03,63.32,63.3,63.78,63.5,956640
2,2020-01-02,65.15,63.31,65.27,63.44,2008000
3,2020-04-06,53.72,53.62,58.34,57.88,1544300
4,2020-04-03,52.95,50.68,55.36,51.8,3340267
5,2020-04-02,50.96,50.64,54.22,53.48,2438338
6,2020-04-01,52.66,50.74,54.15,51.75,1479600
7,2020-03-31,58.26,54.75,58.72,55.05,2204512
8,2020-03-30,58.75,57.38,59.6,59.11,1835500
9,2020-03-27,55.87,55.74,59.88,57.52,1859700
10,2020-03-26,52.12,51.91,59.63,58.16,2225608
11,2020-03-25,50.26,49.43,54.45,51.9,1951144
12,2020-03-24,46.96,46.34,51.4,50.71,2046933
13,2020-03-23,46.8,42.01,47.66,44.92,2918264
14,2020-03-20,54.79,46.8,55.71,47.18,2929200
15,2020-03-19,56.39,51.7,57.0,55.1,2191900
16,2020-03-18,53.78,53.34,59.49,57.71,4298106
17,2020-03-17,50.51,48.05,57.83,57.56,3641446
18,2020-03-16,52.24,48.83,57.2,49.6,3975600
19,2020-03-13,58.82,54.31,59.75,59.09,2256300
20,2020-03-12,58.21,54.87,58.89,55.96,3767641
21,2020-03-11,65.01,61.24,65.35,62.35,2456318
22,2020-03-10,65.42,63.74,66.9,66.76,3471600
23,2020-03-09,66.24,63.55,67.73,64.53,2728510
24,2020-03-06,69.05,67.58,70.07,69.84,3645924
25,2020-03-05,71.95,71.07,72.75,71.61,2113500
26,2020-03-04,69.57,69.57,73.16,73.08,2513800
27,2020-03-03,69.65,68.58,71.11,68.85,2605500
28,2020-03-02,66.8,65.85,69.85,69.39,4823820
29,2020-02-28,65.86,63.18,65.86,65.35,3361807
30,2020-02-27,69.32,66.94,69.7,67.0,2254100
31,2020-02-26,70.12,69.57,70.85,69.58,1411509
32,2020-02-25,72.08,70.03,72.13,70.1,1714814
33,2020-02-24,72.85,71.97,73.24,71.99,2080827
34,2020-02-21,73.68,72.89,74.03,72.91,2294410
35,2020-02-20,73.77,72.91,74.14,73.56,3241900
36,2020-02-19,73.75,73.56,74.06,73.91,3869921
37,2020-02-18,72.61,72.41,76.57,73.88,5842500
38,2020-02-14,71.82,71.53,72.48,72.34,1737400
39,2020-02-13,70.89,70.69,71.68,71.55,2091535
40,2020-02-12,70.4,70.29,70.97,70.74,1989100
41,2020-02-11,70.8,70.48,71.1,70.84,1883700
42,2020-02-10,71.1,70.62,71.12,70.79,1229020
43,2020-02-07,71.56,70.85,71.77,70.87,1259600
44,2020-02-06,71.03,70.94,71.69,71.32,2574423
45,2020-02-05,70.87,70.73,71.22,71.02,2634043
46,2020-02-04,71.6,70.9,71.65,71.0,3478437
47,2020-02-03,72.25,71.73,72.26,71.81,1386900
48,2020-01-31,72.41,71.62,72.58,72.16,3812505
49,2020-01-30,72.23,71.91,72.62,72.46,1330900
50,2020-01-29,72.18,71.88,72.43,72.19,2121700
51,2020-01-28,71.83,71.76,72.4,72.18,2871600
52,2020-01-27,71.28,71.24,71.98,71.75,3523600
53,2020-01-24,70.18,70.08,71.48,71.37,2508752
54,2020-01-23,69.15,68.97,70.39,70.2,4790300
55,2020-01-22,68.82,68.66,69.62,69.11,4733519
56,2020-01-21,70.22,68.48,70.61,68.67,7841000
57,2020-01-17,67.19,66.9,67.55,67.33,3215741
