,date,open,low,high,close,volume
0,2020-01-06,76.9833,76.67,78.3533,78.2667,3304824
1,2020-01-03,76.1667,76.1067,77.5,77.21,3043434
2,2020-01-02,76.6667,76.63,77.9162,77.5,4250796
3,2020-04-06,65.1033,63.1833,65.4033,65.14,5513139
4,2020-04-03,60.8133,60.7567,63.9,63.0233,6009867
5,2020-04-02,57.05,56.9967,61.7733,61.62,4621191
6,2020-04-01,60.28,56.4433,61.01,57.5433,5771418
7,2020-03-31,65.22,62.3733,65.6017,62.8733,9129168
8,2020-03-30,66.0333,62.01,67.5,65.3533,5647362
9,2020-03-27,63.99,63.962,67.3333,66.05,3656781
10,2020-03-26,64.5533,63.9967,67.1633,66.48,4714026
11,2020-03-25,61.7167,61.3333,66.1267,63.6433,6009075
12,2020-03-24,55.26,54.8633,61.9933,61.63,7633824
13,2020-03-23,54.6333,51.5067,54.7633,52.41,8032236
14,2020-03-20,60.4533,54.2,62.6667,55.4833,7424496
15,2020-03-19,57.5833,56.0767,62.175,60.1233,7861689
16,2020-03-18,55.4333,54.0733,58.2733,57.7133,7454280
17,2020-03-17,56.36,54.0633,58.9367,58.8,8011320
18,2020-03-16,56.6667,55.0633,58.7767,55.2433,7558347
19,2020-03-13,64.9767,57.775,65.3333,61.8333,11706597
20,2020-03-12,61.9433,59.5367,65.8367,62.34,9402828
21,2020-03-11,65.6533,64.8567,67.4967,65.79,5776995
22,2020-03-10,66.0233,64.2033,67.6467,67.6233,6475971
23,2020-03-09,63.56,63.5,65.6217,63.6867,5955852
24,2020-03-06,67.5067,66.5867,68.93,68.6167,5462286
25,2020-03-05,73.0433,68.9533,73.0433,69.6533,5749005
26,2020-03-04,71.1233,69.5967,72.4666,72.46,7120296
27,2020-03-03,71.2467,68.4633,72.281,69.52,7074381
28,2020-03-02,69.0,68.6267,70.9767,70.9733,6177870
29,2020-02-28,69.2533,66.384,69.2533,68.28,10213206
30,2020-02-27,72.51,70.92,73.5033,70.9867,6906012
31,2020-02-26,75.0533,73.4833,76.4767,73.86,3177684
32,2020-02-25,75.88,74.39,76.1412,74.69,4264908
