,date,open,low,high,close,volume
0,2020-01-06,32.47,32.37,32.63,32.54,7785311
1,2020-01-03,32.32,32.32,32.63,32.49,7552667
2,2020-01-02,32.64,32.27,32.64,32.39,7026544
3,2020-04-06,24.33,24.29,26.1,25.9,9673159
4,2020-04-03,24.38,23.1,24.57,23.35,8990446
5,2020-04-02,23.8,23.5,25.16,24.73,6047368
6,2020-04-01,25.1,23.49,25.51,23.87,8183677
7,2020-03-31,26.24,25.83,27.07,26.25,14853942
8,2020-03-30,25.45,25.31,26.73,26.55,10078005
9,2020-03-27,24.96,24.73,26.29,25.31,9280212
10,2020-03-26,24.65,24.43,26.38,26.09,9755285
11,2020-03-25,24.27,23.67,25.89,24.64,12647840
12,2020-03-24,22.43,22.36,24.65,24.61,15642616
13,2020-03-23,22.43,20.88,22.78,21.38,13598273
14,2020-03-20,23.3,21.98,23.87,22.11,12123666
15,2020-03-19,23.52,21.76,24.49,23.11,10491169
16,2020-03-18,24.14,22.05,24.76,23.56,13575107
17,2020-03-17,22.3,20.98,25.85,25.67,19091668
18,2020-03-16,23.65,21.24,25.38,21.76,12097909
19,2020-03-13,25.78,24.32,27.09,25.93,16007668
20,2020-03-12,26.74,24.55,27.26,25.15,18598870
21,2020-03-11,30.01,28.07,30.01,28.39,12822349
22,2020-03-10,30.43,29.15,31.15,30.75,18639936
23,2020-03-09,30.65,29.33,31.81,29.88,17456995
24,2020-03-06,31.38,31.06,32.35,32.21,13212799
25,2020-03-05,32.62,32.29,33.08,32.89,11904714
26,2020-03-04,31.81,31.74,33.42,33.39,11415194
27,2020-03-03,32.15,31.4,33.21,31.51,16340948
28,2020-03-02,30.8,30.59,32.4,32.39,13538350
29,2020-02-28,31.62,30.18,31.63,30.74,20866269
30,2020-02-27,33.59,32.17,33.61,32.19,11605376
31,2020-02-26,34.36,33.54,34.44,33.55,9678628
32,2020-02-25,34.78,33.88,34.85,33.96,10672493
33,2020-02-24,35.69,34.8,35.99,34.81,8399551
34,2020-02-21,35.54,35.4,35.68,35.45,10310828
35,2020-02-20,35.28,35.24,35.6,35.55,5252666
36,2020-02-19,35.53,35.22,35.68,35.37,5642526
37,2020-02-18,35.6,35.4,36.04,35.92,7240640
38,2020-02-14,35.37,35.18,35.5,35.48,5108997
39,2020-02-13,35.26,35.09,35.44,35.35,7244096
40,2020-02-12,35.25,34.95,35.38,35.13,7404203
41,2020-02-11,34.45,34.45,35.27,35.18,8677203
42,2020-02-10,34.43,34.27,34.48,34.45,5928595
43,2020-02-07,34.49,34.33,34.64,34.36,6775550
44,2020-02-06,34.48,34.37,34.63,34.41,5837422
45,2020-02-05,34.23,34.1,34.54,34.46,7100249
46,2020-02-04,34.31,34.15,34.59,34.29,8542570
47,2020-02-03,34.0,33.94,34.44,34.37,8586685
48,2020-01-31,34.23,33.69,34.34,33.93,9649376
