,date,open,low,high,close,volume
0,2021-04-05,44.82,43.5,45.16,44.66,580000
1,2021-04-01,43.09,42.83,45.8,44.93,619045
2,2021-03-31,43.03,42.19,44.52,43.39,446700
3,2021-03-30,42.27,41.29,43.4,43.14,480200
4,2021-03-29,43.4,42.34,43.51,42.52,204000
5,2021-03-26,42.27,42.14,43.34,43.33,325005
6,2021-03-25,41.15,40.0,42.33,42.16,675200
7,2021-03-24,42.5,41.28,42.8,41.6,688700
8,2021-03-23,42.28,41.04,42.72,41.7,447000
9,2021-03-22,43.23,41.92,43.5,42.75,539255
10,2021-03-19,43.3,42.8,43.76,43.31,537112
11,2021-03-18,44.92,43.22,45.25,43.5,886900
12,2021-03-17,44.87,44.2,45.6,45.28,543104
13,2021-03-16,45.78,43.95,45.88,44.81,717657
14,2021-03-15,45.92,45.1,46.25,45.75,626800
15,2021-03-12,46.13,44.89,46.31,45.75,684300
16,2021-03-11,44.75,44.51,45.82,45.34,578900
17,2021-03-10,44.26,43.77,44.87,44.75,484300
18,2021-03-09,43.69,43.62,44.94,44.28,183416
19,2021-03-08,44.69,43.01,45.13,44.37,1125500
20,2021-03-05,47.0,44.02,47.08,45.03,968200
21,2021-03-04,47.66,45.79,48.79,46.18,679731
22,2021-03-03,45.51,45.22,47.64,47.25,1214600
23,2021-03-02,44.67,44.67,46.75,45.3,756600
24,2021-03-01,44.45,44.08,45.28,44.67,718900
25,2021-02-26,44.56,43.42,44.94,44.18,466100
26,2021-02-25,45.32,44.1,45.5,44.75,2485012
27,2021-02-24,43.24,42.64,45.08,45.0,3153182
28,2021-02-23,43.95,42.0,43.95,43.66,888492
29,2021-02-22,44.84,43.65,45.03,43.84,1449400
30,2021-02-19,43.66,43.01,44.63,44.0,1048200
31,2021-02-18,44.24,42.78,45.0,43.0,1589500
32,2021-02-17,44.03,43.5,44.6,44.26,1910404
33,2021-02-16,44.2,43.01,45.54,43.55,1369100
34,2021-02-12,43.01,41.55,43.5,42.51,2088200
35,2021-02-11,45.47,42.75,45.47,42.8,1652123
36,2021-02-10,43.0,43.0,50.0,44.99,1836935
37,2021-07-02,54.01,53.5,54.92,54.59,755895
38,2021-07-01,52.82,52.39,54.18,53.99,1453063
39,2021-06-30,49.6,49.59,52.03,51.92,1480138
40,2021-06-29,51.3,49.21,52.32,49.55,1478000
41,2021-06-28,53.1,50.74,53.39,51.0,1854035
42,2021-06-25,53.22,52.69,53.56,53.13,13760237
43,2021-06-24,52.84,52.39,54.2,53.09,1768843
44,2021-06-23,53.88,52.61,54.28,52.93,1302851
45,2021-06-22,55.21,52.86,55.21,53.61,2750117
46,2021-06-21,53.54,52.89,55.21,55.08,2881517
47,2021-06-18,53.08,52.72,53.8,53.11,3169900
48,2021-06-17,53.92,52.01,54.07,53.76,2991600
49,2021-06-16,55.96,53.84,56.36,54.09,2412108
50,2021-06-15,56.99,55.43,56.99,55.96,1689529
51,2021-06-14,56.15,55.46,56.71,55.83,1610100
52,2021-06-11,55.92,55.39,56.54,56.22,1086936
53,2021-06-10,55.71,54.76,55.83,55.58,1343100
54,2021-06-09,55.6,54.51,55.84,55.43,886200
55,2021-06-08,55.05,54.23,55.93,55.51,1999500
56,2021-06-07,55.59,54.62,56.07,55.54,1978915
57,2021-06-04,53.57,52.88,54.65,54.43,929547
58,2021-06-03,53.39,52.48,53.89,53.48,755700
59,2021-06-02,55.0,53.2,55.0,53.42,1079700
60,2021-06-01,53.57,53.13,54.99,54.88,1429310
61,2021-05-28,53.0,52.28,53.2,52.8,652548
62,2021-05-27,53.25,51.54,53.25,52.95,1807633
63,2021-05-26,50.43,50.07,53.1,52.8,1400600
64,2021-05-25,50.47,49.91,51.17,50.44,726432
65,2021-05-24,50.7,49.83,50.93,50.55,955800
66,2021-05-21,50.44,49.68,50.72,50.43,1668000
67,2021-05-20,50.9,50.32,51.38,50.49,913100
68,2021-05-19,50.41,50.01,51.25,51.0,928147
69,2021-05-18,50.8,50.6,52.0,51.3,2565227
70,2021-05-17,48.97,48.81,50.4,49.99,1427100
71,2021-05-14,49.0,48.72,49.82,48.87,2141538
72,2021-05-13,49.49,48.19,50.59,49.5,831200
