,date,open,low,high,close,volume
0,2020-01-06,77.09,75.82,77.44,76.83,872540
1,2020-01-03,77.08,76.76,77.91,77.87,660200
2,2020-01-02,78.62,77.62,78.73,78.35,1062400
3,2020-04-06,68.73,68.03,69.66,69.21,1846213
4,2020-04-03,67.23,66.35,68.44,67.1,1381622
5,2020-04-02,65.87,65.32,67.96,67.7,2073700
6,2020-04-01,64.95,64.01,67.55,65.48,1604200
7,2020-03-31,66.19,65.96,67.61,66.72,1667700
8,2020-03-30,65.52,63.86,67.34,66.97,1482400
9,2020-03-27,63.57,62.39,66.7,65.11,1515700
10,2020-03-26,64.73,62.58,66.02,65.2,2004619
11,2020-03-25,63.63,61.27,67.29,64.4,2156522
12,2020-03-24,57.6,57.56,63.67,63.09,2687300
13,2020-03-23,55.0,52.55,57.56,55.86,2307293
14,2020-03-20,58.6,52.85,59.36,54.94,3215000
15,2020-03-19,60.09,57.7,61.49,58.01,2202304
16,2020-03-18,59.36,56.96,61.29,60.75,2262500
17,2020-03-17,60.19,58.0,62.23,61.77,3161924
18,2020-03-16,57.85,57.8,62.6,58.74,2589436
19,2020-03-13,64.15,61.01,65.26,65.15,3102010
20,2020-03-12,63.47,61.98,66.13,62.02,4430500
21,2020-03-11,68.62,67.0,69.79,67.36,2911742
22,2020-03-10,69.15,67.45,70.1,69.95,3563143
23,2020-03-09,66.22,66.0,70.11,67.75,3523600
24,2020-03-06,70.17,69.87,71.71,70.48,2759615
25,2020-03-05,71.1,70.71,72.24,72.08,2126800
26,2020-03-04,71.14,70.22,73.17,73.13,1531200
27,2020-03-03,71.45,69.69,72.59,70.22,1959100
28,2020-03-02,70.44,69.09,72.04,71.94,2449700
29,2020-02-28,67.65,66.91,71.33,70.42,4858800
30,2020-02-27,71.94,69.08,72.16,69.13,2810516
31,2020-02-26,72.68,72.41,74.28,72.74,2505600
32,2020-02-25,73.25,72.01,73.46,72.34,2659700
33,2020-02-24,73.54,71.77,74.18,72.97,1823375
34,2020-02-21,74.88,74.52,76.2,75.41,1727100
35,2020-02-20,76.18,75.14,76.73,75.47,1871300
36,2020-02-19,74.02,74.01,76.57,76.18,1762711
37,2020-02-18,73.88,73.41,76.48,74.43,1188500
38,2020-02-14,74.27,73.04,74.63,73.39,1402780
39,2020-02-13,72.94,72.87,74.21,74.18,1084227
40,2020-02-12,73.23,73.13,73.83,73.42,620136
41,2020-02-11,73.19,73.07,73.8,73.16,779400
42,2020-02-10,73.11,72.5,73.45,72.78,893000
43,2020-02-07,73.67,73.17,74.44,73.34,1120728
44,2020-02-06,73.93,73.26,74.42,74.03,1006534
45,2020-02-05,73.64,73.5,74.81,73.71,1176407
46,2020-02-04,73.34,72.88,73.87,73.27,999205
47,2020-02-03,73.6,72.43,74.19,72.7,1440628
48,2020-01-31,73.1,72.35,73.62,73.04,5712900
49,2020-01-30,73.0,72.51,73.66,73.43,1278600
50,2020-01-29,73.74,73.29,74.08,73.62,1306900
51,2020-01-28,74.14,73.55,74.33,73.85,1574030
52,2020-01-27,73.1,72.95,75.09,73.96,1898905
53,2020-01-24,74.42,73.49,74.61,74.34,995700
54,2020-01-23,73.66,72.59,74.19,73.97,1489503
55,2020-01-22,74.26,73.13,74.5,73.66,1299205
56,2020-01-21,76.47,73.59,76.88,74.02,1868300
57,2020-01-17,75.79,75.46,78.33,76.82,3312600
58,2020-01-16,79.55,78.79,81.64,81.34,1304907
59,2020-01-15,78.93,78.46,79.57,79.19,847827
60,2020-01-14,77.67,77.54,79.15,78.72,1081500
61,2020-01-13,77.22,77.08,77.9,77.61,888314
62,2020-01-10,77.09,76.85,77.67,77.21,1075600
63,2020-01-09,76.38,76.3,77.02,76.81,948800
64,2020-01-08,76.7,76.05,76.94,76.38,989100
65,2020-01-07,76.37,76.08,76.94,76.63,871808
66,2020-07-06,77.95,76.79,78.41,77.24,888209
67,2020-07-02,76.7,76.31,77.53,77.15,830600
68,2020-07-01,76.7,75.1,77.78,76.19,1310900
69,2020-06-30,74.62,74.43,76.36,76.04,1124300
70,2020-06-29,74.12,73.69,75.07,74.3,872600
71,2020-06-26,72.84,72.58,74.01,73.54,2021816
72,2020-06-25,73.45,72.3,74.08,72.99,1233000
73,2020-06-24,75.0,73.49,75.47,73.62,1289300
74,2020-06-23,75.44,74.6,76.07,75.43,1055000
75,2020-06-22,73.11,72.13,75.28,74.58,1841700
76,2020-06-19,74.48,72.42,74.74,73.55,2280100
77,2020-06-18,74.08,73.41,74.75,73.62,950800
78,2020-06-17,74.5,73.55,75.05,73.98,1313100
79,2020-06-16,75.63,73.54,77.36,73.98,1336805
80,2020-06-15,72.14,71.94,74.43,74.18,1247939
81,2020-06-12,74.4,72.29,75.33,73.57,1024622
82,2020-06-11,77.53,73.49,77.72,73.54,1698545
83,2020-06-10,78.61,77.56,78.61,77.91,1414000
84,2020-06-09,77.4,76.79,78.44,78.18,1209208
85,2020-06-08,77.64,77.43,78.9,77.92,1069000
86,2020-06-05,78.75,77.82,78.9,77.92,1318601
87,2020-06-04,78.34,77.24,78.99,77.61,1144700
88,2020-06-03,77.75,77.32,78.73,78.42,1290241
89,2020-06-02,76.19,76.07,77.19,77.16,1186900
90,2020-06-01,76.0,73.63,76.36,75.59,853700
91,2020-05-29,75.01,74.42,76.5,76.37,2016100
92,2020-05-28,75.5,75.13,76.41,75.66,1002537
93,2020-05-27,75.0,74.01,75.46,75.38,1192812
94,2020-05-26,73.2,72.45,74.47,73.67,1117100
95,2020-05-22,72.06,71.09,72.25,72.06,900006
96,2020-05-21,72.28,72.06,72.89,72.19,886300
97,2020-05-20,72.81,72.46,73.9,72.74,1451211
98,2020-05-19,74.04,71.85,74.04,71.92,1518000
99,2020-05-18,73.18,72.35,73.81,73.69,2126736
100,2020-05-15,72.31,71.29,73.47,71.51,4568400
