,date,open,low,high,close,volume
0,2020-01-06,108.16,107.8,109.07,108.74,2219268
1,2020-01-03,109.59,108.35,110.44,109.13,2027100
2,2020-01-02,108.87,108.78,111.15,110.98,3481322
3,2020-04-06,52.39,51.15,53.89,52.83,5498846
4,2020-04-03,48.04,46.15,48.81,48.71,3753400
5,2020-04-02,51.0,46.8,54.49,47.86,4987614
6,2020-04-01,52.86,50.28,53.69,52.0,4743113
7,2020-03-31,56.33,55.26,61.34,56.27,4768208
8,2020-03-30,60.01,54.13,60.03,56.39,5845600
9,2020-03-27,61.92,57.7,61.92,60.03,4990300
10,2020-03-26,64.66,60.86,66.29,64.41,5246600
11,2020-03-25,62.1,59.08,70.71,65.89,5872352
12,2020-03-24,54.32,53.85,61.97,59.48,4982600
13,2020-03-23,49.2,46.29,54.46,50.85,6602129
14,2020-03-20,50.4,45.48,56.89,48.8,7312100
15,2020-03-19,44.59,43.0,52.75,48.43,8405200
16,2020-03-18,47.02,40.76,48.14,45.65,7369915
17,2020-03-17,54.27,49.63,57.99,54.12,7689200
18,2020-03-16,60.0,53.52,63.97,54.7,5743800
19,2020-03-13,68.6,58.56,69.98,69.63,9199200
20,2020-03-12,65.99,64.3,71.31,65.04,6498800
21,2020-03-11,83.24,75.56,83.64,76.67,6358794
22,2020-03-10,88.47,82.0,89.99,85.93,3948035
23,2020-03-09,84.4,82.0,87.5,86.3,4359036
24,2020-03-06,88.26,87.99,92.94,91.85,4773936
25,2020-03-05,94.29,90.6,94.49,91.51,4449800
26,2020-03-04,96.22,93.01,97.2,97.14,3954397
27,2020-03-03,96.47,93.69,98.98,95.19,3376400
28,2020-03-02,97.72,93.79,98.17,96.73,4849267
29,2020-02-28,95.83,95.24,99.78,98.62,5329391
30,2020-02-27,98.57,94.62,103.9,98.71,6148300
31,2020-02-26,109.4,100.61,109.7,101.19,5077960
32,2020-02-25,113.79,107.61,114.09,108.91,3447202
33,2020-02-24,113.17,110.57,114.44,112.31,4563633
34,2020-02-21,120.5,119.91,121.64,120.12,2060528
35,2020-02-20,121.2,121.12,123.75,121.66,2184400
36,2020-02-19,120.98,119.29,122.81,121.88,3216995
37,2020-02-18,122.07,120.92,124.57,121.1,3221341
38,2020-02-14,124.05,120.02,124.74,122.8,10382900
39,2020-02-13,110.0,110.0,111.97,110.59,3732300
40,2020-02-12,109.82,109.6,111.07,110.97,2656800
41,2020-02-11,109.29,108.34,110.06,109.2,2065301
42,2020-02-10,109.66,108.19,109.82,108.71,2039479
43,2020-02-07,111.45,109.8,111.53,110.09,1798900
44,2020-02-06,111.41,110.79,112.23,111.75,1233200
45,2020-02-05,111.78,109.76,111.96,111.1,1238700
46,2020-02-04,109.03,108.8,111.34,110.66,1825934
47,2020-02-03,108.96,107.38,110.05,107.8,2970841
48,2020-01-31,109.08,107.04,109.36,108.45,3281453
49,2020-01-30,106.57,106.28,109.23,109.1,2083400
50,2020-01-29,109.32,108.36,110.2,109.55,1239400
51,2020-01-28,109.57,109.0,110.4,109.11,1666921
52,2020-01-27,106.89,106.89,109.89,109.08,2036663
53,2020-01-24,114.12,111.73,114.28,112.14,1693654
54,2020-01-23,109.46,109.25,114.09,113.73,3225400
55,2020-01-22,110.71,109.88,111.87,110.03,1578402
56,2020-01-21,110.72,108.81,110.97,110.17,3218400
57,2020-01-17,112.19,110.97,112.56,111.82,1795100
58,2020-01-16,111.1,110.64,112.16,111.74,1650338
59,2020-01-15,110.56,110.33,111.34,110.74,2080609
60,2020-01-14,110.42,109.58,110.8,110.41,1159300
61,2020-01-13,111.25,110.05,111.37,110.59,1544705
62,2020-01-10,109.85,109.42,111.05,110.69,1781530
63,2020-01-09,109.12,108.85,110.07,109.76,1746036
64,2020-01-08,110.2,108.06,110.98,108.62,1990003
65,2020-01-07,108.68,108.5,110.3,110.02,1816213
