,date,open,low,high,close,volume
0,2020-01-06,106.51,105.71,107.02,106.45,1207818
1,2020-01-03,104.58,104.4,106.59,106.52,745000
2,2020-01-02,105.88,104.23,105.93,104.73,950900
3,2020-04-06,97.9,97.02,100.29,99.88,1448700
4,2020-04-03,95.24,94.36,97.57,96.13,1733400
5,2020-04-02,92.67,91.14,96.96,95.96,2234900
6,2020-04-01,92.55,91.81,96.69,94.0,2317900
7,2020-03-31,95.68,93.6,97.02,95.76,2695638
8,2020-03-30,96.7,93.63,98.81,96.75,2442424
9,2020-03-27,87.9,87.62,97.16,96.02,1769007
10,2020-03-26,82.94,82.18,90.29,89.83,1469820
11,2020-03-25,77.53,77.15,87.18,83.04,1057714
12,2020-03-24,76.48,74.87,79.48,78.32,1945200
13,2020-03-23,79.72,72.7,80.23,74.61,1702935
14,2020-03-20,86.73,77.7,86.73,79.72,2037611
15,2020-03-19,89.26,84.3,90.71,86.7,2297200
16,2020-03-18,81.64,80.6,92.41,89.97,2893763
17,2020-03-17,82.83,81.96,88.25,86.23,1931300
18,2020-03-16,89.73,81.39,92.5,81.64,2025200
19,2020-03-13,99.06,92.82,100.27,96.58,2030500
20,2020-03-12,99.8,95.91,102.89,96.28,2108725
21,2020-03-11,105.29,103.52,105.92,104.4,1371100
22,2020-03-10,107.52,101.29,108.32,107.58,1597133
23,2020-03-09,105.63,104.05,108.26,105.9,1380930
24,2020-03-06,108.28,106.48,110.4,110.02,972137
25,2020-03-05,108.76,107.82,110.87,110.56,979637
26,2020-03-04,107.26,106.63,112.44,109.79,1457613
27,2020-03-03,105.39,104.04,107.39,105.65,1211822
28,2020-03-02,101.16,101.12,105.88,105.4,1287500
29,2020-02-28,100.21,97.08,101.53,100.36,2162400
30,2020-02-27,107.03,100.67,107.84,100.69,1480914
31,2020-02-26,106.67,105.94,109.76,107.66,1376240
32,2020-02-25,109.07,105.71,109.07,107.0,1138312
33,2020-02-24,108.92,108.3,111.3,108.81,1114600
34,2020-02-21,107.12,107.08,109.8,109.2,929500
35,2020-02-20,107.44,105.22,108.11,107.31,1284200
36,2020-02-19,112.67,106.46,112.68,107.48,2034307
37,2020-02-18,115.62,114.78,115.81,115.4,857200
38,2020-02-14,113.37,113.17,115.45,115.43,665433
39,2020-02-13,112.32,112.18,113.3,113.04,596100
40,2020-02-12,111.33,111.17,112.76,112.16,620221
41,2020-02-11,111.23,111.09,112.04,111.55,449443
42,2020-02-10,110.89,110.37,111.25,111.25,413711
43,2020-02-07,110.43,110.08,111.07,110.21,387900
44,2020-02-06,109.46,109.46,110.6,110.02,426600
45,2020-02-05,109.84,109.18,110.31,109.47,803012
46,2020-02-04,109.41,109.41,110.59,110.21,511800
47,2020-02-03,110.72,109.47,111.19,109.58,611719
48,2020-01-31,110.68,109.97,111.1,110.68,668300
49,2020-01-30,109.3,109.01,110.65,110.58,568200
50,2020-01-29,110.65,109.04,110.71,109.45,1283426
51,2020-01-28,110.86,110.18,111.54,110.52,593011
52,2020-01-27,110.68,110.41,111.55,111.0,427800
53,2020-01-24,110.62,110.25,111.05,110.93,353500
54,2020-01-23,109.94,109.4,110.83,110.56,790600
55,2020-01-22,113.0,109.19,113.29,109.71,1184020
56,2020-01-21,111.86,111.5,112.97,112.75,728900
57,2020-01-17,111.12,110.21,112.0,111.56,1616416
58,2020-01-16,109.81,109.44,110.96,110.91,863844
59,2020-01-15,108.84,108.67,109.81,109.59,1268300
60,2020-01-14,108.0,107.02,108.39,108.35,1062600
61,2020-01-13,107.77,107.08,108.23,108.12,1045749
62,2020-01-10,106.07,105.9,107.86,107.77,817400
63,2020-01-09,105.88,105.64,106.82,105.88,639829
64,2020-01-08,105.99,105.15,106.41,106.18,791200
65,2020-01-07,105.89,105.26,106.26,105.97,893815
66,2020-07-06,99.04,95.82,99.22,96.21,543964
67,2020-07-02,98.08,96.71,98.7,97.25,755840
68,2020-07-01,92.52,92.04,97.24,96.96,853037
69,2020-06-30,92.0,91.36,93.96,92.37,1201845
70,2020-06-29,91.85,90.79,92.14,91.83,512500
71,2020-06-26,91.77,90.31,92.81,91.01,1124724
72,2020-06-25,90.26,89.84,91.89,91.79,721300
73,2020-06-24,90.77,88.88,91.71,90.48,1023432
74,2020-06-23,93.72,91.5,94.35,91.67,809300
75,2020-06-22,92.45,90.8,93.83,92.82,759240
76,2020-06-19,96.9,92.73,96.9,92.97,2966900
77,2020-06-18,96.05,94.16,96.23,95.52,667135
78,2020-06-17,98.18,96.28,98.66,96.99,637301
79,2020-06-16,100.18,96.83,100.29,97.62,942800
80,2020-06-15,94.77,94.03,98.04,97.42,918000
81,2020-06-12,95.88,93.55,97.26,96.71,811641
82,2020-06-11,98.13,93.96,98.87,94.12,1260089
83,2020-06-10,103.09,100.0,103.09,100.66,657603
84,2020-06-09,103.1,101.33,103.66,102.95,806600
85,2020-06-08,103.86,103.53,106.35,104.56,905318
86,2020-06-05,103.96,103.09,106.37,103.34,1247700
87,2020-06-04,101.95,100.01,102.2,101.46,771385
88,2020-06-03,100.28,100.28,103.27,102.38,1280900
89,2020-06-02,100.0,97.89,100.61,100.18,1504000
90,2020-06-01,96.84,95.26,99.22,98.82,940709
91,2020-05-29,96.76,94.23,97.08,96.75,1352230
92,2020-05-28,94.68,93.63,97.34,97.22,885200
93,2020-05-27,93.39,92.69,94.74,94.38,942300
94,2020-05-26,88.19,88.02,92.46,92.19,1017007
95,2020-05-22,86.84,85.88,87.66,86.23,523000
96,2020-05-21,87.05,86.3,88.3,86.93,510600
97,2020-05-20,88.1,86.14,88.62,87.62,754400
98,2020-05-19,86.62,85.39,88.06,87.45,754904
99,2020-05-18,83.6,83.6,87.72,87.13,988171
100,2020-05-15,83.77,80.86,83.83,81.81,1113000
101,2020-05-14,83.63,81.03,84.37,84.2,786100
102,2020-05-13,84.83,83.77,86.48,84.39,1036724
103,2020-05-12,92.0,84.51,92.3,85.31,1205500
104,2020-05-11,90.96,90.28,93.0,91.88,901536
105,2020-05-08,89.48,89.1,92.03,91.69,847300
106,2020-05-07,84.92,84.63,88.56,88.17,1296459
107,2020-05-06,86.12,83.33,86.12,84.0,840800
108,2020-05-05,85.55,85.15,87.45,85.9,699731
109,2020-05-04,87.71,84.41,87.72,85.3,983100
110,2020-05-01,86.85,83.07,87.56,87.16,1386000
111,2020-04-30,88.5,87.11,89.18,88.24,1018643
112,2020-04-29,94.04,89.28,94.86,89.54,1177000
113,2020-04-28,93.11,91.96,94.41,92.67,1309842
114,2020-04-27,89.33,88.19,91.7,91.66,913500
115,2020-04-24,88.75,88.0,89.6,88.89,1285923
116,2020-04-23,91.17,87.75,91.59,87.92,1211200
117,2020-04-22,89.92,89.5,91.67,91.5,793800
118,2020-04-21,88.07,86.65,89.38,88.82,955900
119,2020-04-20,92.56,89.3,93.33,89.36,1099139
120,2020-04-17,91.32,91.32,93.89,93.1,1106100
121,2020-04-16,93.3,91.28,94.5,91.38,1198600
122,2020-04-15,95.51,91.88,96.25,93.0,1456910
123,2020-04-14,97.34,95.24,99.45,95.62,1680000
124,2020-04-13,101.99,95.78,102.33,96.45,1313016
125,2020-04-09,98.71,98.39,105.02,102.91,1660000
126,2020-04-08,96.89,95.67,98.73,98.19,1788940
127,2020-04-07,101.0,97.21,102.41,97.47,1406800
128,2020-10-05,113.0,108.61,113.14,112.79,1198400
129,2020-10-02,108.69,107.48,112.86,112.39,1405300
130,2020-10-01,107.31,107.09,109.78,109.24,1061532
131,2020-09-30,107.69,106.14,108.3,106.99,1056005
132,2020-09-29,107.89,106.39,108.56,107.24,630500
133,2020-09-28,107.02,106.37,108.73,108.12,797031
134,2020-09-25,103.43,102.74,105.71,105.45,1453300
135,2020-09-24,104.97,103.1,105.47,103.92,853900
136,2020-09-23,107.85,103.58,107.85,104.39,1224027
137,2020-09-22,107.25,107.25,109.19,107.84,976124
138,2020-09-21,107.93,105.55,109.61,107.56,1038003
139,2020-09-18,110.2,109.25,111.0,109.32,1310000
140,2020-09-17,111.42,109.92,112.36,111.21,770403
141,2020-09-16,111.67,111.07,113.19,112.29,1096100
142,2020-09-15,111.18,110.32,112.51,111.15,615129
143,2020-09-14,110.89,110.58,111.62,111.33,783649
144,2020-09-11,109.98,108.95,112.34,111.19,650910
145,2020-09-10,110.42,109.31,110.71,109.88,449800
146,2020-09-09,108.8,108.8,112.5,110.82,940900
147,2020-09-08,107.9,106.47,109.25,108.03,643200
148,2020-09-04,108.13,106.27,109.21,108.35,710342
149,2020-09-03,109.3,107.31,109.95,108.15,462817
150,2020-09-02,106.79,106.14,108.51,108.46,904130
151,2020-09-01,106.99,105.65,107.41,106.85,436300
152,2020-08-31,106.02,105.4,106.97,106.55,816648
153,2020-08-28,106.54,105.23,106.76,106.74,619332
154,2020-08-27,106.38,106.2,106.96,106.53,581933
155,2020-08-26,105.31,103.86,105.84,105.8,608206
156,2020-08-25,106.43,104.65,106.69,106.06,821434
157,2020-08-24,105.31,104.75,106.74,106.24,510800
158,2020-08-21,104.53,104.04,105.43,105.31,807862
159,2020-08-20,102.01,101.89,104.21,104.16,627406
160,2020-08-19,104.5,101.98,104.76,102.2,500542
161,2020-08-18,104.75,103.98,105.52,105.09,616144
162,2020-08-17,104.22,103.42,104.72,104.68,687300
