,date,open,low,high,close,volume
0,2020-01-06,9.1,9.06,9.17,9.16,43380677
1,2020-01-03,9.31,9.15,9.37,9.21,45059915
2,2020-01-02,9.29,9.19,9.42,9.42,43432239
3,2020-04-06,4.54,4.41,4.67,4.53,102205319
4,2020-04-03,4.4,4.17,4.42,4.24,85659900
5,2020-04-02,4.39,4.25,4.57,4.36,90891700
6,2020-04-01,4.63,4.36,4.77,4.4,119174506
7,2020-03-31,5.03,4.75,5.19,4.83,231800800
8,2020-03-30,5.11,4.93,5.12,5.03,97879700
9,2020-03-27,5.07,4.91,5.3,5.19,106324033
10,2020-03-26,5.36,5.16,5.65,5.25,138297998
11,2020-03-25,5.77,5.12,5.87,5.39,198999447
12,2020-03-24,4.47,4.26,4.99,4.95,146192141
13,2020-03-23,4.27,3.96,4.52,4.01,134925017
14,2020-03-20,4.54,4.25,4.75,4.33,129378600
15,2020-03-19,4.33,4.1,4.58,4.47,126603800
16,2020-03-18,4.75,4.1,4.84,4.5,125954745
17,2020-03-17,5.08,4.7,5.14,5.01,104233500
18,2020-03-16,5.04,5.0,5.22,5.01,110310935
19,2020-03-13,5.87,5.12,5.9,5.63,125375300
20,2020-03-12,5.38,5.2,5.69,5.35,89453102
21,2020-03-11,6.06,5.88,6.11,5.9,98639098
22,2020-03-10,6.26,5.8,6.29,6.26,101873628
23,2020-03-09,5.97,5.87,6.14,5.9,103901700
24,2020-03-06,6.6,6.4,6.68,6.49,109932200
25,2020-03-05,6.96,6.71,6.97,6.74,78070900
26,2020-03-04,7.09,6.92,7.09,7.08,70588100
27,2020-03-03,7.29,6.89,7.34,6.97,97457800
28,2020-03-02,7.11,6.88,7.23,7.2,96766032
29,2020-02-28,6.84,6.67,6.96,6.96,116546727
30,2020-02-27,7.13,6.92,7.28,6.97,118642400
31,2020-02-26,7.3,7.21,7.46,7.21,92524842
32,2020-02-25,7.68,7.22,7.68,7.23,108888300
33,2020-02-24,7.7,7.55,7.72,7.57,110048200
34,2020-02-21,8.02,7.89,8.03,7.89,58326329
35,2020-02-20,8.0,7.99,8.07,8.03,52318244
36,2020-02-19,8.06,8.0,8.1,8.0,69668200
37,2020-02-18,8.12,8.02,8.15,8.06,65207478
38,2020-02-14,8.27,8.08,8.27,8.1,46359700
39,2020-02-13,8.21,8.21,8.36,8.25,67648837
40,2020-02-12,8.14,8.13,8.33,8.24,111536800
41,2020-02-11,8.1,8.08,8.15,8.1,80164532
42,2020-02-10,8.15,8.05,8.15,8.06,71834905
43,2020-02-07,8.21,8.02,8.21,8.11,98256500
44,2020-02-06,8.37,8.25,8.38,8.25,68823400
45,2020-02-05,8.41,8.26,8.48,8.31,145792527
46,2020-02-04,9.08,9.07,9.24,9.18,86196417
47,2020-02-03,8.85,8.85,9.14,8.98,71432659
48,2020-01-31,8.78,8.74,8.84,8.82,59813731
49,2020-01-30,8.81,8.73,8.84,8.84,42827802
50,2020-01-29,8.85,8.84,8.96,8.86,59070709
51,2020-01-28,8.94,8.86,9.0,8.97,85163404
52,2020-01-27,8.88,8.78,8.96,8.89,60769335
53,2020-01-24,9.11,8.96,9.12,9.0,68100949
54,2020-01-23,9.14,8.93,9.16,9.14,75848700
55,2020-01-22,9.22,9.15,9.25,9.16,39914800
56,2020-01-21,9.15,9.1,9.22,9.21,49556423
57,2020-01-17,9.19,9.13,9.23,9.16,41644900
58,2020-01-16,9.23,9.15,9.28,9.17,44310400
59,2020-01-15,9.27,9.18,9.3,9.19,55923900
60,2020-01-14,9.22,9.21,9.33,9.29,42936052
61,2020-01-13,9.25,9.11,9.26,9.24,48562151
62,2020-01-10,9.27,9.25,9.36,9.25,39819244
63,2020-01-09,9.3,9.18,9.31,9.26,51905116
64,2020-01-08,9.23,9.17,9.3,9.25,46003049
65,2020-01-07,9.2,9.12,9.25,9.25,45334552
66,2020-07-06,6.14,6.11,6.2,6.19,63921800
67,2020-07-02,6.1,6.0,6.17,6.05,67270506
68,2020-07-01,6.1,5.95,6.18,5.98,62454700
69,2020-06-30,5.98,5.9,6.1,6.08,61909300
70,2020-06-29,5.91,5.81,6.07,6.01,58208433
71,2020-06-26,6.04,5.81,6.07,5.91,118435400
72,2020-06-25,5.86,5.8,6.05,6.03,73612736
73,2020-06-24,6.06,5.86,6.12,5.95,75536300
74,2020-06-23,6.33,6.14,6.38,6.15,86672823
75,2020-06-22,6.27,6.13,6.28,6.28,71724300
76,2020-06-19,6.64,6.23,6.69,6.23,126127803
77,2020-06-18,6.26,6.19,6.45,6.33,61301800
78,2020-06-17,6.56,6.31,6.56,6.33,67831400
79,2020-06-16,6.87,6.44,6.87,6.55,109535200
80,2020-06-15,6.18,6.11,6.58,6.5,104742600
81,2020-06-12,6.56,6.3,6.63,6.46,88778026
82,2020-06-11,6.07,6.04,6.46,6.13,116184727
83,2020-06-10,7.33,6.77,7.34,6.81,147327100
84,2020-06-09,7.22,7.05,7.44,7.24,115749606
85,2020-06-08,7.53,7.37,7.74,7.53,113169300
86,2020-06-05,7.24,7.02,7.5,7.34,208648200
87,2020-06-04,6.2,6.12,6.58,6.57,115798600
88,2020-06-03,5.99,5.92,6.27,6.19,98876600
89,2020-06-02,5.96,5.83,6.0,5.9,80046000
90,2020-06-01,5.73,5.67,5.88,5.87,61938822
91,2020-05-29,5.75,5.57,5.8,5.71,93039226
92,2020-05-28,6.05,5.81,6.07,5.85,77126187
93,2020-05-27,6.01,5.84,6.09,6.03,110413900
94,2020-05-26,5.92,5.82,5.99,5.84,86046301
95,2020-05-22,5.68,5.5,5.73,5.65,76656500
96,2020-05-21,5.45,5.44,5.69,5.63,87098219
97,2020-05-20,5.38,5.37,5.54,5.49,87685400
98,2020-05-19,5.27,5.15,5.45,5.3,94836300
99,2020-05-18,5.12,5.12,5.33,5.31,136241424
100,2020-05-15,4.8,4.75,4.94,4.9,80544700
101,2020-05-14,4.64,4.52,4.92,4.89,108061111
102,2020-05-13,5.0,4.66,5.01,4.72,100192300
103,2020-05-12,5.15,4.97,5.22,4.98,70965200
104,2020-05-11,5.18,5.05,5.19,5.12,75734000
105,2020-05-08,4.96,4.95,5.25,5.24,101333782
106,2020-05-07,4.9,4.85,4.98,4.87,67222935
107,2020-05-06,5.05,4.82,5.09,4.87,89390419
108,2020-05-05,4.99,4.94,5.09,4.97,96301300
109,2020-05-04,4.88,4.77,4.97,4.86,84214747
110,2020-05-01,5.02,4.9,5.05,4.92,82660100
111,2020-04-30,5.16,5.06,5.24,5.09,93437941
112,2020-04-29,5.33,5.21,5.5,5.26,126393015
113,2020-04-28,5.49,5.22,5.54,5.38,106222815
114,2020-04-27,4.91,4.88,5.19,5.17,91082846
115,2020-04-24,4.93,4.8,4.96,4.87,54352479
116,2020-04-23,4.8,4.77,4.98,4.89,61959800
117,2020-04-22,4.87,4.75,4.89,4.77,62398608
118,2020-04-21,4.89,4.72,4.92,4.77,82400209
119,2020-04-20,5.01,4.91,5.09,4.98,71079442
120,2020-04-17,5.17,5.03,5.28,5.12,91989318
121,2020-04-16,5.06,4.89,5.07,4.94,58951213
