,date,open,low,high,close,volume
0,2020-01-06,95.66,93.97,95.91,94.9,2018796
1,2020-01-03,95.0,93.43,95.75,94.41,2168713
2,2020-01-02,93.35,91.49,93.66,92.65,1822201
3,2020-04-06,32.2,29.63,32.49,32.1,5645220
4,2020-04-03,31.22,27.79,32.88,31.59,9649600
5,2020-04-02,26.59,26.44,33.18,29.05,10438911
6,2020-04-01,25.19,23.7,25.62,25.07,5043315
7,2020-03-31,24.63,24.33,27.28,26.2,5980149
8,2020-03-30,22.76,22.0,23.89,23.59,4627436
9,2020-03-27,24.78,23.3,24.83,23.87,3532648
10,2020-03-26,24.16,23.97,26.82,25.95,5158401
11,2020-03-25,24.6,22.17,25.97,24.17,5472637
12,2020-03-24,22.25,22.08,24.68,24.12,6282019
13,2020-03-23,18.69,17.49,21.49,20.37,6731200
14,2020-03-20,19.34,17.51,20.81,18.59,8186000
15,2020-03-19,15.88,15.27,19.36,18.69,7577400
16,2020-03-18,18.38,14.55,18.91,15.56,7658207
17,2020-03-17,23.68,19.92,24.0,20.23,6335410
18,2020-03-16,22.83,20.24,27.28,23.49,5636336
19,2020-03-13,27.87,25.35,28.18,27.19,6709900
20,2020-03-12,23.66,22.56,26.49,25.62,7646900
21,2020-03-11,28.31,25.01,28.31,26.2,8123609
22,2020-03-10,30.0,25.99,31.88,29.68,11259800
23,2020-03-09,29.06,23.37,29.5,26.88,19434315
24,2020-03-06,55.55,47.5,55.93,48.56,6880600
25,2020-03-05,60.15,57.17,60.26,58.21,2460900
26,2020-03-04,62.48,59.75,62.61,61.07,2453507
27,2020-03-03,62.1,61.06,64.24,61.76,3101441
28,2020-03-02,62.75,59.61,62.78,62.14,3284108
29,2020-02-28,57.13,57.0,62.13,62.0,4762416
30,2020-02-27,60.43,57.63,62.53,59.48,4306165
31,2020-02-26,67.21,63.09,67.71,63.14,3367308
32,2020-02-25,71.36,66.39,71.65,67.16,3401309
33,2020-02-24,73.2,70.36,73.31,71.08,2522709
34,2020-02-21,77.31,75.53,77.31,76.4,2015312
35,2020-02-20,80.4,78.25,81.59,78.48,2429441
