,date,open,low,high,close,volume
0,2020-01-06,36.24,35.75,36.3,36.0,4136337
1,2020-01-03,36.67,36.03,36.82,36.57,4101300
2,2020-01-02,37.08,36.65,37.33,37.23,4190300
3,2020-04-06,31.44,31.13,32.31,32.18,6151900
4,2020-04-03,30.5,30.01,31.34,30.48,4624725
5,2020-04-02,30.73,30.17,31.31,30.65,7237540
6,2020-04-01,30.17,29.92,31.0,30.61,4805411
7,2020-03-31,31.45,30.96,32.28,31.25,7565980
8,2020-03-30,31.08,30.8,32.23,31.8,5540700
9,2020-03-27,31.17,30.19,31.8,31.04,6463515
10,2020-03-26,30.32,29.46,32.55,32.31,7147000
11,2020-03-25,30.77,29.81,31.8,30.23,7079100
12,2020-03-24,29.03,29.03,31.48,31.37,7600400
13,2020-03-23,30.0,26.72,30.0,28.18,6272293
14,2020-03-20,32.36,28.47,32.38,28.74,9568549
15,2020-03-19,33.41,32.0,35.46,32.3,9348359
16,2020-03-18,32.74,31.39,34.8,33.45,10310247
17,2020-03-17,32.38,32.03,35.13,34.51,8386559
18,2020-03-16,30.51,30.0,33.98,31.72,9546481
19,2020-03-13,32.8,31.21,34.15,34.09,9208800
20,2020-03-12,30.54,29.79,32.84,30.87,9929308
21,2020-03-11,32.47,32.32,33.67,32.93,10915900
22,2020-03-10,32.22,31.3,33.62,33.6,7310564
23,2020-03-09,31.87,30.61,32.84,31.19,12393027
24,2020-03-06,33.5,33.32,34.29,34.16,7757543
25,2020-03-05,34.55,34.48,36.05,34.84,8820390
26,2020-03-04,34.98,34.34,35.59,35.53,4983813
27,2020-03-03,34.84,34.18,36.39,34.39,6747302
28,2020-03-02,34.33,33.31,35.19,35.18,7077862
29,2020-02-28,33.81,33.49,34.84,34.22,8622900
30,2020-02-27,35.37,34.76,36.45,35.02,8835246
31,2020-02-26,36.67,35.89,36.83,35.96,4487946
32,2020-02-25,37.98,35.97,38.18,36.16,5998205
33,2020-02-24,38.05,37.24,38.39,37.76,3934900
34,2020-02-21,38.84,38.45,39.18,38.86,4124100
35,2020-02-20,38.41,38.29,39.31,39.02,3301448
36,2020-02-19,38.37,38.19,38.66,38.29,1706045
37,2020-02-18,38.28,37.88,38.44,38.29,2288047
38,2020-02-14,38.23,38.01,38.57,38.32,2745900
39,2020-02-13,38.15,37.99,38.47,38.24,2270819
40,2020-02-12,37.9,37.9,38.4,38.34,2477500
41,2020-02-11,37.1,37.09,37.95,37.82,4432232
42,2020-02-10,37.16,36.69,37.27,36.94,4827845
43,2020-02-07,37.66,37.12,37.95,37.35,3342722
44,2020-02-06,38.0,37.55,38.24,37.9,3126403
45,2020-02-05,37.55,37.17,37.67,37.65,4071300
46,2020-02-04,36.5,36.26,37.24,36.93,3614900
47,2020-02-03,35.21,35.03,36.06,35.85,4708912
48,2020-01-31,35.83,34.73,35.99,34.88,4707300
49,2020-01-30,34.73,34.73,36.18,36.14,4365633
50,2020-01-29,35.99,35.83,36.54,35.9,3883847
51,2020-01-28,35.39,35.07,35.9,35.77,3723700
52,2020-01-27,34.94,34.63,35.55,35.25,6163034
53,2020-01-24,36.12,35.03,36.17,35.52,4163942
54,2020-01-23,35.86,35.29,36.12,36.06,3133640
55,2020-01-22,36.18,35.87,36.3,35.93,3501610
56,2020-01-21,36.43,35.45,36.64,35.83,6476900
57,2020-01-17,36.37,36.21,37.6,36.8,12851800
58,2020-01-16,36.9,36.8,37.34,37.31,5958631
59,2020-01-15,36.67,36.45,36.98,36.79,4365800
60,2020-01-14,36.64,36.47,37.17,36.82,5495631
61,2020-01-13,36.6,36.35,36.65,36.59,3167600
62,2020-01-10,36.22,35.9,36.57,36.33,3542436
63,2020-01-09,36.19,35.84,36.41,36.22,3811406
64,2020-01-08,36.11,35.93,36.63,36.2,3795986
65,2020-01-07,35.87,35.65,36.1,35.93,3108899
66,2020-07-06,44.56,43.86,44.79,44.22,4759930
67,2020-07-02,43.68,43.54,44.26,44.04,5302620
68,2020-07-01,43.02,42.62,43.18,43.01,4474000
69,2020-06-30,41.7,41.46,43.14,42.84,4725400
70,2020-06-29,41.27,41.25,42.21,41.92,3870000
71,2020-06-26,41.51,40.44,41.78,40.99,4439500
72,2020-06-25,41.33,40.9,41.84,41.67,3289623
73,2020-06-24,41.77,41.29,42.25,41.34,3490338
