,date,open,low,high,close,volume
0,2020-01-06,266.86,263.75,267.3,267.16,349970
1,2020-01-03,265.92,264.87,269.38,268.67,237400
2,2020-01-02,268.66,266.6,270.18,268.73,314500
3,2020-04-06,260.48,253.45,269.41,266.9,309202
4,2020-04-03,257.53,249.13,262.49,253.11,310526
5,2020-04-02,252.05,250.5,263.0,262.31,395016
6,2020-04-01,248.86,248.86,260.91,255.54,356436
7,2020-03-31,263.88,257.63,269.11,260.68,360828
8,2020-03-30,260.6,259.69,272.38,268.07,518819
9,2020-03-27,249.48,243.95,270.07,254.71,497214
10,2020-03-26,235.04,229.71,257.56,257.56,528800
11,2020-03-25,229.96,227.34,249.44,232.73,534646
12,2020-03-24,212.33,212.06,233.95,231.36,590300
13,2020-03-23,215.72,195.22,216.93,204.55,621600
14,2020-03-20,234.15,214.63,239.25,217.98,892000
15,2020-03-19,219.4,215.01,246.94,235.04,443000
16,2020-03-18,232.5,206.92,242.57,219.4,818696
17,2020-03-17,230.68,225.99,252.38,246.8,636300
18,2020-03-16,223.0,218.51,247.4,226.12,650500
19,2020-03-13,244.86,235.04,253.52,253.07,475603
20,2020-03-12,235.17,220.65,249.23,233.42,747920
21,2020-03-11,264.24,248.68,267.1,254.93,489928
22,2020-03-10,270.81,254.15,270.96,270.62,513400
23,2020-03-09,257.5,249.54,272.18,261.86,712200
24,2020-03-06,279.51,273.7,283.38,279.08,605400
25,2020-03-05,288.86,285.56,290.95,288.85,551512
26,2020-03-04,284.34,282.01,294.31,293.86,288006
27,2020-03-03,282.3,274.64,285.3,278.85,300000
28,2020-03-02,267.17,264.34,281.7,281.27,506663
29,2020-02-28,270.28,262.44,274.03,265.99,783829
30,2020-02-27,284.2,278.18,288.18,278.52,295906
31,2020-02-26,288.19,288.19,295.18,289.92,373048
32,2020-02-25,295.68,286.63,297.61,288.06,336100
33,2020-02-24,291.7,290.74,297.49,295.06,230100
34,2020-02-21,301.26,297.34,301.75,299.59,349000
35,2020-02-20,308.45,298.29,308.45,302.65,274818
36,2020-02-19,304.88,304.88,310.25,308.66,300720
37,2020-02-18,299.07,299.07,303.99,302.93,196300
38,2020-02-14,297.33,296.83,300.57,299.54,190614
39,2020-02-13,292.36,292.0,297.79,296.83,289735
40,2020-02-12,293.36,290.82,295.58,293.26,241400
41,2020-02-11,291.13,289.81,293.25,292.3,245900
42,2020-02-10,285.4,285.0,290.81,290.07,344200
43,2020-02-07,289.08,285.61,289.28,286.41,290900
44,2020-02-06,290.86,288.57,293.1,289.92,312906
45,2020-02-05,297.67,288.07,299.27,290.11,383000
46,2020-02-04,292.5,292.5,297.02,295.07,271800
47,2020-02-03,286.84,286.75,290.58,289.98,284200
48,2020-01-31,289.47,284.74,291.96,286.11,971405
49,2020-01-30,287.61,284.4,290.58,290.47,399100
50,2020-01-29,279.95,279.71,288.94,287.6,548416
51,2020-01-28,275.32,271.54,280.33,278.44,393000
52,2020-01-27,272.37,271.49,276.55,274.27,272438
53,2020-01-24,281.13,275.41,281.64,276.56,200900
54,2020-01-23,277.49,276.88,280.63,280.11,227923
55,2020-01-22,278.3,278.3,281.93,279.24,256100
56,2020-01-21,274.2,274.2,280.49,276.8,342816
57,2020-01-17,277.06,274.86,278.04,275.72,241200
58,2020-01-16,273.24,272.94,276.59,276.39,259515
59,2020-01-15,268.08,268.08,272.25,271.51,270816
60,2020-01-14,266.49,266.49,270.0,268.18,298500
61,2020-01-13,264.92,264.92,268.72,266.99,364300
62,2020-01-10,269.11,264.61,269.11,264.88,376920
63,2020-01-09,270.68,268.42,272.48,268.79,434428
64,2020-01-08,267.14,267.05,270.38,269.09,288600
65,2020-01-07,267.0,266.19,270.35,267.03,237239
66,2020-07-06,339.07,337.96,343.14,338.76,227000
67,2020-07-02,335.13,335.13,339.6,335.9,168000
68,2020-07-01,330.23,328.33,336.59,333.89,226800
69,2020-06-30,327.47,325.33,331.24,328.47,341000
70,2020-06-29,330.7,325.14,333.36,326.8,260412
71,2020-06-26,337.29,325.21,338.0,328.65,682000
72,2020-06-25,319.23,309.65,343.78,342.16,893704
