,date,open,low,high,close,volume
0,2020-01-06,151.25,150.17,153.55,153.3,2390922
1,2020-01-03,152.5,151.84,153.34,153.18,2218066
2,2020-01-02,152.42,151.6,155.1,155.1,3027600
3,2020-04-06,113.04,113.01,119.81,119.02,3512611
4,2020-04-03,115.24,107.69,116.0,109.22,3205226
5,2020-04-02,112.53,111.59,117.3,116.64,2336100
6,2020-04-01,116.01,112.3,118.75,113.48,2569879
7,2020-03-31,122.5,119.26,124.85,121.26,2645622
8,2020-03-30,122.38,119.25,125.61,124.31,2281016
9,2020-03-27,120.05,116.0,124.35,120.58,2619719
10,2020-03-26,119.36,119.01,127.0,125.6,2714418
11,2020-03-25,121.36,114.93,126.94,118.31,4133236
12,2020-03-24,118.0,115.43,121.8,120.04,3014400
13,2020-03-23,110.94,107.25,115.05,111.76,3933900
14,2020-03-20,113.88,106.59,118.7,111.06,4479231
15,2020-03-19,98.85,97.37,116.16,111.68,4646900
16,2020-03-18,90.39,89.8,100.7,99.68,6997700
17,2020-03-17,92.9,88.69,100.15,94.96,5548740
18,2020-03-16,92.0,90.49,99.87,90.49,4417400
19,2020-03-13,102.46,96.0,106.68,106.63,4275000
20,2020-03-12,103.2,96.2,105.18,97.0,5156535
21,2020-03-11,117.39,108.53,118.3,111.01,4758296
22,2020-03-10,120.14,113.87,121.75,120.67,3564910
23,2020-03-09,120.4,113.85,121.58,115.7,4048100
24,2020-03-06,125.75,123.79,130.65,127.68,3886348
25,2020-03-05,132.01,128.75,133.14,129.93,3150049
26,2020-03-04,135.06,132.18,136.46,136.41,2854702
27,2020-03-03,140.0,132.56,142.17,133.09,4373332
28,2020-03-02,142.18,135.28,142.52,139.75,4418600
29,2020-02-28,135.0,134.06,141.2,141.17,4395611
30,2020-02-27,140.76,136.48,145.49,138.76,3535000
31,2020-02-26,147.42,143.56,149.39,144.53,2767399
32,2020-02-25,155.66,144.81,155.8,145.6,4224244
33,2020-02-24,156.26,152.62,157.72,154.85,3116493
34,2020-02-21,163.26,161.69,164.14,163.25,1645324
35,2020-02-20,161.07,159.5,165.25,164.91,2602941
36,2020-02-19,159.0,158.83,161.69,161.14,1699300
37,2020-02-18,159.31,156.39,160.91,158.57,1924077
38,2020-02-14,160.46,158.0,161.29,158.62,1679023
39,2020-02-13,157.79,156.48,161.83,161.47,2624570
40,2020-02-12,159.2,157.23,159.81,158.51,1607548
41,2020-02-11,158.27,156.87,159.56,158.0,2016806
42,2020-02-10,158.8,156.2,160.29,156.78,3948600
43,2020-02-07,147.3,146.42,157.44,155.66,6532600
44,2020-02-06,151.38,148.49,151.38,148.63,1706800
45,2020-02-05,149.5,148.82,150.85,149.95,2013840
46,2020-02-04,146.37,146.0,148.24,147.51,2573855
47,2020-02-03,145.5,143.6,147.4,143.84,1988791
48,2020-01-31,147.1,143.59,147.29,144.64,3286200
49,2020-01-30,146.0,143.36,148.4,148.26,3380200
50,2020-01-29,149.16,147.91,150.07,148.06,2524115
51,2020-01-28,149.75,147.11,149.95,148.4,2190000
52,2020-01-27,150.11,147.51,150.18,148.49,3368402
53,2020-01-24,155.64,152.31,155.64,154.07,1973600
54,2020-01-23,155.0,152.73,155.34,154.88,2059100
55,2020-01-22,157.49,155.47,158.85,155.54,1911100
56,2020-01-21,159.1,156.81,159.16,157.53,2460400
57,2020-01-17,159.39,158.56,161.18,159.98,1846149
58,2020-01-16,160.59,158.84,161.47,159.54,2343849
59,2020-01-15,163.02,158.67,163.02,159.15,2971800
60,2020-01-14,159.15,158.62,164.5,162.13,5079642
61,2020-01-13,156.72,156.71,159.53,159.28,1985446
62,2020-01-10,158.07,156.14,158.43,156.63,2449600
63,2020-01-09,157.95,156.59,158.31,158.05,2240318
64,2020-01-08,154.57,153.93,157.75,157.13,3053816
65,2020-01-07,153.36,152.34,155.22,154.8,2152799
66,2020-07-06,157.9,153.66,158.4,156.27,3015800
67,2020-07-02,158.6,155.28,159.72,155.48,4046921
68,2020-07-01,158.85,155.76,163.65,156.66,17967540
69,2020-06-30,136.22,134.92,140.75,140.22,6473321
70,2020-06-29,131.3,130.12,134.73,134.55,2336249
71,2020-06-26,135.2,129.28,135.38,130.08,3282011
72,2020-06-25,133.72,132.23,136.28,136.11,2310900
73,2020-06-24,137.65,134.13,138.0,135.09,2357313
74,2020-06-23,138.55,137.38,139.84,139.07,1385200
75,2020-06-22,136.55,135.2,137.75,137.38,1448152
76,2020-06-19,140.76,135.62,140.88,137.63,2828500
77,2020-06-18,134.92,134.5,139.34,138.39,2416243
78,2020-06-17,136.71,134.87,137.4,135.66,1214489
79,2020-06-16,138.15,133.0,139.37,135.54,1654069
80,2020-06-15,128.42,127.29,134.63,133.68,1836992
81,2020-06-12,134.59,129.14,135.0,132.72,2272900
82,2020-06-11,133.95,127.81,134.47,128.81,4389300
83,2020-06-10,144.0,140.32,144.41,140.4,2079600
84,2020-06-09,145.88,142.1,145.93,144.69,2253100
85,2020-06-08,144.94,144.14,149.99,149.38,2709941
86,2020-06-05,143.0,142.0,145.77,142.21,3583908
87,2020-06-04,137.3,135.65,139.25,139.21,2001344
88,2020-06-03,137.0,136.53,139.88,138.08,2729150
89,2020-06-02,130.83,130.71,134.59,134.2,2522007
90,2020-06-01,129.05,127.46,130.46,129.71,1990588
91,2020-05-29,130.19,126.44,130.89,130.56,3410065
92,2020-05-28,131.0,129.3,133.91,131.15,3238881
93,2020-05-27,128.0,125.5,130.78,130.43,3203049
94,2020-05-26,122.99,121.94,126.74,124.81,3823000
95,2020-05-22,115.75,114.92,117.56,117.0,2245903
96,2020-05-21,116.58,115.53,118.43,115.77,1740300
97,2020-05-20,116.8,115.83,119.48,117.01,2604100
98,2020-05-19,119.0,114.65,119.4,114.79,2484600
99,2020-05-18,113.49,112.79,120.0,119.19,3603931
100,2020-05-15,107.54,106.25,108.96,107.52,2940043
101,2020-05-14,107.36,103.4,109.18,109.11,3254700
102,2020-05-13,113.08,108.25,113.15,109.34,2905946
103,2020-05-12,118.0,113.08,118.11,113.14,1979407
104,2020-05-11,118.39,116.28,119.37,117.56,1863500
105,2020-05-08,118.25,118.18,120.89,120.44,1771658
106,2020-05-07,116.94,116.15,118.87,116.74,1842638
107,2020-05-06,118.89,115.08,119.42,115.12,1917100
108,2020-05-05,117.83,117.13,120.12,117.67,1703140
109,2020-05-04,117.12,114.61,117.56,115.85,2410818
110,2020-05-01,124.52,117.5,124.56,118.2,3141832
111,2020-04-30,127.93,125.75,127.93,126.77,1970400
112,2020-04-29,130.0,128.46,131.8,129.48,2172500
113,2020-04-28,129.81,125.16,129.89,127.74,2738959
114,2020-04-27,124.16,122.32,128.5,127.29,2396049
115,2020-04-24,121.41,119.48,123.19,123.06,2111604
116,2020-04-23,118.64,118.5,122.42,120.88,2021396
117,2020-04-22,122.52,118.45,122.97,118.54,2085775
118,2020-04-21,120.63,119.62,122.18,120.48,1605823
119,2020-04-20,122.53,121.83,125.67,122.64,2242000
120,2020-04-17,121.0,120.73,124.96,124.85,2464000
121,2020-04-16,119.73,117.12,121.0,119.08,2238739
122,2020-04-15,121.69,118.15,121.69,119.9,2945000
123,2020-04-14,125.74,122.05,126.98,125.08,3084200
124,2020-04-13,125.19,121.74,125.19,123.53,2821800
125,2020-04-09,129.61,120.16,130.0,122.29,4750452
126,2020-04-08,123.0,119.92,127.23,125.54,5576525
127,2020-04-07,124.91,115.75,125.48,115.95,3191718
128,2020-10-05,258.8,257.73,260.96,259.21,2427800
129,2020-10-02,250.55,250.0,258.55,255.2,3015325
130,2020-10-01,255.26,252.88,257.79,254.08,2862300
131,2020-09-30,253.47,249.5,257.51,251.52,2506013
132,2020-09-29,254.99,249.12,258.2,253.5,2204308
133,2020-09-28,255.27,254.08,259.95,254.44,3309826
134,2020-09-25,241.68,241.47,251.9,250.17,3212430
135,2020-09-24,244.01,239.5,247.2,244.22,3048346
136,2020-09-23,244.99,241.04,250.51,241.42,3083045
137,2020-09-22,239.51,235.63,243.78,243.42,2651700
138,2020-09-21,237.95,230.27,239.19,238.74,4109508
139,2020-09-18,242.97,241.95,248.2,242.78,4348747
140,2020-09-17,242.63,242.11,249.8,244.08,4254300
141,2020-09-16,253.03,246.3,256.18,250.3,17082179
142,2020-09-15,234.99,230.51,239.85,236.67,9847346
143,2020-09-14,240.99,232.57,241.0,236.34,6583700
144,2020-09-11,226.44,225.47,233.67,232.79,4865220
145,2020-09-10,229.49,222.89,229.49,224.44,2443300
146,2020-09-09,226.0,224.12,228.85,225.75,3222700
147,2020-09-08,223.79,219.72,225.75,221.05,2121100
148,2020-09-04,222.46,217.4,228.24,226.12,2879820
149,2020-09-03,228.13,218.59,231.58,220.97,4003800
