,date,open,low,high,close,volume
0,2020-01-06,47.5,47.33,47.71,47.55,2474912
1,2020-01-03,47.4,47.32,47.66,47.46,2970941
2,2020-01-02,48.56,47.2,48.56,47.53,4639300
3,2020-04-06,39.37,39.37,41.9,41.36,5157876
4,2020-04-03,39.58,37.56,40.27,37.95,3445045
5,2020-04-02,38.23,38.23,40.52,40.0,4823647
6,2020-04-01,38.33,38.14,39.32,38.86,6979900
7,2020-03-31,40.03,39.11,40.83,40.07,7706748
8,2020-03-30,39.19,38.31,40.91,40.49,6295925
9,2020-03-27,37.36,37.11,40.33,38.6,5803000
10,2020-03-26,35.47,35.42,39.27,38.67,4915505
11,2020-03-25,35.33,33.58,37.29,35.5,5194414
12,2020-03-24,34.21,33.91,36.02,35.48,5400329
13,2020-03-23,34.02,32.0,35.75,33.19,6180733
14,2020-03-20,35.97,33.98,36.7,34.28,5393500
15,2020-03-19,37.32,33.5,37.36,35.99,5291344
16,2020-03-18,37.49,33.56,38.69,37.2,7253257
17,2020-03-17,35.26,32.91,40.49,40.11,9171895
18,2020-03-16,37.7,33.87,39.76,34.3,6701900
19,2020-03-13,40.69,38.72,41.25,41.24,6070126
20,2020-03-12,40.15,37.95,41.61,38.52,7357014
21,2020-03-11,43.69,42.48,44.35,43.13,8592221
22,2020-03-10,43.94,42.92,45.17,44.95,7231900
23,2020-03-09,43.52,39.25,44.25,42.93,10151907
24,2020-03-06,45.73,44.73,46.69,46.48,5994924
25,2020-03-05,47.52,46.56,48.27,47.13,6141800
26,2020-03-04,46.66,46.27,48.51,48.5,5367342
27,2020-03-03,47.2,45.82,48.17,45.92,7906700
28,2020-03-02,44.79,44.67,47.42,47.32,5894514
29,2020-02-28,45.23,43.57,45.23,44.53,9412800
30,2020-02-27,48.06,46.23,48.36,46.23,5322800
31,2020-02-26,48.92,48.29,49.38,48.3,4162553
32,2020-02-25,50.71,48.83,50.87,48.89,4461100
33,2020-02-24,51.22,50.62,51.48,50.63,4427600
34,2020-02-21,51.7,51.39,51.88,51.57,5933300
35,2020-02-20,52.13,51.71,52.2,51.79,2594500
36,2020-02-19,52.26,51.99,52.29,52.15,2511900
37,2020-02-18,52.39,52.13,52.52,52.27,2501924
38,2020-02-14,52.02,51.86,52.24,52.23,2453937
39,2020-02-13,51.58,51.39,52.04,51.98,2374400
40,2020-02-12,51.53,51.3,51.75,51.48,2566100
41,2020-02-11,51.53,51.36,51.69,51.54,2588714
42,2020-02-10,51.25,50.88,51.42,51.36,4385401
43,2020-02-07,51.03,50.79,51.52,51.23,2784843
44,2020-02-06,51.53,51.23,51.64,51.25,3346500
45,2020-02-05,51.43,51.4,52.06,51.91,3103421
46,2020-02-04,51.51,51.35,52.26,51.49,4569146
47,2020-02-03,50.96,50.84,51.53,51.5,3456000
48,2020-01-31,50.96,50.38,51.05,50.79,5893300
49,2020-01-30,50.89,50.51,51.04,50.98,4560602
50,2020-01-29,50.72,50.56,51.07,50.97,2948400
51,2020-01-28,50.32,50.27,50.83,50.69,2614700
52,2020-01-27,50.42,50.03,50.77,50.26,2647000
53,2020-01-24,50.32,50.08,50.75,50.47,2428705
54,2020-01-23,49.84,49.76,50.37,50.35,3138600
55,2020-01-22,49.53,49.44,49.91,49.89,3359120
56,2020-01-21,48.91,48.84,49.32,49.3,2854100
57,2020-01-17,48.87,48.5,49.14,49.06,3251200
58,2020-01-16,48.16,48.16,48.97,48.78,3425701
59,2020-01-15,48.17,48.15,48.66,48.45,2789400
60,2020-01-14,47.72,47.45,48.06,48.04,3167842
61,2020-01-13,47.7,47.7,48.07,47.77,2537229
62,2020-01-10,48.0,47.6,48.28,47.64,4093200
63,2020-01-09,47.56,47.53,47.98,47.87,2249100
64,2020-01-08,47.65,47.51,47.86,47.62,2700000
65,2020-01-07,47.32,47.24,47.69,47.52,2187744
66,2020-07-06,40.09,39.77,40.77,40.18,4223518
67,2020-07-02,40.25,39.76,40.32,39.92,2897339
68,2020-07-01,38.87,38.65,40.0,39.88,4357133
69,2020-06-30,38.01,37.84,38.93,38.78,5988226
70,2020-06-29,37.22,37.09,37.99,37.99,3265600
71,2020-06-26,37.34,36.66,37.63,36.85,6094148
72,2020-06-25,37.61,36.99,37.66,37.53,3710648
73,2020-06-24,38.48,37.31,38.62,37.78,4855741
74,2020-06-23,40.15,38.68,40.15,38.78,3753200
75,2020-06-22,39.07,38.53,39.74,39.7,4596263
76,2020-06-19,41.1,38.96,41.1,38.98,8571000
77,2020-06-18,40.0,39.86,40.57,40.51,3441100
78,2020-06-17,40.64,39.81,40.67,40.25,3825600
79,2020-06-16,41.62,40.27,41.76,40.51,5089043
80,2020-06-15,39.51,38.87,40.74,40.47,4195922
81,2020-06-12,41.37,39.77,41.47,40.43,3934641
82,2020-06-11,41.64,40.22,41.64,40.5,3900548
83,2020-06-10,43.07,42.15,43.19,42.25,2604500
84,2020-06-09,43.63,42.78,43.63,42.89,2883500
85,2020-06-08,43.12,42.87,44.1,43.98,3009034
86,2020-06-05,42.88,42.78,43.86,43.27,3603625
87,2020-06-04,43.22,41.96,43.3,42.36,3406800
88,2020-06-03,43.42,43.18,43.91,43.49,2927703
89,2020-06-02,42.99,42.28,43.08,43.07,2844200
90,2020-06-01,42.13,41.9,42.95,42.76,2427140
91,2020-05-29,42.54,42.07,42.86,42.26,4659147
92,2020-05-28,42.05,41.75,42.82,42.69,3658700
93,2020-05-27,41.23,40.56,41.38,41.36,5103723
94,2020-05-26,41.43,40.64,41.62,40.71,2348226
95,2020-05-22,40.33,40.23,40.73,40.64,2802500
96,2020-05-21,40.11,40.03,40.73,40.43,2947400
97,2020-05-20,40.69,40.14,40.84,40.28,3012400
98,2020-05-19,40.92,40.33,41.11,40.36,2477818
99,2020-05-18,40.42,40.39,41.28,41.11,3001910
100,2020-05-15,39.57,38.63,39.94,39.29,7448100
101,2020-05-14,38.65,38.14,40.13,39.96,4154900
102,2020-05-13,39.43,38.72,39.55,39.05,3772500
103,2020-05-12,40.54,39.56,40.8,39.6,3945300
104,2020-05-11,40.36,39.66,40.71,40.42,2901747
105,2020-05-08,40.74,40.13,40.91,40.6,2609700
106,2020-05-07,40.48,40.01,40.74,40.21,3281030
107,2020-05-06,41.37,39.93,41.57,40.0,3960100
108,2020-05-05,41.47,41.44,42.28,41.68,2805643
109,2020-05-04,40.83,40.31,41.32,41.19,3289943
110,2020-05-01,40.88,40.22,40.88,40.84,3313747
111,2020-04-30,42.01,40.62,42.22,41.27,3106600
112,2020-04-29,43.32,42.26,43.84,42.35,3153633
113,2020-04-28,44.01,42.45,44.22,42.64,4192300
114,2020-04-27,42.6,42.44,43.88,43.51,4457820
115,2020-04-24,39.99,39.34,43.3,42.32,5716716
116,2020-04-23,44.45,42.78,44.64,43.03,3190611
117,2020-04-22,44.07,43.17,44.55,44.22,2465204
118,2020-04-21,43.77,42.63,43.94,43.2,3796200
119,2020-04-20,45.82,44.32,45.82,44.49,2836938
120,2020-04-17,45.73,44.8,46.36,46.21,2451789
121,2020-04-16,43.99,43.38,44.96,44.86,2752881
122,2020-04-15,44.32,43.63,44.65,43.95,2454200
123,2020-04-14,44.86,44.6,45.77,45.47,3512100
124,2020-04-13,44.11,43.06,44.5,43.93,3006200
125,2020-04-09,43.77,43.77,45.32,44.75,5735721
126,2020-04-08,40.72,40.4,43.59,43.23,3674729
127,2020-04-07,42.43,40.39,42.76,40.47,6177622
128,2020-10-05,29.66,29.42,30.04,29.91,2878541
129,2020-10-02,28.57,28.4,29.76,29.52,4010530
130,2020-10-01,28.8,28.45,29.02,28.76,2805936
131,2020-09-30,28.73,28.48,28.98,28.71,5065630
132,2020-09-29,28.53,28.12,28.73,28.6,2531442
133,2020-09-28,28.87,28.43,28.89,28.45,3233271
134,2020-09-25,28.09,27.96,28.73,28.6,3314740
135,2020-09-24,27.68,27.58,28.39,28.16,6268531
136,2020-09-23,28.63,27.3,28.86,27.58,9369500
137,2020-09-22,28.63,28.5,28.83,28.57,3733528
138,2020-09-21,28.69,28.39,29.01,28.63,3870300
139,2020-09-18,29.7,28.95,29.78,28.96,6810100
140,2020-09-17,29.49,28.91,29.94,29.8,2988200
141,2020-09-16,29.18,29.15,30.02,29.76,2886100
142,2020-09-15,29.74,29.17,29.87,29.35,3535995
143,2020-09-14,29.35,29.28,29.88,29.66,3526961
144,2020-09-11,29.02,29.0,29.37,29.33,2635656
145,2020-09-10,29.1,28.68,29.46,29.05,4513000
146,2020-09-09,29.35,29.08,29.51,29.14,4385969
