,date,open,low,high,close,volume
0,2020-01-06,138.8,137.59,139.68,138.25,568839
1,2020-01-03,139.81,138.55,140.95,140.0,420551
2,2020-01-02,140.42,139.74,141.31,140.76,592211
3,2020-04-06,110.52,109.05,113.92,112.69,952331
4,2020-04-03,104.69,104.69,108.42,107.3,745479
5,2020-04-02,102.99,102.905,108.27,107.12,930880
6,2020-04-01,103.78,101.536,104.75,103.73,666012
7,2020-03-31,109.32,106.17,111.475,106.63,692786
8,2020-03-30,111.71,107.63,113.1,109.81,782006
9,2020-03-27,109.94,105.6019,113.905,110.8,926394
10,2020-03-26,105.18,104.015,115.35,114.05,1043718
11,2020-03-25,103.43,99.79,108.3,105.29,1121674
12,2020-03-24,101.91,96.77,104.38,102.71,1313430
13,2020-03-23,100.77,97.63,105.36,98.65,1101099
14,2020-03-20,99.49,96.68,104.99,100.14,1193594
15,2020-03-19,89.06,86.51,101.235,98.33,1127792
16,2020-03-18,88.75,79.78,93.83,90.55,1137888
17,2020-03-17,97.34,87.16,97.58,93.13,1267510
18,2020-03-16,95.17,94.2401,100.06,95.66,907237
19,2020-03-13,103.22,98.19,105.78,105.7,1397917
20,2020-03-12,101.09,96.61,104.56,98.33,1193390
21,2020-03-11,114.73,107.18,115.59,107.8,1027700
22,2020-03-10,114.58,111.78,118.04,117.88,1108722
23,2020-03-09,114.0,110.33,119.64,111.69,1284624
24,2020-03-06,115.78,115.45,120.5,119.64,1134420
25,2020-03-05,119.77,117.24,121.58,118.8,959391
26,2020-03-04,118.12,115.09,122.56,122.4,1252898
27,2020-03-03,119.6,114.25,121.795,116.13,947044
28,2020-03-02,119.89,115.15,121.47,120.04,1189177
29,2020-02-28,120.52,117.82,122.9698,119.95,1175495
30,2020-02-27,124.33,122.0,128.05,122.8,910407
31,2020-02-26,127.97,126.06,129.38,126.45,609315
32,2020-02-25,131.24,125.02,131.24,126.79,941794
33,2020-02-24,129.52,129.0,131.6278,130.26,857060
34,2020-02-21,132.16,130.68,133.43,133.36,601776
35,2020-02-20,129.5,129.2745,133.08,132.85,653062
36,2020-02-19,127.93,127.66,130.41,129.75,592661
37,2020-02-18,127.32,126.89,128.31,127.7,645579
