,date,open,low,high,close,volume
0,2020-01-06,115.18,114.86,116.97,116.93,2114800
1,2020-01-03,115.03,114.5,116.73,116.37,2834000
2,2020-01-02,116.0,115.02,116.34,115.52,5197700
3,2020-04-06,91.58,90.13,96.53,95.86,7687700
4,2020-04-03,88.27,84.37,89.72,86.19,3740000
5,2020-04-02,85.92,85.0,89.41,88.75,3913700
6,2020-04-01,91.0,87.44,92.0,88.01,4128000
7,2020-03-31,95.88,94.08,97.99,94.99,8472200
8,2020-03-30,93.95,93.74,98.74,98.33,4787700
9,2020-03-27,94.54,92.02,96.79,93.95,7067600
10,2020-03-26,92.23,90.5,98.35,97.69,5698400
11,2020-03-25,86.6,85.09,94.59,91.2,5645400
12,2020-03-24,81.62,80.74,87.38,86.65,6874900
13,2020-03-23,81.42,74.85,81.73,77.0,9240500
14,2020-03-20,87.11,81.14,89.59,81.77,9676600
15,2020-03-19,80.5,73.5,85.99,84.46,9574600
16,2020-03-18,84.67,75.91,86.92,80.95,9787900
17,2020-03-17,88.45,83.91,91.17,90.89,8093500
18,2020-03-16,93.69,84.76,94.81,86.18,11294700
19,2020-03-13,100.16,95.36,103.65,103.42,8218100
20,2020-03-12,95.2,93.58,101.11,94.92,13496000
21,2020-03-11,103.8,101.88,108.04,102.42,8777800
22,2020-03-10,102.75,99.1,107.09,107.03,8579600
23,2020-03-09,99.87,98.11,103.0,100.03,5444700
24,2020-03-06,103.98,103.07,107.38,106.81,4426400
25,2020-03-05,109.15,107.64,111.53,109.25,4642100
26,2020-03-04,111.0,109.38,112.91,112.18,5787500
27,2020-03-03,113.0,108.39,114.95,109.37,5171100
28,2020-03-02,108.64,107.18,114.29,114.23,5516400
29,2020-02-28,105.12,104.58,109.51,109.36,7131800
30,2020-02-27,110.79,108.16,112.74,108.54,6824500
31,2020-02-26,113.8,112.07,115.26,112.87,3917900
32,2020-02-25,116.79,113.05,117.28,113.25,4117500
33,2020-02-24,116.58,116.04,118.88,116.59,3706400
34,2020-02-21,121.52,118.64,121.79,119.49,3563700
35,2020-02-20,123.3,120.25,123.48,121.84,3285100
36,2020-02-19,122.65,122.4,123.78,123.55,3636700
37,2020-02-18,122.95,121.67,123.72,122.25,2899500
38,2020-02-14,121.12,120.7,122.36,122.32,2796500
39,2020-02-13,118.85,118.71,122.34,121.06,3207600
40,2020-02-12,120.48,119.01,121.07,119.14,4050300
41,2020-02-11,123.81,120.54,124.61,120.71,3231200
42,2020-02-10,121.42,121.17,123.55,123.21,2742900
43,2020-02-07,120.7,120.29,122.13,121.86,2374000
44,2020-02-06,120.75,120.42,122.0,121.67,3494300
45,2020-02-05,122.64,119.67,124.24,121.67,5650300
46,2020-02-04,123.62,123.0,125.05,123.89,4570700
47,2020-02-03,119.96,119.51,122.08,121.94,2986000
48,2020-01-31,120.59,118.11,120.82,118.61,3428500
49,2020-01-30,119.0,118.27,121.34,121.23,2094300
50,2020-01-29,120.85,119.69,121.05,120.04,2088000
51,2020-01-28,119.3,119.06,121.14,120.43,3917500
52,2020-01-27,118.7,118.22,120.37,119.3,1651200
53,2020-01-24,122.58,120.53,122.93,120.84,1736200
54,2020-01-23,122.05,121.04,122.51,122.23,2105300
55,2020-01-22,121.3,121.28,122.52,122.04,2922900
56,2020-01-21,120.6,120.34,121.61,120.61,2426700
57,2020-01-17,120.79,119.77,120.86,120.68,4086600
58,2020-01-16,119.5,118.93,120.27,120.21,2011100
59,2020-01-15,117.93,117.71,119.31,118.51,2015100
60,2020-01-14,118.31,117.28,118.53,117.55,2662600
61,2020-01-13,117.0,116.86,118.61,118.53,3094300
62,2020-01-10,118.48,116.95,118.7,117.13,2077200
63,2020-01-09,117.54,117.12,118.01,117.8,3434200
64,2020-01-08,116.56,116.56,117.69,116.8,3323100
65,2020-01-07,115.95,115.19,117.33,116.48,2397800
66,2020-07-06,99.43,97.84,99.87,98.11,2960400
67,2020-07-02,100.0,98.06,100.72,98.25,2663400
68,2020-07-01,97.88,96.96,98.98,98.5,4013100
69,2020-06-30,96.28,96.01,98.02,97.62,4393400
70,2020-06-29,95.16,93.75,97.04,97.01,5012400
71,2020-06-26,97.24,94.5,97.9,94.92,20213300
72,2020-06-25,96.63,96.05,97.74,97.43,3708600
73,2020-06-24,101.02,96.35,101.6,96.61,5705000
74,2020-06-23,102.33,101.1,103.2,101.96,3608200
75,2020-06-22,99.79,99.49,102.5,101.29,4970500
76,2020-06-19,105.34,99.21,105.34,100.05,7948500
77,2020-06-18,103.45,102.38,104.36,104.03,3445100
78,2020-06-17,103.64,102.17,104.31,103.15,3143800
79,2020-06-16,102.74,101.42,104.25,103.32,3928000
80,2020-06-15,99.15,97.6,100.93,99.94,4434700
81,2020-06-12,102.4,98.45,102.62,100.34,4836900
