,date,open,low,high,close,volume
0,2020-01-06,377.96,377.96,384.0,384.0,249446
1,2020-01-03,378.66,378.66,383.38,381.92,173223
2,2020-01-02,377.0,375.25,383.17,382.92,147027
3,2020-04-06,272.68,272.68,302.755,301.6,287091
4,2020-04-03,280.22,259.3682,282.31,263.85,405408
5,2020-04-02,285.44,276.19,294.68,282.92,372123
6,2020-04-01,296.4,285.23,306.13,288.82,440293
7,2020-03-31,313.0,304.01,329.38,307.69,701438
8,2020-03-30,294.04,289.0,315.225,313.83,492252
9,2020-03-27,290.48,280.16,303.36,291.06,279975
10,2020-03-26,274.65,270.21,306.04,305.0,274687
11,2020-03-25,269.01,257.02,285.0,268.93,313622
12,2020-03-24,244.74,240.861,271.29,269.31,303132
13,2020-03-23,236.82,219.7135,248.29,231.14,424609
14,2020-03-20,245.7,237.6,265.93,241.43,542845
15,2020-03-19,210.71,202.25,254.0,244.78,506129
16,2020-03-18,226.23,177.65,234.33,212.0,599577
17,2020-03-17,247.27,212.94,251.4,245.69,566033
18,2020-03-16,250.0,238.04,294.16,240.68,842735
19,2020-03-13,294.03,255.7,304.03,303.55,520902
20,2020-03-12,293.2,274.6,298.69,279.13,624227
21,2020-03-11,326.84,306.36,333.46,314.54,321097
22,2020-03-10,325.37,311.89,336.64,336.56,453972
23,2020-03-09,330.65,315.242,339.43,315.86,390166
24,2020-03-06,369.11,345.32,370.885,357.93,406402
25,2020-03-05,381.93,377.17,389.745,380.4,219036
26,2020-03-04,380.64,377.15,392.745,391.57,240627
27,2020-03-03,388.38,367.151,394.14,372.61,307867
28,2020-03-02,380.68,371.12,387.18,387.06,297439
29,2020-02-28,357.85,351.99,380.42,376.03,639524
30,2020-02-27,378.1,366.1,389.11,366.1,460547
31,2020-02-26,390.38,384.5301,398.91,390.36,251902
32,2020-02-25,407.35,387.28,408.97,390.38,223334
33,2020-02-24,391.28,391.28,405.99,402.71,294778
34,2020-02-21,416.46,402.58,416.46,409.48,302636
35,2020-02-20,430.0,413.3059,430.77,420.12,226493
36,2020-02-19,434.32,430.24,436.69,431.78,193847
37,2020-02-18,423.96,419.87,430.76,430.55,194469
38,2020-02-14,420.0,417.05,425.21,424.58,143772
39,2020-02-13,409.0,409.0,420.54,418.09,206690
40,2020-02-12,411.5,405.82,413.87,410.57,160417
41,2020-02-11,421.0,410.29,421.0,411.75,173376
42,2020-02-10,416.37,414.36,421.14,419.72,234171
43,2020-02-07,413.41,410.675,418.17,417.6,148847
44,2020-02-06,412.77,408.68,415.0,413.72,205378
45,2020-02-05,421.68,405.76,422.43,410.81,237751
46,2020-02-04,420.02,417.96,426.98,421.58,358616
47,2020-02-03,405.04,405.04,417.88,415.83,307631
48,2020-01-31,397.58,390.01,409.61,402.38,416077
49,2020-01-30,405.86,403.9459,411.36,409.89,246518
50,2020-01-29,410.65,408.734,413.865,409.35,196887
51,2020-01-28,404.68,402.3,411.02,408.94,233226
52,2020-01-27,400.61,400.04,406.385,403.75,175975
53,2020-01-24,417.67,407.13,420.2,409.3,145757
54,2020-01-23,410.61,409.19,418.1,415.08,185236
55,2020-01-22,410.68,408.085,413.255,410.97,199065
56,2020-01-21,402.95,402.95,410.71,407.53,190813
57,2020-01-17,408.54,402.2,408.54,404.97,203869
58,2020-01-16,406.95,403.24,408.74,407.84,160925
59,2020-01-15,404.24,402.16,407.59,403.87,238455
60,2020-01-14,407.93,400.09,408.8,402.77,216080
61,2020-01-13,405.05,405.05,410.43,408.92,215829
62,2020-01-10,404.42,402.05,408.01,404.01,330275
63,2020-01-09,396.01,394.91,405.0,401.51,275114
64,2020-01-08,391.25,389.14,395.5,391.33,203175
65,2020-01-07,383.01,381.97,390.0,388.49,158867
66,2020-07-06,425.39,416.42,427.52,416.85,250796
67,2020-07-02,428.0,418.01,428.99,418.77,155163
68,2020-07-01,416.52,413.53,428.275,423.57,202800
69,2020-06-30,407.77,407.77,421.185,418.04,255752
70,2020-06-29,408.36,397.68,409.43,406.03,220141
71,2020-06-26,417.35,406.2,419.98,406.2,416853
72,2020-06-25,409.02,405.007,416.89,416.37,179480
73,2020-06-24,422.4,407.42,427.78,409.06,200360
74,2020-06-23,432.88,423.05,434.63,425.53,171359
75,2020-06-22,421.74,420.15,433.14,428.47,186969
76,2020-06-19,426.32,418.285,428.53,421.9,374523
77,2020-06-18,419.92,418.55,427.41,423.99,172344
78,2020-06-17,428.76,420.6,430.0,422.43,143828
