,date,open,low,high,close,volume
0,2020-01-06,138.13,137.82,140.35,140.35,3685700
1,2020-01-03,137.89,137.81,140.32,139.02,2365728
2,2020-01-02,139.87,139.2,140.84,139.9,3002301
3,2020-04-06,121.73,119.35,123.72,123.02,5708203
4,2020-04-03,116.54,112.2,117.18,115.22,3741300
5,2020-04-02,113.29,112.47,118.45,117.11,3565700
6,2020-04-01,116.28,113.19,117.51,114.56,5207300
7,2020-03-31,123.98,119.1,125.11,121.64,8623600
8,2020-03-30,123.1,120.68,125.89,125.29,3758416
9,2020-03-27,119.92,117.03,124.26,120.1,3940600
10,2020-03-26,121.76,118.34,124.3,123.64,6534500
11,2020-03-25,119.46,115.05,124.74,120.37,5841200
12,2020-03-24,109.01,108.64,120.26,119.16,7863600
13,2020-03-23,100.58,98.33,104.79,102.45,8300727
14,2020-03-20,106.3,99.1,109.28,102.82,10109699
15,2020-03-19,102.0,96.93,108.5,105.23,8058809
16,2020-03-18,105.23,91.68,108.15,102.94,10211800
17,2020-03-17,110.01,105.6,116.39,113.96,7426143
18,2020-03-16,111.5,108.35,118.56,108.35,8147000
19,2020-03-13,124.52,119.25,130.73,129.9,6787400
20,2020-03-12,123.26,118.4,129.35,118.46,8314700
21,2020-03-11,136.53,131.46,138.74,132.96,4872900
22,2020-03-10,134.99,131.24,141.0,140.9,6580800
23,2020-03-09,130.12,127.0,133.83,130.04,6199907
24,2020-03-06,139.94,135.6,140.7,139.91,5042727
25,2020-03-05,145.79,141.05,147.15,142.75,4238000
26,2020-03-04,145.24,144.06,150.0,149.93,2692501
27,2020-03-03,149.06,141.6,150.44,143.09,4561500
28,2020-03-02,140.06,139.29,148.87,148.61,6618600
29,2020-02-28,135.87,135.15,141.12,139.72,8619931
30,2020-02-27,141.23,138.75,145.38,138.87,4392539
31,2020-02-26,144.97,143.56,148.13,143.9,4085900
32,2020-02-25,151.05,144.39,151.68,144.66,5343900
33,2020-02-24,150.57,149.56,152.96,150.72,3651245
34,2020-02-21,155.78,153.74,156.37,154.93,2759449
35,2020-02-20,157.0,152.96,157.29,156.78,2326700
36,2020-02-19,156.55,156.35,157.92,157.29,2328500
37,2020-02-18,157.45,151.21,157.58,155.65,4518900
38,2020-02-14,154.35,153.87,158.21,157.44,4133614
39,2020-02-13,148.85,147.48,156.82,154.32,7114813
40,2020-02-12,149.15,147.45,149.58,147.96,3407000
41,2020-02-11,150.51,149.2,150.93,149.51,2909144
42,2020-02-10,146.16,146.01,150.38,149.98,4263000
43,2020-02-07,146.82,145.9,147.09,146.46,2494500
44,2020-02-06,146.47,145.87,147.56,147.34,2310048
45,2020-02-05,148.44,144.94,149.13,146.12,2968100
46,2020-02-04,147.18,146.89,148.84,147.42,1957317
47,2020-02-03,145.1,144.3,145.98,145.75,2868400
48,2020-01-31,147.33,142.96,147.33,143.66,3984711
49,2020-01-30,147.17,146.61,148.14,147.5,3983100
50,2020-01-29,148.42,147.85,149.61,148.09,1661248
51,2020-01-28,146.6,146.6,149.47,147.96,2391505
52,2020-01-27,145.69,145.13,147.19,146.39,1985028
53,2020-01-24,149.5,147.23,150.42,147.92,2359000
54,2020-01-23,148.94,147.88,149.54,149.01,1902200
55,2020-01-22,149.03,148.53,149.73,148.59,3017800
