,date,open,low,high,close,volume
0,2020-01-06,30.27,29.89,30.27,30.19,3652200
1,2020-01-03,30.51,30.19,30.62,30.44,4245343
2,2020-01-02,30.95,30.56,31.02,31.02,4618549
3,2020-04-06,14.42,14.4,15.61,15.47,10118222
4,2020-04-03,14.25,13.15,14.53,13.44,7931746
5,2020-04-02,13.21,13.2,14.6,14.28,8708100
6,2020-04-01,14.0,13.15,14.05,13.46,9353404
7,2020-03-31,15.63,14.73,15.86,14.85,9934182
8,2020-03-30,16.75,15.52,16.85,15.87,9791000
9,2020-03-27,16.25,16.14,17.72,17.15,11708801
10,2020-03-26,15.05,14.71,17.52,17.32,11915241
11,2020-03-25,14.72,13.98,15.54,14.82,11039712
12,2020-03-24,13.11,13.0,14.61,14.41,11749975
13,2020-03-23,13.02,11.62,13.07,12.16,11559300
14,2020-03-20,13.32,12.11,13.67,12.91,14915010
15,2020-03-19,11.78,11.1,13.74,13.07,11965438
16,2020-03-18,13.08,11.5,13.3,11.67,11484946
17,2020-03-17,14.21,13.05,14.69,13.95,12165700
18,2020-03-16,14.87,13.71,14.98,13.79,14846109
19,2020-03-13,17.4,16.16,18.03,17.63,9912648
20,2020-03-12,16.06,14.89,17.2,15.9,15085936
21,2020-03-11,18.55,17.38,18.81,17.66,16402500
22,2020-03-10,19.19,17.73,19.61,19.26,14120358
23,2020-03-09,20.02,18.25,20.22,18.3,9538800
24,2020-03-06,22.45,21.86,23.16,22.2,11039258
25,2020-03-05,24.13,23.31,24.2,23.68,7761234
26,2020-03-04,24.78,24.18,25.21,25.17,8068703
27,2020-03-03,25.72,24.1,26.04,24.44,11051300
28,2020-03-02,24.19,24.05,25.73,25.72,10718134
29,2020-02-28,24.41,23.73,24.76,24.4,11606905
30,2020-02-27,26.09,25.19,26.59,25.19,8155642
31,2020-02-26,27.32,26.62,27.49,26.65,5840720
32,2020-02-25,28.35,26.95,28.65,27.07,6472500
33,2020-02-24,28.5,28.09,28.66,28.31,5932008
34,2020-02-21,29.58,29.16,29.7,29.4,3598900
35,2020-02-20,29.45,29.45,30.08,29.83,3588200
36,2020-02-19,29.32,29.26,29.74,29.64,3505243
37,2020-02-18,29.55,28.94,29.66,29.24,2792197
38,2020-02-14,29.7,29.44,29.89,29.6,1918009
39,2020-02-13,29.46,29.38,29.85,29.83,2838401
40,2020-02-12,29.81,29.52,30.05,29.64,2652730
41,2020-02-11,29.47,29.44,29.77,29.51,4473700
42,2020-02-10,29.4,29.07,29.48,29.4,3189900
43,2020-02-07,29.53,29.31,29.63,29.49,3666445
44,2020-02-06,30.39,29.63,30.47,29.66,4520605
45,2020-02-05,29.94,29.78,30.26,30.18,5655100
46,2020-02-04,29.53,29.38,29.7,29.48,4715722
47,2020-02-03,28.69,28.68,29.18,28.98,4578500
48,2020-01-31,28.85,28.27,29.0,28.45,7780206
49,2020-01-30,28.23,28.08,29.22,29.19,8450113
50,2020-01-29,28.71,28.45,28.99,28.47,3459366
51,2020-01-28,28.65,28.58,29.02,28.86,4751100
52,2020-01-27,28.33,28.22,28.66,28.5,4688600
53,2020-01-24,29.28,28.51,29.38,28.84,4796400
54,2020-01-23,29.15,28.59,29.47,29.36,5503648
55,2020-01-22,29.25,28.56,29.4,29.34,7553013
56,2020-01-21,29.43,29.02,29.43,29.02,6437692
57,2020-01-17,29.55,29.3,29.63,29.45,5281616
58,2020-01-16,29.22,29.05,29.4,29.39,3426012
59,2020-01-15,29.53,28.94,29.54,29.03,4408861
