,date,open,low,high,close,volume
0,2020-01-06,126.14,125.57,127.71,127.63,390897
1,2020-01-03,124.81,124.36,126.33,126.14,475233
2,2020-01-02,129.52,124.74,129.84,125.28,417018
3,2020-04-06,71.33,71.07,75.65,72.66,886234
4,2020-04-03,66.02,64.68,67.96,65.81,553739
5,2020-04-02,68.53,64.81,70.74,66.4,1052031
6,2020-04-01,70.73,66.5,71.56,69.41,918203
7,2020-03-31,74.7,73.0,77.4,74.61,995800
8,2020-03-30,76.36,72.66,77.14,75.0,1161400
9,2020-03-27,75.71,74.55,78.76,76.05,1132907
10,2020-03-26,78.43,73.55,81.92,78.69,1083552
11,2020-03-25,76.43,75.33,86.22,78.51,941343
12,2020-03-24,69.48,69.08,76.19,76.08,966300
13,2020-03-23,68.5,65.55,70.71,66.67,1323900
14,2020-03-20,76.5,70.92,78.58,71.56,1151131
15,2020-03-19,71.0,69.41,80.05,75.53,892000
16,2020-03-18,85.87,69.43,86.63,72.48,901700
17,2020-03-17,86.68,79.37,92.62,92.16,1379135
18,2020-03-16,97.5,84.96,97.68,85.14,1455700
19,2020-03-13,107.5,100.14,108.91,105.7,1433600
20,2020-03-12,106.76,104.29,110.15,104.37,1205247
21,2020-03-11,115.42,111.89,116.1,113.33,847703
22,2020-03-10,115.37,111.51,118.84,118.77,856103
23,2020-03-09,114.5,112.61,116.38,112.71,954400
24,2020-03-06,117.81,117.11,121.69,121.37,954342
25,2020-03-05,119.78,118.14,120.88,120.83,405944
26,2020-03-04,118.69,118.69,122.28,122.07,480414
27,2020-03-03,119.8,116.38,121.67,117.29,786700
28,2020-03-02,116.93,115.48,120.0,119.93,629800
29,2020-02-28,115.67,112.01,117.29,116.34,1635700
30,2020-02-27,122.0,116.52,122.23,116.92,826120
31,2020-02-26,124.59,122.77,125.1,122.91,695130
32,2020-02-25,127.89,124.06,128.0,124.25,651600
33,2020-02-24,127.93,127.4,129.19,127.88,488244
34,2020-02-21,127.79,127.5,129.09,129.0,627340
35,2020-02-20,125.98,125.56,127.82,127.65,348247
36,2020-02-19,126.87,125.29,126.87,125.65,848731
37,2020-02-18,127.23,125.85,128.19,126.88,486100
38,2020-02-14,125.18,124.97,127.23,127.23,416300
39,2020-02-13,123.76,123.76,125.5,124.85,452540
40,2020-02-12,123.69,122.5,124.6,123.84,1013800
41,2020-02-11,127.69,123.34,128.41,124.0,983800
42,2020-02-10,128.72,127.0,129.12,127.97,532500
43,2020-02-07,128.65,127.53,128.87,128.02,239700
44,2020-02-06,128.38,127.58,129.39,128.66,280513
45,2020-02-05,127.52,127.31,128.58,128.1,411900
46,2020-02-04,125.38,125.19,128.12,127.27,427800
47,2020-02-03,125.35,124.76,126.56,125.07,400343
48,2020-01-31,125.27,124.4,125.52,125.02,1026400
49,2020-01-30,125.62,124.4,126.25,125.44,434333
50,2020-01-29,127.58,125.94,127.58,126.05,310400
51,2020-01-28,127.32,127.19,128.38,127.23,253100
52,2020-01-27,129.0,127.08,129.4,127.23,290700
53,2020-01-24,131.15,129.57,131.15,129.81,226612
54,2020-01-23,130.67,130.13,131.31,131.07,334000
55,2020-01-22,131.2,130.1,131.56,130.58,250100
56,2020-01-21,129.9,129.32,131.19,130.88,363505
57,2020-01-17,129.21,129.08,130.5,129.53,371245
58,2020-01-16,128.6,128.09,129.35,129.26,336534
59,2020-01-15,128.89,127.91,129.59,128.19,381000
60,2020-01-14,126.74,126.03,127.83,127.67,349400
61,2020-01-13,125.96,125.61,127.4,126.83,556500
62,2020-01-10,124.8,124.61,125.98,125.92,377000
63,2020-01-09,125.54,124.55,125.94,124.79,351300
64,2020-01-08,125.34,124.92,126.29,125.77,521014
65,2020-01-07,126.12,124.43,126.53,125.35,353900
66,2020-07-06,87.63,85.44,88.03,86.12,476400
67,2020-07-02,89.7,84.85,90.09,85.54,337100
68,2020-07-01,85.78,85.45,87.61,87.46,764427
69,2020-06-30,85.05,84.25,86.61,85.21,598800
70,2020-06-29,83.88,81.55,85.33,84.76,525406
71,2020-06-26,83.93,82.0,84.68,82.77,933905
72,2020-06-25,81.55,81.55,84.93,84.69,573736
73,2020-06-24,83.64,79.01,83.64,82.47,681819
74,2020-06-23,85.72,83.42,86.99,84.92,620403
75,2020-06-22,84.49,82.75,85.4,84.72,774400
76,2020-06-19,88.01,84.5,88.31,84.75,2026844
77,2020-06-18,88.0,87.15,89.49,88.15,738488
78,2020-06-17,92.82,88.94,93.0,89.38,611100
79,2020-06-16,94.66,91.45,95.14,92.82,783100
80,2020-06-15,86.53,85.63,90.85,90.05,582008
81,2020-06-12,92.18,87.41,92.97,90.47,673836
82,2020-06-11,86.9,85.85,90.32,87.65,1403529
83,2020-06-10,97.45,91.87,97.47,94.64,844622
84,2020-06-09,99.02,97.22,99.7,97.96,763800
85,2020-06-08,103.25,101.41,105.49,102.54,993215
86,2020-06-05,100.91,99.35,103.99,99.96,760406
87,2020-06-04,93.13,90.81,94.88,94.78,596112
88,2020-06-03,89.98,89.97,94.87,93.6,798700
89,2020-06-02,85.9,85.57,89.88,88.34,1267300
90,2020-06-01,80.35,80.35,85.16,84.87,730964
91,2020-05-29,79.83,78.92,81.79,79.91,2344111
92,2020-05-28,84.7,79.88,85.03,80.44,1121253
93,2020-05-27,86.27,81.94,86.95,83.79,829100
94,2020-05-26,82.77,82.02,85.81,83.48,1036500
95,2020-05-22,80.02,77.14,80.52,78.49,542400
96,2020-05-21,78.83,78.7,81.5,79.97,845106
97,2020-05-20,78.55,77.39,79.22,79.15,941127
98,2020-05-19,78.45,76.13,79.35,77.77,803600
99,2020-05-18,76.49,75.01,80.28,78.82,1110926
100,2020-05-15,69.25,67.64,72.59,72.02,2690761
101,2020-05-14,66.92,64.11,70.87,70.02,1214228
102,2020-05-13,71.97,67.67,71.97,68.21,951000
103,2020-05-12,75.63,72.01,75.63,72.55,1080400
104,2020-05-11,76.75,74.01,77.28,75.25,669900
105,2020-05-08,76.28,76.26,79.86,78.12,728905
106,2020-05-07,75.05,73.5,78.04,74.99,1088200
107,2020-05-06,76.91,73.3,77.95,73.31,1110510
108,2020-05-05,79.07,76.97,80.68,77.24,569350
109,2020-05-04,75.9,74.47,77.76,77.54,819535
110,2020-05-01,80.35,77.07,80.9,78.42,817445
111,2020-04-30,82.19,80.35,84.41,83.27,3115000
112,2020-04-29,80.2,80.08,85.58,84.0,1084946
113,2020-04-28,76.78,76.0,79.6,77.23,970349
114,2020-04-27,70.18,70.04,73.94,73.42,966874
115,2020-04-24,70.81,68.07,71.17,69.26,1127813
116,2020-04-23,68.47,67.31,70.96,70.19,1307428
117,2020-04-22,70.7,67.8,72.0,67.95,1111965
118,2020-04-21,70.0,69.28,71.61,70.41,882713
119,2020-04-20,72.91,71.01,74.38,71.58,861926
120,2020-04-17,75.28,74.76,77.19,75.36,740654
121,2020-04-16,78.07,70.81,78.21,72.84,1200517
122,2020-04-15,81.15,76.16,81.84,77.96,898400
123,2020-04-14,85.37,84.08,86.7,84.6,529600
124,2020-04-13,86.0,82.06,86.0,83.58,579725
125,2020-04-09,82.88,82.88,87.77,86.0,894238
126,2020-04-08,75.87,74.93,80.74,80.27,589537
127,2020-04-07,77.99,75.09,80.23,75.41,642700
128,2020-10-05,79.1,77.51,79.64,78.55,368047
129,2020-10-02,74.46,74.08,78.91,78.43,576120
130,2020-10-01,74.36,73.6,76.1,76.05,503412
131,2020-09-30,73.74,72.3,74.55,73.44,637800
132,2020-09-29,74.58,71.75,74.64,72.99,431440
133,2020-09-28,74.54,74.13,75.81,74.94,587641
134,2020-09-25,72.3,71.59,73.58,73.13,424013
135,2020-09-24,71.27,70.69,72.99,72.34,599537
136,2020-09-23,73.74,71.35,74.96,71.46,975941
137,2020-09-22,73.7,73.61,76.1,73.82,762270
138,2020-09-21,79.1,73.05,79.61,73.28,1211259
139,2020-09-18,83.56,81.52,83.73,81.74,1662617
140,2020-09-17,82.52,81.72,84.0,83.65,817800
141,2020-09-16,81.5,80.65,83.96,83.58,678840
142,2020-09-15,80.52,80.36,82.21,81.16,585919
143,2020-09-14,78.03,77.74,80.62,80.52,546443
144,2020-09-11,78.14,75.92,78.21,77.15,607871
145,2020-09-10,78.96,78.0,79.82,78.03,586000
146,2020-09-09,80.98,79.1,81.78,79.39,678245
147,2020-09-08,81.42,79.56,82.1,80.27,728215
148,2020-09-04,82.37,81.09,83.9,82.06,702200
149,2020-09-03,81.79,81.43,84.11,82.35,599000
150,2020-09-02,79.29,78.51,81.44,81.3,508701
151,2020-09-01,78.62,77.88,80.4,79.53,527748
152,2020-08-31,80.6,78.85,80.97,79.24,564204
153,2020-08-28,79.84,79.05,80.56,80.45,406000
154,2020-08-27,80.41,80.21,82.2,81.41,312916
155,2020-08-26,81.53,79.29,81.61,79.77,423823
156,2020-08-25,81.97,80.67,82.56,81.76,333538
157,2020-08-24,80.32,79.25,81.96,81.93,331519
158,2020-08-21,80.65,79.1,81.04,80.32,455430
159,2020-08-20,78.14,78.0,80.82,80.51,478245
160,2020-08-19,80.48,77.98,80.52,78.14,538932
161,2020-08-18,82.23,79.56,82.23,80.32,404700
162,2020-08-17,81.88,81.08,82.79,82.45,321915
163,2020-08-14,82.0,81.15,83.45,81.88,307115
164,2020-08-13,82.8,82.13,83.47,82.21,508740
165,2020-08-12,82.54,81.67,83.62,83.48,650600
166,2020-08-11,81.9,81.27,83.31,82.18,689215
167,2020-08-10,79.0,78.8,81.79,80.23,464427
168,2020-08-07,75.66,74.75,78.84,78.81,566423
169,2020-08-06,75.08,73.83,77.12,76.42,997229
170,2020-08-05,76.98,75.18,77.42,76.18,460577
171,2020-08-04,75.58,75.18,77.43,76.62,577911
172,2020-08-03,75.52,73.26,75.93,75.67,713207
173,2020-07-31,76.64,74.43,76.66,76.3,3247700
174,2020-07-30,76.2,74.4,77.93,77.0,878937
175,2020-07-29,77.07,74.63,77.75,77.49,1034963
176,2020-07-28,73.69,73.1,76.83,76.13,685504
177,2020-07-27,72.55,70.71,74.0,73.63,1216083
178,2020-07-24,74.23,72.74,74.43,72.99,677600
179,2020-07-23,74.76,73.11,75.73,73.84,579000
180,2020-07-22,74.0,73.34,75.9,75.18,603853
181,2020-07-21,75.0,74.1,76.18,74.43,610806
182,2020-07-20,77.94,75.04,78.46,75.04,570013
183,2020-07-17,79.68,77.86,79.88,78.43,608400
184,2020-07-16,80.16,78.67,80.43,79.48,519349
185,2020-07-15,80.41,79.0,81.11,80.97,557062
186,2020-07-14,80.18,77.69,81.03,78.0,553400
187,2020-07-13,80.73,78.79,81.4,80.18,448200
188,2020-07-10,78.62,78.62,80.86,79.95,473419
189,2020-07-09,80.3,76.81,80.36,78.87,702151
190,2020-07-08,82.4,80.22,82.96,80.26,659617
191,2020-07-07,84.4,82.26,84.63,82.32,339668
192,2021-01-04,85.15,81.99,86.25,82.27,929336
193,2020-12-31,84.65,83.1,85.24,85.12,725817
194,2020-12-30,85.61,85.33,87.75,85.88,686046
195,2020-12-29,87.01,85.12,88.18,85.55,447778
196,2020-12-28,86.6,86.02,87.82,86.77,489649
197,2020-12-24,86.57,85.32,87.01,86.58,231600
198,2020-12-23,86.87,85.85,87.6,86.11,391100
199,2020-12-22,86.47,85.0,86.87,86.02,637564
200,2020-12-21,86.51,84.83,87.12,85.89,898600
201,2020-12-18,90.67,87.28,91.12,88.31,1119147
202,2020-12-17,91.25,89.61,91.5,90.73,484900
203,2020-12-16,93.24,89.9,93.74,90.72,771163
204,2020-12-15,89.73,88.4,93.37,93.31,827814
205,2020-12-14,91.08,88.32,91.94,88.87,734900
206,2020-12-11,90.51,88.4,91.12,90.15,462621
207,2020-12-10,89.14,89.14,91.81,91.43,964800
208,2020-12-09,90.07,89.32,90.88,90.71,578820
209,2020-12-08,89.45,89.31,91.71,89.66,464900
210,2020-12-07,92.62,89.79,92.62,90.3,744748
211,2020-12-04,93.01,92.03,93.58,93.1,482100
212,2020-12-03,90.02,89.96,92.64,91.81,770400
213,2020-12-02,87.17,86.2,90.71,89.96,892645
214,2020-12-01,88.96,87.18,90.78,87.6,872268
215,2020-11-30,88.19,86.34,88.8,87.22,5379327
216,2020-11-27,91.14,88.15,91.67,88.37,704600
217,2020-11-25,92.54,89.6,92.54,91.04,1019540
218,2020-11-24,95.49,93.47,97.0,93.61,1056100
219,2020-11-23,91.43,90.34,95.5,93.07,1061299
220,2020-11-20,90.33,89.44,91.49,89.78,1105290
221,2020-11-19,89.96,88.29,91.43,90.79,999200
222,2020-11-18,91.54,90.41,93.53,90.65,979315
223,2020-11-17,91.23,89.69,91.9,91.31,763068
224,2020-11-16,95.16,90.73,95.61,92.74,995400
225,2020-11-13,86.19,86.19,89.22,88.47,908800
226,2020-11-12,87.52,83.12,88.15,85.33,1226800
227,2020-11-11,93.62,88.31,93.62,90.32,1197708
228,2020-11-10,90.91,90.54,94.99,94.08,1969272
229,2020-11-09,75.6,75.12,94.32,91.61,2783457
230,2020-11-06,72.92,67.9,73.83,68.93,1071336
231,2020-11-05,72.57,71.94,73.79,72.1,510544
232,2020-11-04,75.4,71.79,75.77,71.89,755825
233,2020-11-03,72.5,72.37,76.08,75.54,741562
234,2020-11-02,69.54,68.4,71.45,71.45,561908
235,2020-10-30,69.04,67.81,69.76,68.78,1608200
236,2020-10-29,67.91,67.01,70.0,69.31,627214
237,2020-10-28,69.15,67.32,69.82,67.91,873300
238,2020-10-27,73.3,70.2,73.47,70.21,787012
239,2020-10-26,75.96,72.46,75.96,73.3,759905
240,2020-10-23,75.98,75.57,77.02,76.72,361500
241,2020-10-22,73.94,73.52,75.4,75.29,491106
242,2020-10-21,73.77,73.01,74.4,73.77,478619
243,2020-10-20,74.16,73.66,75.13,74.16,392137
244,2020-10-19,74.3,73.01,74.76,73.41,588704
245,2020-10-16,75.04,73.17,75.41,74.37,573500
246,2020-10-15,75.0,74.79,77.12,76.18,333100
247,2020-10-14,76.85,75.52,77.75,75.64,372500
248,2020-10-13,78.82,76.2,79.02,76.93,529600
249,2020-10-12,78.95,77.56,79.66,78.82,429051
250,2020-10-09,80.3,78.13,80.34,78.38,412956
251,2020-10-08,78.23,77.9,79.76,79.72,297900
252,2020-10-07,78.63,77.01,79.01,77.65,343129
253,2020-10-06,79.26,77.74,80.1,78.4,365699
254,2021-04-05,104.44,102.43,104.83,103.85,720629
255,2021-04-01,102.18,101.45,104.07,103.95,648812
256,2021-03-31,102.7,100.81,103.05,101.45,819429
257,2021-03-30,102.81,101.9,104.01,103.29,477030
258,2021-03-29,103.86,100.78,103.97,102.53,484603
259,2021-03-26,103.42,102.52,105.05,104.33,533203
260,2021-03-25,99.69,98.84,102.86,102.59,710052
261,2021-03-24,98.97,98.83,102.26,100.33,702000
262,2021-03-23,100.14,97.87,100.63,98.65,591000
263,2021-03-22,101.09,99.4,101.09,100.66,657777
264,2021-03-19,102.95,100.86,103.37,100.94,1362300
265,2021-03-18,104.74,102.39,105.78,102.99,659228
266,2021-03-17,106.05,103.86,106.96,104.72,1116660
267,2021-03-16,109.23,105.85,109.23,106.43,567000
268,2021-03-15,109.38,107.7,110.66,109.6,520204
269,2021-03-12,109.05,108.42,110.61,110.37,632500
270,2021-03-11,107.4,106.71,109.55,108.67,574427
271,2021-03-10,106.27,105.78,108.76,107.52,492104
272,2021-03-09,108.57,106.12,108.95,106.15,561642
273,2021-03-08,106.85,105.53,110.13,109.2,747650
274,2021-03-05,104.83,102.01,106.0,105.76,623012
275,2021-03-04,105.69,102.33,106.7,103.68,917900
276,2021-03-03,102.09,101.9,105.82,105.44,757108
277,2021-03-02,104.06,101.05,104.49,101.55,845097
278,2021-03-01,103.19,102.35,105.57,104.0,1011166
279,2021-02-26,102.79,100.47,103.65,101.17,896800
280,2021-02-25,106.19,102.03,106.9,103.0,802319
281,2021-02-24,103.34,102.9,106.25,106.02,1002900
282,2021-02-23,101.66,101.51,103.73,103.29,976807
283,2021-02-22,99.58,99.21,103.57,100.6,1010985
284,2021-02-19,100.72,99.69,101.73,99.71,686333
285,2021-02-18,101.64,100.2,102.42,100.81,870110
286,2021-02-17,101.54,100.12,102.28,102.22,1013000
287,2021-02-16,102.36,100.2,103.26,101.5,1418621
288,2021-02-12,97.65,97.03,102.33,102.33,1267000
289,2021-02-11,95.2,94.31,98.08,97.99,1238600
290,2021-02-10,96.01,94.48,97.42,95.77,1271300
291,2021-02-09,91.92,91.45,93.09,93.02,573237
292,2021-02-08,91.26,90.16,91.45,91.35,516155
293,2021-02-05,91.21,90.32,91.66,91.26,417950
294,2021-02-04,88.27,87.86,91.17,90.35,624500
295,2021-02-03,86.57,85.81,88.18,87.88,450600
296,2021-02-02,87.43,85.83,87.71,87.23,568625
297,2021-02-01,88.22,84.38,88.49,87.04,722800
298,2021-01-29,87.0,85.91,89.59,87.56,2720449
299,2021-01-28,88.74,87.45,90.85,87.58,980405
300,2021-01-27,87.98,87.54,89.89,88.3,794166
301,2021-01-26,89.6,87.3,89.88,88.78,930400
302,2021-01-25,87.55,86.12,90.97,88.96,837530
303,2021-01-22,86.14,85.54,88.9,88.53,818329
304,2021-01-21,87.77,85.39,88.02,86.96,476452
305,2021-01-20,87.82,86.38,89.42,88.25,795400
306,2021-01-19,87.51,85.07,87.54,87.2,684953
307,2021-01-15,86.53,84.75,87.58,87.27,739908
308,2021-01-14,87.04,86.38,87.8,86.78,577762
309,2021-01-13,84.85,84.56,86.91,86.29,862702
310,2021-01-12,82.42,82.04,84.91,84.8,650800
311,2021-01-11,83.8,81.85,84.25,82.58,481730
312,2021-01-08,85.02,83.95,85.3,84.53,381345
313,2021-01-07,85.99,83.85,86.03,84.65,538416
314,2021-01-06,83.5,83.28,86.41,86.02,1087623
315,2021-01-05,82.91,82.44,84.28,82.61,699124
316,2021-07-02,118.67,117.14,118.94,117.86,377015
317,2021-07-01,117.44,117.1,119.1,118.08,690300
318,2021-06-30,117.44,116.93,118.33,117.17,543900
319,2021-06-29,117.27,117.27,118.94,117.68,547800
320,2021-06-28,119.89,116.41,119.89,117.23,504709
321,2021-06-25,118.35,117.64,119.31,119.27,899500
322,2021-06-24,119.28,116.93,119.28,117.75,494328
323,2021-06-23,118.11,117.67,119.59,118.85,489633
324,2021-06-22,119.59,118.05,119.59,118.06,375908
325,2021-06-21,116.95,116.26,120.28,119.73,465400
326,2021-06-18,119.74,117.24,120.02,117.29,1158326
327,2021-06-17,121.17,119.5,121.96,120.3,462500
328,2021-06-16,122.86,121.43,123.4,121.52,579200
329,2021-06-15,122.92,122.38,123.93,122.83,844126
330,2021-06-14,123.84,122.61,125.0,123.41,425577
331,2021-06-11,121.67,120.62,123.71,123.61,587126
332,2021-06-10,122.84,121.91,123.48,122.02,633223
333,2021-06-09,122.4,121.3,123.27,122.46,495040
334,2021-06-08,120.03,119.99,122.52,121.81,529305
335,2021-06-07,118.23,117.85,120.37,119.72,485510
336,2021-06-04,118.79,116.62,118.79,117.63,455300
337,2021-06-03,119.5,118.1,119.5,118.55,800639
338,2021-06-02,117.23,116.28,119.1,119.03,859435
339,2021-06-01,114.5,114.4,117.11,116.71,741027
340,2021-05-28,113.59,112.88,114.59,114.34,317400
341,2021-05-27,114.43,112.75,114.49,112.92,812900
342,2021-05-26,113.0,112.01,114.13,113.81,354307
