,date,open,low,high,close,volume
0,2020-01-06,56.01,54.78,56.42,55.83,1535134
1,2020-01-03,57.11,56.71,57.66,57.02,943699
2,2020-01-02,56.4,55.96,57.26,57.24,1053829
3,2020-04-06,35.26,35.0,37.41,36.75,2038368
4,2020-04-03,35.12,34.12,36.3,34.38,1105212
5,2020-04-02,33.56,33.38,36.33,35.31,1865472
6,2020-04-01,34.75,33.0,34.9,33.44,1002886
7,2020-03-31,36.12,35.0,36.9,36.06,1251611
8,2020-03-30,37.17,34.31,37.17,36.06,1158687
9,2020-03-27,36.05,34.6,36.99,35.63,1752923
10,2020-03-26,35.49,35.1,37.97,37.62,1682855
11,2020-03-25,34.18,33.4,37.14,34.79,1947930
12,2020-03-24,34.81,32.55,35.26,33.71,1734686
13,2020-03-23,33.75,30.685,34.25,33.07,2146983
14,2020-03-20,34.39,32.42,35.82,33.69,2789577
15,2020-03-19,30.01,29.15,34.97,33.46,1782670
16,2020-03-18,30.24,28.47,32.11,30.2,2525329
17,2020-03-17,32.2,29.5707,34.9,32.26,3515959
18,2020-03-16,31.9,30.7,35.0,31.54,2999484
19,2020-03-13,38.85,34.1405,39.64,35.96,1718862
20,2020-03-12,34.18,33.0,37.53,36.56,2691393
21,2020-03-11,40.0,36.4352,40.58,37.23,2514573
22,2020-03-10,40.5,39.3,41.18,41.08,2704465
23,2020-03-09,39.99,38.9,41.25,39.15,1638791
24,2020-03-06,44.04,42.72,44.8799,43.37,1448658
25,2020-03-05,44.56,44.2663,46.18,45.47,1259142
26,2020-03-04,44.93,43.89,45.58,45.48,1340145
27,2020-03-03,45.21,43.6236,46.11,44.21,1569455
28,2020-03-02,45.88,43.5706,46.22,44.95,2730409
29,2020-02-28,42.55,42.5,46.655,45.77,2950667
30,2020-02-27,44.68,43.34,46.16,44.25,2699288
31,2020-02-26,48.8,46.04,49.54,46.11,2670436
32,2020-02-25,51.8,48.48,51.87,48.57,2807226
33,2020-02-24,48.27,48.03,51.38,51.21,3700847
34,2020-02-21,53.0,50.27,53.39,50.59,9774901
35,2020-02-20,58.26,56.911,59.9,59.32,4156485
36,2020-02-19,56.16,56.01,58.0,57.37,1945614
37,2020-02-18,55.54,55.02,56.17,55.65,1407357
38,2020-02-14,54.88,54.4043,55.44,55.26,651726
39,2020-02-13,55.78,53.71,55.78,54.61,1737100
40,2020-02-12,54.25,54.0,56.17,56.12,2627215
41,2020-02-11,53.31,53.155,54.23,53.525,973381
42,2020-02-10,52.48,52.25,53.16,52.75,819719
43,2020-02-07,52.27,52.07,52.7788,52.46,704457
44,2020-02-06,53.49,52.61,53.68,52.65,966256
45,2020-02-05,53.4,52.6,54.0699,53.1,1424532
46,2020-02-04,51.21,51.01,52.69,52.67,1595138
47,2020-02-03,49.88,49.69,50.6,50.24,986866
48,2020-01-31,50.6,49.245,50.73,49.58,1054853
49,2020-01-30,50.6,50.11,51.1,50.72,884540
50,2020-01-29,51.18,50.7265,51.52,50.9,853148
51,2020-01-28,50.72,50.6,51.335,51.11,942417
52,2020-01-27,51.14,50.44,51.23,50.49,1288071
53,2020-01-24,52.61,51.67,53.38,51.94,1729342
54,2020-01-23,50.46,50.21,52.37,52.02,2175786
55,2020-01-22,51.83,50.46,51.83,50.56,2342458
56,2020-01-21,53.48,51.335,53.48,51.55,2687750
57,2020-01-17,54.05,52.9001,54.6,53.52,1768186
58,2020-01-16,54.03,53.55,54.87,53.93,2181657
59,2020-01-15,55.21,52.75,55.69,54.75,7532705
60,2020-01-14,57.5,57.3,59.1,58.78,997413
61,2020-01-13,56.86,56.6,58.35,57.44,1099600
62,2020-01-10,56.74,55.83,56.81,56.5,829547
63,2020-01-09,57.07,56.45,58.04,56.7,891746
64,2020-01-08,56.86,56.16,57.1071,56.7,725721
65,2020-01-07,55.76,55.76,57.31,56.67,974383
66,2020-07-06,50.79,50.5,53.7,53.41,3475544
67,2020-07-02,49.97,49.78,50.99,49.88,890180
68,2020-07-01,49.28,49.04,49.89,49.09,784343
69,2020-06-30,49.69,48.97,50.34,49.5,2231039
70,2020-06-29,49.0,48.3,50.11,49.61,1117894
71,2020-06-26,50.37,48.69,50.42,48.76,1169092
72,2020-06-25,48.97,48.64,50.42,50.38,817922
73,2020-06-24,51.87,48.56,51.87,49.08,1106652
