,date,open,low,high,close,volume
0,2020-01-06,22.12,21.91,22.47,22.4,7369000
1,2020-01-03,21.68,21.62,22.31,22.24,6641000
2,2020-01-02,21.52,21.48,22.06,21.94,5541000
3,2020-04-06,20.86,20.4,21.72,21.58,13536500
4,2020-04-03,20.16,19.92,20.47,20.29,9873500
5,2020-04-02,20.01,19.76,20.4,20.18,17292500
6,2020-04-01,19.39,19.2,20.48,20.09,15445500
7,2020-03-31,20.02,19.93,20.8,20.23,14822500
8,2020-03-30,19.87,19.6,20.37,20.19,10479500
9,2020-03-27,19.31,18.91,19.98,19.46,14443500
10,2020-03-26,19.39,19.39,20.3,19.89,13566000
11,2020-03-25,19.9,19.31,20.51,19.39,15102000
12,2020-03-24,18.1,18.1,20.16,19.96,26132500
13,2020-03-23,17.11,17.0,18.1,17.18,17894000
14,2020-03-20,17.54,16.92,18.78,16.98,20209500
15,2020-03-19,15.17,15.17,18.25,17.23,23454000
16,2020-03-18,14.57,14.4,16.42,15.3,17280500
17,2020-03-17,15.42,15.01,15.98,15.6,18099500
18,2020-03-16,14.51,14.04,16.35,15.14,15997500
19,2020-03-13,16.1,15.21,16.9,16.53,14018500
20,2020-03-12,16.44,15.16,17.06,15.16,14161000
21,2020-03-11,17.79,17.33,18.39,17.59,12738500
22,2020-03-10,18.09,17.52,18.67,18.14,17235500
23,2020-03-09,18.65,17.06,19.52,17.43,19401000
24,2020-03-06,20.2,19.54,20.57,19.9,17089500
25,2020-03-05,20.93,20.69,21.48,20.8,6514500
26,2020-03-04,21.0,20.76,21.43,21.41,7451000
27,2020-03-03,22.02,20.44,22.1,20.71,11405000
28,2020-03-02,20.72,20.69,22.04,22.02,14454000
29,2020-02-28,19.78,19.62,20.81,20.41,17831500
30,2020-02-27,20.67,20.25,21.31,20.53,17768000
31,2020-02-26,21.11,21.11,21.65,21.25,8879000
32,2020-02-25,21.8,20.84,21.95,21.01,13951500
33,2020-02-24,21.71,21.18,22.12,21.74,8519000
34,2020-02-21,23.55,22.75,23.56,22.9,4483500
35,2020-02-20,23.85,23.22,23.99,23.6,5855000
36,2020-02-19,24.0,23.82,24.17,23.84,3518000
37,2020-02-18,23.77,23.75,24.25,23.89,14138500
38,2020-02-14,23.87,23.59,23.92,23.84,4871500
39,2020-02-13,23.29,23.2,23.85,23.82,4130000
40,2020-02-12,23.5,23.16,23.7,23.48,4296000
41,2020-02-11,23.95,23.28,24.04,23.46,5488000
42,2020-02-10,23.3,23.0,23.8,23.75,6867000
43,2020-02-07,23.6,22.53,23.99,23.42,10635500
44,2020-02-06,23.99,23.76,24.36,24.27,9434000
45,2020-02-05,24.21,23.77,24.3,23.96,6418500
46,2020-02-04,23.91,23.44,24.07,24.02,5242000
