,date,open,low,high,close,volume
0,2020-01-06,29.37,29.25,29.69,29.68,6014326
1,2020-01-03,29.54,29.31,29.73,29.6,6977700
2,2020-01-02,29.32,29.3,30.0,29.99,5627500
3,2020-04-06,18.9,18.35,19.84,19.71,10797472
4,2020-04-03,18.61,17.82,18.84,17.91,7183488
5,2020-04-02,19.1,18.49,19.44,18.7,7654500
6,2020-04-01,19.52,18.76,19.68,19.11,6386801
7,2020-03-31,21.37,20.45,21.55,20.54,6100575
8,2020-03-30,20.92,20.27,21.4,21.28,6231300
9,2020-03-27,21.02,20.47,21.59,20.74,5685988
10,2020-03-26,20.29,19.91,21.96,21.81,6745310
11,2020-03-25,19.9,19.16,21.04,20.25,8754900
12,2020-03-24,18.7,18.22,20.07,20.02,7194500
13,2020-03-23,18.71,17.44,18.78,17.75,6781244
14,2020-03-20,21.35,18.79,21.61,18.86,7796400
15,2020-03-19,21.14,20.02,21.99,21.27,7353185
16,2020-03-18,19.84,19.39,21.56,21.5,7564014
17,2020-03-17,19.33,18.46,21.57,21.56,8982800
18,2020-03-16,19.83,18.42,20.14,19.06,12808000
19,2020-03-13,21.69,20.1,22.8,22.8,9033612
20,2020-03-12,21.29,20.36,22.33,20.47,8769200
21,2020-03-11,23.43,22.77,23.8,23.15,11517722
22,2020-03-10,23.83,22.69,24.21,24.18,9202440
23,2020-03-09,23.16,22.62,24.15,22.84,15034740
24,2020-03-06,23.66,23.61,24.98,24.88,9856857
25,2020-03-05,24.67,24.36,25.03,24.6,7953782
26,2020-03-04,24.25,23.91,25.1,25.09,6511016
27,2020-03-03,24.52,23.73,25.41,23.89,7960051
28,2020-03-02,24.04,23.51,24.68,24.67,8283923
29,2020-02-28,23.04,22.8,24.1,23.86,13670579
30,2020-02-27,24.34,23.68,25.18,24.03,10953900
31,2020-02-26,25.98,25.25,26.29,25.25,7331554
32,2020-02-25,27.18,25.36,27.2,25.72,12040110
33,2020-02-24,26.96,26.67,27.34,27.0,5771714
34,2020-02-21,27.96,27.75,28.13,27.96,4774100
35,2020-02-20,27.87,27.71,28.31,28.29,5912910
36,2020-02-19,28.0,27.89,28.31,27.96,8384239
37,2020-02-18,28.37,27.84,28.54,27.97,4379500
38,2020-02-14,28.7,28.45,28.7,28.59,2841800
39,2020-02-13,28.6,28.33,28.92,28.71,3921000
40,2020-02-12,28.3,28.26,28.89,28.84,4815522
41,2020-02-11,27.79,27.7,28.33,28.04,5260915
42,2020-02-10,27.59,27.4,27.64,27.57,3150347
43,2020-02-07,27.93,27.65,27.98,27.68,3386900
44,2020-02-06,28.44,28.04,28.49,28.17,3253334
45,2020-02-05,28.11,27.84,28.3,28.29,5647665
46,2020-02-04,27.47,27.29,27.67,27.58,4486408
47,2020-02-03,26.84,26.81,27.37,26.91,4752799
48,2020-01-31,27.57,26.55,27.6,26.69,8708200
49,2020-01-30,27.96,27.25,27.96,27.69,9475048
50,2020-01-29,27.81,27.56,29.26,28.35,12837026
51,2020-01-28,28.75,27.98,28.84,28.0,10978902
52,2020-01-27,28.76,28.56,28.92,28.56,6832317
53,2020-01-24,29.66,29.08,29.72,29.36,4741402
54,2020-01-23,29.37,29.09,29.62,29.55,4167905
55,2020-01-22,29.76,29.58,30.13,29.65,4391500
56,2020-01-21,29.79,29.51,29.87,29.71,4313900
57,2020-01-17,30.08,29.92,30.21,30.06,4348200
58,2020-01-16,29.8,29.62,30.11,30.01,4193842
59,2020-01-15,29.85,29.54,30.07,29.67,5406322
60,2020-01-14,30.38,29.96,30.44,30.11,5483600
61,2020-01-13,30.1,29.87,30.42,30.4,5046808
62,2020-01-10,30.13,30.01,30.34,30.11,4734300
63,2020-01-09,30.23,30.0,30.23,30.22,6048836
64,2020-01-08,29.71,29.66,30.08,30.04,8429832
65,2020-01-07,29.79,29.49,29.94,29.9,6853631
66,2020-07-06,26.68,26.55,26.96,26.82,5816900
67,2020-07-02,26.16,25.91,26.47,26.0,5030151
68,2020-07-01,26.06,25.64,26.23,25.66,6318830
69,2020-06-30,25.5,25.44,26.05,25.9,4539911
70,2020-06-29,25.65,25.41,25.9,25.68,4466500
71,2020-06-26,25.81,25.11,25.86,25.41,10410552
72,2020-06-25,25.65,25.24,25.88,25.81,6433247
73,2020-06-24,26.64,25.57,26.74,25.81,6082443
74,2020-06-23,26.93,26.77,27.21,26.88,7693245
75,2020-06-22,26.6,26.28,26.73,26.54,7557449
76,2020-06-19,28.0,26.63,28.0,26.7,12000149
77,2020-06-18,27.0,26.88,27.53,27.35,6690532
78,2020-06-17,27.8,27.24,27.85,27.25,6954266
79,2020-06-16,27.97,27.21,28.44,27.66,7401243
80,2020-06-15,26.28,26.06,27.48,27.12,7467584
81,2020-06-12,27.05,26.53,27.35,26.93,9551447
82,2020-06-11,26.6,25.97,27.07,26.15,13916386
83,2020-06-10,27.7,27.42,28.11,27.85,11461300
84,2020-06-09,26.58,26.5,27.85,27.63,9692200
85,2020-06-08,26.86,26.59,27.29,27.27,7535199
86,2020-06-05,25.86,25.86,26.71,26.68,8206537
87,2020-06-04,24.79,24.64,25.33,24.75,5926640
88,2020-06-03,24.33,24.32,25.25,25.15,5607629
89,2020-06-02,22.94,22.89,23.88,23.88,5723060
90,2020-06-01,22.75,22.52,22.91,22.74,3648047
91,2020-05-29,22.91,22.18,22.97,22.79,7793735
92,2020-05-28,23.21,22.81,23.46,23.05,5314258
93,2020-05-27,22.91,22.7,23.35,23.33,6375200
94,2020-05-26,22.0,21.97,22.81,22.48,5076428
95,2020-05-22,21.33,20.99,21.43,21.38,3872420
96,2020-05-21,21.55,21.29,21.71,21.32,4115100
97,2020-05-20,21.2,20.96,21.71,21.58,5141070
98,2020-05-19,20.95,20.42,21.25,20.84,3985742
99,2020-05-18,20.36,20.35,21.12,20.97,3878533
100,2020-05-15,19.66,19.45,19.86,19.65,3248300
101,2020-05-14,19.35,18.82,19.96,19.94,4264336
102,2020-05-13,20.3,19.39,20.41,19.63,4478089
103,2020-05-12,21.4,20.4,21.47,20.41,4198702
104,2020-05-11,21.25,20.97,21.44,21.3,3265801
105,2020-05-08,21.35,21.28,21.73,21.62,2672013
106,2020-05-07,21.13,20.9,21.28,20.95,4054928
107,2020-05-06,20.89,20.51,20.96,20.71,4134580
108,2020-05-05,20.69,20.62,21.09,20.67,6284230
109,2020-05-04,20.4,20.01,20.52,20.39,4133407
110,2020-05-01,21.5,20.55,21.52,20.66,4327160
111,2020-04-30,22.13,21.76,22.34,22.01,6338906
112,2020-04-29,22.37,21.57,22.73,22.48,8079000
113,2020-04-28,22.65,21.92,23.1,22.14,7520359
114,2020-04-27,21.02,20.93,21.79,21.63,6020922
115,2020-04-24,20.18,20.1,20.83,20.78,4591504
116,2020-04-23,20.2,20.02,20.64,20.03,3838300
117,2020-04-22,19.9,19.55,20.09,19.98,5129905
118,2020-04-21,20.01,19.42,20.18,19.44,4829040
