,date,open,low,high,close,volume
0,2020-01-06,67.5,67.5,69.83,69.71,34662980
1,2020-01-03,67.39,67.28,68.63,68.03,23740120
2,2020-01-02,67.08,67.08,68.41,68.37,28134620
3,2020-04-06,56.9,56.55,59.73,59.35,53294460
4,2020-04-03,55.95,53.99,56.18,54.89,46268000
5,2020-04-02,54.91,54.82,56.34,56.04,39298000
6,2020-04-01,56.1,54.87,56.48,55.28,46884000
7,2020-03-31,57.37,56.91,58.77,58.14,49759660
8,2020-03-30,56.25,54.82,57.58,57.34,51482000
9,2020-03-27,56.28,55.3,57.53,55.54,64170000
10,2020-03-26,55.59,54.68,58.5,58.09,71475100
11,2020-03-25,56.32,54.3,57.45,55.12,81630560
12,2020-03-24,55.19,54.53,56.75,56.72,66890000
13,2020-03-23,53.07,50.68,53.57,52.83,80882740
14,2020-03-20,56.79,53.27,57.2,53.62,72036000
15,2020-03-19,54.65,53.01,57.9,55.76,73022120
16,2020-03-18,52.83,51.86,55.33,54.84,84668700
17,2020-03-17,54.66,52.8,56.54,55.99,77230000
18,2020-03-16,54.8,53.72,57.61,54.22,85048000
19,2020-03-13,58.95,55.86,60.99,60.99,74002500
20,2020-03-12,56.3,55.67,59.69,55.75,84534960
21,2020-03-11,62.49,59.8,63.05,60.77,52224580
22,2020-03-10,63.0,60.94,64.06,64.02,52228000
23,2020-03-09,60.27,60.0,62.74,60.78,67308000
24,2020-03-06,63.85,63.05,65.31,64.92,53212560
25,2020-03-05,67.51,65.26,67.95,65.95,51226000
26,2020-03-04,67.96,67.16,69.4,69.33,38266300
27,2020-03-03,69.97,66.6,70.51,67.07,48046520
28,2020-03-02,67.58,66.34,69.54,69.46,48630000
29,2020-02-28,63.88,63.55,67.06,66.97,75812360
30,2020-02-27,68.1,65.86,68.59,65.9,59566000
31,2020-02-26,69.81,68.95,70.79,69.66,44080740
32,2020-02-25,71.65,69.12,71.91,69.42,49566000
33,2020-02-24,71.31,70.57,71.85,71.08,57342000
34,2020-02-21,75.4,74.02,75.61,74.26,34645460
35,2020-02-20,76.1,75.34,76.48,75.91,21932000
36,2020-02-19,76.25,76.07,76.61,76.33,18986000
37,2020-02-18,75.75,75.63,76.58,75.98,22422800
38,2020-02-14,75.78,75.37,76.04,76.04,23956720
39,2020-02-13,75.63,75.23,76.36,75.73,18594600
40,2020-02-12,75.72,75.41,76.03,75.91,23352000
41,2020-02-11,75.59,75.28,76.48,75.44,26892660
42,2020-02-10,73.72,73.72,75.47,75.43,28398000
43,2020-02-07,73.36,73.32,74.29,73.96,23446000
44,2020-02-06,72.52,72.48,74.1,73.81,33588000
45,2020-02-05,73.12,71.53,73.19,72.41,39724000
46,2020-02-04,72.85,71.32,73.47,72.35,78660000
47,2020-02-03,73.1,72.95,74.5,74.3,61104319
48,2020-01-31,73.44,71.43,73.51,71.71,48344280
49,2020-01-30,72.0,71.82,72.86,72.79,26788420
50,2020-01-29,72.94,72.34,73.27,72.93,21573340
51,2020-01-28,72.15,71.62,72.8,72.63,31548440
52,2020-01-27,71.55,71.06,71.9,71.69,35104020
53,2020-01-24,74.68,73.26,74.77,73.34,35692880
54,2020-01-23,74.38,74.11,74.78,74.33,27027080
55,2020-01-22,74.55,74.25,75.16,74.3,32216920
56,2020-01-21,73.96,73.56,74.59,74.22,40735600
57,2020-01-17,73.15,72.91,74.06,74.02,47924300
58,2020-01-16,72.37,72.05,72.6,72.58,23474000
59,2020-01-15,71.51,71.51,72.07,71.96,25654000
60,2020-01-14,71.95,71.42,72.09,71.54,31209060
61,2020-01-13,71.81,71.3,72.03,71.96,33069640
62,2020-01-10,71.38,70.92,71.75,71.49,36431320
63,2020-01-09,71.03,70.51,71.37,70.99,30053280
64,2020-01-08,69.6,69.54,70.58,70.22,30583540
65,2020-01-07,69.9,69.52,70.15,69.67,30233860
66,2020-07-06,74.0,73.64,75.33,74.79,31280000
67,2020-07-02,72.35,72.32,74.15,73.24,37189600
68,2020-07-01,70.56,70.49,72.15,71.9,35504000
69,2020-06-30,69.52,69.2,70.93,70.68,40848000
70,2020-06-29,67.91,67.35,69.78,69.75,36204000
71,2020-06-26,71.57,67.6,71.67,68.0,85354000
72,2020-06-25,71.5,71.0,72.15,72.07,24610000
73,2020-06-24,73.08,71.49,73.77,71.6,35120440
74,2020-06-23,72.78,72.26,73.8,73.22,28596000
75,2020-06-22,71.45,71.16,72.64,72.59,30848800
76,2020-06-19,72.2,71.07,72.39,71.59,63158000
77,2020-06-18,72.46,71.35,72.57,71.8,31638320
78,2020-06-17,72.36,71.57,73.0,72.56,30992300
79,2020-06-16,72.26,71.3,72.75,72.14,34232280
80,2020-06-15,69.54,69.4,71.24,70.99,30121920
81,2020-06-12,71.42,69.3,71.85,70.66,38928000
82,2020-06-11,72.12,70.1,72.72,70.19,39826640
83,2020-06-10,72.98,72.81,73.71,73.29,30504000
84,2020-06-09,72.27,72.16,73.4,72.81,28184980
85,2020-06-08,71.12,71.12,72.4,72.33,28084000
86,2020-06-05,70.66,70.3,72.25,71.92,34704880
87,2020-06-04,71.52,70.24,71.95,70.61,29686000
88,2020-06-03,71.92,71.49,72.33,71.82,25124000
89,2020-06-02,71.53,70.94,71.98,71.96,25562560
90,2020-06-01,70.92,70.9,71.9,71.59,24342800
91,2020-05-29,70.85,70.67,71.63,71.45,36761180
92,2020-05-28,69.84,69.8,72.04,70.84,33879520
93,2020-05-27,70.86,69.56,71.09,70.89,33722840
94,2020-05-26,71.86,70.61,72.05,70.85,41212860
95,2020-05-22,69.84,69.59,70.64,70.52,26188160
96,2020-05-21,70.4,69.67,70.77,70.14,27703880
97,2020-05-20,69.48,69.36,70.52,70.34,33108000
98,2020-05-19,69.35,68.67,69.6,68.67,25612980
99,2020-05-18,68.09,67.71,69.62,69.2,36479280
100,2020-05-15,67.5,66.95,68.72,68.66,34154940
101,2020-05-14,66.75,66.2,67.87,67.81,32062000
102,2020-05-13,68.85,66.42,69.27,67.47,36252000
103,2020-05-12,70.36,68.74,70.75,68.79,27812000
104,2020-05-11,68.91,68.86,70.83,70.16,28242320
105,2020-05-08,69.16,68.77,69.94,69.42,27761360
106,2020-05-07,68.3,67.76,68.88,68.63,27995180
107,2020-05-06,68.08,67.36,68.56,67.36,24308460
108,2020-05-05,66.9,66.87,68.7,67.56,33030660
109,2020-05-04,65.41,64.95,66.38,66.34,30080340
110,2020-05-01,66.43,65.55,67.6,66.03,41452780
111,2020-04-30,66.24,66.12,67.64,67.43,53378120
112,2020-04-29,67.07,66.27,68.0,67.07,75872600
113,2020-04-28,64.4,61.61,64.4,61.68,59026179
114,2020-04-27,64.8,63.45,64.81,63.79,32012000
115,2020-04-24,63.06,62.47,64.02,63.97,32807880
116,2020-04-23,63.58,63.28,64.67,63.82,31324060
117,2020-04-22,62.28,62.1,64.28,63.16,41862800
118,2020-04-21,62.35,60.49,62.71,60.82,43060060
119,2020-04-20,63.55,63.07,64.08,63.33,33910000
120,2020-04-17,64.24,63.56,64.72,64.16,38980840
121,2020-04-16,63.71,62.13,63.95,63.17,50362000
122,2020-04-15,62.28,62.02,64.02,63.12,33434060
123,2020-04-14,62.25,61.85,64.1,63.46,49408000
124,2020-04-13,60.46,59.38,61.03,60.88,34796560
125,2020-04-09,61.2,59.84,61.28,60.57,43508420
126,2020-04-08,60.33,59.41,60.95,60.51,39502700
127,2020-04-07,61.05,59.11,61.25,59.33,47746580
128,2020-10-05,73.31,73.21,74.41,74.3,22266000
129,2020-10-02,73.1,72.55,74.16,72.92,25682000
130,2020-10-01,74.21,73.96,74.95,74.5,35590000
131,2020-09-30,73.34,72.99,74.49,73.48,34032160
132,2020-09-29,73.52,72.94,73.83,73.47,19582040
133,2020-09-28,73.71,72.47,73.84,73.23,40158820
134,2020-09-25,71.63,70.67,72.5,72.25,26467500
135,2020-09-24,70.55,70.49,72.19,71.41,29004320
136,2020-09-23,72.94,70.39,73.05,70.76,33148000
137,2020-09-22,72.5,71.73,73.48,73.27,31664020
138,2020-09-21,72.0,70.33,72.42,71.56,57776539
139,2020-09-18,74.9,71.86,75.15,73.0,62078000
140,2020-09-17,74.8,73.5,75.41,74.78,37596000
141,2020-09-16,77.78,75.99,78.1,76.05,26245980
142,2020-09-15,76.8,76.59,77.98,77.07,26622000
143,2020-09-14,76.95,75.79,78.2,75.96,33932000
144,2020-09-11,76.8,74.87,78.76,76.04,31942000
145,2020-09-10,78.03,76.29,79.2,76.6,32372000
146,2020-09-09,77.88,76.8,78.45,77.85,35494080
147,2020-09-08,76.68,76.4,78.19,76.62,52218000
148,2020-09-04,81.21,77.38,82.26,79.55,52172000
149,2020-09-03,85.49,80.75,85.49,82.09,62156000
150,2020-09-02,83.69,83.32,86.66,86.41,50224000
151,2020-09-01,81.83,81.61,83.29,83.04,36533100
152,2020-08-31,82.39,81.52,82.4,81.71,36468120
153,2020-08-28,81.67,81.54,82.36,82.22,29995640
154,2020-08-27,82.68,81.29,82.75,81.72,37232040
155,2020-08-26,80.4,80.18,82.96,82.62,79868000
156,2020-08-25,79.1,79.1,80.58,80.41,44942000
157,2020-08-24,79.7,79.03,80.71,79.41,28204580
158,2020-08-21,78.85,78.4,79.89,79.02,28930000
159,2020-08-20,77.17,76.91,79.29,79.09,34138000
160,2020-08-19,77.67,77.2,78.68,77.38,33212220
161,2020-08-18,76.31,76.19,78.12,77.93,40542000
162,2020-08-17,75.73,75.4,76.28,75.9,27572000
163,2020-08-14,75.78,75.14,76.1,75.39,27104000
164,2020-08-13,75.52,75.4,76.86,75.92,29104160
165,2020-08-12,74.28,74.26,75.62,75.33,28753100
166,2020-08-11,74.62,73.9,75.5,74.02,29088000
167,2020-08-10,74.36,73.65,75.2,74.81,25790600
168,2020-08-07,75.0,74.08,75.84,74.72,31556520
169,2020-08-06,73.59,73.3,75.12,75.01,39908000
170,2020-08-05,73.47,73.17,74.12,73.68,39599140
171,2020-08-04,73.83,72.93,74.28,73.25,38070000
172,2020-08-03,74.33,73.28,74.52,73.72,46630280
173,2020-07-31,75.25,72.7,75.45,74.15,68798000
174,2020-07-30,74.85,74.61,76.89,76.57,33428000
175,2020-07-29,75.32,75.07,76.56,76.1,22130680
176,2020-07-28,76.26,74.88,76.32,75.02,34044000
177,2020-07-27,75.78,75.76,77.05,76.51,24920000
178,2020-07-24,74.95,74.42,75.88,75.59,30888080
179,2020-07-23,78.35,75.37,78.59,75.78,32552680
180,2020-07-22,78.03,77.31,78.5,78.42,18640000
181,2020-07-21,79.35,77.71,79.35,77.92,24372900
182,2020-07-20,75.76,75.18,78.51,78.29,31146000
183,2020-07-17,76.08,74.92,76.17,75.78,29140200
184,2020-07-16,75.0,74.32,75.93,75.9,30386900
185,2020-07-15,76.16,74.9,76.77,75.68,32214000
186,2020-07-14,74.52,74.18,76.15,76.03,31700320
187,2020-07-13,77.5,75.26,78.86,75.57,36928480
188,2020-07-10,75.31,74.83,77.19,77.09,37134080
189,2020-07-09,75.32,74.4,76.14,75.55,28466440
190,2020-07-08,74.72,74.28,75.29,74.8,24994000
191,2020-07-07,74.5,74.18,75.84,74.26,29164000
192,2021-01-04,87.88,85.39,88.03,86.41,38038000
193,2020-12-31,86.77,86.77,87.95,87.59,20244800
194,2020-12-30,88.1,86.28,88.25,86.98,26122600
195,2020-12-29,89.39,87.8,89.62,87.94,25988000
196,2020-12-28,87.58,87.32,89.54,88.8,27860660
197,2020-12-24,86.75,86.46,87.3,86.94,6936000
198,2020-12-23,86.41,86.25,87.4,86.62,20678340
199,2020-12-22,86.72,85.63,86.87,86.18,18766920
200,2020-12-21,85.68,84.95,87.04,86.97,36568000
201,2020-12-18,87.71,86.01,87.76,86.55,80328000
202,2020-12-17,88.43,86.93,88.59,87.4,32494880
203,2020-12-16,88.64,87.8,88.65,88.15,30270860
204,2020-12-15,88.22,87.5,88.57,88.39,29646000
205,2020-12-14,88.75,87.86,89.87,88.0,32004000
206,2020-12-11,88.15,88.0,89.22,89.09,24414000
207,2020-12-10,88.49,87.02,89.07,88.77,27256960
208,2020-12-09,90.6,88.39,91.71,89.21,30152000
209,2020-12-08,90.51,89.81,91.1,90.93,21926380
210,2020-12-07,90.95,90.29,91.62,90.97,26418920
211,2020-12-04,91.23,90.85,91.66,91.4,27564000
212,2020-12-03,91.2,91.13,92.36,91.34,24546000
213,2020-12-02,89.91,89.47,91.78,91.4,24440640
214,2020-12-01,88.72,88.47,91.24,89.91,34780900
215,2020-11-30,89.06,87.75,89.4,88.04,36476720
216,2020-11-27,88.65,88.62,90.2,89.66,17698320
217,2020-11-25,88.64,87.83,88.93,88.57,20922440
218,2020-11-24,86.53,86.38,88.58,88.44,31594060
219,2020-11-23,87.48,85.89,87.7,86.74,43239500
220,2020-11-20,88.26,87.09,88.7,87.11,46273100
221,2020-11-19,86.92,86.85,88.48,88.2,24998200
222,2020-11-18,88.26,87.31,88.67,87.34,23470000
223,2020-11-17,88.85,88.35,89.25,88.51,22942280
224,2020-11-16,88.59,88.38,89.95,89.07,24936000
225,2020-11-13,87.88,87.23,89.05,88.85,30011480
226,2020-11-12,87.38,87.28,88.41,87.49,24975080
227,2020-11-11,87.5,87.37,88.21,87.64,25280000
228,2020-11-10,86.55,85.87,88.15,87.02,52722840
229,2020-11-09,89.55,88.0,90.9,88.15,45366000
230,2020-11-06,87.7,87.02,88.62,88.09,33224500
231,2020-11-05,89.05,87.53,89.68,88.17,41316240
232,2020-11-04,85.51,85.3,88.57,87.46,71418540
233,2020-11-03,81.59,80.83,83.09,82.51,33234000
234,2020-11-02,81.41,80.8,83.04,81.3,50708920
235,2020-10-30,83.61,80.22,84.35,81.05,86617240
236,2020-10-29,76.12,76.11,79.69,78.36,40062000
237,2020-10-28,77.99,75.73,78.07,75.83,36680000
238,2020-10-27,79.78,79.14,80.34,80.21,24580040
239,2020-10-26,81.25,78.83,81.91,79.52,37066000
240,2020-10-23,81.3,81.03,82.12,82.05,27516880
241,2020-10-22,79.65,79.25,81.1,80.77,28680840
242,2020-10-21,78.67,78.58,80.94,79.67,51366900
243,2020-10-20,76.35,76.28,78.88,77.8,44851440
244,2020-10-19,79.02,76.4,79.41,76.73,32142000
245,2020-10-16,78.29,78.15,79.06,78.65,28702740
246,2020-10-15,77.36,77.25,78.76,77.96,30816340
247,2020-10-14,78.93,77.53,79.38,78.4,38619800
248,2020-10-13,79.19,78.16,79.5,78.58,32020860
249,2020-10-12,77.15,76.63,79.69,78.46,49652000
250,2020-10-09,74.74,74.47,75.83,75.76,28710840
251,2020-10-08,73.25,73.25,74.5,74.3,23756620
252,2020-10-07,73.21,71.8,73.45,73.01,34924000
253,2020-10-06,73.78,72.43,74.34,72.67,24908460
254,2021-04-05,107.65,107.58,111.87,111.28,43298000
255,2021-04-01,104.9,104.84,107.15,106.89,33980000
256,2021-03-31,102.96,102.84,104.67,103.43,29198600
257,2021-03-30,102.88,102.2,103.54,102.78,20735480
258,2021-03-29,101.39,100.78,102.92,102.8,24596000
259,2021-03-26,101.94,100.7,102.55,101.78,29876000
260,2021-03-25,102.24,100.54,102.94,102.22,28378140
261,2021-03-24,103.27,102.08,103.91,102.25,23080580
262,2021-03-23,102.59,101.96,103.62,102.65,27340000
263,2021-03-22,102.09,101.3,102.9,101.93,39096320
264,2021-03-19,102.1,100.88,102.66,102.16,46298000
265,2021-03-18,103.05,101.68,103.78,101.81,27248600
266,2021-03-17,103.8,102.7,105.49,104.55,25980320
267,2021-03-16,103.95,103.5,106.18,104.63,29832000
268,2021-03-15,103.12,102.18,103.35,103.32,25966500
269,2021-03-12,104.25,102.38,104.51,103.1,34516000
270,2021-03-11,103.7,103.62,106.29,105.74,24782000
271,2021-03-10,103.59,101.67,103.75,102.75,25372000
272,2021-03-09,103.5,102.39,103.9,102.64,33946120
273,2021-03-08,105.06,101.08,106.44,101.21,32948580
274,2021-03-05,103.66,102.32,105.91,105.43,43904360
275,2021-03-04,101.17,101.01,104.46,102.45,42360120
276,2021-03-03,103.36,100.5,104.43,101.34,29684000
277,2021-03-02,103.81,103.56,105.22,103.79,22692000
278,2021-03-01,102.83,102.31,104.33,104.08,28102300
279,2021-02-26,102.53,100.8,103.55,101.84,41676020
280,2021-02-25,103.37,101.06,104.74,101.57,36568640
281,2021-02-24,102.09,101.91,105.04,104.76,24966980
282,2021-02-23,101.25,100.1,104.1,103.54,33348000
283,2021-02-22,103.35,103.11,104.57,103.24,27350660
284,2021-02-19,105.96,104.87,106.53,105.06,29152240
285,2021-02-18,105.52,105.19,106.64,105.86,22437100
286,2021-02-17,105.0,104.95,106.68,106.42,21418820
287,2021-02-16,105.22,105.22,107.63,106.1,22676760
288,2021-02-12,104.51,104.16,105.44,105.21,17117300
289,2021-02-11,104.98,103.87,105.1,104.79,18914000
