,date,open,low,high,close,volume
0,2020-01-06,67.58,67.55,69.92,69.89,46786860
1,2020-01-03,67.4,67.37,68.69,68.08,23412580
2,2020-01-02,67.42,67.32,68.43,68.43,27285300
3,2020-04-06,56.65,56.25,59.54,59.16,63320000
4,2020-04-03,55.74,53.75,55.94,54.64,51374000
5,2020-04-02,55.0,54.66,56.14,55.85,56410679
6,2020-04-01,56.2,54.67,56.47,55.11,51970380
7,2020-03-31,57.44,56.84,58.67,58.1,65279419
8,2020-03-30,56.63,54.92,57.55,57.32,58736539
9,2020-03-27,56.37,55.2,57.55,55.51,62794000
10,2020-03-26,55.74,54.6,58.57,58.15,76688440
11,2020-03-25,56.23,54.15,57.31,55.08,90324000
12,2020-03-24,55.2,54.32,56.67,56.5,72468700
13,2020-03-23,52.82,50.44,53.35,52.71,83672580
14,2020-03-20,56.55,53.11,56.92,53.41,82878000
15,2020-03-19,54.41,52.78,57.63,55.58,74064960
16,2020-03-18,53.0,51.85,55.25,54.56,93044760
17,2020-03-17,54.53,52.46,56.3,55.9,83194000
18,2020-03-16,54.48,53.35,57.27,53.65,96520000
19,2020-03-13,58.75,55.61,60.72,60.71,79400000
20,2020-03-12,56.13,55.42,59.44,55.58,94326000
21,2020-03-11,62.41,59.56,62.85,60.55,54833880
22,2020-03-10,62.72,60.73,63.79,63.76,54872000
23,2020-03-09,60.25,59.9,62.64,60.79,69252000
24,2020-03-06,63.5,62.86,65.14,64.79,64646299
25,2020-03-05,67.28,65.08,67.68,65.74,54380000
26,2020-03-04,67.95,66.85,69.14,69.08,47598000
27,2020-03-03,69.88,66.46,70.41,66.89,56602239
28,2020-03-02,67.57,66.26,69.37,69.32,55430000
29,2020-02-28,63.72,63.41,67.12,66.96,80218000
30,2020-02-27,67.96,65.71,68.47,65.75,62290000
31,2020-02-26,69.75,68.83,70.68,69.52,49803560
32,2020-02-25,71.55,69.02,71.84,69.32,51580000
33,2020-02-24,71.15,70.34,71.82,70.99,49560780
34,2020-02-21,75.23,73.92,75.55,74.17,42536860
35,2020-02-20,75.95,75.21,76.35,75.85,25967720
36,2020-02-19,76.36,76.05,76.54,76.24,22746760
37,2020-02-18,75.72,75.55,76.53,75.97,25680220
38,2020-02-14,75.73,75.28,76.0,75.94,23198000
39,2020-02-13,75.5,75.2,76.3,75.67,22914000
40,2020-02-12,75.79,75.43,76.02,75.93,31042720
41,2020-02-11,75.66,75.27,76.49,75.5,34852940
42,2020-02-10,73.86,73.76,75.44,75.43,38302000
43,2020-02-07,73.37,73.27,74.26,73.96,28360980
44,2020-02-06,72.6,72.52,74.08,73.8,37822000
45,2020-02-05,73.18,71.48,73.23,72.3,36376000
46,2020-02-04,72.72,71.1,73.37,72.27,95880000
47,2020-02-03,73.08,72.83,74.32,74.13,72175200
48,2020-01-31,73.39,71.35,73.48,71.64,43822000
49,2020-01-30,71.91,71.75,72.76,72.71,27110000
50,2020-01-29,72.92,72.27,73.21,72.83,21639280
