,date,open,low,high,close,volume
0,2020-01-06,86.49,86.18,87.58,87.05,1357364
1,2020-01-03,88.39,86.7,88.7329,87.26,1487651
2,2020-01-02,87.97,87.81,89.51,89.51,2009470
3,2020-04-06,52.36,50.28,55.57,54.45,2572592
4,2020-04-03,48.75,47.06,49.89,48.6,3345951
5,2020-04-02,49.01,48.26,52.83,50.2,4710927
6,2020-04-01,49.41,48.1,53.71,52.36,3489751
7,2020-03-31,55.0,53.22,55.74,53.83,2441378
8,2020-03-30,57.46,54.21,58.9,55.75,2000697
9,2020-03-27,57.76,53.44,59.27,58.93,2497759
10,2020-03-26,64.9,60.46,67.45,60.92,2750010
11,2020-03-25,58.12,54.24,68.24,63.88,3063457
12,2020-03-24,51.31,51.1053,56.81,56.32,2280099
13,2020-03-23,44.1,43.3346,48.23,47.7,2889161
14,2020-03-20,49.06,44.02,52.37,44.27,4565058
15,2020-03-19,47.26,41.51,49.64,48.13,3127025
16,2020-03-18,50.21,37.59,50.4,48.22,4257701
17,2020-03-17,55.4,49.42,57.6,53.76,4020347
18,2020-03-16,63.13,51.27,63.13,54.95,4721083
19,2020-03-13,72.44,65.1204,72.55,69.19,2577647
20,2020-03-12,71.23,67.32,74.6,67.87,2535478
21,2020-03-11,76.92,75.06,78.13,76.21,2071156
22,2020-03-10,78.14,75.9,80.36,79.79,2280692
23,2020-03-09,80.1,75.2,80.5,75.21,3013464
24,2020-03-06,83.68,82.14,85.39,85.0,1696844
25,2020-03-05,88.03,85.0,88.08,85.93,1455337
26,2020-03-04,87.22,86.9,90.77,90.7,1249664
27,2020-03-03,89.45,84.95,91.14,86.16,1889251
28,2020-03-02,87.3,85.22,89.84,89.74,1844099
29,2020-02-28,85.77,84.01,87.31,87.31,2599895
30,2020-02-27,89.88,87.63,91.87,88.19,1525461
31,2020-02-26,93.97,91.29,94.92,91.3,996728
32,2020-02-25,97.78,93.01,98.083,93.29,1057832
33,2020-02-24,98.32,97.26,99.42,97.45,966133
34,2020-02-21,101.43,100.39,101.66,101.21,893548
35,2020-02-20,100.74,100.55,103.18,101.9,1093359
36,2020-02-19,98.54,98.3491,100.4,100.13,912224
37,2020-02-18,98.96,98.05,99.36,98.27,780690
38,2020-02-14,98.58,97.97,99.07,98.81,749656
39,2020-02-13,97.47,97.33,99.585,98.89,758025
40,2020-02-12,99.19,98.18,99.52,98.23,665408
41,2020-02-11,98.25,98.05,99.625,98.84,955858
42,2020-02-10,95.97,95.93,97.76,97.65,853390
43,2020-02-07,96.85,96.21,97.81,96.3,1035832
44,2020-02-06,98.17,96.97,98.42,96.97,960769
45,2020-02-05,97.97,97.14,98.45,97.97,780235
46,2020-02-04,96.49,95.61,97.19,96.75,1219269
47,2020-02-03,96.5,94.97,97.54,95.06,1908350
48,2020-01-31,99.04,97.02,99.33,97.04,1241759
49,2020-01-30,97.68,97.23,99.38,99.36,917111
50,2020-01-29,99.0,98.45,99.72,98.5,906804
51,2020-01-28,96.37,96.01,99.0,98.57,1112690
52,2020-01-27,95.44,95.12,96.71,95.98,1026375
53,2020-01-24,98.32,95.89,98.32,96.73,1100847
54,2020-01-23,96.97,96.45,98.19,98.11,751721
55,2020-01-22,96.43,96.19,97.86,97.35,1169793
56,2020-01-21,95.38,94.77,96.13,95.9,1557298
57,2020-01-17,95.0,94.83,96.01,95.68,1784131
58,2020-01-16,93.26,93.0,94.88,94.7,1218862
59,2020-01-15,91.59,91.24,93.83,92.88,1364407
60,2020-01-14,90.88,90.82,93.14,91.94,1561518
61,2020-01-13,89.02,88.5595,91.11,91.03,1357002
62,2020-01-10,87.9,87.9,89.81,89.09,2087245
63,2020-01-09,87.61,87.25,88.08,87.6,1163708
64,2020-01-08,87.22,86.946,87.82,87.08,1656707
65,2020-01-07,87.24,86.97,87.85,87.23,1212774
66,2020-07-06,90.58,89.57,91.6899,90.38,1255869
67,2020-07-02,91.15,88.53,92.38,89.22,1273189
68,2020-07-01,89.28,88.34,90.94,89.02,944619
69,2020-06-30,88.66,88.08,90.47,89.55,994058
70,2020-06-29,87.8,85.42,89.07,88.98,943873
71,2020-06-26,89.37,86.12,89.85,86.58,2834874
72,2020-06-25,89.21,88.31,89.96,89.59,1692290
73,2020-06-24,91.0,88.51,92.62,89.45,1746148
74,2020-06-23,95.0,91.035,95.39,92.21,2218906
75,2020-06-22,92.5,91.709,94.79,93.96,2167883
76,2020-06-19,98.45,89.68,98.96,91.87,6681710
77,2020-06-18,96.01,95.9644,98.69,97.91,1944246
78,2020-06-17,96.48,95.28,97.98,96.99,1354977
79,2020-06-16,96.6,94.05,97.76,96.36,1548668
80,2020-06-15,86.62,86.3,93.68,92.83,1663500
81,2020-06-12,91.0,87.64,92.0,89.98,1431344
82,2020-06-11,88.67,85.63,89.66,87.29,2175219
83,2020-06-10,94.73,90.83,94.73,91.99,1939297
84,2020-06-09,96.63,93.95,96.65,94.92,1771722
85,2020-06-08,97.05,96.89,98.45,98.35,1543086
86,2020-06-05,96.39,94.24,97.78,95.93,2042516
87,2020-06-04,93.7,92.485,94.91,93.13,1402725
