,date,open,low,high,close,volume
0,2020-01-06,54.65,54.52,54.91,54.67,14698444
1,2020-01-03,54.32,54.09,54.99,54.69,11354500
2,2020-01-02,55.32,54.76,55.43,54.99,11867700
3,2020-04-06,45.39,44.69,47.01,46.67,22850000
4,2020-04-03,43.58,43.31,44.34,43.83,14207106
5,2020-04-02,42.22,41.86,44.19,43.95,17621900
6,2020-04-01,42.48,41.8,43.65,42.12,21936414
7,2020-03-31,45.07,44.06,45.51,44.25,25373932
8,2020-03-30,43.04,43.04,45.56,45.0,23446000
9,2020-03-27,43.66,42.4,44.03,42.81,23297904
10,2020-03-26,42.84,42.45,45.27,44.29,37828286
11,2020-03-25,40.63,39.91,43.45,41.61,42511700
12,2020-03-24,41.22,38.83,41.4,39.45,49096206
13,2020-03-23,38.76,36.27,38.89,37.56,44978500
14,2020-03-20,41.95,37.51,42.07,38.3,51513503
15,2020-03-19,44.36,41.04,44.66,41.83,41956900
16,2020-03-18,44.74,41.59,45.15,44.85,35408300
17,2020-03-17,45.88,45.37,47.5,47.18,32106700
18,2020-03-16,42.24,41.17,47.88,45.26,28682300
19,2020-03-13,49.51,46.61,49.56,48.47,33697200
20,2020-03-12,48.54,46.69,49.93,47.16,31913103
21,2020-03-11,52.35,51.14,52.65,52.21,22660708
22,2020-03-10,53.22,51.17,53.8,53.66,27457400
23,2020-03-09,52.05,51.48,53.58,51.86,27898300
24,2020-03-06,54.94,53.98,55.91,55.26,22353925
25,2020-03-05,57.8,56.19,58.17,56.74,17948500
26,2020-03-04,56.41,56.41,59.0,58.92,20526142
27,2020-03-03,56.76,55.64,57.49,56.06,27099200
28,2020-03-02,53.93,53.7,55.96,55.92,25698629
29,2020-02-28,53.83,51.58,53.89,53.49,40891823
30,2020-02-27,57.15,54.88,57.89,54.93,23754008
31,2020-02-26,57.98,57.48,58.47,57.6,15839658
32,2020-02-25,58.7,57.62,59.2,57.82,15915100
33,2020-02-24,59.11,58.57,59.8,58.65,14415502
34,2020-02-21,59.51,59.43,60.13,60.13,10842400
35,2020-02-20,59.68,59.11,59.86,59.72,7597337
36,2020-02-19,59.51,59.47,60.0,59.77,6265794
37,2020-02-18,59.81,59.45,59.93,59.53,10076116
38,2020-02-14,59.63,59.62,60.07,59.95,9965811
39,2020-02-13,59.38,59.21,59.84,59.61,8173200
40,2020-02-12,59.48,59.32,59.77,59.41,9179101
41,2020-02-11,59.72,59.32,59.8,59.59,7431244
42,2020-02-10,59.32,59.29,59.84,59.75,7984915
43,2020-02-07,58.88,58.85,59.32,59.19,8757800
44,2020-02-06,58.98,58.84,59.34,58.99,9347024
45,2020-02-05,58.9,58.54,59.08,58.85,11414910
46,2020-02-04,58.75,58.62,59.45,58.84,15417924
47,2020-02-03,58.75,58.52,58.97,58.58,12336755
48,2020-01-31,58.97,58.15,59.08,58.4,17685226
49,2020-01-30,57.93,57.76,58.98,58.86,20225600
50,2020-01-29,57.0,56.66,57.26,57.01,13173958
51,2020-01-28,57.45,56.97,57.75,57.01,15240426
52,2020-01-27,57.21,57.13,57.85,57.48,14359938
53,2020-01-24,57.85,57.46,57.87,57.68,8594325
54,2020-01-23,57.38,57.24,57.85,57.83,12858946
55,2020-01-22,57.25,57.18,57.64,57.61,12869732
